년도,월,나이,제천시,봉양읍,금성면,청풍면,수산면,덕산면,한수면,백운면,송학면,교동,의림지동,중앙동,남현동,영서동,용두동,신백동,청전동,화산동
2021,10,80,"2,423",207,76,57,83,76,25,137,164,180,114,141,102,188,194,160,279,240
2021,10,90,188,17,9,3,6,6,4,10,20,9,12,9,6,15,15,14,18,15
2021,10,100,15,0,1,0,0,0,1,0,2,0,1,2,0,7,0,1,0,0
2021,11,총,"66,258","3,429","1,018",657,"1,053","1,102",360,"1,720","2,435","9,147","4,911","2,861","2,474","5,086","8,929","5,584","7,777","7,715"
2021,11,0,"4,220",124,28,14,20,42,8,47,49,767,419,114,90,406,636,335,313,808
2021,11,10,"5,884",168,53,22,32,99,21,77,113,"1,128",543,199,156,471,898,598,584,722
2021,11,20,"8,050",262,66,37,49,43,24,104,213,"1,217",686,343,339,572,"1,431",768,"1,043",853
2021,11,30,"6,555",215,59,43,48,42,20,74,159,929,481,254,233,538,"1,135",525,787,"1,013"
2021,11,40,"9,102",375,71,47,82,101,40,133,231,"1,481",786,366,282,765,"1,312",804,984,"1,242"
2021,11,50,"12,019",669,196,134,199,186,79,313,442,"1,762",891,508,460,890,"1,545","1,131","1,366","1,248"
2021,11,60,"12,198",941,320,202,338,320,100,557,703,"1,218",710,586,513,821,"1,329",869,"1,605","1,066"
2021,11,70,"5,588",444,139,99,194,186,39,262,338,456,268,336,294,418,436,377,796,506
2021,11,80,"2,442",214,76,55,85,78,24,143,165,179,113,145,101,188,192,162,281,241
2021,11,90,193,17,9,4,6,5,4,10,20,10,14,9,6,16,15,14,18,16
2021,11,100,7,0,1,0,0,0,1,0,2,0,0,1,0,1,0,1,0,0
2021,12,총,"66,170","3,425","1,015",651,"1,052","1,091",359,"1,719","2,435","9,139","4,910","2,853","2,462","5,086","8,899","5,576","7,771","7,727"
2021,12,0,"4,203",124,28,13,20,42,8,49,49,774,420,112,90,400,637,328,310,799
2021,12,10,"5,873",165,52,22,32,96,21,77,113,"1,131",540,200,157,474,885,600,579,729
2021,12,20,"8,006",260,62,35,49,39,23,100,206,"1,206",692,340,330,577,"1,416",771,"1,040",860
2021,12,30,"6,516",214,58,40,47,38,19,76,161,931,466,254,230,536,"1,136",524,785,"1,001"
2021,12,40,"9,079",374,73,48,81,102,40,131,226,"1,470",786,368,284,757,"1,306",794,984,"1,255"
2021,12,50,"12,031",670,197,135,202,185,79,314,446,"1,761",901,503,457,897,"1,536","1,133","1,369","1,246"
2021,12,60,"12,194",947,318,201,333,318,99,551,705,"1,222",705,581,513,819,"1,332",870,"1,608","1,072"
2021,12,70,"5,611",443,143,99,196,187,41,267,342,455,271,338,293,419,441,378,793,505
2021,12,80,"2,456",212,75,54,86,79,24,143,166,178,115,147,102,190,196,162,283,244
2021,12,90,196,16,9,4,6,5,4,11,20,11,14,9,6,16,14,15,20,16
2021,12,100,5,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0
