년도,월,나이,경상북도,경상북도 포항시,경상북도 포항시 남구,경상북도 포항시 북구,경상북도 경주시,경상북도 김천시,경상북도 안동시,경상북도 구미시,경상북도 영주시,경상북도 영천시,경상북도 상주시,경상북도 문경시,경상북도 경산시,경상북도 군위군,경상북도 의성군,경상북도 청송군,경상북도 영양군,경상북도 영덕군,경상북도 청도군,경상북도 고령군,경상북도 성주군,경상북도 칠곡군,경상북도 예천군,경상북도 봉화군,경상북도 울진군,경상북도 울릉군
2020,8,50,"222,738","45,200","20,106","25,094","22,712","11,457","13,067","33,987","8,906","8,527","8,066","5,840","22,173","1,897","4,072","2,251","1,368","2,953","3,530","2,601","3,876","8,906","3,849","2,701","3,997",802
2020,8,60,"201,738","39,131","18,151","20,980","20,445","10,980","12,902","18,644","9,396","9,120","9,185","6,823","17,385","2,505","5,796","2,715","1,690","3,813","4,737","2,940","4,342","6,405","4,649","3,226","4,086",823
2020,8,70,"134,257","19,524","8,942","10,582","13,622","7,646","9,253","8,949","6,608","6,900","7,267","5,290","10,755","2,199","5,131","2,296","1,540","3,590","3,607","2,298","3,141","4,333","3,851","2,634","3,261",562
2020,8,80,"89,557","10,202","4,495","5,707","8,791","5,361","6,266","5,473","4,382","4,618","5,666","3,671","5,981","1,695","4,066","1,572","1,147","2,550","2,893","1,760","2,323","2,901","3,229","2,087","2,626",297
2020,8,90,"14,539","1,711",713,998,"1,366",908,"1,116",915,767,586,"1,004",638,810,255,611,238,180,406,470,240,367,471,530,371,523,56
2020,8,100,761,77,38,39,71,44,46,45,46,29,48,40,56,14,38,16,20,20,18,5,21,33,29,24,15,6
2020,9,총,"1,310,595","249,105","111,951","137,154","126,570","69,964","80,225","202,770","52,219","50,026","49,771","36,381","130,226","11,437","26,523","12,557","8,430","19,257","21,596","15,344","20,863","54,896","28,168","15,715","24,370","4,182"
2020,9,0,"93,181","19,427","8,560","10,867","8,036","5,109","5,123","20,264","3,010","2,877","2,533","1,960","10,156",328,940,476,351,876,763,705,954,"4,698","2,261",687,"1,450",197
2020,9,10,"107,761","22,305","10,105","12,200","10,026","5,585","6,579","21,666","4,278","3,089","3,647","2,612","10,945",449,"1,109",579,458,"1,029","1,111",973,"1,002","5,442","2,034",868,"1,736",239
2020,9,20,"123,429","24,185","10,816","13,369","11,727","6,426","7,518","25,343","3,997","4,155","3,450","2,668","16,114",603,"1,320",683,478,"1,041","1,159","1,055","1,444","5,269","1,767",844,"1,844",339
2020,9,30,"137,352","28,501","12,587","15,914","12,003","7,226","7,525","30,941","4,015","4,272","3,469","2,726","15,411",595,"1,473",707,485,"1,211","1,354","1,044","1,479","6,933","2,732",913,"1,976",361
2020,9,40,"183,991","38,522","17,311","21,211","17,655","9,171","10,763","36,283","6,762","5,758","5,440","4,087","20,294",899,"1,954","1,010",715,"1,759","1,954","1,712","1,899","9,443","3,199","1,355","2,852",505
2020,9,50,"222,524","45,152","20,082","25,070","22,661","11,444","13,029","34,095","8,901","8,532","8,009","5,827","22,168","1,896","4,046","2,251","1,361","2,931","3,511","2,602","3,876","8,916","3,864","2,687","3,972",793
2020,9,60,"202,848","39,419","18,272","21,147","20,543","11,022","12,989","18,770","9,434","9,167","9,241","6,857","17,469","2,503","5,810","2,728","1,702","3,831","4,757","2,944","4,348","6,460","4,668","3,254","4,107",825
2020,9,70,"134,153","19,541","8,943","10,598","13,631","7,629","9,241","8,974","6,576","6,913","7,226","5,281","10,778","2,188","5,124","2,289","1,530","3,588","3,591","2,292","3,135","4,324","3,847","2,634","3,259",562
2020,9,80,"89,827","10,243","4,515","5,728","8,840","5,383","6,269","5,461","4,415","4,637","5,692","3,677","6,007","1,704","4,084","1,580","1,144","2,545","2,900","1,773","2,335","2,909","3,229","2,071","2,628",301
2020,9,90,"14,754","1,731",722,"1,009","1,378",924,"1,141",926,783,598,"1,014",646,828,257,625,238,186,425,478,239,370,469,536,377,531,54
2020,9,100,775,79,38,41,70,45,48,47,48,28,50,40,56,15,38,16,20,21,18,5,21,33,31,25,15,6
2020,10,총,"1,310,506","248,997","111,916","137,081","126,522","69,979","80,165","202,791","52,159","50,139","49,777","36,394","130,366","11,428","26,524","12,569","8,434","19,194","21,581","15,322","20,848","54,922","28,168","15,700","24,357","4,170"
2020,10,0,"92,603","19,304","8,515","10,789","7,991","5,073","5,091","20,149","2,977","2,863","2,525","1,962","10,085",324,934,478,347,851,763,699,947,"4,659","2,252",690,"1,446",193
2020,10,10,"107,620","22,302","10,117","12,185","9,988","5,599","6,577","21,637","4,270","3,090","3,632","2,593","10,936",450,"1,105",574,462,"1,031","1,109",962,999,"5,442","2,031",860,"1,732",239
2020,10,20,"123,477","24,161","10,795","13,366","11,743","6,432","7,532","25,315","3,989","4,169","3,455","2,678","16,166",601,"1,338",681,473,"1,039","1,151","1,061","1,424","5,263","1,774",842,"1,851",339
2020,10,30,"136,741","28,375","12,533","15,842","11,926","7,212","7,461","30,847","4,004","4,293","3,460","2,709","15,375",577,"1,461",708,484,"1,194","1,338","1,033","1,472","6,871","2,713",913,"1,962",353
2020,10,40,"183,708","38,424","17,288","21,136","17,592","9,165","10,750","36,277","6,733","5,726","5,428","4,087","20,292",892,"1,953","1,009",711,"1,742","1,961","1,708","1,908","9,446","3,200","1,348","2,855",501
2020,10,50,"222,289","45,079","20,047","25,032","22,625","11,426","12,990","34,179","8,851","8,527","7,976","5,821","22,206","1,895","4,025","2,232","1,362","2,928","3,474","2,586","3,858","8,961","3,873","2,665","3,960",790
2020,10,60,"204,094","39,659","18,359","21,300","20,661","11,078","13,061","18,957","9,503","9,233","9,285","6,875","17,611","2,522","5,841","2,747","1,712","3,827","4,784","2,960","4,358","6,529","4,681","3,268","4,112",830
2020,10,70,"134,177","19,590","8,954","10,636","13,657","7,615","9,236","8,977","6,570","6,946","7,222","5,289","10,770","2,183","5,114","2,296","1,527","3,578","3,579","2,292","3,146","4,321","3,838","2,632","3,236",563
2020,10,80,"90,172","10,286","4,542","5,744","8,883","5,401","6,283","5,476","4,431","4,660","5,718","3,692","6,032","1,710","4,087","1,587","1,148","2,554","2,920","1,779","2,334","2,927","3,236","2,076","2,652",300
