년도,월,나이,부산광역시,중구,서구,동구,영도구,부산진구,동래구,남구,북구,해운대구,사하구,금정구,강서구,연제구,수영구,사상구,기장군
2021,4,100,618,16,22,46,48,49,60,54,32,63,32,56,16,30,27,40,27
2021,5,총,"1,718,369","21,144","54,965","44,971","56,558","184,478","137,944","135,156","143,106","207,120","154,623","117,396","67,674","107,083","92,852","104,255","89,044"
2021,5,0,"110,361",594,"2,631","1,912","2,483","10,273","9,282","8,514","9,037","13,519","9,304","6,150","9,656","7,008","4,960","5,795","9,243"
2021,5,10,"130,039",989,"3,569","2,417","3,502","12,058","11,832","11,024","10,920","18,125","11,985","8,400","6,035","7,911","5,653","7,089","8,530"
2021,5,20,"203,973","2,909","6,860","5,128","5,302","26,919","15,334","16,392","16,997","22,955","18,163","14,981","5,745","12,523","12,398","13,302","8,065"
2021,5,30,"200,984","2,040","5,293","4,866","4,780","23,359","16,125","14,168","16,116","23,557","16,773","11,773","13,317","13,115","11,908","11,393","12,401"
2021,5,40,"250,941","2,391","6,939","5,416","7,080","25,107","21,844","20,549","20,174","34,147","22,025","15,869","10,894","16,061","12,780","13,674","15,991"
2021,5,50,"287,234","3,437","8,507","7,013","9,206","29,540","22,941","21,612","27,770","36,374","27,422","20,754","8,214","17,685","14,636","20,072","12,051"
2021,5,60,"285,166","4,228","10,219","8,545","11,568","30,060","22,284","22,195","23,924","31,193","27,143","21,016","8,133","17,796","16,084","19,009","11,769"
2021,5,70,"161,304","2,896","6,915","6,055","8,147","17,519","12,098","13,732","11,664","17,259","14,266","11,780","3,476","9,924","9,440","9,285","6,848"
2021,5,80,"76,064","1,374","3,480","3,143","3,884","8,423","5,306","6,016","5,615","8,596","6,431","5,724","1,814","4,386","4,303","4,047","3,522"
2021,5,90,"11,696",269,531,430,558,"1,170",838,901,856,"1,344","1,080",893,374,646,663,549,594
2021,5,100,607,17,21,46,48,50,60,53,33,51,31,56,16,28,27,40,30
2021,6,총,"1,717,067","20,762","54,912","44,904","56,624","184,170","137,849","134,899","143,374","207,030","154,435","117,166","67,896","106,959","92,806","104,148","89,133"
2021,6,0,"109,881",576,"2,621","1,902","2,470","10,213","9,248","8,461","9,035","13,444","9,246","6,126","9,624","6,972","4,959","5,766","9,218"
2021,6,10,"129,888",973,"3,550","2,406","3,509","12,051","11,842","10,992","10,910","18,091","11,951","8,367","6,098","7,906","5,632","7,068","8,542"
2021,6,20,"203,589","2,929","6,841","5,128","5,323","26,787","15,291","16,287","17,002","22,938","18,126","14,944","5,768","12,486","12,404","13,266","8,069"
2021,6,30,"200,416","2,018","5,285","4,885","4,776","23,267","16,061","14,129","16,144","23,497","16,690","11,714","13,315","13,042","11,867","11,348","12,378"
2021,6,40,"250,790","2,348","6,939","5,392","7,103","25,076","21,824","20,493","20,168","34,113","22,007","15,839","10,981","16,076","12,766","13,670","15,995"
2021,6,50,"286,222","3,388","8,442","6,963","9,146","29,400","22,874","21,583","27,766","36,334","27,270","20,617","8,224","17,590","14,598","19,954","12,073"
2021,6,60,"286,221","4,139","10,270","8,538","11,635","30,177","22,352","22,211","24,104","31,335","27,271","21,087","8,190","17,861","16,113","19,108","11,830"
2021,6,70,"161,380","2,803","6,899","6,051","8,159","17,531","12,128","13,753","11,699","17,252","14,291","11,771","3,489","9,911","9,468","9,309","6,866"
2021,6,80,"76,364","1,328","3,497","3,157","3,901","8,446","5,339","6,039","5,650","8,612","6,471","5,748","1,818","4,438","4,305","4,074","3,541"
2021,6,90,"11,707",246,546,436,554,"1,170",831,898,863,"1,364","1,082",896,372,649,667,544,589
2021,6,100,609,14,22,46,48,52,59,53,33,50,30,57,17,28,27,41,32
2021,7,총,"1,715,987","20,804","54,838","44,857","56,581","183,951","137,659","134,782","143,455","206,872","154,111","117,179","68,126","106,847","92,712","103,992","89,221"
2021,7,0,"109,390",569,"2,613","1,894","2,449","10,164","9,191","8,424","9,030","13,382","9,178","6,105","9,613","6,939","4,916","5,731","9,192"
2021,7,10,"129,765",978,"3,537","2,387","3,509","12,040","11,846","10,996","10,890","18,052","11,921","8,352","6,135","7,897","5,617","7,028","8,580"
2021,7,20,"202,969","2,927","6,804","5,106","5,306","26,710","15,254","16,256","16,957","22,884","18,029","14,933","5,776","12,381","12,368","13,212","8,066"
2021,7,30,"199,862","2,044","5,280","4,889","4,760","23,222","15,953","14,067","16,146","23,434","16,572","11,693","13,292","13,002","11,852","11,312","12,344"
2021,7,40,"250,421","2,344","6,914","5,387","7,096","24,993","21,771","20,437","20,130","34,002","21,947","15,856","11,105","16,046","12,730","13,654","16,009"
2021,7,50,"285,554","3,382","8,404","6,959","9,112","29,330","22,804","21,561","27,727","36,335","27,143","20,530","8,226","17,543","14,578","19,832","12,088"
2021,7,60,"287,341","4,148","10,292","8,531","11,667","30,262","22,442","22,238","24,279","31,478","27,386","21,169","8,250","17,960","16,162","19,193","11,884"
2021,7,70,"161,656","2,810","6,907","6,051","8,161","17,534","12,142","13,791","11,727","17,237","14,328","11,807","3,517","9,938","9,463","9,356","6,887"
2021,7,80,"76,701","1,340","3,516","3,168","3,918","8,475","5,366","6,064","5,676","8,648","6,506","5,767","1,825","4,457","4,332","4,086","3,557"
2021,7,90,"11,722",248,549,438,555,"1,170",834,896,862,"1,367","1,072",911,368,654,667,548,583
2021,7,100,606,14,22,47,48,51,56,52,31,53,29,56,19,30,27,40,31
2021,8,총,"1,715,149","20,851","54,688","44,768","56,498","183,881","137,517","134,623","143,599","206,634","154,119","117,180","68,308","106,690","92,775","103,753","89,265"
2021,8,0,"108,970",560,"2,579","1,885","2,441","10,116","9,157","8,372","9,039","13,345","9,131","6,094","9,599","6,929","4,903","5,675","9,145"
2021,8,10,"129,528",970,"3,524","2,362","3,501","11,998","11,826","10,972","10,867","17,982","11,915","8,351","6,177","7,860","5,606","7,001","8,616"
2021,8,20,"202,411","2,961","6,786","5,110","5,245","26,702","15,165","16,250","16,913","22,748","17,958","14,914","5,773","12,328","12,400","13,138","8,020"
2021,8,30,"199,393","2,055","5,236","4,887","4,757","23,191","15,937","13,974","16,146","23,378","16,527","11,693","13,269","12,934","11,847","11,259","12,303"
2021,8,40,"249,883","2,353","6,886","5,343","7,069","24,931","21,682","20,362","20,130","33,850","21,920","15,788","11,210","15,976","12,734","13,605","16,044"
2021,8,50,"285,271","3,372","8,361","6,933","9,082","29,289","22,785","21,535","27,706","36,405","27,148","20,512","8,230","17,523","14,556","19,746","12,088"
2021,8,60,"288,209","4,161","10,314","8,526","11,673","30,374","22,489","22,299","24,395","31,543","27,494","21,232","8,301","18,014","16,179","19,260","11,955"
2021,8,70,"161,933","2,808","6,884","6,057","8,178","17,511","12,199","13,812","11,791","17,243","14,370","11,825","3,525","9,952","9,485","9,395","6,898"
2021,8,80,"77,112","1,348","3,542","3,169","3,945","8,535","5,381","6,091","5,705","8,700","6,546","5,798","1,827","4,492","4,366","4,096","3,571"
2021,8,90,"11,834",248,554,448,559,"1,184",841,904,876,"1,388","1,080",917,378,653,672,537,595
2021,8,100,605,15,22,48,48,50,55,52,31,52,30,56,19,29,27,41,30
2021,9,총,"1,715,073","20,845","54,601","44,741","56,424","183,845","137,401","134,599","143,682","206,614","154,117","117,255","68,481","106,676","92,782","103,720","89,290"
2021,9,0,"108,436",559,"2,565","1,883","2,438","10,078","9,103","8,324","9,031","13,284","9,055","6,041","9,571","6,889","4,876","5,642","9,097"
2021,9,10,"129,512",963,"3,512","2,343","3,483","11,992","11,816","10,956","10,864","18,002","11,935","8,366","6,208","7,867","5,592","6,989","8,624"
2021,9,20,"202,283","2,999","6,789","5,097","5,237","26,687","15,135","16,280","16,844","22,720","17,925","14,951","5,776","12,309","12,408","13,139","7,987"
2021,9,30,"199,040","2,059","5,205","4,873","4,766","23,181","15,880","13,915","16,124","23,301","16,497","11,665","13,292","12,917","11,837","11,270","12,258"
2021,9,40,"249,479","2,339","6,855","5,346","7,022","24,860","21,628","20,293","20,102","33,779","21,870","15,760","11,310","15,928","12,719","13,567","16,101"
2021,9,50,"285,266","3,349","8,351","6,938","9,078","29,263","22,768","21,619","27,728","36,393","27,141","20,526","8,211","17,531","14,559","19,682","12,129"
2021,9,60,"288,713","4,148","10,303","8,531","11,665","30,410","22,510","22,304","24,503","31,677","27,575","21,240","8,344","18,046","16,204","19,294","11,959"
2021,9,70,"162,337","2,814","6,883","6,045","8,163","17,533","12,268","13,831","11,838","17,250","14,418","11,888","3,542","9,979","9,507","9,455","6,923"
2021,9,80,"77,505","1,356","3,554","3,186","3,969","8,606","5,400","6,114","5,737","8,748","6,577","5,838","1,832","4,519","4,386","4,099","3,584"
2021,9,90,"11,893",244,562,448,554,"1,186",840,910,878,"1,408","1,091",923,378,662,667,542,600
2021,9,100,609,15,22,51,49,49,53,53,33,52,33,57,17,29,27,41,28
2021,10,총,"1,713,943","20,838","54,473","44,797","56,404","183,643","137,154","134,620","143,583","206,362","154,036","117,167","68,633","106,618","92,670","103,595","89,350"
2021,10,0,"107,958",551,"2,560","1,884","2,427","10,041","9,071","8,273","8,994","13,248","8,983","5,976","9,561","6,872","4,852","5,607","9,058"
2021,10,10,"129,298",947,"3,479","2,339","3,487","11,942","11,804","10,960","10,811","17,951","11,912","8,368","6,250","7,861","5,553","6,968","8,666"
2021,10,20,"201,568","3,012","6,766","5,087","5,239","26,532","15,054","16,308","16,743","22,646","17,844","14,907","5,750","12,253","12,371","13,086","7,970"
2021,10,30,"198,568","2,054","5,181","4,903","4,763","23,127","15,819","13,867","16,139","23,165","16,474","11,650","13,262","12,920","11,843","11,231","12,170"
2021,10,40,"249,110","2,331","6,835","5,333","6,995","24,819","21,582","20,267","20,022","33,680","21,847","15,760","11,405","15,871","12,683","13,518","16,162"
2021,10,50,"285,142","3,335","8,344","6,947","9,083","29,260","22,716","21,574","27,713","36,417","27,131","20,509","8,240","17,536","14,540","19,627","12,170"
2021,10,60,"289,201","4,155","10,292","8,546","11,656","30,446","22,506","22,373","24,611","31,758","27,631","21,235","8,376","18,081","16,204","19,345","11,986"
2021,10,70,"162,757","2,824","6,868","6,058","8,186","17,575","12,283","13,878","11,878","17,260","14,476","11,943","3,568","10,008","9,527","9,494","6,931"
2021,10,80,"77,840","1,372","3,570","3,195","3,986","8,657","5,416","6,153","5,754","8,778","6,621","5,855","1,829","4,519","4,402","4,132","3,601"
2021,10,90,"11,954",243,557,455,551,"1,198",850,915,885,"1,406","1,086",930,375,677,667,552,607
2021,10,100,547,14,21,50,31,46,53,52,33,53,31,34,17,20,28,35,29
2021,11,총,"1,712,760","20,779","54,416","44,824","56,289","183,278","137,002","134,445","143,561","206,138","153,950","117,054","68,797","106,700","92,599","103,428","89,500"
2021,11,0,"107,393",543,"2,549","1,891","2,403","9,955","9,013","8,214","8,959","13,192","8,939","5,949","9,526","6,854","4,823","5,550","9,033"
2021,11,10,"129,206",934,"3,464","2,334","3,480","11,900","11,821","10,954","10,776","17,938","11,884","8,365","6,314","7,859","5,544","6,948","8,691"
2021,11,20,"200,859","2,992","6,770","5,094","5,210","26,394","14,967","16,265","16,661","22,575","17,788","14,853","5,707","12,236","12,347","13,048","7,952"
2021,11,30,"198,018","2,045","5,164","4,917","4,762","23,072","15,745","13,802","16,105","23,074","16,427","11,602","13,248","12,914","11,830","11,182","12,129"
2021,11,40,"248,967","2,320","6,846","5,335","6,956","24,793","21,610","20,244","19,990","33,556","21,807","15,757","11,507","15,875","12,672","13,480","16,219"
2021,11,50,"284,875","3,337","8,307","6,935","9,038","29,172","22,670","21,553","27,726","36,396","27,126","20,484","8,252","17,577","14,537","19,571","12,194"
2021,11,60,"289,717","4,138","10,283","8,550","11,669","30,493","22,556","22,401","24,697","31,845","27,690","21,235","8,426","18,082","16,182","19,397","12,073"
2021,11,70,"163,031","2,836","6,884","6,067","8,177","17,589","12,281","13,887","11,924","17,284","14,518","11,962","3,572","10,046","9,553","9,504","6,947"
2021,11,80,"78,235","1,382","3,568","3,217","4,003","8,679","5,452","6,170","5,792","8,821","6,650","5,890","1,850","4,558","4,407","4,175","3,621"
2021,11,90,"12,039",242,567,461,560,"1,208",858,921,902,"1,415","1,094",924,378,680,676,541,612
2021,11,100,420,10,14,23,31,23,29,34,29,42,27,33,17,19,28,32,29
2021,12,총,"1,711,336","20,769","54,311","44,802","56,167","182,978","137,185","134,114","143,416","205,814","153,806","116,536","68,871","107,383","92,486","103,264","89,434"
2021,12,0,"106,867",527,"2,537","1,858","2,392","9,905","9,038","8,145","8,920","13,118","8,874","5,884","9,476","6,925","4,799","5,497","8,972"
2021,12,10,"129,026",935,"3,459","2,330","3,466","11,860","11,774","10,922","10,758","17,903","11,861","8,339","6,368","7,884","5,544","6,926","8,697"
2021,12,20,"200,179","3,003","6,727","5,122","5,180","26,336","14,960","16,180","16,600","22,407","17,723","14,728","5,708","12,280","12,300","12,973","7,952"
2021,12,30,"197,353","2,066","5,128","4,924","4,715","23,017","15,717","13,690","16,060","22,974","16,355","11,489","13,184","13,075","11,794","11,133","12,032"
2021,12,40,"248,882","2,310","6,841","5,333","6,934","24,716","21,688","20,158","19,959","33,449","21,792","15,711","11,611","16,000","12,643","13,479","16,258"
2021,12,50,"284,465","3,305","8,281","6,926","9,006","29,095","22,626","21,525","27,696","36,408","27,082","20,375","8,223","17,670","14,536","19,507","12,204"
2021,12,60,"289,964","4,148","10,294","8,539","11,666","30,479","22,642","22,395","24,705","31,879","27,757","21,172","8,454","18,147","16,176","19,433","12,078"
2021,12,70,"163,436","2,833","6,876","6,052","8,182","17,590","12,363","13,949","11,985","17,322","14,542","11,941","3,605","10,103","9,572","9,542","6,979"
2021,12,80,"78,697","1,392","3,574","3,245","4,036","8,752","5,485","6,195","5,813","8,883","6,691","5,938","1,855","4,590","4,422","4,211","3,615"
2021,12,90,"12,127",243,581,461,565,"1,206",868,930,899,"1,430","1,107",931,377,688,678,545,618
2021,12,100,340,7,13,12,25,22,24,25,21,41,22,28,10,21,22,18,29
