년도,월,나이,경상북도 예천군,경상북도 예천군 예천읍,경상북도 예천군 용문면,경상북도 예천군 감천면,경상북도 예천군 보문면,경상북도 예천군 호명면,경상북도 예천군 유천면,경상북도 예천군 용궁면,경상북도 예천군 개포면,경상북도 예천군 지보면,경상북도 예천군 풍양면,경상북도 예천군 효자면,경상북도 예천군 은풍면
2021,4,100,2,0,0,1,0,0,0,0,0,1,0,0,0
2021,5,총,"27,416","7,230","1,155","1,320",834,"9,679","1,253","1,159",721,"1,325","1,491",577,672
2021,5,0,"2,307",384,36,26,28,"1,651",81,23,5,23,23,11,16
2021,5,10,"2,345",653,69,42,33,"1,254",56,46,20,46,56,34,36
2021,5,20,"2,313",774,49,93,27,922,134,60,31,52,106,22,43
2021,5,30,"2,719",582,40,72,43,"1,576",120,57,24,72,83,19,31
2021,5,40,"3,880",997,112,107,81,"1,852",154,132,62,134,139,49,61
2021,5,50,"4,184","1,205",201,223,159,"1,174",195,191,126,227,257,101,125
2021,5,60,"4,814","1,384",278,375,223,742,212,282,212,362,378,203,163
2021,5,70,"3,017",828,214,219,142,343,181,220,136,255,268,93,118
2021,5,80,"1,706",396,146,145,87,156,107,137,102,147,171,39,73
2021,5,90,129,27,10,17,11,9,13,11,3,6,10,6,6
2021,5,100,2,0,0,1,0,0,0,0,0,1,0,0,0
2021,6,총,"27,398","7,218","1,156","1,311",835,"9,685","1,255","1,155",723,"1,320","1,492",576,672
2021,6,0,"2,299",384,35,24,28,"1,644",81,24,5,23,24,11,16
2021,6,10,"2,349",645,70,42,34,"1,263",59,45,21,44,56,34,36
2021,6,20,"2,296",769,50,92,27,912,133,58,32,53,105,22,43
2021,6,30,"2,718",584,41,72,42,"1,575",119,57,25,72,82,17,32
2021,6,40,"3,878",993,110,106,79,"1,861",156,128,60,133,139,51,62
2021,6,50,"4,167","1,202",202,219,159,"1,173",190,191,126,225,257,101,122
2021,6,60,"4,847","1,386",279,376,229,752,217,283,213,364,380,203,165
2021,6,70,"3,012",833,213,217,139,341,182,221,136,253,267,92,118
2021,6,80,"1,704",396,146,146,87,155,106,137,102,146,172,39,72
2021,6,90,127,26,10,16,11,9,12,11,3,7,10,6,6
2021,6,100,1,0,0,1,0,0,0,0,0,0,0,0,0
2021,7,총,"27,430","7,211","1,154","1,309",835,"9,721","1,262","1,163",723,"1,319","1,486",575,672
2021,7,0,"2,293",378,33,24,28,"1,648",80,23,5,23,24,11,16
2021,7,10,"2,349",648,68,42,33,"1,263",59,47,21,44,56,34,34
2021,7,20,"2,305",762,51,90,28,923,139,58,33,52,103,21,45
2021,7,30,"2,710",580,41,71,42,"1,568",121,59,25,73,81,16,33
2021,7,40,"3,887",992,110,106,78,"1,877",155,129,60,132,138,49,61
2021,7,50,"4,164","1,206",200,220,160,"1,178",188,191,124,222,255,101,119
2021,7,60,"4,872","1,390",282,376,228,757,220,288,214,364,383,207,163
2021,7,70,"3,021",837,211,218,140,343,183,221,135,254,265,92,122
2021,7,80,"1,700",393,147,144,87,155,105,136,103,148,171,38,73
