년도,월,나이,강북구,삼양동,미아동,송중동,송천동,삼각산동,번1동,번2동,번3동,수유1동,수유2동,수유3동,우이동,인수동
2021,10,80,"4,935",344,349,455,454,301,284,273,341,355,410,381,432,556
2021,10,90,382,33,22,27,34,19,24,16,17,35,42,35,37,41
2021,10,100,14,3,0,1,2,2,0,0,1,0,1,0,1,3
2021,11,총,"146,000","11,814","10,393","14,201","13,133","15,069","9,292","7,678","7,910","10,181","10,167","11,490","9,954","14,718"
2021,11,0,"7,359",624,361,729,487,"1,442",322,326,434,468,516,380,522,748
2021,11,10,"10,709",975,664,938,783,"1,970",522,527,630,651,716,590,715,"1,028"
2021,11,20,"20,248","1,587","1,611","2,048","1,740","1,658","1,565","1,121",943,"1,482","1,381","1,985","1,193","1,934"
2021,11,30,"19,437","1,510","1,506","1,972","1,650","1,676","1,423",917,844,"1,472","1,316","1,824","1,371","1,956"
2021,11,40,"22,677","1,752","1,526","2,224","1,976","2,999","1,478","1,134","1,217","1,532","1,504","1,701","1,481","2,153"
2021,11,50,"25,478","2,171","1,792","2,441","2,451","2,568","1,607","1,345","1,358","1,704","1,782","2,006","1,727","2,526"
2021,11,60,"22,061","1,812","1,672","2,182","2,303","1,568","1,295","1,235","1,209","1,611","1,584","1,629","1,566","2,395"
2021,11,70,"12,654",999,882,"1,182","1,242",867,772,774,908,874,911,959,906,"1,378"
2021,11,80,"4,974",348,358,455,464,301,284,283,348,352,413,378,435,555
2021,11,90,391,33,21,29,36,19,24,16,18,35,43,38,37,42
2021,11,100,12,3,0,1,1,1,0,0,1,0,1,0,1,3
2021,12,총,"145,705","11,783","10,342","14,165","13,093","15,054","9,271","7,664","7,893","10,195","10,174","11,464","9,935","14,672"
2021,12,0,"7,312",621,350,723,484,"1,435",314,331,426,469,516,383,521,739
2021,12,10,"10,667",976,665,936,775,"1,966",514,521,637,645,713,577,718,"1,024"
2021,12,20,"20,085","1,559","1,582","2,041","1,730","1,644","1,532","1,120",944,"1,488","1,375","1,968","1,184","1,918"
2021,12,30,"19,393","1,520","1,494","1,951","1,655","1,665","1,432",908,833,"1,468","1,325","1,832","1,371","1,939"
2021,12,40,"22,624","1,754","1,517","2,217","1,963","2,994","1,486","1,135","1,205","1,536","1,510","1,698","1,473","2,136"
2021,12,50,"25,494","2,161","1,786","2,451","2,451","2,574","1,602","1,348","1,370","1,719","1,782","2,003","1,723","2,524"
2021,12,60,"22,078","1,800","1,677","2,171","2,296","1,583","1,299","1,233","1,202","1,613","1,592","1,639","1,575","2,398"
2021,12,70,"12,620","1,002",878,"1,186","1,232",867,778,768,906,870,897,945,898,"1,393"
2021,12,80,"5,026",354,370,459,470,305,289,283,351,351,419,380,435,560
2021,12,90,395,35,23,29,36,20,25,17,18,36,44,39,36,37
2021,12,100,11,1,0,1,1,1,0,0,1,0,1,0,1,4
