년도,월,나이,남양주시,와부읍,진접읍,화도읍,화도읍동부출장소,진건읍,오남읍,퇴계원읍,별내면,수동면,조안면,호평동,평내동,금곡동,양정동,다산1동,다산2동,별내동
2021,6,0,"33,021","2,004","4,125","4,395",836,543,"2,002",827,617,185,101,"3,269","1,635",335,80,"5,345","2,394","4,328"
2021,6,10,"40,042","3,726","5,888","6,007",695,916,"3,378","1,319","1,010",382,113,"3,700","2,522",605,96,"4,252","1,968","3,465"
2021,6,20,"44,768","4,105","5,638","6,436",840,"1,779","3,637","2,134","1,287",479,227,"3,197","2,301","1,374",299,"4,629","1,884","4,522"
2021,6,30,"44,232","2,909","4,952","6,047","1,079","1,280","2,747","1,742",929,411,215,"3,549","2,145","1,168",299,"6,362","2,495","5,903"
2021,6,40,"65,754","5,069","8,600","9,958","1,319","1,712","5,012","2,111","1,617",565,265,"5,771","3,542","1,165",300,"8,203","3,686","6,859"
2021,6,50,"61,049","5,613","8,125","9,200","1,187","2,673","5,208","2,716","1,902",986,418,"4,256","3,069","1,955",509,"5,283","2,546","5,403"
2021,6,60,"42,802","3,778","5,746","5,994",986,"2,228","2,953","2,396","1,379","1,028",476,"2,404","1,688","1,874",642,"3,427","1,648","4,155"
2021,6,70,"20,720","2,216","2,677","3,037",391,901,"1,529","1,032",768,550,241,"1,353",851,768,244,"1,702",657,"1,803"
2021,6,80,"7,420",826,997,"1,052",152,360,609,366,342,194,96,474,322,309,94,513,208,506
2021,6,90,633,79,87,90,13,27,46,29,35,18,6,45,28,27,6,35,19,43
2021,6,100,32,4,2,3,1,0,1,2,5,2,3,2,0,1,0,1,1,4
2021,7,총,"360,803","30,263","46,813","52,251","7,491","12,396","27,137","14,626","9,897","4,845","2,156","28,159","18,122","9,586","2,558","39,883","17,437","37,183"
2021,7,0,"32,870","2,003","4,079","4,379",831,533,"1,990",821,616,188,101,"3,266","1,646",329,82,"5,340","2,354","4,312"
2021,7,10,"40,099","3,699","5,895","5,994",700,916,"3,371","1,316","1,013",414,112,"3,711","2,522",599,91,"4,290","1,977","3,479"
2021,7,20,"44,789","4,100","5,640","6,444",830,"1,766","3,638","2,111","1,282",499,228,"3,220","2,288","1,377",296,"4,644","1,877","4,549"
2021,7,30,"44,146","2,889","4,915","6,034","1,070","1,275","2,749","1,730",923,406,215,"3,576","2,153","1,167",302,"6,344","2,442","5,956"
2021,7,40,"65,684","5,040","8,580","9,943","1,328","1,698","4,988","2,108","1,607",568,261,"5,771","3,533","1,149",293,"8,255","3,683","6,879"
2021,7,50,"61,248","5,617","8,177","9,225","1,180","2,670","5,230","2,710","1,914",976,415,"4,284","3,076","1,968",499,"5,319","2,548","5,440"
2021,7,60,"43,031","3,783","5,750","6,042",990,"2,239","2,978","2,398","1,385","1,030",484,"2,441","1,697","1,885",651,"3,430","1,659","4,189"
2021,7,70,"20,790","2,223","2,693","3,035",394,907,"1,534","1,035",773,548,235,"1,358",853,771,244,"1,707",664,"1,816"
2021,7,80,"7,472",827,997,"1,060",154,363,613,366,342,196,96,485,325,312,94,517,211,514
2021,7,90,643,78,86,92,13,29,45,29,37,18,6,45,29,28,6,36,21,45
2021,7,100,31,4,1,3,1,0,1,2,5,2,3,2,0,1,0,1,1,4
2021,8,총,"361,913","30,160","46,695","52,244","7,516","12,359","27,056","14,612","9,879","4,889","2,144","28,184","18,102","9,538","2,518","41,185","17,399","37,433"
2021,8,0,"32,818","1,962","4,007","4,362",821,524,"1,945",801,611,182,102,"3,240","1,635",320,79,"5,608","2,322","4,297"
2021,8,10,"40,223","3,691","5,899","5,966",712,919,"3,367","1,318","1,011",446,111,"3,705","2,519",588,88,"4,419","1,994","3,470"
2021,8,20,"44,887","4,094","5,630","6,460",836,"1,760","3,621","2,107","1,280",505,223,"3,221","2,283","1,368",291,"4,715","1,880","4,613"
2021,8,30,"44,179","2,871","4,874","6,007","1,064","1,271","2,729","1,732",904,401,215,"3,568","2,154","1,179",295,"6,489","2,397","6,029"
2021,8,40,"65,846","4,995","8,543","9,917","1,343","1,694","4,977","2,093","1,600",570,260,"5,773","3,523","1,131",293,"8,551","3,680","6,903"
2021,8,50,"61,469","5,626","8,191","9,243","1,177","2,654","5,223","2,713","1,917",982,408,"4,295","3,078","1,954",492,"5,462","2,565","5,489"
2021,8,60,"43,374","3,791","5,772","6,092",998,"2,237","2,992","2,410","1,400","1,031",486,"2,472","1,696","1,897",640,"3,578","1,663","4,219"
2021,8,70,"20,877","2,220","2,692","3,022",393,910,"1,537","1,037",765,554,230,"1,372",860,761,240,"1,784",665,"1,835"
2021,8,80,"7,563",827,"1,002","1,079",158,362,617,367,349,197,100,492,325,312,94,541,213,528
2021,8,90,646,79,84,93,13,28,47,32,37,19,6,44,29,27,6,37,19,46
2021,8,100,31,4,1,3,1,0,1,2,5,2,3,2,0,1,0,1,1,4
2021,9,총,"362,614","30,023","46,622","52,218","7,469","12,292","26,987","14,539","9,866","4,869","2,137","28,150","18,113","9,486","2,491","42,168","17,369","37,815"
2021,9,0,"32,746","1,947","3,962","4,325",810,511,"1,922",781,599,181,103,"3,238","1,625",316,82,"5,725","2,306","4,313"
2021,9,10,"40,223","3,681","5,885","5,962",711,912,"3,370","1,316","1,016",423,113,"3,671","2,509",577,85,"4,503","1,997","3,492"
2021,9,20,"44,946","4,041","5,641","6,477",833,"1,747","3,609","2,088","1,275",504,225,"3,226","2,301","1,355",294,"4,780","1,880","4,670"
2021,9,30,"44,204","2,867","4,830","5,965","1,046","1,253","2,719","1,726",895,400,207,"3,553","2,146","1,177",291,"6,626","2,359","6,144"
2021,9,40,"65,844","4,964","8,533","9,880","1,340","1,677","4,932","2,070","1,600",558,263,"5,760","3,525","1,119",290,"8,712","3,680","6,941"
2021,9,50,"61,720","5,607","8,187","9,265","1,173","2,642","5,249","2,707","1,920",994,401,"4,308","3,100","1,939",484,"5,606","2,588","5,550"
2021,9,60,"43,662","3,780","5,788","6,124","1,000","2,254","2,984","2,410","1,403","1,035",489,"2,483","1,695","1,913",630,"3,738","1,662","4,274"
2021,9,70,"20,945","2,222","2,703","3,034",383,904,"1,534","1,035",759,555,227,"1,366",860,753,234,"1,865",665,"1,846"
2021,9,80,"7,633",828,"1,008","1,089",159,362,619,371,356,199,99,500,322,308,95,573,211,534
2021,9,90,659,82,84,94,13,30,48,33,38,18,7,43,30,28,6,39,20,46
2021,9,100,32,4,1,3,1,0,1,2,5,2,3,2,0,1,0,1,1,5
2021,10,총,"363,233","29,915","46,616","52,172","7,481","12,236","26,971","14,519","9,829","4,864","2,118","28,130","18,116","9,458","2,464","42,706","17,365","38,273"
2021,10,0,"32,604","1,923","3,928","4,285",803,509,"1,903",776,592,177,102,"3,209","1,614",318,80,"5,747","2,298","4,340"
2021,10,10,"40,250","3,671","5,886","5,960",719,907,"3,359","1,308","1,016",410,109,"3,655","2,504",574,86,"4,557","1,995","3,534"
2021,10,20,"44,979","4,019","5,652","6,456",832,"1,733","3,606","2,077","1,270",500,223,"3,236","2,306","1,350",292,"4,834","1,875","4,718"
2021,10,30,"44,213","2,843","4,822","5,952","1,047","1,248","2,715","1,721",888,409,203,"3,529","2,146","1,168",283,"6,678","2,323","6,238"
2021,10,40,"65,885","4,927","8,512","9,835","1,348","1,662","4,905","2,070","1,590",555,264,"5,742","3,534","1,121",282,"8,810","3,694","7,034"
2021,10,50,"62,003","5,618","8,203","9,311","1,174","2,639","5,278","2,714","1,909",997,395,"4,347","3,095","1,912",485,"5,701","2,626","5,599"
2021,10,60,"43,876","3,777","5,811","6,150",999,"2,241","3,009","2,404","1,403","1,036",485,"2,489","1,710","1,920",626,"3,824","1,656","4,336"
2021,10,70,"21,027","2,212","2,702","3,029",388,909,"1,521","1,040",761,553,226,"1,368",855,757,229,"1,932",664,"1,881"
2021,10,80,"7,701",836,"1,013","1,095",155,358,628,374,357,204,102,511,323,309,95,584,215,542
2021,10,90,664,85,86,96,15,30,46,33,38,21,6,42,29,28,6,38,19,46
2021,10,100,31,4,1,3,1,0,1,2,5,2,3,2,0,1,0,1,0,5
2021,11,총,"363,970","29,821","46,539","52,070","7,446","12,243","26,955","14,447","9,804","4,768","2,107","28,074","18,121","9,447","2,440","43,993","17,356","38,339"
2021,11,0,"32,566","1,909","3,869","4,241",791,502,"1,886",770,593,174,99,"3,175","1,592",315,79,"6,016","2,264","4,291"
2021,11,10,"40,249","3,650","5,882","5,955",720,911,"3,358","1,304","1,006",338,108,"3,640","2,519",570,84,"4,656","2,010","3,538"
2021,11,20,"44,902","4,017","5,633","6,429",810,"1,730","3,594","2,054","1,267",478,224,"3,255","2,305","1,348",292,"4,869","1,869","4,728"
2021,11,30,"44,437","2,829","4,805","5,932","1,048","1,251","2,727","1,711",881,405,197,"3,488","2,132","1,158",286,"7,057","2,307","6,223"
2021,11,40,"66,019","4,908","8,485","9,788","1,344","1,656","4,895","2,053","1,585",549,262,"5,740","3,509","1,122",273,"9,077","3,713","7,060"
2021,11,50,"62,215","5,613","8,222","9,328","1,178","2,641","5,302","2,704","1,906","1,006",398,"4,348","3,127","1,910",478,"5,794","2,634","5,626"
2021,11,60,"44,051","3,767","5,842","6,164",993,"2,252","3,004","2,401","1,407","1,032",484,"2,503","1,718","1,924",625,"3,912","1,652","4,371"
2021,11,70,"21,078","2,204","2,695","3,024",393,908,"1,514","1,040",757,557,224,"1,371",855,765,222,"1,976",677,"1,896"
2021,11,80,"7,754",835,"1,020","1,111",152,362,626,377,356,205,101,509,334,306,95,597,212,556
2021,11,90,670,84,85,95,16,30,48,31,42,22,7,44,30,28,6,39,18,45
2021,11,100,29,5,1,3,1,0,1,2,4,2,3,1,0,1,0,0,0,5
2021,12,총,"365,103","29,681","47,191","52,008","7,443","12,230","26,872","14,392","9,778","4,720","2,110","28,029","18,078","9,442","2,416","44,975","17,336","38,402"
2021,12,0,"32,641","1,879","3,930","4,199",792,500,"1,862",769,591,165,102,"3,151","1,571",308,80,"6,241","2,257","4,244"
2021,12,10,"40,342","3,643","5,902","5,971",721,900,"3,335","1,295","1,003",315,107,"3,643","2,516",566,81,"4,765","2,019","3,560"
2021,12,20,"44,876","3,981","5,740","6,387",806,"1,732","3,576","2,042","1,266",465,223,"3,247","2,298","1,353",285,"4,898","1,867","4,710"
2021,12,30,"44,673","2,815","4,963","5,903","1,044","1,252","2,729","1,699",870,405,201,"3,458","2,119","1,147",282,"7,264","2,276","6,246"
2021,12,40,"66,249","4,882","8,566","9,792","1,348","1,655","4,845","2,039","1,588",543,262,"5,717","3,487","1,127",270,"9,324","3,731","7,073"
2021,12,50,"62,456","5,607","8,344","9,324","1,181","2,637","5,323","2,688","1,896","1,006",396,"4,373","3,143","1,914",481,"5,875","2,620","5,648"
2021,12,60,"44,243","3,755","5,918","6,194",987,"2,258","3,009","2,403","1,415","1,034",484,"2,515","1,717","1,928",616,"3,964","1,648","4,398"
2021,12,70,"21,078","2,188","2,706","3,015",396,899,"1,510","1,043",743,554,226,"1,368",860,765,221,"1,991",680,"1,913"
2021,12,80,"7,842",840,"1,034","1,124",150,366,632,381,364,208,102,514,334,308,94,612,219,560
2021,12,90,682,87,87,96,17,31,50,32,40,23,7,42,33,26,6,41,19,45
2021,12,100,21,4,1,3,1,0,1,1,2,2,0,1,0,0,0,0,0,5
