년도,월,나이,이천시,장호원읍,부발읍,신둔면,백사면,호법면,마장면,대월면,모가면,설성면,율면,창전동,증포동,중리동,관고동
2021,12,10,"11,479",695,"2,255",532,452,226,624,599,143,106,64,734,"4,226",468,355
2021,12,20,"17,852",889,"3,158",857,729,386,"1,451","1,357",223,247,102,"1,524","3,922","2,241",766
2021,12,30,"16,664",782,"2,664",973,652,401,"1,595","1,322",214,219,90,"1,253","4,146","1,601",752
2021,12,40,"18,184","1,034","3,351","1,094",847,406,"1,246","1,197",267,293,143,"1,233","5,288","1,023",762
2021,12,50,"18,569","1,243","3,051","1,370","1,084",642,"1,144","1,005",455,482,221,"1,360","4,349","1,167",996
2021,12,60,"14,779","1,324","1,959","1,218",999,588,917,853,540,585,387,"1,181","2,304","1,055",869
2021,12,70,"6,102",653,760,490,411,262,427,400,273,320,189,541,626,420,330
2021,12,80,"2,613",307,308,200,219,115,165,150,141,158,132,176,241,182,119
2021,12,90,244,31,20,16,23,12,20,16,14,15,11,21,23,14,8
2021,12,100,4,0,0,1,0,0,1,0,0,0,0,0,0,2,0
