년도,월,나이,경상남도 밀양시,경상남도 밀양시 삼랑진읍,경상남도 밀양시 삼랑진임천출장소,경상남도 밀양시 하남읍,경상남도 밀양시 부북면,경상남도 밀양시 상동면,경상남도 밀양시 산외면,경상남도 밀양시 산내면,경상남도 밀양시 단장면,경상남도 밀양시 상남면,경상남도 밀양시 초동면,경상남도 밀양시 무안면,경상남도 밀양시 청도면,경상남도 밀양시 내일동,경상남도 밀양시 내이동,경상남도 밀양시 삼문동,경상남도 밀양시 가곡동,경상남도 밀양시 교동
2021,11,10,"7,501",224,50,391,220,82,107,171,152,499,113,244,48,147,"1,387","2,541",587,538
2021,11,20,"8,668",303,123,471,336,139,172,200,183,641,159,283,90,205,"1,906","2,069",750,638
2021,11,30,"8,456",304,64,434,313,143,132,150,256,593,160,230,61,187,"2,150","2,039",671,569
2021,11,40,"12,625",490,97,723,464,191,259,326,303,966,281,357,123,292,"2,469","3,401","1,034",849
2021,11,50,"18,262",937,212,"1,301",927,516,526,701,836,"1,453",567,822,264,487,"2,840","3,348","1,396","1,129"
2021,11,60,"21,900","1,419",321,"1,664","1,348",961,756,"1,093","1,317","1,837",937,"1,317",513,593,"2,511","2,719","1,514","1,080"
2021,11,70,"12,836",915,228,"1,087",769,575,478,678,726,"1,127",649,856,357,415,"1,130","1,392",940,514
2021,11,80,"7,151",474,135,624,513,340,270,360,386,663,389,620,252,216,481,688,531,209
2021,11,90,928,69,23,78,71,54,33,55,53,92,33,71,34,18,92,78,57,17
2021,11,100,26,3,0,4,3,0,3,1,2,1,2,3,0,0,2,1,0,1
2021,12,총,"103,525","5,238","1,261","7,042","5,076","3,039","2,799","3,807","4,272","8,262","3,365","4,897","1,768","2,612","16,341","20,120","7,809","5,817"
2021,12,0,"5,235",127,13,246,107,50,55,78,65,407,75,92,34,60,"1,326","1,833",368,299
2021,12,10,"7,470",224,49,394,222,78,107,171,153,499,113,232,47,142,"1,391","2,529",579,540
2021,12,20,"8,620",297,121,473,336,140,168,199,172,634,161,287,85,204,"1,902","2,079",740,622
2021,12,30,"8,397",305,64,439,310,141,135,142,253,590,157,231,58,190,"2,140","2,024",651,567
2021,12,40,"12,627",489,97,726,460,192,253,331,305,960,284,356,122,296,"2,475","3,421","1,022",838
2021,12,50,"18,230",926,208,"1,297",923,516,528,697,834,"1,447",565,825,265,485,"2,851","3,334","1,396","1,133"
2021,12,60,"21,960","1,411",318,"1,667","1,351",958,767,"1,092","1,323","1,842",930,"1,329",514,587,"2,538","2,729","1,523","1,081"
2021,12,70,"12,837",913,234,"1,088",779,570,479,681,720,"1,120",657,851,356,411,"1,134","1,395",937,512
2021,12,80,"7,196",478,133,631,513,340,268,360,392,668,389,622,252,220,491,697,536,206
2021,12,90,932,66,24,77,73,54,36,55,53,94,33,70,35,17,91,79,57,18
2021,12,100,21,2,0,4,2,0,3,1,2,1,1,2,0,0,2,0,0,1
