년도,월,나이,나주시,남평읍,세지면,왕곡면,반남면,공산면,동강면,다시면,문평면,노안면,금천면,산포면,다도면,봉황면,송월동,영강동,금남동,성북동,영산동,이창동,빛가람동
2021,9,0,"4,858",535,25,26,11,38,30,33,17,33,50,40,11,42,283,68,93,308,45,55,"3,115"
2021,9,10,"4,686",391,62,54,25,56,28,58,24,73,91,62,32,79,410,89,138,423,125,96,"2,370"
2021,9,20,"5,770",501,74,96,32,54,60,96,42,137,158,110,46,119,580,130,206,574,118,157,"2,480"
2021,9,30,"6,951",797,53,50,16,46,45,62,40,100,107,90,34,92,410,123,173,418,99,116,"4,080"
2021,9,40,"7,450",713,62,78,43,82,54,106,46,117,168,119,50,100,602,157,259,644,108,149,"3,793"
2021,9,50,"7,819",967,184,193,107,135,155,259,128,346,278,253,143,283,628,219,390,702,241,217,"1,991"
2021,9,60,"8,267",996,272,295,156,241,263,400,212,505,424,352,194,439,451,233,450,585,313,318,"1,168"
2021,9,70,"6,373",614,268,254,147,237,293,368,217,420,419,283,196,448,305,168,413,392,290,247,394
2021,9,80,"4,795",419,230,264,158,206,254,326,219,385,262,239,164,343,190,117,228,228,227,167,169
2021,9,90,840,74,47,44,26,29,39,52,36,83,50,35,25,60,28,26,44,43,34,35,30
2021,9,100,26,1,2,2,0,4,0,2,3,2,2,0,1,2,2,0,1,1,0,1,0
2021,10,총,"57,850","6,001","1,275","1,354",720,"1,131","1,215","1,751",982,"2,201","2,000","1,581",892,"2,002","3,910","1,332","2,400","4,326","1,596","1,557","19,624"
2021,10,0,"4,833",525,23,26,11,40,29,32,17,35,50,39,10,40,281,66,92,302,46,54,"3,115"
2021,10,10,"4,702",405,61,53,25,56,28,58,24,71,90,62,31,77,411,87,137,432,120,98,"2,376"
2021,10,20,"5,750",500,73,96,31,55,57,95,38,135,154,110,45,120,578,133,205,575,115,155,"2,480"
2021,10,30,"6,950",784,55,53,15,48,46,64,41,102,107,88,33,94,420,123,179,416,103,120,"4,059"
2021,10,40,"7,473",719,59,81,44,82,55,104,45,116,164,116,49,101,603,157,253,645,106,146,"3,828"
2021,10,50,"7,817",961,185,190,107,135,151,252,127,348,276,253,144,277,627,224,397,708,239,217,"1,999"
2021,10,60,"8,294","1,004",270,298,156,238,266,400,209,501,427,355,193,441,460,232,450,582,315,321,"1,176"
2021,10,70,"6,368",614,268,252,144,236,291,366,223,422,417,282,197,446,308,169,414,392,290,247,390
2021,10,80,"4,789",417,233,261,160,207,253,321,217,384,262,240,163,344,192,116,228,228,226,166,171
2021,10,90,845,70,46,42,27,30,39,56,37,85,51,36,26,60,28,25,44,45,36,32,30
2021,10,100,29,2,2,2,0,4,0,3,4,2,2,0,1,2,2,0,1,1,0,1,0
2021,11,총,"57,812","5,989","1,271","1,352",720,"1,112","1,211","1,752",982,"2,194","1,987","1,576",893,"1,997","3,923","1,348","2,408","4,316","1,589","1,552","19,640"
2021,11,0,"4,789",518,22,26,11,35,27,32,17,34,49,39,10,35,284,66,94,301,44,52,"3,093"
2021,11,10,"4,694",394,62,53,25,52,28,55,23,69,92,64,30,76,410,92,132,425,119,98,"2,395"
2021,11,20,"5,750",510,73,94,31,52,57,97,40,133,147,107,45,121,581,133,212,576,113,155,"2,473"
2021,11,30,"6,908",763,54,53,16,48,44,62,41,103,104,87,36,90,422,122,183,408,101,117,"4,054"
2021,11,40,"7,492",724,61,80,42,81,57,104,46,114,165,116,49,103,599,161,248,644,104,146,"3,848"
2021,11,50,"7,822",961,183,189,107,132,150,251,125,342,274,254,141,278,633,228,401,710,240,218,"2,005"
2021,11,60,"8,321","1,009",269,298,155,239,263,406,212,504,429,350,193,440,462,237,453,582,316,318,"1,186"
2021,11,70,"6,361",618,267,250,146,231,292,370,222,424,411,283,198,442,308,170,406,394,289,249,391
2021,11,80,"4,804",418,232,263,160,207,253,319,216,383,268,240,165,349,195,113,232,230,226,167,168
2021,11,90,843,72,46,44,27,31,40,54,36,86,46,36,25,61,27,26,46,45,37,31,27
2021,11,100,28,2,2,2,0,4,0,2,4,2,2,0,1,2,2,0,1,1,0,1,0
2021,12,총,"57,820","5,989","1,270","1,354",713,"1,107","1,210","1,756",969,"2,189","1,983","1,578",901,"1,996","3,930","1,340","2,419","4,319","1,570","1,539","19,688"
2021,12,0,"4,765",515,20,25,10,36,27,31,17,33,50,39,10,35,281,66,94,302,43,52,"3,079"
2021,12,10,"4,685",392,63,52,24,52,29,57,23,67,89,63,31,75,412,89,133,427,108,97,"2,402"
2021,12,20,"5,771",507,79,96,31,54,56,97,40,133,152,112,48,121,578,137,218,578,112,153,"2,469"
2021,12,30,"6,876",758,52,54,15,45,44,65,37,101,101,86,36,87,424,119,183,409,97,115,"4,048"
2021,12,40,"7,526",726,62,83,43,81,58,102,45,118,165,114,49,103,604,163,246,639,105,147,"3,873"
2021,12,50,"7,832",967,178,189,104,129,149,257,124,341,266,256,144,281,633,226,405,710,240,213,"2,020"
2021,12,60,"8,359","1,012",271,301,157,239,266,406,213,505,433,348,194,444,461,238,454,581,316,315,"1,205"
2021,12,70,"6,312",614,263,248,145,230,288,364,218,416,413,283,194,438,310,166,405,397,286,248,386
2021,12,80,"4,818",424,234,261,156,208,252,319,212,387,264,240,167,348,200,112,236,230,226,167,175
2021,12,90,851,74,47,44,28,30,41,55,36,85,48,37,27,62,25,24,44,45,37,31,31
2021,12,100,25,0,1,1,0,3,0,3,4,3,2,0,1,2,2,0,1,1,0,1,0
