년도,월,나이,전라남도 순천시,전라남도 순천시 승주읍,전라남도 순천시 해룡면,전라남도 순천시 해룡면상삼출장소,전라남도 순천시 해룡면신대출장소,전라남도 순천시 서면,전라남도 순천시 황전면,전라남도 순천시 월등면,전라남도 순천시 주암면,전라남도 순천시 송광면,전라남도 순천시 외서면,전라남도 순천시 낙안면,전라남도 순천시 별량면,전라남도 순천시 상사면,전라남도 순천시 향동,전라남도 순천시 매곡동,전라남도 순천시 삼산동,전라남도 순천시 조곡동,전라남도 순천시 덕연동,전라남도 순천시 풍덕동,전라남도 순천시 남제동,전라남도 순천시 저전동,전라남도 순천시 장천동,전라남도 순천시 중앙동,전라남도 순천시 도사동,전라남도 순천시 왕조1동,전라남도 순천시 왕조2동
2021,5,10,"15,545",53,105,"1,329","2,662",549,52,27,67,24,23,81,144,87,140,320,"1,332",282,"2,726",311,351,91,60,106,903,"2,452","1,268"
2021,5,20,"20,316",122,237,"1,694","1,689",662,89,55,118,45,30,122,240,174,195,618,"2,118",418,"3,673",516,614,179,120,217,"1,195","3,371","1,805"
2021,5,30,"16,906",60,169,"1,099","3,239",589,78,56,98,47,17,73,156,91,159,462,"1,426",338,"2,574",399,407,139,131,156,"1,278","2,493","1,172"
2021,5,40,"21,143",125,277,"1,458","3,442",855,146,82,153,83,35,140,323,147,226,436,"1,808",438,"3,299",542,573,157,163,200,"1,466","3,108","1,461"
2021,5,50,"24,839",316,514,"1,773","1,898","1,190",288,163,310,167,88,283,544,307,285,503,"2,075",599,"4,092",626,858,223,252,275,"1,546","3,738","1,926"
2021,5,60,"17,726",316,488,652,707,"1,015",332,236,362,194,99,401,602,316,365,424,"1,685",504,"2,787",658,747,245,234,279,"1,097","2,130",851
2021,5,70,"8,604",190,321,188,161,546,299,136,286,133,79,284,416,192,277,304,717,291,953,415,497,187,143,188,525,667,209
2021,5,80,"3,439",103,165,78,39,195,144,67,159,75,34,135,246,99,74,132,243,108,293,179,186,97,60,66,183,208,71
2021,5,90,319,17,13,5,4,19,19,6,15,6,3,13,19,10,8,8,21,11,28,12,10,7,8,10,16,26,5
2021,5,100,6,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2021,6,총,"140,664","1,324","2,343","9,007","16,894","6,340","1,474",852,"1,595",789,421,"1,568","2,764","1,452","1,787","3,391","12,364","3,154","21,981","3,834","4,435","1,366","1,185","1,529","9,293","19,880","9,642"
2021,6,0,"11,759",31,55,733,"3,037",438,26,16,29,11,7,39,74,37,63,205,967,182,"1,610",186,181,56,26,42,"1,086","1,727",895
2021,6,10,"15,474",51,108,"1,326","2,651",581,51,27,66,25,22,81,143,82,144,317,"1,309",281,"2,706",309,352,91,57,106,908,"2,433","1,247"
2021,6,20,"20,278",122,231,"1,690","1,704",697,92,57,117,46,32,118,239,173,190,607,"2,110",407,"3,664",511,621,171,119,214,"1,180","3,366","1,800"
2021,6,30,"16,929",58,172,"1,095","3,233",715,77,52,99,45,17,74,155,94,159,459,"1,414",339,"2,546",391,402,135,126,156,"1,278","2,466","1,172"
2021,6,40,"21,152",122,272,"1,460","3,453",890,147,83,152,83,35,140,322,144,227,431,"1,791",434,"3,295",544,580,155,162,201,"1,473","3,101","1,455"
2021,6,50,"24,800",311,516,"1,772","1,901","1,220",282,162,308,166,88,279,539,302,279,502,"2,074",597,"4,082",625,849,222,249,270,"1,547","3,739","1,919"
2021,6,60,"17,877",321,495,660,711,"1,034",337,241,361,195,102,405,610,321,366,428,"1,705",505,"2,797",662,759,244,235,278,"1,098","2,144",863
2021,6,70,"8,614",187,316,187,161,546,298,141,288,136,79,282,415,190,276,303,725,291,957,418,497,188,144,183,521,671,214
2021,6,80,"3,449",103,166,79,39,199,145,66,160,73,35,137,246,98,74,131,249,107,294,177,184,97,59,69,185,206,71
2021,6,90,326,18,12,5,4,20,19,7,15,6,3,13,20,11,9,8,20,11,29,11,10,7,8,10,17,27,6
2021,6,100,6,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2021,7,총,"140,682","1,327","2,342","8,984","16,927","6,414","1,479",848,"1,596",788,417,"1,563","2,760","1,449","1,790","3,388","12,327","3,143","21,949","3,838","4,415","1,356","1,178","1,508","9,290","19,997","9,609"
2021,7,0,"11,714",33,54,731,"3,044",445,27,16,30,11,7,39,73,36,63,199,960,177,"1,594",186,180,53,25,41,"1,071","1,739",880
2021,7,10,"15,460",51,104,"1,317","2,662",587,49,27,66,26,21,80,143,82,144,311,"1,302",282,"2,704",312,350,87,55,107,910,"2,436","1,245"
2021,7,20,"20,191",122,233,"1,684","1,702",711,94,55,117,43,32,115,239,172,192,600,"2,104",400,"3,640",500,615,170,121,210,"1,181","3,358","1,781"
2021,7,30,"16,990",58,173,"1,089","3,228",730,77,54,95,46,16,77,153,94,159,470,"1,409",344,"2,537",392,398,138,127,150,"1,274","2,525","1,177"
2021,7,40,"21,114",121,269,"1,455","3,456",903,147,81,153,79,33,138,324,145,227,427,"1,774",428,"3,289",545,577,152,159,200,"1,473","3,106","1,453"
2021,7,50,"24,790",310,519,"1,771","1,918","1,225",284,158,308,171,89,273,531,296,280,502,"2,065",592,"4,073",628,843,221,247,263,"1,548","3,772","1,903"
2021,7,60,"17,970",321,495,664,711,"1,045",338,243,362,194,102,405,616,326,364,434,"1,713",511,"2,813",667,759,241,231,275,"1,103","2,160",877
2021,7,70,"8,650",187,318,189,163,549,299,140,290,137,79,285,414,188,275,305,726,293,974,421,496,189,145,182,527,667,212
2021,7,80,"3,466",104,164,79,39,201,145,67,159,72,34,138,244,98,77,131,251,106,296,176,187,98,60,71,186,208,75
2021,7,90,331,20,13,5,4,18,19,7,16,6,3,13,22,12,9,9,23,10,28,11,10,7,8,9,17,26,6
2021,7,100,6,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2021,8,총,"140,664","1,319","2,321","8,960","16,915","6,430","1,477",849,"1,593",784,417,"1,562","2,747","1,453","1,780","3,366","12,407","3,129","21,895","3,841","4,413","1,347","1,172","1,502","9,265","20,141","9,579"
2021,8,0,"11,692",33,55,723,"3,040",445,29,19,31,11,7,42,73,37,62,200,958,176,"1,578",182,183,52,25,42,"1,060","1,761",868
2021,8,10,"15,404",51,101,"1,318","2,660",586,50,26,65,26,21,80,140,77,144,309,"1,291",281,"2,684",308,346,86,52,107,917,"2,446","1,232"
2021,8,20,"20,160",121,229,"1,663","1,705",710,90,55,117,42,32,113,240,176,187,587,"2,135",396,"3,612",514,617,167,120,207,"1,161","3,385","1,779"
2021,8,30,"17,025",52,166,"1,098","3,193",738,77,53,93,46,15,78,152,93,156,474,"1,431",345,"2,543",385,397,140,127,150,"1,278","2,569","1,176"
2021,8,40,"21,052",119,265,"1,441","3,451",906,144,79,152,76,34,139,322,145,229,419,"1,785",428,"3,269",543,571,151,160,199,"1,471","3,100","1,454"
2021,8,50,"24,790",309,520,"1,772","1,941","1,224",289,160,308,172,87,266,519,295,276,492,"2,078",586,"4,066",632,849,215,242,259,"1,532","3,803","1,898"
2021,8,60,"18,056",322,493,671,720,"1,050",334,241,365,195,104,411,622,330,360,442,"1,722",506,"2,841",663,753,241,237,276,"1,110","2,170",877
2021,8,70,"8,669",188,318,188,164,549,298,143,286,133,79,283,409,188,281,300,733,293,979,427,502,187,144,182,533,669,213
2021,8,80,"3,481",105,161,81,37,204,146,66,159,74,34,137,245,100,75,134,252,108,296,176,185,101,58,71,187,213,76
2021,8,90,329,19,13,5,4,18,20,7,17,6,3,13,24,12,10,9,22,10,26,11,10,7,7,9,16,25,6
2021,8,100,6,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2021,9,총,"140,731","1,318","2,325","8,925","16,951","6,420","1,477",857,"1,594",779,413,"1,559","2,736","1,458","1,764","3,371","12,527","3,114","21,866","3,841","4,398","1,332","1,170","1,492","9,236","20,238","9,570"
2021,9,0,"11,674",34,56,714,"3,052",441,29,19,32,7,7,41,69,39,62,203,968,175,"1,566",177,178,52,24,41,"1,055","1,762",871
2021,9,10,"15,360",52,103,"1,296","2,674",582,50,26,63,26,20,82,140,77,142,312,"1,278",276,"2,668",311,349,86,52,101,911,"2,464","1,219"
2021,9,20,"20,139",120,232,"1,667","1,690",702,92,55,117,40,33,108,238,176,186,579,"2,179",384,"3,605",514,608,161,111,208,"1,155","3,408","1,771"
2021,9,30,"17,046",55,162,"1,092","3,186",730,75,54,93,42,15,80,150,95,154,477,"1,478",344,"2,521",381,400,138,126,145,"1,264","2,596","1,193"
2021,9,40,"21,023",118,262,"1,428","3,470",904,142,77,150,81,34,133,321,142,223,417,"1,789",424,"3,283",544,569,150,159,200,"1,472","3,085","1,446"
2021,9,50,"24,828",307,523,"1,776","1,954","1,230",291,166,309,170,85,268,516,297,275,491,"2,084",594,"4,060",631,847,210,248,258,"1,524","3,823","1,891"
2021,9,60,"18,116",321,494,679,718,"1,059",330,242,365,194,104,404,624,332,358,446,"1,730",507,"2,857",665,749,243,240,280,"1,111","2,183",881
2021,9,70,"8,700",188,315,187,167,549,296,146,288,134,78,291,406,189,281,301,743,289,983,429,500,186,145,179,539,676,215
2021,9,80,"3,509",104,165,80,36,206,152,65,160,76,34,138,247,100,74,136,255,111,297,178,187,99,58,71,187,216,77
2021,9,90,330,19,13,6,4,17,20,7,17,6,3,13,24,11,9,9,23,10,25,11,11,7,7,9,18,25,6
2021,9,100,6,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2021,10,총,"140,625","1,311","2,318","8,866","16,958","6,417","1,474",861,"1,586",777,412,"1,556","2,737","1,460","1,751","3,363","12,560","3,117","21,843","3,828","4,397","1,323","1,167","1,480","9,232","20,286","9,545"
2021,10,0,"11,627",34,56,708,"3,059",440,29,19,32,7,8,39,66,40,61,207,965,172,"1,547",178,178,52,24,38,"1,045","1,772",851
2021,10,10,"15,327",51,102,"1,272","2,670",588,48,25,62,23,20,79,140,75,138,314,"1,279",275,"2,682",309,355,84,50,97,911,"2,463","1,215"
2021,10,20,"20,096",123,228,"1,651","1,693",697,92,54,117,40,31,112,240,181,185,577,"2,179",384,"3,579",508,603,161,114,206,"1,160","3,423","1,758"
2021,10,30,"17,002",55,157,"1,083","3,167",731,74,52,92,43,14,82,149,95,152,476,"1,484",344,"2,520",382,398,138,126,144,"1,244","2,607","1,193"
2021,10,40,"20,949",113,262,"1,424","3,467",898,139,79,148,80,34,134,319,143,218,412,"1,787",427,"3,267",534,566,145,159,194,"1,482","3,077","1,441"
2021,10,50,"24,849",304,525,"1,763","1,972","1,227",290,168,307,168,85,263,516,294,277,490,"2,094",594,"4,071",636,844,213,243,261,"1,519","3,827","1,898"
2021,10,60,"18,204",320,497,692,720,"1,061",331,244,365,195,104,408,630,332,358,443,"1,746",510,"2,862",664,746,239,243,279,"1,126","2,200",889
2021,10,70,"8,717",188,313,181,171,550,299,148,288,135,79,286,405,188,278,301,747,289,991,428,507,186,144,180,537,680,218
2021,10,80,"3,513",105,166,86,35,208,153,65,157,77,34,139,245,101,75,134,252,113,301,179,188,98,56,72,188,211,75
2021,10,90,336,18,12,6,4,17,19,7,18,6,3,13,26,11,9,9,27,9,23,10,12,7,8,9,20,26,7
2021,10,100,5,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,11,총,"140,550","1,316","2,317","8,839","16,944","6,438","1,473",862,"1,576",775,410,"1,554","2,736","1,457","1,746","3,362","12,555","3,117","21,845","3,819","4,394","1,313","1,157","1,481","9,249","20,256","9,559"
2021,11,0,"11,583",35,56,697,"3,051",438,27,19,31,6,8,40,67,39,61,206,968,169,"1,543",182,169,51,23,40,"1,045","1,767",845
2021,11,10,"15,321",51,103,"1,270","2,673",591,49,26,62,23,20,78,135,76,138,311,"1,284",280,"2,676",303,358,86,49,99,916,"2,447","1,217"
2021,11,20,"20,047",123,221,"1,633","1,702",705,91,52,115,37,29,113,246,180,182,580,"2,145",385,"3,582",500,612,160,113,203,"1,156","3,422","1,760"
2021,11,30,"16,959",56,158,"1,091","3,136",731,77,52,95,43,13,83,148,92,152,470,"1,493",346,"2,509",375,394,138,125,146,"1,244","2,591","1,201"
2021,11,40,"20,924",110,259,"1,424","3,467",898,140,79,146,81,34,133,314,142,218,415,"1,798",426,"3,256",537,564,144,159,191,"1,482","3,073","1,434"
2021,11,50,"24,848",306,529,"1,746","1,991","1,230",285,170,304,170,86,261,517,289,275,493,"2,090",591,"4,079",633,844,204,240,261,"1,528","3,821","1,905"
2021,11,60,"18,251",324,498,698,715,"1,071",331,242,364,199,104,407,633,337,354,442,"1,747",510,"2,872",670,746,236,239,279,"1,128","2,209",896
2021,11,70,"8,759",190,314,188,170,548,298,151,284,135,79,283,404,188,281,303,752,290,"1,004",427,507,188,145,182,538,687,223
2021,11,80,"3,520",103,167,86,35,208,157,63,157,75,34,141,246,103,76,133,251,112,301,182,187,99,56,71,192,213,72
2021,11,90,336,18,12,6,4,18,18,8,18,6,3,14,25,11,9,9,27,8,23,10,13,7,8,9,20,26,6
2021,11,100,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,12,총,"140,466","1,306","2,308","8,827","16,919","6,423","1,477",857,"1,563",766,412,"1,557","2,737","1,470","1,758","3,365","12,583","3,112","21,865","3,798","4,384","1,304","1,158","1,469","9,205","20,296","9,547"
2021,12,0,"11,554",35,55,696,"3,050",424,27,16,31,6,8,38,66,38,63,215,991,165,"1,547",177,170,50,25,41,"1,028","1,755",837
2021,12,10,"15,290",51,102,"1,266","2,669",590,49,26,61,21,19,79,135,76,132,308,"1,286",284,"2,672",305,351,86,47,96,913,"2,468","1,198"
2021,12,20,"19,978",116,218,"1,631","1,694",704,92,51,106,38,31,119,243,183,188,572,"2,128",383,"3,586",496,606,158,115,197,"1,131","3,421","1,771"
2021,12,30,"16,902",55,148,"1,088","3,103",732,77,50,92,42,14,83,151,92,155,470,"1,503",352,"2,495",368,395,134,127,143,"1,235","2,598","1,200"
2021,12,40,"20,940",110,258,"1,423","3,484",896,138,80,147,80,32,129,311,143,221,420,"1,799",417,"3,256",535,564,145,157,191,"1,478","3,085","1,441"
2021,12,50,"24,842",301,529,"1,745","1,990","1,224",284,171,302,165,88,263,518,293,276,486,"2,093",592,"4,095",626,836,200,237,260,"1,540","3,830","1,898"
2021,12,60,"18,292",323,506,692,716,"1,073",334,240,365,196,104,405,641,337,354,452,"1,747",508,"2,878",675,755,235,239,277,"1,130","2,210",900
2021,12,70,"8,779",189,311,194,172,551,301,150,280,136,80,285,403,192,282,299,760,292,"1,009",418,506,189,144,185,540,688,223
2021,12,80,"3,550",108,169,86,37,211,157,65,161,75,34,142,242,105,78,134,248,111,304,187,188,100,60,70,191,214,73
2021,12,90,337,18,12,6,4,18,18,8,18,7,2,13,26,11,9,9,28,8,23,11,13,7,7,9,19,27,6
2021,12,100,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
