년도,월,나이,부산광역시 해운대구,부산광역시 해운대구 우제1동,부산광역시 해운대구 우제2동,부산광역시 해운대구 우제3동,부산광역시 해운대구 중제1동,부산광역시 해운대구 중제2동,부산광역시 해운대구 좌제1동,부산광역시 해운대구 좌제2동,부산광역시 해운대구 좌제3동,부산광역시 해운대구 좌제4동,부산광역시 해운대구 송정동,부산광역시 해운대구 반여제1동,부산광역시 해운대구 반여제2동,부산광역시 해운대구 반여제3동,부산광역시 해운대구 반여제4동,부산광역시 해운대구 반송제1동,부산광역시 해운대구 반송제2동,부산광역시 해운대구 재송제1동,부산광역시 해운대구 재송제2동
2020,11,10,"38,243","1,611","3,153","3,126","2,389","1,153","2,069","2,918","1,844","3,046",507,"4,258",680,539,"1,592",793,"1,564","4,939","2,062"
2020,11,20,"49,217","3,066","3,564","2,924","3,323","1,697","2,825","5,097","1,998","3,010","1,208","4,281","1,491","1,009","2,152","1,665","2,487","4,181","3,239"
2020,11,30,"46,858","2,961","3,858","3,449","3,272","2,223","2,088","4,460","1,667","2,351","1,301","3,702","1,608",830,"2,048","1,177","2,066","4,876","2,921"
2020,11,40,"65,978","3,500","5,334","4,971","4,481","2,713","3,259","5,049","2,557","4,097","1,331","6,353","1,786","1,166","2,642","1,794","3,251","7,800","3,894"
2020,11,50,"70,483","3,885","5,399","4,836","4,564","2,774","3,167","5,767","3,017","4,332","1,728","6,326","2,482","1,755","3,028","2,786","4,329","5,506","4,802"
2020,11,60,"57,704","3,662","3,885","3,755","3,362","2,420","1,823","3,787","2,228","2,639","1,909","4,668","2,557","1,869","2,425","2,848","5,106","4,276","4,485"
2020,11,70,"30,733","2,155","2,094","1,837","1,851","1,129","1,071","1,954","1,195","1,366",966,"2,207","1,576","1,122","1,011","2,059","3,150","1,991","1,999"
2020,11,80,"12,904",794,887,772,788,407,617,"1,039",706,715,456,869,586,471,324,839,"1,268",652,714
2020,11,90,"1,698",109,145,109,85,62,76,124,94,98,66,132,58,50,43,103,163,94,87
2020,11,100,160,26,8,4,17,8,2,1,0,0,4,4,15,6,2,27,23,6,7
2020,12,총,"402,169","23,031","31,196","28,674","26,523","15,863","18,263","32,243","16,329","23,436","9,984","35,333","13,306","9,017","16,489","14,394","24,250","38,404","25,434"
2020,12,0,"28,511","1,305","2,873","2,868","2,065","1,248","1,255","2,077","1,093","1,758",509,"2,646",510,253,"1,292",378,955,"4,108","1,318"
2020,12,10,"38,150","1,599","3,167","3,133","2,431","1,151","2,055","2,915","1,837","3,038",500,"4,234",674,531,"1,582",783,"1,532","4,937","2,051"
2020,12,20,"49,068","3,051","3,532","2,884","3,377","1,696","2,837","5,100","1,983","3,004","1,203","4,246","1,481",991,"2,136","1,653","2,474","4,183","3,237"
2020,12,30,"46,789","2,981","3,850","3,481","3,326","2,234","2,097","4,468","1,648","2,362","1,284","3,709","1,587",823,"2,026","1,175","2,037","4,826","2,875"
2020,12,40,"65,829","3,474","5,328","4,970","4,556","2,718","3,240","5,031","2,535","4,092","1,333","6,319","1,778","1,155","2,628","1,772","3,207","7,802","3,891"
2020,12,50,"70,290","3,871","5,399","4,837","4,627","2,757","3,179","5,734","2,995","4,326","1,736","6,290","2,461","1,743","2,996","2,765","4,299","5,515","4,760"
2020,12,60,"57,902","3,657","3,914","3,775","3,385","2,446","1,820","3,798","2,234","2,671","1,919","4,669","2,574","1,881","2,445","2,834","5,117","4,278","4,485"
2020,12,70,"30,796","2,163","2,086","1,842","1,860","1,131","1,076","1,955","1,195","1,367",972,"2,210","1,574","1,118","1,015","2,062","3,168","1,999","2,003"
2020,12,80,"12,974",796,890,772,795,409,625,"1,042",715,721,460,871,594,466,324,841,"1,271",661,721
2020,12,90,"1,698",108,149,108,84,65,77,121,94,97,64,135,58,50,43,104,167,88,86
2020,12,100,162,26,8,4,17,8,2,2,0,0,4,4,15,6,2,27,23,7,7
2021,1,총,"401,710","22,935","31,265","28,751","26,699","15,899","18,263","32,221","16,302","23,417","10,006","35,187","13,224","8,965","16,452","14,307","24,118","38,340","25,359"
2021,1,0,"28,346","1,283","2,894","2,886","2,071","1,234","1,249","2,066","1,088","1,758",511,"2,602",499,246,"1,269",374,940,"4,073","1,303"
2021,1,10,"38,114","1,582","3,189","3,140","2,456","1,176","2,048","2,914","1,830","3,007",505,"4,221",673,528,"1,574",775,"1,517","4,937","2,042"
2021,1,20,"48,891","3,058","3,496","2,888","3,402","1,697","2,827","5,081","1,970","3,007","1,188","4,216","1,468",973,"2,131","1,625","2,449","4,176","3,239"
2021,1,30,"46,693","2,945","3,862","3,477","3,338","2,230","2,094","4,476","1,643","2,400","1,294","3,696","1,577",811,"2,014","1,164","2,011","4,800","2,861"
2021,1,40,"65,575","3,458","5,336","4,992","4,598","2,738","3,233","4,994","2,525","4,057","1,313","6,246","1,757","1,160","2,617","1,741","3,177","7,778","3,855"
2021,1,50,"70,207","3,848","5,405","4,822","4,666","2,759","3,181","5,718","2,991","4,315","1,749","6,288","2,436","1,733","2,998","2,763","4,263","5,525","4,747"
2021,1,60,"58,125","3,664","3,936","3,787","3,409","2,454","1,845","3,838","2,244","2,680","1,929","4,681","2,578","1,883","2,462","2,826","5,122","4,278","4,509"
2021,1,70,"30,799","2,155","2,084","1,859","1,860","1,128","1,073","1,962","1,199","1,362",982,"2,220","1,563","1,105","1,021","2,060","3,163","2,020","1,983"
2021,1,80,"13,061",803,902,782,794,410,632,"1,044",715,736,464,876,601,469,321,849,"1,280",657,726
2021,1,90,"1,736",113,153,114,88,66,79,126,97,95,67,137,57,51,43,103,173,88,86
2021,1,100,163,26,8,4,17,7,2,2,0,0,4,4,15,6,2,27,23,8,8
2021,2,총,"401,280","22,851","31,306","28,778","26,787","15,941","18,263","32,244","16,285","23,421","9,957","35,107","13,134","8,962","16,395","14,273","24,037","38,275","25,264"
2021,2,0,"28,293","1,276","2,900","2,897","2,079","1,240","1,255","2,067","1,083","1,770",507,"2,597",496,246,"1,253",371,921,"4,042","1,293"
2021,2,10,"37,932","1,571","3,170","3,128","2,454","1,197","2,024","2,921","1,822","2,984",509,"4,223",648,520,"1,570",761,"1,496","4,918","2,016"
2021,2,20,"48,580","3,018","3,509","2,871","3,395","1,693","2,814","5,040","1,949","2,992","1,171","4,150","1,446",983,"2,109","1,632","2,432","4,158","3,218"
2021,2,30,"46,432","2,945","3,841","3,465","3,340","2,233","2,082","4,476","1,622","2,409","1,271","3,676","1,575",808,"1,976","1,156","1,986","4,732","2,839"
2021,2,40,"65,584","3,449","5,352","5,019","4,615","2,756","3,240","4,990","2,523","4,052","1,321","6,236","1,737","1,157","2,622","1,735","3,156","7,780","3,844"
