년도,월,나이,서초구,서초1동,서초2동,서초3동,서초4동,잠원동,반포본동,반포1동,반포2동,반포3동,반포4동,방배본동,방배1동,방배2동,방배3동,방배4동,양재1동,양재2동,내곡동
2021,4,10,"44,925","1,924","1,972","2,828","4,201","3,392","1,811","3,516","2,793","2,964","2,159","2,732","1,320","1,616","1,885","2,615","4,285","1,593","1,319"
2021,4,20,"54,113","2,775","3,093","5,346","3,539","3,558","1,451","4,121","1,333","2,494","2,236","2,658","2,455","2,786","2,583","3,121","5,320","3,334","1,910"
2021,4,30,"61,953","3,537","4,382","5,523","3,562","3,732",841,"5,351","1,476","2,602","2,573","2,399","2,933","3,066","2,779","3,510","6,595","4,421","2,671"
2021,4,40,"76,336","3,783","4,028","5,072","6,321","5,335","2,074","6,596","3,644","4,529","3,566","3,918","2,768","3,040","3,055","4,268","7,610","3,694","3,035"
2021,4,50,"63,090","2,984","2,932","4,915","4,810","4,613","2,138","4,178","2,147","3,546","2,886","3,435","2,432","3,099","3,335","3,590","6,238","3,352","2,460"
2021,4,60,"47,874","2,370","2,122","3,727","3,058","2,853","1,240","3,016","1,346","2,249","2,325","2,274","2,128","2,871","3,051","2,412","5,700","2,637","2,495"
2021,4,70,"27,308","1,341","1,233","2,185","1,858","1,399",945,"1,628",914,"1,340","1,245","1,329","1,318","1,633","1,572","1,619","3,000","1,291","1,458"
2021,4,80,"9,913",482,374,800,728,596,318,526,323,515,426,615,480,522,571,686,"1,038",384,529
2021,4,90,"1,764",88,68,135,124,117,39,90,47,101,94,105,70,94,105,82,223,90,92
2021,4,100,143,0,7,9,22,17,6,8,10,18,3,5,6,5,4,3,5,5,10
2021,5,총,"419,121","20,761","22,104","32,299","31,143","27,479","11,202","32,097","15,794","22,304","19,127","20,878","17,012","19,843","19,752","23,536","43,732","22,200","17,858"
2021,5,0,"32,658","1,454","1,901","1,741","2,946","2,068",513,"2,995","1,791","1,963","1,656","1,471","1,120","1,132","1,232","1,631","3,734","1,393","1,917"
2021,5,10,"44,888","1,927","1,968","2,827","4,190","3,386","1,757","3,531","2,795","2,954","2,176","2,732","1,323","1,623","1,849","2,620","4,304","1,593","1,333"
2021,5,20,"53,823","2,795","3,078","5,365","3,542","3,507","1,440","4,106","1,319","2,494","2,205","2,651","2,435","2,774","2,496","3,118","5,274","3,333","1,891"
2021,5,30,"61,561","3,519","4,380","5,524","3,538","3,677",815,"5,343","1,475","2,579","2,553","2,374","2,932","3,060","2,687","3,474","6,585","4,404","2,642"
2021,5,40,"76,074","3,790","4,015","5,061","6,287","5,291","2,015","6,612","3,630","4,531","3,564","3,879","2,755","3,017","3,002","4,278","7,612","3,685","3,050"
2021,5,50,"63,083","2,999","2,935","4,907","4,826","4,587","2,117","4,204","2,141","3,545","2,887","3,463","2,445","3,109","3,261","3,598","6,231","3,372","2,456"
2021,5,60,"48,010","2,369","2,138","3,743","3,077","2,871","1,249","3,041","1,350","2,265","2,320","2,275","2,127","2,885","2,996","2,428","5,734","2,649","2,493"
2021,5,70,"27,226","1,332","1,233","2,184","1,858","1,393",938,"1,628",913,"1,341","1,249","1,319","1,310","1,622","1,553","1,615","2,997","1,288","1,453"
2021,5,80,"9,922",486,381,803,740,577,313,537,327,511,422,606,490,521,569,688,"1,035",388,528
2021,5,90,"1,758",89,68,136,123,116,39,92,45,103,92,103,70,95,103,83,221,90,90
2021,5,100,118,1,7,8,16,6,6,8,8,18,3,5,5,5,4,3,5,5,5
2021,6,총,"418,407","20,763","22,222","32,376","31,110","27,233","10,469","32,928","15,776","22,321","19,065","20,837","17,007","19,787","19,279","23,531","43,690","22,181","17,832"
2021,6,0,"32,547","1,434","1,915","1,744","2,926","2,055",479,"3,111","1,770","1,951","1,633","1,453","1,117","1,127","1,217","1,620","3,700","1,393","1,902"
2021,6,10,"44,845","1,941","1,978","2,826","4,174","3,353","1,642","3,609","2,798","2,970","2,171","2,720","1,331","1,633","1,811","2,624","4,328","1,588","1,348"
2021,6,20,"53,637","2,794","3,064","5,392","3,552","3,470","1,344","4,162","1,332","2,494","2,211","2,652","2,436","2,743","2,397","3,108","5,263","3,326","1,897"
2021,6,30,"61,166","3,503","4,391","5,538","3,513","3,616",764,"5,425","1,447","2,549","2,524","2,356","2,904","3,039","2,593","3,462","6,526","4,406","2,610"
2021,6,40,"76,005","3,793","4,060","5,065","6,267","5,247","1,866","6,795","3,626","4,546","3,548","3,855","2,756","3,012","2,965","4,281","7,603","3,668","3,052"
2021,6,50,"62,969","3,003","2,937","4,931","4,838","4,563","2,010","4,329","2,142","3,549","2,884","3,478","2,433","3,093","3,158","3,596","6,224","3,363","2,438"
2021,6,60,"48,173","2,378","2,184","3,746","3,099","2,860","1,163","3,159","1,360","2,273","2,325","2,291","2,141","2,882","2,931","2,439","5,764","2,668","2,510"
2021,6,70,"27,201","1,334","1,230","2,187","1,855","1,375",861,"1,688",912,"1,354","1,247","1,318","1,313","1,627","1,537","1,614","3,016","1,287","1,446"
2021,6,80,"9,991",494,388,807,745,571,297,547,337,520,426,606,501,531,568,698,"1,033",388,534
2021,6,90,"1,761",88,68,132,125,117,37,95,44,104,93,102,70,95,98,86,228,89,90
2021,6,100,112,1,7,8,16,6,6,8,8,11,3,6,5,5,4,3,5,5,5
2021,7,총,"418,294","20,698","23,900","32,425","30,990","27,005","8,892","33,780","15,750","22,279","19,004","20,832","17,005","19,724","19,019","23,501","43,557","22,164","17,769"
2021,7,0,"32,536","1,419","2,072","1,748","2,916","2,021",414,"3,224","1,746","1,933","1,620","1,437","1,110","1,119","1,231","1,611","3,636","1,393","1,886"
2021,7,10,"44,898","1,930","2,194","2,828","4,153","3,351","1,373","3,739","2,810","2,972","2,173","2,737","1,331","1,617","1,789","2,625","4,356","1,584","1,336"
2021,7,20,"53,490","2,804","3,214","5,440","3,525","3,439","1,145","4,207","1,325","2,475","2,203","2,641","2,425","2,720","2,350","3,087","5,244","3,343","1,903"
2021,7,30,"61,001","3,504","4,564","5,549","3,495","3,546",672,"5,523","1,416","2,520","2,501","2,354","2,901","3,043","2,527","3,449","6,463","4,383","2,591"
2021,7,40,"76,130","3,769","4,436","5,068","6,229","5,215","1,595","6,980","3,627","4,528","3,533","3,852","2,766","2,998","2,925","4,294","7,594","3,679","3,042"
2021,7,50,"62,960","2,992","3,175","4,925","4,824","4,553","1,714","4,457","2,151","3,571","2,883","3,471","2,428","3,073","3,136","3,603","6,227","3,345","2,432"
2021,7,60,"48,264","2,375","2,408","3,748","3,106","2,836",961,"3,245","1,361","2,275","2,326","2,301","2,147","2,890","2,893","2,434","5,759","2,676","2,523"
2021,7,70,"27,121","1,316","1,346","2,169","1,850","1,354",725,"1,736",923,"1,364","1,238","1,317","1,317","1,628","1,500","1,604","3,014","1,285","1,435"
2021,7,80,"10,024",499,415,811,751,570,257,562,339,524,436,611,503,537,566,701,"1,028",386,528
2021,7,90,"1,758",89,69,131,125,114,30,99,44,106,88,104,72,94,98,90,230,86,89
2021,7,100,112,1,7,8,16,6,6,8,8,11,3,7,5,5,4,3,6,4,4
2021,8,총,"417,568","20,616","25,170","32,437","30,910","26,845","7,125","34,007","15,737","22,205","19,053","20,859","16,916","19,708","19,266","23,508","43,356","22,157","17,693"
2021,8,0,"32,470","1,399","2,229","1,756","2,890","2,003",331,"3,247","1,736","1,902","1,626","1,439","1,096","1,122","1,284","1,600","3,573","1,384","1,853"
2021,8,10,"44,778","1,918","2,316","2,837","4,130","3,341","1,098","3,761","2,813","2,978","2,180","2,747","1,317","1,624","1,839","2,646","4,330","1,586","1,317"
2021,8,20,"53,378","2,842","3,383","5,468","3,511","3,394",926,"4,214","1,328","2,452","2,209","2,649","2,382","2,684","2,377","3,074","5,210","3,372","1,903"
2021,8,30,"60,785","3,479","4,757","5,535","3,480","3,504",563,"5,569","1,382","2,477","2,507","2,350","2,878","3,041","2,518","3,409","6,412","4,358","2,566"
2021,8,40,"75,997","3,731","4,660","5,056","6,205","5,192","1,296","7,026","3,617","4,516","3,545","3,861","2,744","2,999","2,964","4,318","7,567","3,669","3,031"
2021,8,50,"62,894","2,973","3,361","4,925","4,832","4,537","1,374","4,488","2,170","3,579","2,883","3,481","2,444","3,061","3,206","3,593","6,226","3,341","2,420"
2021,8,60,"48,304","2,377","2,523","3,746","3,105","2,825",789,"3,274","1,374","2,283","2,327","2,296","2,149","2,892","2,905","2,464","5,753","2,685","2,537"
2021,8,70,"27,045","1,311","1,410","2,166","1,859","1,362",526,"1,756",922,"1,368","1,248","1,315","1,321","1,635","1,496","1,602","3,022","1,287","1,439"
2021,8,80,"10,059",495,455,815,753,572,192,562,341,532,438,611,511,551,572,706,"1,031",387,535
2021,8,90,"1,746",90,69,125,129,109,24,102,46,107,87,103,69,94,101,93,226,84,88
2021,8,100,112,1,7,8,16,6,6,8,8,11,3,7,5,5,4,3,6,4,4
2021,9,총,"416,285","20,621","25,645","32,482","30,876","26,821","5,725","34,208","15,740","22,175","19,083","20,862","16,953","19,639","18,879","23,498","43,303","22,056","17,719"
2021,9,0,"32,335","1,396","2,286","1,763","2,862","1,997",255,"3,278","1,723","1,875","1,621","1,422","1,090","1,113","1,340","1,582","3,529","1,357","1,846"
2021,9,10,"44,741","1,918","2,367","2,827","4,149","3,348",896,"3,786","2,824","3,007","2,188","2,769","1,326","1,630","1,818","2,657","4,339","1,572","1,320"
2021,9,20,"53,017","2,851","3,429","5,490","3,506","3,396",749,"4,206","1,323","2,418","2,221","2,640","2,372","2,641","2,293","3,055","5,203","3,335","1,889"
2021,9,30,"60,534","3,478","4,850","5,545","3,456","3,449",444,"5,624","1,371","2,451","2,493","2,345","2,870","3,024","2,490","3,384","6,366","4,331","2,563"
2021,9,40,"75,792","3,726","4,767","5,062","6,182","5,191","1,055","7,058","3,607","4,521","3,552","3,865","2,749","2,991","2,924","4,317","7,546","3,656","3,023"
2021,9,50,"62,769","2,983","3,397","4,913","4,846","4,561","1,132","4,523","2,194","3,588","2,882","3,479","2,459","3,065","3,091","3,621","6,249","3,338","2,448"
2021,9,60,"48,240","2,379","2,575","3,757","3,115","2,830",612,"3,289","1,378","2,300","2,344","2,301","2,175","2,883","2,797","2,469","5,788","2,705","2,543"
2021,9,70,"26,907","1,302","1,432","2,169","1,857","1,363",398,"1,764",922,"1,356","1,249","1,317","1,326","1,641","1,460","1,608","3,018","1,285","1,440"
2021,9,80,"10,096",497,464,821,761,566,158,569,344,542,442,615,511,551,563,710,"1,034",392,556
2021,9,90,"1,738",90,71,126,126,113,20,102,46,106,88,102,70,95,99,92,224,81,87
2021,9,100,116,1,7,9,16,7,6,9,8,11,3,7,5,5,4,3,7,4,4
2021,10,총,"415,083","20,593","25,933","32,450","30,900","26,813","4,343","34,332","15,728","22,175","19,149","20,908","16,908","19,619","18,812","23,486","43,239","22,035","17,660"
2021,10,0,"32,177","1,374","2,331","1,759","2,855","1,996",198,"3,267","1,723","1,867","1,614","1,416","1,070","1,124","1,317","1,584","3,503","1,340","1,839"
2021,10,10,"44,701","1,910","2,395","2,798","4,145","3,358",703,"3,802","2,829","3,014","2,213","2,812","1,324","1,640","1,840","2,671","4,339","1,582","1,326"
2021,10,20,"52,702","2,844","3,435","5,498","3,496","3,376",572,"4,222","1,323","2,408","2,225","2,633","2,356","2,613","2,268","3,045","5,179","3,345","1,864"
2021,10,30,"60,157","3,471","4,908","5,532","3,447","3,422",334,"5,629","1,340","2,454","2,477","2,339","2,863","3,005","2,466","3,339","6,333","4,275","2,523"
2021,10,40,"75,528","3,713","4,797","5,039","6,174","5,163",795,"7,067","3,617","4,490","3,585","3,871","2,739","3,004","2,925","4,320","7,522","3,672","3,035"
2021,10,50,"62,800","2,996","3,451","4,937","4,874","4,589",883,"4,555","2,204","3,617","2,924","3,486","2,462","3,062","3,097","3,652","6,232","3,349","2,430"
2021,10,60,"48,183","2,392","2,615","3,762","3,136","2,852",443,"3,315","1,375","2,308","2,333","2,301","2,173","2,879","2,785","2,461","5,810","2,699","2,544"
2021,10,70,"26,852","1,306","1,449","2,162","1,861","1,367",284,"1,786",918,"1,351","1,239","1,312","1,334","1,644","1,453","1,608","3,032","1,293","1,453"
2021,10,80,"10,137",494,472,830,771,570,114,579,347,549,448,629,511,551,561,710,"1,050",396,555
2021,10,90,"1,737",92,75,123,125,113,13,101,46,106,88,102,71,93,96,94,232,80,87
2021,10,100,109,1,5,10,16,7,4,9,6,11,3,7,5,4,4,2,7,4,4
2021,11,총,"413,363","20,563","26,124","32,400","30,876","26,774","2,810","34,358","15,750","22,166","19,159","20,915","16,893","19,499","18,786","23,530","43,170","21,967","17,623"
2021,11,0,"31,915","1,364","2,339","1,751","2,813","1,963",134,"3,259","1,707","1,856","1,626","1,405","1,073","1,118","1,319","1,582","3,458","1,325","1,823"
2021,11,10,"44,569","1,890","2,415","2,816","4,162","3,377",466,"3,826","2,834","3,025","2,207","2,819","1,330","1,611","1,845","2,698","4,356","1,560","1,332"
2021,11,20,"52,284","2,832","3,482","5,463","3,509","3,365",340,"4,198","1,333","2,405","2,215","2,617","2,344","2,584","2,253","3,039","5,123","3,323","1,859"
2021,11,30,"59,772","3,458","4,929","5,486","3,400","3,401",226,"5,615","1,320","2,439","2,481","2,329","2,836","2,999","2,467","3,325","6,329","4,253","2,479"
2021,11,40,"75,310","3,713","4,829","5,066","6,183","5,141",551,"7,073","3,617","4,474","3,577","3,872","2,736","2,994","2,909","4,326","7,527","3,676","3,046"
2021,11,50,"62,606","3,018","3,491","4,941","4,886","4,582",533,"4,574","2,224","3,626","2,943","3,510","2,483","3,029","3,094","3,677","6,230","3,344","2,421"
2021,11,60,"48,117","2,386","2,629","3,753","3,136","2,871",294,"3,338","1,378","2,319","2,333","2,316","2,165","2,881","2,770","2,457","5,826","2,703","2,562"
2021,11,70,"26,781","1,308","1,459","2,153","1,870","1,380",187,"1,787",928,"1,352","1,234","1,302","1,340","1,634","1,462","1,612","3,017","1,301","1,455"
2021,11,80,"10,174",500,469,836,781,574,68,583,357,555,452,636,510,553,566,719,"1,065",398,552
2021,11,90,"1,738",93,77,125,127,112,7,97,47,106,88,102,71,92,97,94,233,81,89
2021,11,100,97,1,5,10,9,8,4,8,5,9,3,7,5,4,4,1,6,3,5
2021,12,총,"412,279","20,524","26,237","32,437","30,833","26,771","1,969","34,464","15,707","22,190","19,177","20,907","16,848","19,347","18,783","23,524","43,074","21,927","17,560"
2021,12,0,"31,699","1,340","2,354","1,742","2,800","1,943",99,"3,293","1,682","1,848","1,630","1,401","1,075","1,100","1,307","1,567","3,412","1,306","1,800"
2021,12,10,"44,477","1,886","2,428","2,817","4,149","3,398",317,"3,840","2,850","3,056","2,221","2,817","1,315","1,602","1,850","2,720","4,334","1,552","1,325"
2021,12,20,"52,009","2,820","3,486","5,446","3,488","3,368",237,"4,197","1,331","2,388","2,197","2,610","2,319","2,559","2,249","3,015","5,123","3,317","1,859"
2021,12,30,"59,545","3,466","4,948","5,504","3,399","3,393",161,"5,612","1,301","2,421","2,464","2,336","2,829","2,959","2,449","3,298","6,302","4,254","2,449"
2021,12,40,"75,078","3,691","4,861","5,068","6,157","5,114",380,"7,103","3,600","4,483","3,594","3,870","2,730","3,008","2,926","4,319","7,484","3,661","3,029"
2021,12,50,"62,579","3,017","3,509","4,965","4,909","4,606",371,"4,583","2,229","3,652","2,963","3,502","2,485","2,983","3,100","3,697","6,239","3,330","2,439"
2021,12,60,"48,095","2,395","2,646","3,760","3,136","2,874",211,"3,348","1,383","2,313","2,326","2,320","2,163","2,857","2,776","2,471","5,845","2,716","2,555"
2021,12,70,"26,738","1,315","1,450","2,152","1,872","1,373",129,"1,794",924,"1,357","1,236","1,299","1,348","1,628","1,457","1,618","3,021","1,306","1,459"
2021,12,80,"10,219",497,474,843,785,584,54,590,355,557,457,640,508,558,565,724,"1,075",402,551
2021,12,90,"1,747",96,78,130,130,110,6,97,47,106,87,105,71,89,100,94,232,80,89
2021,12,100,93,1,3,10,8,8,4,7,5,9,2,7,5,4,4,1,7,3,5
