년도,월,나이,대구광역시 달성군,대구광역시 달성군 화원읍,대구광역시 달성군 논공읍,대구광역시 달성군 논공읍공단출장소,대구광역시 달성군 다사읍,대구광역시 달성군 다사읍서재출장소,대구광역시 달성군 유가읍,대구광역시 달성군 옥포읍,대구광역시 달성군 현풍읍,대구광역시 달성군 가창면,대구광역시 달성군 하빈면,대구광역시 달성군 구지면
2021,5,20,"12,982","2,823",205,726,"2,601","1,867","1,100","1,235","1,340",273,109,703
2021,5,30,"19,601","2,406",248,623,"3,532","4,070","3,058","1,899","1,830",313,112,"1,510"
2021,5,40,"20,992","3,602",203,"1,143","4,847","3,312","2,920","1,718","1,597",425,111,"1,114"
2021,5,50,"20,464","4,975",424,"1,381","4,114","2,515","1,457","2,184","1,571",638,334,871
2021,5,60,"15,759","3,687",397,788,"2,820","1,561","1,113","1,976","1,379",860,362,816
2021,5,70,"7,611","1,784",263,385,"1,218",592,434,947,771,519,260,438
2021,5,80,"4,352",869,188,244,560,262,254,499,473,421,251,331
2021,5,90,673,131,32,33,91,39,39,64,61,86,43,54
2021,5,100,18,4,1,3,1,2,2,0,2,1,1,1
2021,6,총,"128,303","23,972","2,188","6,362","25,512","18,964","14,581","12,588","11,013","3,949","1,708","7,466"
2021,6,0,"14,233","1,542",136,395,"2,850","3,035","2,524","1,237","1,176",188,59,"1,091"
2021,6,10,"11,537","2,141",85,643,"2,861","1,700","1,686",830,811,222,62,496
2021,6,20,"12,913","2,813",203,725,"2,592","1,850","1,087","1,220","1,342",274,107,700
2021,6,30,"19,553","2,394",252,614,"3,519","4,060","3,049","1,889","1,835",304,114,"1,523"
2021,6,40,"21,054","3,597",207,"1,142","4,854","3,323","2,934","1,728","1,587",430,112,"1,140"
2021,6,50,"20,407","4,964",419,"1,380","4,102","2,502","1,450","2,188","1,571",631,330,870
2021,6,60,"15,910","3,721",403,796,"2,856","1,596","1,117","1,987","1,380",865,369,820
2021,6,70,"7,630","1,789",262,387,"1,223",595,435,946,779,519,259,436
2021,6,80,"4,378",877,190,245,562,262,259,496,472,427,253,335
2021,6,90,670,130,30,32,92,39,38,67,58,88,42,54
2021,6,100,18,4,1,3,1,2,2,0,2,1,1,1
2021,7,총,"128,491","23,923","2,193","6,308","25,485","18,964","14,553","12,573","10,970","3,943","1,699","7,880"
2021,7,0,"14,258","1,538",141,385,"2,826","3,030","2,523","1,232","1,163",192,58,"1,170"
2021,7,10,"11,574","2,125",84,631,"2,867","1,719","1,683",835,814,219,62,535
2021,7,20,"12,868","2,796",199,716,"2,583","1,836","1,082","1,203","1,330",272,104,747
2021,7,30,"19,504","2,373",255,605,"3,479","4,027","3,023","1,887","1,826",298,110,"1,621"
2021,7,40,"21,122","3,571",206,"1,123","4,855","3,345","2,940","1,728","1,582",435,114,"1,223"
2021,7,50,"20,411","4,965",417,"1,381","4,111","2,496","1,442","2,176","1,558",624,326,915
2021,7,60,"16,015","3,754",407,801,"2,867","1,604","1,131","1,998","1,381",869,368,835
2021,7,70,"7,650","1,789",263,386,"1,237",598,432,947,785,514,262,437
2021,7,80,"4,406",877,189,247,567,269,258,500,472,431,253,343
2021,7,90,667,131,31,30,92,38,37,67,58,88,41,54
2021,7,100,16,4,1,3,1,2,2,0,1,1,1,0
2021,8,총,"128,866","23,906","2,202","6,249","25,508","18,971","14,550","12,566","10,896","3,943","1,692","8,383"
2021,8,0,"14,234","1,516",144,378,"2,797","3,012","2,510","1,219","1,155",191,52,"1,260"
2021,8,10,"11,613","2,117",86,619,"2,872","1,729","1,693",841,807,220,61,568
2021,8,20,"12,883","2,809",201,712,"2,587","1,831","1,074","1,197","1,300",271,101,800
2021,8,30,"19,509","2,346",252,591,"3,462","4,004","3,003","1,871","1,813",301,109,"1,757"
2021,8,40,"21,198","3,548",214,"1,102","4,866","3,365","2,947","1,732","1,580",432,113,"1,299"
2021,8,50,"20,481","4,969",416,"1,379","4,122","2,495","1,452","2,170","1,550",623,321,984
