년도,월,나이,서울특별시 양천구,서울특별시 양천구 목1동,서울특별시 양천구 목2동,서울특별시 양천구 목3동,서울특별시 양천구 목4동,서울특별시 양천구 목5동,서울특별시 양천구 신월1동,서울특별시 양천구 신월2동,서울특별시 양천구 신월3동,서울특별시 양천구 신월4동,서울특별시 양천구 신월5동,서울특별시 양천구 신월6동,서울특별시 양천구 신월7동,서울특별시 양천구 신정1동,서울특별시 양천구 신정2동,서울특별시 양천구 신정3동,서울특별시 양천구 신정4동,서울특별시 양천구 신정6동,서울특별시 양천구 신정7동
2021,7,총,"229,616","16,113","15,403","11,536","13,105","20,845","10,059","10,638","7,277","9,276","7,479","7,008","10,281","10,501","9,984","25,457","16,791","12,724","15,139"
2021,7,0,"14,837","1,414",804,608,703,"1,513",451,672,362,711,461,705,472,859,643,"1,807",725,984,943
2021,7,10,"23,879","2,533","1,157",689,"1,510","3,331",633,893,537,751,582,622,643,"1,424","1,413","2,730","1,102","1,729","1,600"
2021,7,20,"28,777","1,666","2,486","1,799","1,925","2,079","1,269","1,261",942,"1,032","1,054",783,"1,222","1,173","1,177","2,984","2,762","1,505","1,658"
2021,7,30,"28,610","1,816","2,571","2,007","1,364","2,110","1,212","1,426",891,"1,193",962,"1,278","1,204","1,121",926,"3,127","2,296","1,494","1,612"
2021,7,40,"40,466","3,716","2,380","1,652","2,447","4,933","1,427","1,603",969,"1,497","1,129","1,076","1,409","2,129","2,003","4,353","2,549","2,568","2,626"
2021,7,50,"38,280","2,362","2,534","1,932","2,479","3,239","1,771","1,663","1,290","1,462","1,297","1,043","1,808","1,699","1,712","4,358","2,780","2,224","2,627"
2021,7,60,"31,107","1,552","2,068","1,659","1,431","2,228","1,858","1,813","1,188","1,496","1,165",924,"1,860","1,179","1,151","3,405","2,592","1,387","2,151"
2021,7,70,"15,257",675,895,728,812,829,978,901,743,734,552,401,"1,033",557,610,"1,753","1,404",489,"1,163"
2021,7,80,"7,074",316,438,398,367,467,375,337,311,352,232,147,553,283,290,789,500,273,646
2021,7,90,"1,275",61,67,60,61,112,81,67,42,45,45,25,77,75,55,145,77,70,110
2021,7,100,54,2,3,4,6,4,4,2,2,3,0,4,0,2,4,6,4,1,3
2021,8,총,"229,182","16,079","15,384","11,503","13,054","20,804","10,028","10,632","7,271","9,256","7,452","7,015","10,226","10,486","9,973","25,446","16,794","12,684","15,095"
2021,8,0,"14,723","1,404",795,598,691,"1,510",452,666,360,706,452,706,467,855,639,"1,801",720,967,934
2021,8,10,"23,806","2,541","1,168",682,"1,502","3,315",626,887,533,754,573,620,632,"1,429","1,406","2,714","1,097","1,728","1,599"
2021,8,20,"28,650","1,665","2,483","1,789","1,912","2,061","1,256","1,274",935,"1,020","1,045",787,"1,202","1,168","1,170","2,981","2,782","1,477","1,643"
2021,8,30,"28,464","1,790","2,552","2,004","1,361","2,091","1,205","1,409",892,"1,181",957,"1,279","1,209","1,105",928,"3,112","2,291","1,489","1,609"
2021,8,40,"40,328","3,702","2,381","1,644","2,424","4,934","1,418","1,596",966,"1,498","1,126","1,077","1,381","2,126","2,000","4,337","2,544","2,571","2,603"
2021,8,50,"38,252","2,359","2,535","1,942","2,474","3,227","1,764","1,677","1,292","1,457","1,287","1,034","1,805","1,688","1,717","4,371","2,773","2,221","2,629"
2021,8,60,"31,236","1,550","2,075","1,660","1,435","2,251","1,864","1,818","1,193","1,506","1,179",926,"1,869","1,196","1,154","3,417","2,592","1,401","2,150"
2021,8,70,"15,275",676,888,722,817,829,985,900,744,733,553,407,"1,030",561,609,"1,764","1,406",486,"1,165"
2021,8,80,"7,110",327,439,397,370,466,372,335,312,352,233,150,551,280,293,799,508,274,652
2021,8,90,"1,284",63,65,61,61,116,82,67,43,46,47,25,80,76,54,144,77,69,108
2021,8,100,54,2,3,4,7,4,4,3,1,3,0,4,0,2,3,6,4,1,3
2021,9,총,"228,935","16,047","15,390","11,488","13,013","20,794","9,989","10,605","7,251","9,258","7,409","7,033","10,201","10,491","9,980","25,446","16,795","12,658","15,087"
2021,9,0,"14,597","1,379",778,596,672,"1,509",445,657,355,701,445,711,463,860,639,"1,785",715,963,924
2021,9,10,"23,780","2,544","1,170",678,"1,499","3,315",622,881,530,758,568,616,619,"1,418","1,411","2,715","1,104","1,728","1,604"
2021,9,20,"28,588","1,654","2,487","1,776","1,904","2,058","1,242","1,266",939,"1,019","1,032",792,"1,194","1,172","1,166","2,978","2,789","1,467","1,653"
2021,9,30,"28,377","1,787","2,566","2,008","1,352","2,075","1,194","1,402",882,"1,191",955,"1,279","1,212","1,097",916,"3,095","2,288","1,487","1,591"
2021,9,40,"40,212","3,679","2,367","1,631","2,417","4,929","1,409","1,581",965,"1,482","1,115","1,073","1,373","2,131","2,015","4,355","2,540","2,548","2,602"
2021,9,50,"38,261","2,372","2,530","1,951","2,478","3,238","1,760","1,692","1,287","1,459","1,283","1,037","1,802","1,690","1,703","4,367","2,764","2,221","2,627"
2021,9,60,"31,336","1,558","2,089","1,660","1,438","2,259","1,863","1,816","1,198","1,515","1,175",937,"1,873","1,203","1,170","3,436","2,586","1,413","2,147"
2021,9,70,"15,303",682,888,725,813,831,996,907,744,735,546,407,"1,027",559,610,"1,766","1,414",489,"1,164"
2021,9,80,"7,138",324,441,396,374,463,376,333,310,347,244,153,557,283,292,802,513,270,660
2021,9,90,"1,283",66,71,62,57,112,78,67,40,48,46,24,80,75,55,141,78,71,112
2021,9,100,60,2,3,5,9,5,4,3,1,3,0,4,1,3,3,6,4,1,3
2021,10,총,"228,772","16,035","15,370","11,479","12,994","20,806","9,994","10,593","7,234","9,215","7,387","7,074","10,185","10,485","9,972","25,430","16,786","12,671","15,062"
2021,10,0,"14,523","1,372",762,594,669,"1,516",442,656,352,683,432,722,461,855,640,"1,771",713,954,929
2021,10,10,"23,754","2,538","1,165",682,"1,491","3,318",623,878,531,758,566,622,615,"1,416","1,409","2,710","1,095","1,736","1,601"
2021,10,20,"28,472","1,657","2,480","1,750","1,904","2,051","1,257","1,262",922,"1,018","1,027",791,"1,192","1,167","1,160","2,953","2,779","1,460","1,642"
2021,10,30,"28,377","1,774","2,567","2,017","1,363","2,071","1,192","1,384",885,"1,180",957,"1,290","1,216","1,088",910,"3,113","2,298","1,485","1,587"
2021,10,40,"40,076","3,674","2,362","1,623","2,407","4,925","1,399","1,592",948,"1,470","1,101","1,080","1,354","2,128","2,020","4,320","2,532","2,553","2,588"
2021,10,50,"38,323","2,379","2,528","1,949","2,475","3,255","1,760","1,697","1,288","1,455","1,285","1,038","1,801","1,706","1,680","4,392","2,771","2,232","2,632"
2021,10,60,"31,372","1,561","2,088","1,668","1,437","2,260","1,862","1,814","1,206","1,514","1,178",945,"1,871","1,201","1,182","3,443","2,580","1,418","2,144"
2021,10,70,"15,386",688,900,731,811,837,"1,001",905,753,737,550,406,"1,034",566,613,"1,780","1,421",491,"1,162"
2021,10,80,"7,130",323,443,396,367,456,374,338,309,349,245,152,557,281,296,800,515,271,658
2021,10,90,"1,303",68,73,64,61,114,79,64,39,48,46,24,82,74,60,142,80,69,116
2021,10,100,56,1,2,5,9,3,5,3,1,3,0,4,2,3,2,6,2,2,3
2021,11,총,"228,455","16,002","15,372","11,441","12,972","20,790","9,971","10,586","7,202","9,174","7,367","7,086","10,143","10,480","9,958","25,478","16,785","12,652","14,996"
2021,11,0,"14,432","1,371",762,593,658,"1,497",432,653,355,671,420,718,451,857,632,"1,783",707,953,919
2021,11,10,"23,704","2,534","1,164",676,"1,477","3,329",624,879,516,762,564,632,602,"1,408","1,420","2,709","1,093","1,736","1,579"
2021,11,20,"28,328","1,639","2,468","1,746","1,899","2,031","1,249","1,267",924,"1,000","1,023",789,"1,188","1,153","1,145","2,951","2,777","1,456","1,623"
2021,11,30,"28,342","1,761","2,592","1,994","1,367","2,074","1,187","1,365",879,"1,169",960,"1,281","1,218","1,090",907,"3,119","2,306","1,486","1,587"
2021,11,40,"40,013","3,665","2,345","1,628","2,406","4,914","1,400","1,605",943,"1,465","1,099","1,079","1,351","2,134","2,015","4,316","2,530","2,540","2,578"
2021,11,50,"38,291","2,381","2,537","1,943","2,465","3,265","1,751","1,680","1,282","1,452","1,281","1,055","1,789","1,709","1,684","4,397","2,772","2,219","2,629"
2021,11,60,"31,435","1,564","2,085","1,665","1,445","2,269","1,875","1,824","1,205","1,514","1,182",947,"1,877","1,200","1,181","3,458","2,575","1,429","2,140"
2021,11,70,"15,415",692,908,736,813,834,998,905,753,742,553,398,"1,021",568,619,"1,792","1,428",491,"1,164"
2021,11,80,"7,129",328,435,391,373,454,371,340,305,346,239,159,565,284,295,804,513,271,656
2021,11,90,"1,308",66,74,64,61,120,78,65,40,49,46,24,79,74,58,142,82,69,117
2021,11,100,58,1,2,5,8,3,6,3,0,4,0,4,2,3,2,7,2,2,4
2021,12,총,"228,088","15,977","15,341","11,407","12,976","20,784","9,932","10,569","7,182","9,167","7,353","7,101","10,106","10,449","9,924","25,479","16,762","12,589","14,990"
2021,12,0,"14,353","1,368",758,583,661,"1,482",425,655,350,664,416,716,448,852,631,"1,779",706,949,910
2021,12,10,"23,644","2,539","1,155",667,"1,471","3,338",618,882,517,763,562,632,601,"1,409","1,417","2,689","1,087","1,715","1,582"
2021,12,20,"28,262","1,635","2,453","1,735","1,916","2,024","1,240","1,260",920,991,"1,021",798,"1,184","1,140","1,136","2,969","2,781","1,436","1,623"
2021,12,30,"28,181","1,740","2,584","1,984","1,357","2,066","1,177","1,360",876,"1,152",964,"1,273","1,215","1,071",896,"3,108","2,303","1,480","1,575"
2021,12,40,"39,958","3,660","2,347","1,632","2,400","4,907","1,394","1,600",940,"1,474","1,095","1,086","1,334","2,149","2,005","4,313","2,510","2,522","2,590"
2021,12,50,"38,246","2,370","2,539","1,937","2,479","3,271","1,748","1,675","1,283","1,457","1,272","1,057","1,780","1,702","1,680","4,402","2,764","2,218","2,612"
2021,12,60,"31,471","1,579","2,079","1,676","1,442","2,274","1,877","1,821","1,198","1,512","1,176",952,"1,872","1,199","1,194","3,457","2,581","1,431","2,151"
2021,12,70,"15,478",695,917,731,811,847,"1,004",908,754,748,562,398,"1,024",566,609,"1,802","1,429",503,"1,170"
2021,12,80,"7,136",326,435,387,376,453,366,341,307,352,240,159,566,285,296,812,515,261,659
2021,12,90,"1,313",64,73,72,60,120,77,64,37,50,45,27,80,74,58,142,84,72,114
2021,12,100,46,1,1,3,3,2,6,3,0,4,0,3,2,2,2,6,2,2,4
