년도,월,나이,남구,양림동,방림1동,방림2동,봉선1동,봉선2동,사직동,월산동,월산4동,월산5동,백운1동,백운2동,주월1동,주월2동,효덕동,송암동,대촌동,진월동
2021,9,100,32,0,4,2,3,2,1,1,2,0,1,0,3,1,6,2,4,0
2021,10,총,"111,725","3,837","3,487","4,732","7,163","15,275","2,517","4,040","4,134","3,227","6,452","3,232","11,291","4,056","8,436","10,972","3,194","15,680"
2021,10,0,"8,338",224,249,216,381,"1,428",132,241,156,114,434,218,814,229,756,"1,479",173,"1,094"
2021,10,10,"11,323",374,327,363,630,"2,420",131,216,254,164,585,211,"1,090",263,828,"1,088",213,"2,166"
2021,10,20,"13,530",406,403,581,972,"1,528",293,434,517,440,725,541,"1,578",477,"1,125","1,264",224,"2,022"
2021,10,30,"12,686",331,404,399,740,"1,521",276,490,446,327,698,425,"1,286",404,"1,157","1,973",273,"1,536"
2021,10,40,"17,325",535,537,609,"1,029","3,045",315,451,477,341,943,378,"1,773",526,"1,384","1,882",347,"2,753"
2021,10,50,"17,263",602,508,789,"1,159","2,315",382,593,697,591,999,468,"1,904",718,"1,135","1,449",472,"2,482"
2021,10,60,"15,744",591,513,807,"1,096","1,645",417,665,785,650,"1,066",493,"1,529",763,"1,102","1,106",585,"1,931"
2021,10,70,"9,709",497,360,612,670,811,363,599,521,391,661,325,875,466,607,424,456,"1,071"
2021,10,80,"4,876",234,162,304,410,461,185,301,242,178,278,144,367,184,275,242,380,529
2021,10,90,898,42,20,50,74,99,22,49,37,31,62,29,72,25,61,62,67,96
2021,10,100,33,1,4,2,2,2,1,1,2,0,1,0,3,1,6,3,4,0
2021,11,총,"111,968","3,817","3,467","4,723","7,154","15,309","2,523","4,222","4,129","3,209","6,465","3,230","11,303","4,042","8,410","11,052","3,195","15,718"
2021,11,0,"8,344",216,246,213,378,"1,435",132,267,151,113,430,213,811,228,754,"1,486",170,"1,101"
2021,11,10,"11,384",383,328,364,627,"2,430",130,233,250,160,593,212,"1,103",260,826,"1,096",215,"2,174"
2021,11,20,"13,534",395,396,579,969,"1,528",297,460,518,442,730,540,"1,572",477,"1,121","1,279",227,"2,004"
2021,11,30,"12,704",330,408,394,740,"1,509",275,519,448,322,696,424,"1,285",403,"1,146","1,986",273,"1,546"
2021,11,40,"17,398",522,530,606,"1,023","3,079",321,489,476,346,944,381,"1,784",522,"1,376","1,901",349,"2,749"
2021,11,50,"17,264",606,504,789,"1,156","2,309",377,619,689,582,997,469,"1,900",717,"1,131","1,459",467,"2,493"
2021,11,60,"15,792",589,509,806,"1,099","1,645",421,680,796,646,"1,070",494,"1,534",765,"1,114","1,104",585,"1,935"
2021,11,70,"9,733",498,359,616,674,809,365,600,519,391,659,324,875,458,605,433,459,"1,089"
2021,11,80,"4,896",237,164,304,413,466,183,304,241,179,281,145,370,188,271,242,379,529
2021,11,90,890,40,19,50,72,97,21,50,39,28,64,28,69,23,60,64,68,98
2021,11,100,29,1,4,2,3,2,1,1,2,0,1,0,0,1,6,2,3,0
2021,12,총,"112,033","3,807","3,472","4,705","7,156","15,339","2,526","4,305","4,112","3,217","6,456","3,236","11,312","4,038","8,399","11,082","3,184","15,687"
2021,12,0,"8,363",214,246,210,380,"1,460",130,286,150,113,421,214,811,227,737,"1,495",168,"1,101"
2021,12,10,"11,394",380,331,364,636,"2,436",129,238,240,160,603,210,"1,093",259,831,"1,101",212,"2,171"
2021,12,20,"13,430",397,393,568,965,"1,505",299,465,524,434,711,538,"1,570",473,"1,094","1,284",226,"1,984"
2021,12,30,"12,706",327,406,395,736,"1,504",274,532,438,319,696,432,"1,305",398,"1,154","1,978",265,"1,547"
2021,12,40,"17,416",516,532,604,"1,016","3,102",323,506,472,347,945,377,"1,783",524,"1,368","1,902",355,"2,744"
2021,12,50,"17,291",607,502,787,"1,163","2,303",376,633,687,586,"1,000",470,"1,893",719,"1,136","1,461",462,"2,506"
2021,12,60,"15,835",587,514,801,"1,095","1,650",423,684,800,657,"1,067",499,"1,540",765,"1,132","1,111",585,"1,925"
2021,12,70,"9,758",499,363,615,672,813,361,601,518,395,665,321,877,458,611,439,460,"1,090"
2021,12,80,"4,925",239,165,307,416,468,188,309,243,176,283,145,372,192,272,248,379,523
2021,12,90,893,40,20,52,74,96,22,50,39,30,64,30,68,22,58,62,70,96
2021,12,100,22,1,0,2,3,2,1,1,1,0,1,0,0,1,6,1,2,0
