년도,월,나이,서울특별시 도봉구,서울특별시 도봉구 창제1동,서울특별시 도봉구 창제2동,서울특별시 도봉구 창제3동,서울특별시 도봉구 창제4동,서울특별시 도봉구 창제5동,서울특별시 도봉구 도봉제1동,서울특별시 도봉구 도봉제2동,서울특별시 도봉구 쌍문제1동,서울특별시 도봉구 쌍문제2동,서울특별시 도봉구 쌍문제3동,서울특별시 도봉구 쌍문제4동,서울특별시 도봉구 방학제1동,서울특별시 도봉구 방학제2동,서울특별시 도봉구 방학제3동
2021,4,40,"47,495","4,024","4,543","2,123","4,325","3,528","2,888","3,725","3,212","2,713","2,384","2,893","4,168","2,814","4,155"
2021,4,50,"56,344","4,207","5,092","2,557","4,881","4,343","3,748","4,466","3,680","3,257","2,864","3,358","5,368","3,742","4,781"
2021,4,60,"50,373","3,491","4,225","2,209","3,573","3,719","3,937","4,917","3,376","3,043","2,512","2,862","4,673","3,356","4,480"
2021,4,70,"27,506","1,981","2,294","1,371","1,733","1,774","2,685","2,804","2,035","1,608","1,617","1,172","2,598","1,929","1,905"
2021,4,80,"11,888",931,980,520,915,812,"1,018","1,141",877,754,617,580,968,778,997
2021,4,90,"1,661",118,98,49,143,129,115,186,112,103,82,105,154,103,164
2021,4,100,120,7,4,7,9,2,2,23,16,19,6,3,6,7,9
2021,5,총,"320,687","25,005","29,305","14,107","26,878","24,864","21,259","27,229","21,600","18,814","16,539","18,908","28,733","19,864","27,582"
2021,5,0,"17,922","1,506","1,705",746,"1,734","1,514",836,"1,550","1,154",981,763,"1,159","1,498",880,"1,896"
2021,5,10,"24,963","2,116","2,217","1,073","2,560","1,918","1,162","1,652","1,598","1,325","1,027","1,966","2,180","1,466","2,703"
2021,5,20,"42,583","3,281","4,117","1,787","3,650","3,653","2,595","3,279","2,973","2,488","2,471","2,514","3,814","2,641","3,320"
2021,5,30,"39,899","3,327","4,042","1,673","3,353","3,471","2,295","3,513","2,574","2,513","2,276","2,269","3,297","2,164","3,132"
2021,5,40,"47,293","4,009","4,498","2,107","4,318","3,536","2,870","3,696","3,181","2,703","2,369","2,883","4,150","2,794","4,179"
2021,5,50,"56,240","4,210","5,082","2,553","4,869","4,322","3,747","4,441","3,673","3,265","2,845","3,378","5,356","3,741","4,758"
2021,5,60,"50,531","3,513","4,241","2,214","3,599","3,730","3,923","4,931","3,394","3,039","2,493","2,875","4,702","3,360","4,517"
2021,5,70,"27,517","1,978","2,310","1,371","1,729","1,775","2,688","2,807","2,037","1,617","1,600","1,169","2,608","1,918","1,910"
2021,5,80,"11,944",941,986,529,912,813,"1,024","1,146",887,757,609,587,969,791,993
2021,5,90,"1,673",117,103,47,144,130,117,191,113,106,80,105,153,102,165
2021,5,100,122,7,4,7,10,2,2,23,16,20,6,3,6,7,9
2021,6,총,"320,365","24,976","29,277","14,067","26,853","24,841","21,265","27,175","21,605","18,850","16,532","18,879","28,722","19,845","27,478"
2021,6,0,"17,841","1,506","1,705",736,"1,724","1,506",829,"1,542","1,144",986,754,"1,161","1,495",869,"1,884"
2021,6,10,"24,819","2,099","2,202","1,064","2,551","1,914","1,155","1,641","1,599","1,326","1,025","1,949","2,159","1,453","2,682"
2021,6,20,"42,520","3,273","4,112","1,772","3,649","3,651","2,582","3,259","2,966","2,504","2,486","2,514","3,835","2,619","3,298"
2021,6,30,"39,828","3,339","4,018","1,678","3,344","3,488","2,296","3,502","2,556","2,512","2,254","2,276","3,288","2,156","3,121"
2021,6,40,"47,191","3,985","4,493","2,097","4,318","3,510","2,878","3,690","3,179","2,710","2,369","2,870","4,143","2,803","4,146"
2021,6,50,"56,062","4,195","5,076","2,542","4,850","4,298","3,741","4,431","3,685","3,246","2,833","3,373","5,319","3,726","4,747"
2021,6,60,"50,807","3,540","4,263","2,223","3,629","3,757","3,956","4,929","3,415","3,067","2,500","2,882","4,724","3,391","4,531"
2021,6,70,"27,510","1,965","2,310","1,369","1,718","1,772","2,680","2,815","2,038","1,614","1,603","1,164","2,628","1,923","1,911"
2021,6,80,"11,999",951,988,532,913,814,"1,030","1,153",891,757,621,585,977,798,989
2021,6,90,"1,665",115,105,47,147,129,116,190,116,108,81,102,148,99,162
2021,6,100,123,8,5,7,10,2,2,23,16,20,6,3,6,8,7
2021,7,총,"319,893","24,968","29,295","14,007","26,837","24,785","21,224","27,071","21,560","18,841","16,520","18,825","28,723","19,797","27,440"
2021,7,0,"17,715","1,501","1,696",721,"1,701","1,503",824,"1,534","1,130",975,750,"1,153","1,478",877,"1,872"
2021,7,10,"24,717","2,078","2,192","1,057","2,546","1,900","1,148","1,627","1,597","1,334","1,026","1,941","2,150","1,439","2,682"
2021,7,20,"42,444","3,285","4,131","1,750","3,658","3,638","2,582","3,245","2,936","2,497","2,480","2,500","3,860","2,602","3,280"
2021,7,30,"39,652","3,342","4,006","1,663","3,329","3,484","2,274","3,487","2,542","2,501","2,243","2,267","3,263","2,149","3,102"
2021,7,40,"46,952","3,960","4,469","2,081","4,306","3,497","2,867","3,662","3,165","2,692","2,357","2,852","4,142","2,772","4,130"
2021,7,50,"56,084","4,199","5,095","2,546","4,856","4,284","3,731","4,418","3,687","3,250","2,839","3,375","5,312","3,741","4,751"
2021,7,60,"50,944","3,547","4,284","2,228","3,648","3,768","3,961","4,918","3,435","3,083","2,512","2,886","4,740","3,389","4,545"
2021,7,70,"27,481","1,971","2,312","1,369","1,706","1,769","2,679","2,805","2,040","1,619","1,599","1,159","2,636","1,917","1,900"
2021,7,80,"12,112",959,999,538,924,815,"1,041","1,157",900,760,630,588,988,807,"1,006"
2021,7,90,"1,670",118,107,47,153,125,115,193,113,110,78,101,149,96,165
2021,7,100,122,8,4,7,10,2,2,25,15,20,6,3,5,8,7
2021,8,총,"319,211","24,905","29,245","13,960","26,764","24,728","21,180","27,005","21,458","18,825","16,501","18,786","28,742","19,756","27,356"
2021,8,0,"17,579","1,481","1,673",715,"1,676","1,486",824,"1,536","1,121",965,762,"1,154","1,475",858,"1,853"
2021,8,10,"24,652","2,078","2,175","1,051","2,563","1,901","1,129","1,624","1,580","1,329","1,020","1,941","2,136","1,452","2,673"
2021,8,20,"42,271","3,274","4,133","1,746","3,617","3,628","2,573","3,218","2,913","2,502","2,462","2,477","3,891","2,581","3,256"
2021,8,30,"39,469","3,332","3,973","1,644","3,339","3,460","2,269","3,468","2,506","2,486","2,258","2,251","3,259","2,138","3,086"
