년도,월,나이,종로구,청운효자동,사직동,삼청동,부암동,평창동,무악동,교남동,가회동,종로1.2.3.4가동,종로5.6가동,이화동,혜화동,창신제1동,창신제2동,창신제3동,숭인제1동,숭인제2동
2021,11,60,"10,158",628,570,189,646,"1,251",487,534,265,918,442,442,794,586,706,528,441,731
2021,11,70,"5,191",369,295,114,338,585,248,290,153,463,234,245,483,249,326,227,215,357
2021,11,80,"2,486",216,204,47,160,320,129,139,77,195,100,108,263,92,131,83,88,134
2021,11,90,282,23,32,11,18,35,13,13,5,19,7,14,34,9,16,15,8,10
2021,11,100,13,0,1,1,1,3,2,0,1,2,0,1,0,0,0,1,0,0
2021,12,총,"70,183","5,526","4,200","1,168","4,570","8,457","3,841","4,634","1,884","4,251","2,720","3,419","7,904","2,626","4,082","3,242","2,811","4,848"
2021,12,0,"3,540",379,278,46,247,603,295,415,91,94,46,111,299,59,114,197,132,134
2021,12,10,"5,157",611,300,98,466,772,441,374,162,115,95,171,642,117,223,236,159,175
2021,12,20,"10,973",769,540,161,639,"1,166",422,557,217,452,527,734,"2,159",315,577,480,362,896
2021,12,30,"9,707",737,626,140,590,"1,021",412,711,256,537,434,603,"1,072",325,542,461,397,843
2021,12,40,"10,136",913,659,167,702,"1,209",653,834,326,557,324,446,"1,006",303,512,435,451,639
2021,12,50,"12,574",874,700,198,771,"1,487",738,769,331,907,516,547,"1,153",569,939,586,561,928
2021,12,60,"10,139",633,568,185,644,"1,259",481,538,268,910,440,438,794,584,704,522,438,733
2021,12,70,"5,176",370,292,111,334,586,255,283,152,460,234,245,482,251,323,225,218,355
2021,12,80,"2,482",218,203,50,161,315,130,141,76,196,95,109,262,93,131,84,84,134
2021,12,90,290,22,33,11,16,37,13,12,5,21,9,14,35,10,17,15,9,11
2021,12,100,9,0,1,1,0,2,1,0,0,2,0,1,0,0,0,1,0,0
