년도,월,나이,서울특별시 노원구,서울특별시 노원구 월계1동,서울특별시 노원구 월계2동,서울특별시 노원구 월계3동,서울특별시 노원구 공릉1동,서울특별시 노원구 공릉2동,서울특별시 노원구 하계1동,서울특별시 노원구 하계2동,서울특별시 노원구 중계본동,서울특별시 노원구 중계1동,서울특별시 노원구 중계4동,서울특별시 노원구 중계2.3동,서울특별시 노원구 상계1동,서울특별시 노원구 상계2동,서울특별시 노원구 상계3.4동,서울특별시 노원구 상계5동,서울특별시 노원구 상계6.7동,서울특별시 노원구 상계8동,서울특별시 노원구 상계9동,서울특별시 노원구 상계10동
2021,1,30,"64,457","2,670","3,199","4,579","5,354","5,191","2,755","2,543","1,896","1,999","1,993","4,261","4,894","2,333","2,957","2,619","4,886","4,741","2,792","2,795"
2021,1,40,"85,841","3,425","4,301","4,665","5,423","6,530","4,192","4,067","5,052","6,594","3,516","5,869","5,710","3,085","3,985","3,710","5,511","3,881","3,455","2,870"
2021,1,50,"87,727","3,537","4,606","4,777","5,824","6,095","4,959","3,911","4,570","4,483","3,600","5,656","6,981","3,950","4,770","4,520","5,672","3,033","3,603","3,180"
2021,1,60,"68,252","3,093","4,410","4,617","5,438","4,511","3,584","2,538","2,264","2,082","2,652","4,840","5,930","2,877","4,363","3,692","3,999","2,250","2,773","2,339"
2021,1,70,"37,607","1,972","2,510","2,608","2,774","2,230","1,830","1,373","1,090",998,"1,912","3,343","2,941","1,432","2,776","2,302","1,987","1,166","1,385",978
2021,1,80,"16,563",728,"1,020","1,121","1,046",971,948,691,554,495,766,"1,547","1,241",580,"1,225",948,"1,003",524,651,504
2021,1,90,"2,541",116,169,155,169,142,131,97,79,70,122,216,218,95,136,154,197,87,113,75
2021,1,100,289,18,14,15,17,14,9,4,14,14,12,15,50,14,33,27,7,4,4,4
2021,2,총,"520,366","22,134","27,281","30,396","37,421","39,424","27,188","22,479","24,739","27,334","20,595","35,144","38,878","20,425","26,939","24,550","33,259","22,749","20,959","18,472"
2021,2,0,"32,549","1,163","1,741","2,199","2,084","2,857","1,153","1,468","1,535","1,996","1,171","2,017","2,316",967,"1,382","1,088","2,403","2,393","1,333","1,283"
2021,2,10,"52,527","1,692","2,124","2,129","2,630","4,344","3,104","2,795","4,508","5,687","2,284","3,153","3,336","1,848","2,097","2,041","3,005","2,012","2,109","1,629"
2021,2,20,"72,344","3,800","3,195","3,551","6,658","6,613","4,553","3,074","3,197","2,949","2,592","4,282","5,267","3,293","3,237","3,432","4,599","2,690","2,728","2,634"
2021,2,30,"64,110","2,637","3,196","4,561","5,340","5,156","2,723","2,524","1,884","2,001","1,967","4,239","4,844","2,310","2,924","2,619","4,824","4,697","2,795","2,869"
2021,2,40,"85,459","3,403","4,288","4,637","5,421","6,484","4,182","4,009","5,033","6,578","3,495","5,798","5,706","3,038","3,978","3,679","5,498","3,868","3,440","2,924"
