년도,월,나이,안성시,공도읍,보개면,금광면,서운면,미양면,대덕면,양성면,원곡면,일죽면,죽산면,삼죽면,고삼면,안성1동,안성2동,안성3동
2021,8,총,"97,911","30,468","2,820","3,675","1,766","3,224","8,635","2,745","3,652","4,054","3,767","2,015","1,009","6,252","12,517","11,312"
2021,8,0,"6,924","2,895",86,197,43,104,708,69,219,142,105,33,23,347,"1,063",890
2021,8,10,"9,546","3,896",171,306,79,148,562,129,221,305,298,233,44,515,"1,339","1,300"
2021,8,20,"12,850","3,821",290,415,181,339,"1,190",262,484,384,404,252,114,870,"2,023","1,821"
2021,8,30,"12,546","4,352",242,322,135,337,"1,505",225,589,369,327,180,78,720,"1,761","1,404"
2021,8,40,"16,129","6,168",316,518,201,452,"1,586",320,566,485,443,205,106,903,"2,124","1,736"
2021,8,50,"16,767","4,744",547,695,375,606,"1,364",570,650,730,808,349,196,"1,138","2,011","1,984"
2021,8,60,"13,796","2,778",678,738,408,719,"1,065",678,581,915,802,420,257,999,"1,418","1,340"
2021,8,70,"6,331","1,309",314,302,214,340,461,310,241,488,370,226,115,500,559,582
2021,8,80,"2,794",471,164,167,120,165,184,164,87,218,196,113,72,238,200,235
2021,8,90,222,33,12,14,10,13,10,18,14,17,13,4,4,21,19,20
2021,8,100,6,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0
2021,9,총,"97,955","30,470","2,833","3,669","1,764","3,230","8,669","2,756","3,656","4,059","3,737","1,949","1,019","6,221","12,597","11,326"
2021,9,0,"6,885","2,880",89,196,46,102,703,69,217,142,109,34,23,337,"1,057",881
2021,9,10,"9,441","3,904",172,305,76,149,563,131,221,304,258,178,45,506,"1,332","1,297"
2021,9,20,"12,882","3,812",294,411,178,343,"1,219",261,476,383,398,244,117,867,"2,049","1,830"
2021,9,30,"12,527","4,326",243,320,140,340,"1,490",227,581,371,330,171,80,712,"1,789","1,407"
2021,9,40,"16,150","6,179",314,513,200,451,"1,596",319,579,489,445,202,105,901,"2,121","1,736"
2021,9,50,"16,799","4,746",548,699,372,608,"1,368",573,654,727,799,359,197,"1,127","2,035","1,987"
2021,9,60,"13,895","2,802",680,744,411,718,"1,072",685,586,919,820,417,261,"1,009","1,427","1,344"
2021,9,70,"6,342","1,314",319,298,214,340,460,306,239,488,369,226,116,500,566,587
2021,9,80,"2,799",473,161,168,117,165,188,165,87,217,194,113,70,241,202,238
2021,9,90,228,32,13,14,10,13,10,20,16,18,14,5,5,20,19,19
2021,9,100,7,2,0,1,0,1,0,0,0,1,1,0,0,1,0,0
2021,10,총,"97,969","30,479","2,839","3,668","1,765","3,241","8,665","2,743","3,674","4,008","3,756","1,932","1,019","6,210","12,623","11,347"
2021,10,0,"6,858","2,874",86,195,46,101,695,68,218,137,114,33,24,329,"1,044",894
2021,10,10,"9,358","3,880",174,302,76,146,560,127,221,274,251,149,44,505,"1,343","1,306"
2021,10,20,"12,884","3,819",293,411,178,348,"1,212",260,480,380,402,247,118,865,"2,053","1,818"
2021,10,30,"12,475","4,280",246,321,138,347,"1,495",218,581,361,332,173,83,712,"1,790","1,398"
2021,10,40,"16,153","6,193",311,509,204,448,"1,590",317,570,488,444,204,104,888,"2,132","1,751"
2021,10,50,"16,871","4,792",551,703,372,608,"1,371",580,662,721,804,357,195,"1,144","2,034","1,977"
2021,10,60,"13,949","2,805",682,746,409,721,"1,083",687,594,923,825,425,259,"1,004","1,435","1,351"
2021,10,70,"6,366","1,320",319,296,214,342,457,305,245,490,375,226,117,499,569,592
2021,10,80,"2,809",475,163,170,117,166,191,161,86,215,193,113,70,244,204,241
2021,10,90,239,39,14,14,11,13,11,20,17,18,15,5,5,19,19,19
2021,10,100,7,2,0,1,0,1,0,0,0,1,1,0,0,1,0,0
2021,11,총,"97,874","30,374","2,839","3,657","1,757","3,228","8,675","2,739","3,658","3,952","3,732","1,889","1,012","6,200","12,853","11,309"
2021,11,0,"6,808","2,842",88,192,45,96,679,73,212,135,110,33,23,321,"1,074",885
2021,11,10,"9,254","3,872",173,304,74,145,561,127,213,236,242,104,44,506,"1,352","1,301"
2021,11,20,"12,845","3,811",293,406,172,349,"1,227",252,472,372,391,239,114,860,"2,076","1,811"
2021,11,30,"12,471","4,242",246,319,139,342,"1,489",217,584,353,330,172,82,708,"1,859","1,389"
2021,11,40,"16,118","6,134",307,506,206,438,"1,593",322,571,489,442,206,103,886,"2,183","1,732"
2021,11,50,"16,940","4,819",550,704,371,606,"1,385",575,665,715,810,363,196,"1,143","2,053","1,985"
2021,11,60,"14,017","2,816",687,749,409,730,"1,091",688,592,921,830,425,257,"1,013","1,456","1,353"
2021,11,70,"6,362","1,317",321,290,212,339,449,305,247,493,369,227,120,501,579,593
