년도,월,나이,영주시,풍기읍,이산면,평은면,문수면,장수면,안정면,봉현면,순흥면,단산면,부석면,상망동,하망동,영주1동,영주2동,휴천1동,휴천2동,휴천3동,가흥1동,가흥2동
2020,6,90,207,28,10,10,7,12,7,12,6,9,7,9,9,10,6,10,14,15,17,9
2020,6,100,13,4,0,0,0,0,0,2,1,1,1,0,1,1,0,0,1,0,1,0
2020,7,총,"51,495","5,253","1,244",737,"1,009","1,136","1,571","1,431","1,019",953,"1,554","4,009","2,979","2,007","1,714","3,349","4,076","4,069","9,531","3,854"
2020,7,0,"3,253",247,31,17,33,31,47,41,23,16,28,265,177,99,96,255,214,240,"1,111",282
2020,7,10,"4,727",366,50,28,50,60,70,66,45,40,75,530,303,135,139,470,354,406,"1,099",441
2020,7,20,"5,751",597,136,55,96,96,142,112,96,70,72,482,357,195,168,434,532,587,"1,095",429
2020,7,30,"4,688",396,74,31,65,81,109,73,53,56,84,316,255,171,133,275,377,362,"1,346",431
2020,7,40,"7,282",669,108,71,117,117,168,176,80,96,136,634,432,255,211,565,549,528,"1,756",614
2020,7,50,"9,278",943,284,145,176,198,279,279,205,183,328,733,577,390,329,613,767,804,"1,388",657
2020,7,60,"8,584","1,092",273,172,239,265,358,354,269,248,405,541,452,388,315,369,650,631,987,576
2020,7,70,"5,356",641,176,135,150,177,259,231,157,148,281,348,290,248,235,266,437,360,522,295
2020,7,80,"2,359",270,102,73,76,99,132,85,84,86,137,151,127,114,82,92,182,135,211,121
2020,7,90,204,28,10,10,7,12,7,12,6,9,7,9,8,11,6,10,13,16,15,8
2020,7,100,13,4,0,0,0,0,0,2,1,1,1,0,1,1,0,0,1,0,1,0
2020,8,총,"51,379","5,233","1,229",738,"1,004","1,130","1,566","1,429","1,015",956,"1,554","4,005","2,966","2,005","1,710","3,336","4,062","4,065","9,510","3,866"
2020,8,0,"3,221",243,30,17,29,32,46,40,23,16,28,264,178,102,94,253,212,238,"1,097",279
2020,8,10,"4,713",363,50,28,49,61,72,68,44,38,75,527,302,131,140,466,350,405,"1,105",439
2020,8,20,"5,710",587,127,54,98,95,140,110,96,72,70,476,353,193,166,430,527,591,"1,088",437
