년도,월,나이,전라남도 보성군,전라남도 보성군 보성읍,전라남도 보성군 벌교읍,전라남도 보성군 노동면,전라남도 보성군 미력면,전라남도 보성군 겸백면,전라남도 보성군 율어면,전라남도 보성군 복내면,전라남도 보성군 문덕면,전라남도 보성군 조성면,전라남도 보성군 득량면,전라남도 보성군 득량면예당출장소,전라남도 보성군 회천면,전라남도 보성군 웅치면
2020,10,50,"6,702","1,520","1,939",171,232,185,194,259,165,582,484,205,585,181
2020,10,60,"7,605","1,356","2,280",228,291,220,204,346,177,779,587,259,664,214
2020,10,70,"6,655","1,002","2,001",205,260,227,231,316,183,738,524,204,545,219
2020,10,80,"4,730",654,"1,285",199,218,219,205,269,117,513,397,137,349,168
2020,10,90,718,82,195,39,29,30,25,39,18,79,73,15,58,36
2020,10,100,40,7,16,0,1,0,1,1,2,1,5,0,4,2
2020,11,총,"40,494","9,202","11,922","1,108","1,401","1,166","1,195","1,685",889,"3,746","2,798","1,250","3,046","1,086"
2020,11,0,"1,760",672,520,28,37,28,44,62,23,114,70,51,85,26
2020,11,10,"2,614",853,843,41,62,51,67,74,46,169,130,76,167,35
2020,11,20,"2,979",978,828,62,88,63,63,111,44,242,135,92,192,81
2020,11,30,"2,538",821,754,53,77,58,52,75,30,199,160,85,123,51
2020,11,40,"4,188","1,251","1,273",87,110,92,107,134,84,340,238,125,275,72
2020,11,50,"6,670","1,520","1,916",169,233,183,197,261,165,581,478,204,582,181
2020,11,60,"7,610","1,356","2,283",230,291,221,204,344,178,772,588,262,665,216
2020,11,70,"6,655","1,009","2,011",200,258,221,232,318,182,737,524,204,543,216
2020,11,80,"4,728",657,"1,279",200,218,220,204,266,117,512,397,137,351,170
2020,11,90,711,77,199,38,26,29,24,39,18,79,73,14,59,36
2020,11,100,41,8,16,0,1,0,1,1,2,1,5,0,4,2
2020,12,총,"40,482","9,195","11,913","1,118","1,405","1,165","1,201","1,696",886,"3,732","2,782","1,244","3,061","1,084"
2020,12,0,"1,759",679,521,29,35,28,45,62,20,112,68,48,86,26
2020,12,10,"2,604",842,838,44,62,50,67,78,45,170,125,74,174,35
2020,12,20,"2,988",978,822,67,89,67,62,109,45,238,141,95,193,82
2020,12,30,"2,539",827,751,54,80,55,54,76,28,199,160,83,123,49
2020,12,40,"4,158","1,239","1,264",89,112,92,105,132,85,329,230,126,283,72
2020,12,50,"6,676","1,516","1,926",168,234,184,201,267,161,585,469,201,583,181
2020,12,60,"7,620","1,362","2,279",227,294,220,205,344,180,773,591,264,665,216
2020,12,70,"6,646","1,008","2,015",202,256,220,230,319,182,735,522,202,540,215
2020,12,80,"4,739",660,"1,280",200,216,220,206,268,119,511,399,137,353,170
2020,12,90,714,76,202,38,26,29,25,40,19,79,72,14,58,36
2020,12,100,39,8,15,0,1,0,1,1,2,1,5,0,3,2
2021,1,총,"40,430","9,193","11,884","1,119","1,412","1,168","1,200","1,692",885,"3,716","2,785","1,240","3,050","1,086"
2021,1,0,"1,747",677,515,29,36,28,43,64,19,111,67,47,85,26
2021,1,10,"2,588",833,830,42,65,51,67,81,47,165,127,75,171,34
2021,1,20,"2,959",976,817,69,89,68,60,101,43,232,138,98,187,81
2021,1,30,"2,504",819,748,54,79,54,52,75,27,193,153,80,121,49
2021,1,40,"4,161","1,251","1,264",86,110,91,105,129,84,326,232,126,284,73
2021,1,50,"6,681","1,517","1,930",173,239,183,203,268,161,586,464,200,577,180
2021,1,60,"7,649","1,371","2,280",226,289,222,206,348,184,778,602,260,665,218
2021,1,70,"6,636","1,001","2,004",202,258,221,231,319,181,736,521,200,547,215
2021,1,80,"4,731",660,"1,270",199,218,220,205,266,120,508,402,140,350,173
2021,1,90,735,80,210,39,28,29,27,40,18,80,74,14,60,36
2021,1,100,39,8,16,0,1,1,1,1,1,1,5,0,3,1
2021,2,총,"40,305","9,160","11,826","1,119","1,409","1,163","1,202","1,686",880,"3,721","2,783","1,237","3,042","1,077"
2021,2,0,"1,709",656,505,29,35,28,40,61,18,112,67,48,84,26
2021,2,10,"2,577",843,816,42,66,48,70,79,48,167,127,75,165,31
2021,2,20,"2,936",969,812,68,87,67,60,100,40,232,137,93,190,81
2021,2,30,"2,458",804,733,54,80,55,51,73,25,187,148,81,120,47
2021,2,40,"4,144","1,244","1,261",86,110,90,108,129,84,327,231,126,275,73
2021,2,50,"6,670","1,523","1,920",170,239,182,203,269,161,580,462,198,584,179
2021,2,60,"7,669","1,369","2,277",232,291,221,208,350,186,789,610,259,661,216
2021,2,70,"6,620",999,"2,010",200,253,222,228,314,181,732,518,201,548,214
2021,2,80,"4,749",661,"1,267",197,220,220,207,271,118,516,404,142,353,173
2021,2,90,732,84,207,41,27,29,26,39,18,78,74,14,59,36
2021,2,100,41,8,18,0,1,1,1,1,1,1,5,0,3,1
2021,3,총,"40,169","9,133","11,772","1,107","1,416","1,164","1,200","1,663",885,"3,711","2,788","1,227","3,034","1,069"
2021,3,0,"1,693",650,500,29,36,29,38,61,19,111,66,46,84,24
2021,3,10,"2,551",848,810,42,64,45,71,73,48,168,123,70,159,30
2021,3,20,"2,911",960,805,65,87,69,58,101,41,229,137,92,187,80
2021,3,30,"2,436",796,727,53,80,53,52,69,24,186,151,80,118,47
2021,3,40,"4,125","1,235","1,248",82,112,91,109,128,87,331,229,127,276,70
2021,3,50,"6,646","1,520","1,910",169,241,186,201,266,159,573,467,197,583,174
2021,3,60,"7,668","1,371","2,274",225,295,222,212,352,187,786,614,252,658,220
2021,3,70,"6,579",997,"2,002",201,249,222,221,304,178,727,516,205,545,212
2021,3,80,"4,780",667,"1,276",199,221,218,209,269,121,518,405,144,359,174
2021,3,90,749,83,210,41,30,28,28,39,20,81,76,14,62,37
2021,3,100,31,6,10,1,1,1,1,1,1,1,4,0,3,1
2021,4,총,"40,179","9,124","11,763","1,110","1,417","1,170","1,203","1,671",887,"3,708","2,782","1,222","3,046","1,076"
2021,4,0,"1,672",648,493,30,36,29,35,61,18,109,63,44,82,24
2021,4,10,"2,551",846,814,42,62,44,74,75,49,166,120,69,160,30
2021,4,20,"2,922",956,806,64,91,70,58,102,42,228,138,91,194,82
2021,4,30,"2,426",797,715,53,80,53,54,71,26,189,144,78,121,45
