년도,월,나이,경기도 포천시,경기도 포천시 소흘읍,경기도 포천시 군내면,경기도 포천시 내촌면,경기도 포천시 가산면,경기도 포천시 신북면,경기도 포천시 창수면,경기도 포천시 영중면,경기도 포천시 일동면,경기도 포천시 이동면,경기도 포천시 영북면,경기도 포천시 관인면,경기도 포천시 화현면,경기도 포천시 포천동,경기도 포천시 선단동
2021,1,0,"4,398","1,439",315,66,109,354,27,95,256,261,335,25,97,630,389
2021,1,10,"6,361","2,508",294,111,222,529,50,131,382,172,221,69,66,989,617
2021,1,20,"10,358","3,139",550,271,464,909,126,250,586,580,667,148,165,"1,393","1,110"
2021,1,30,"8,094","2,186",618,206,396,680,83,176,500,522,607,85,206,"1,057",772
2021,1,40,"11,001","3,571",655,355,575,907,119,321,672,372,509,153,154,"1,396","1,242"
2021,1,50,"15,981","4,726",882,651,"1,194","1,454",229,597,831,480,714,291,238,"1,858","1,836"
2021,1,60,"13,345","3,096",850,615,"1,004","1,298",316,616,936,539,781,348,310,"1,411","1,225"
2021,1,70,"5,782","1,185",356,242,376,508,172,297,500,323,426,232,153,576,436
2021,1,80,"2,381",443,143,119,173,208,83,137,206,120,222,98,54,219,156
2021,1,90,233,41,11,4,13,23,7,17,28,11,28,7,6,20,17
2021,1,100,30,4,1,1,1,1,0,2,5,0,6,3,0,4,2
2021,2,총,"78,036","22,475","4,671","2,639","4,517","6,846","1,208","2,647","4,896","3,408","4,505","1,453","1,458","9,522","7,791"
2021,2,0,"4,331","1,439",306,64,99,346,27,97,251,263,330,25,93,617,374
2021,2,10,"6,313","2,522",293,110,212,525,50,122,364,168,222,70,69,979,607
2021,2,20,"10,399","3,152",557,269,468,892,122,256,596,591,676,145,171,"1,381","1,123"
2021,2,30,"8,121","2,216",619,207,396,682,81,178,510,528,597,82,203,"1,055",767
2021,2,40,"10,907","3,549",646,336,573,893,119,328,659,375,503,152,154,"1,386","1,234"
2021,2,50,"16,019","4,777",883,665,"1,188","1,449",227,590,837,481,711,283,242,"1,858","1,828"
2021,2,60,"13,504","3,141",859,623,"1,012","1,316",319,623,937,548,787,358,312,"1,424","1,245"
2021,2,70,"5,776","1,188",356,242,380,507,171,297,501,320,422,229,151,576,436
2021,2,80,"2,402",446,139,118,175,210,85,138,208,123,225,100,56,221,158
2021,2,90,233,41,12,4,13,25,7,17,28,11,24,6,7,21,17
2021,2,100,31,4,1,1,1,1,0,1,5,0,8,3,0,4,2
2021,3,총,"77,942","22,650","4,636","2,636","4,498","6,835","1,210","2,618","4,867","3,410","4,452","1,450","1,454","9,441","7,785"
2021,3,0,"4,297","1,445",297,63,104,333,28,98,241,262,326,23,92,610,375
2021,3,10,"6,288","2,538",285,103,210,519,48,120,362,168,226,71,69,966,603
2021,3,20,"10,399","3,181",559,269,461,881,128,252,598,593,680,147,172,"1,358","1,120"
2021,3,30,"8,119","2,248",606,212,395,679,80,172,511,536,583,87,199,"1,048",763
2021,3,40,"10,818","3,567",633,332,561,895,112,323,652,362,491,151,157,"1,361","1,221"
2021,3,50,"15,981","4,792",885,665,"1,181","1,445",229,577,828,486,699,278,240,"1,846","1,830"
2021,3,60,"13,637","3,197",865,632,"1,014","1,336",323,629,943,552,785,359,313,"1,431","1,258"
2021,3,70,"5,750","1,183",355,238,379,507,167,295,497,318,417,227,148,582,437
2021,3,80,"2,415",458,139,117,180,213,88,134,206,124,221,100,56,218,161
2021,3,90,224,39,12,4,12,26,7,17,27,9,22,5,8,20,16
2021,3,100,14,2,0,1,1,1,0,1,2,0,2,2,0,1,1
2021,4,총,"78,102","22,825","4,640","2,636","4,495","6,809","1,205","2,605","4,887","3,410","4,443","1,453","1,452","9,452","7,790"
2021,4,0,"4,289","1,469",298,62,101,327,28,96,244,260,320,23,89,601,371
2021,4,10,"6,272","2,546",281,102,207,515,45,116,360,172,224,70,69,964,601
2021,4,20,"10,426","3,213",554,271,466,874,127,252,603,598,676,148,174,"1,355","1,115"
2021,4,30,"8,159","2,272",612,211,391,692,81,169,511,530,586,86,198,"1,055",765
2021,4,40,"10,802","3,582",639,325,555,879,112,319,654,364,492,154,156,"1,358","1,213"
2021,4,50,"15,973","4,814",872,665,"1,175","1,449",226,570,832,482,697,276,240,"1,844","1,831"
2021,4,60,"13,770","3,242",874,641,"1,032","1,325",327,633,952,555,786,363,314,"1,448","1,278"
2021,4,70,"5,757","1,190",357,235,375,507,164,299,497,318,417,227,148,585,438
2021,4,80,"2,411",457,140,119,179,212,88,132,204,122,220,100,56,221,161
2021,4,90,230,38,13,4,13,28,7,18,28,9,23,5,8,20,16
2021,4,100,13,2,0,1,1,1,0,1,2,0,2,1,0,1,1
2021,5,총,"78,138","22,880","4,646","2,630","4,471","6,803","1,202","2,604","4,903","3,403","4,434","1,450","1,451","9,458","7,803"
2021,5,0,"4,280","1,472",298,62,101,326,28,91,236,263,318,26,89,602,368
2021,5,10,"6,245","2,550",279,99,200,506,43,117,367,169,220,67,72,959,597
2021,5,20,"10,398","3,203",554,269,464,868,127,252,601,583,677,145,174,"1,358","1,123"
2021,5,30,"8,181","2,282",618,210,391,700,82,166,514,541,587,86,191,"1,049",764
2021,5,40,"10,764","3,573",630,323,546,861,112,318,662,362,489,154,159,"1,351","1,224"
2021,5,50,"15,956","4,819",880,659,"1,172","1,449",222,567,831,470,688,279,244,"1,843","1,833"
2021,5,60,"13,892","3,283",872,646,"1,036","1,347",330,642,960,564,792,359,315,"1,465","1,281"
2021,5,70,"5,755","1,197",358,238,366,504,164,302,498,321,417,226,143,586,435
2021,5,80,"2,424",462,144,118,180,213,87,129,205,121,221,102,56,224,162
2021,5,90,231,37,13,5,14,28,7,19,28,9,23,5,8,20,15
2021,5,100,12,2,0,1,1,1,0,1,1,0,2,1,0,1,1
2021,6,총,"78,200","22,975","4,646","2,634","4,464","6,810","1,200","2,586","4,908","3,395","4,420","1,441","1,452","9,443","7,826"
2021,6,0,"4,255","1,480",295,61,101,320,28,90,234,255,318,24,90,588,371
2021,6,10,"6,220","2,546",281,100,199,501,40,116,370,168,218,67,69,956,589
2021,6,20,"10,403","3,209",551,272,460,878,129,241,597,585,673,145,177,"1,353","1,133"
2021,6,30,"8,169","2,302",623,210,390,695,84,163,505,537,585,85,189,"1,042",759
2021,6,40,"10,764","3,595",619,318,541,866,111,314,674,361,488,147,162,"1,348","1,220"
2021,6,50,"15,935","4,818",881,658,"1,157","1,454",222,566,826,462,681,279,243,"1,843","1,845"
2021,6,60,"14,029","3,326",880,653,"1,056","1,354",331,643,966,573,797,359,315,"1,483","1,293"
2021,6,70,"5,750","1,194",360,237,364,500,162,303,499,320,417,226,143,587,438
2021,6,80,"2,424",466,143,117,181,213,85,129,206,124,218,102,57,221,162
2021,6,90,237,36,13,7,14,28,8,20,30,9,23,6,7,21,15
2021,6,100,14,3,0,1,1,1,0,1,1,1,2,1,0,1,1
2021,7,총,"78,351","23,061","4,657","2,648","4,448","6,811","1,205","2,583","4,888","3,428","4,405","1,435","1,438","9,490","7,854"
2021,7,0,"4,222","1,473",287,62,95,323,28,88,234,257,310,22,89,588,366
2021,7,10,"6,236","2,551",284,101,200,509,39,117,366,172,220,67,67,952,591
2021,7,20,"10,425","3,230",553,273,449,870,126,248,590,598,661,145,176,"1,367","1,139"
2021,7,30,"8,176","2,297",622,214,396,697,89,164,500,543,579,83,190,"1,043",759
2021,7,40,"10,734","3,585",619,318,537,874,111,305,677,367,481,146,159,"1,339","1,216"
2021,7,50,"15,975","4,849",885,663,"1,141","1,435",224,568,814,460,695,275,244,"1,863","1,859"
2021,7,60,"14,124","3,367",885,651,"1,066","1,353",332,639,972,578,798,363,309,"1,503","1,308"
2021,7,70,"5,753","1,191",363,240,366,504,161,303,500,321,416,224,139,585,440
2021,7,80,"2,452",480,146,117,182,217,87,130,204,122,219,103,58,227,160
2021,7,90,240,35,13,8,15,28,8,20,30,9,24,6,7,22,15
2021,7,100,14,3,0,1,1,1,0,1,1,1,2,1,0,1,1
2021,8,총,"78,594","23,110","4,669","2,649","4,527","6,851","1,196","2,579","4,902","3,430","4,428","1,428","1,429","9,518","7,878"
2021,8,0,"4,193","1,454",285,62,95,328,27,87,231,261,315,22,86,582,358
2021,8,10,"6,286","2,554",287,101,263,512,39,117,365,172,222,63,65,946,580
2021,8,20,"10,474","3,249",555,272,463,873,121,244,602,595,664,147,174,"1,367","1,148"
2021,8,30,"8,167","2,290",620,218,385,696,87,168,497,542,577,82,191,"1,045",769
2021,8,40,"10,741","3,574",622,317,544,879,111,306,677,369,484,142,158,"1,346","1,212"
2021,8,50,"15,997","4,863",885,665,"1,145","1,436",222,565,820,454,694,270,238,"1,868","1,872"
2021,8,60,"14,252","3,413",890,649,"1,063","1,372",333,635,976,583,810,371,312,"1,524","1,321"
2021,8,70,"5,759","1,196",365,237,370,505,161,306,495,320,416,222,138,586,442
2021,8,80,"2,470",480,147,118,182,221,87,131,207,124,219,103,60,231,160
2021,8,90,240,34,13,9,16,28,8,19,31,9,25,5,7,22,14
2021,8,100,15,3,0,1,1,1,0,1,1,1,2,1,0,1,2
2021,9,총,"78,653","23,140","4,659","2,649","4,499","6,852","1,192","2,580","4,912","3,431","4,420","1,432","1,435","9,546","7,906"
2021,9,0,"4,168","1,442",284,62,98,329,27,86,234,253,310,23,87,578,355
2021,9,10,"6,243","2,559",282,99,237,508,39,117,365,171,220,59,64,946,577
2021,9,20,"10,484","3,252",557,271,453,869,119,239,597,603,669,153,175,"1,375","1,152"
2021,9,30,"8,194","2,295",607,219,384,711,85,173,505,545,571,85,188,"1,054",772
2021,9,40,"10,692","3,555",620,312,537,865,110,299,675,373,483,142,163,"1,338","1,220"
2021,9,50,"15,995","4,874",880,666,"1,146","1,431",220,564,820,449,700,268,236,"1,872","1,869"
2021,9,60,"14,377","3,436",904,653,"1,074","1,385",337,646,988,586,807,373,316,"1,538","1,334"
2021,9,70,"5,750","1,201",368,238,371,504,160,305,489,314,414,218,138,584,446
2021,9,80,"2,491",488,144,119,183,221,87,131,205,127,219,105,61,238,163
2021,9,90,244,35,13,9,15,28,8,19,33,9,25,5,7,22,16
2021,9,100,15,3,0,1,1,1,0,1,1,1,2,1,0,1,2
2021,10,총,"78,733","23,180","4,655","2,655","4,492","6,851","1,188","2,588","4,904","3,424","4,434","1,433","1,432","9,565","7,932"
2021,10,0,"4,168","1,440",286,60,94,330,27,89,237,248,311,23,88,578,357
2021,10,10,"6,226","2,562",283,99,227,505,37,117,362,167,221,58,66,947,575
2021,10,20,"10,461","3,252",553,268,447,870,121,239,590,605,671,155,174,"1,369","1,147"
