년도,월,나이,거제시,일운면,동부면,남부면,거제면,둔덕면,사등면,사등면가조출장소,연초면,하청면,하청면칠천출장소,장목면,장목면외포출장소,장승포동,능포동,아주동,옥포1동,옥포2동,장평동,고현동,상문동,수양동
2021,6,40,"25,735",657,210,92,528,180,"1,237",60,797,272,68,240,103,702,900,"3,459",765,"2,650","2,615","3,527","3,931","2,742"
2021,6,50,"21,227",849,329,195,655,288,"1,031",118,980,355,120,320,155,703,"1,035","1,677",728,"2,456","2,201","3,074","2,233","1,725"
2021,6,60,"14,308",767,367,209,734,387,791,157,749,360,138,370,162,475,871,786,534,"1,771",983,"2,012",931,754
2021,6,70,"5,300",295,239,112,374,219,399,71,306,224,89,238,82,163,307,203,158,454,245,593,295,234
2021,6,80,"1,573",105,93,48,156,80,103,17,110,88,35,100,39,43,74,37,25,101,46,133,73,67
2021,6,90,131,7,6,3,9,10,13,4,11,4,1,7,2,3,5,5,2,6,4,16,6,7
2021,6,100,8,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1
2021,7,총,"127,340","4,125","1,610",805,"3,547","1,506","6,225",558,"4,501","1,837",542,"1,595",690,"3,380","4,979","14,453","3,959","13,617","11,787","17,968","17,529","12,127"
2021,7,0,"13,023",281,48,13,195,37,682,17,259,89,17,38,26,203,277,"2,215",304,"1,194",825,"1,710","2,797","1,796"
2021,7,10,"14,554",328,64,33,281,83,601,31,351,148,15,65,31,344,502,"1,831",346,"1,616","1,153","2,167","2,607","1,957"
2021,7,20,"13,308",393,120,50,310,134,524,32,443,136,24,117,44,376,538,"1,285",510,"1,546","1,649","2,268","1,577","1,232"
2021,7,30,"18,027",423,135,51,303,88,832,51,480,170,33,102,50,370,466,"2,927",591,"1,821","2,037","2,456","3,037","1,604"
2021,7,40,"25,730",656,212,92,531,181,"1,230",58,806,263,69,239,102,703,903,"3,475",763,"2,633","2,604","3,527","3,955","2,728"
2021,7,50,"21,252",854,327,192,652,291,"1,041",120,973,352,119,316,151,702,"1,033","1,686",720,"2,461","2,232","3,065","2,230","1,735"
2021,7,60,"14,417",779,369,211,733,387,798,157,760,363,138,372,164,475,870,790,538,"1,784",988,"2,029",944,768
2021,7,70,"5,305",299,237,113,377,215,400,71,308,222,91,237,80,160,309,202,159,453,245,593,299,235
2021,7,80,"1,586",103,91,47,155,82,104,17,109,90,35,101,40,45,75,38,26,103,49,136,77,63
2021,7,90,130,8,6,3,9,8,13,4,12,4,1,7,2,2,5,4,2,6,5,16,5,8
2021,7,100,8,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1
2021,8,총,"127,156","4,119","1,609",800,"3,557","1,495","6,208",557,"4,504","1,821",545,"1,597",688,"3,366","4,970","14,450","3,962","13,597","11,804","17,875","17,531","12,101"
2021,8,0,"12,931",281,46,13,197,33,677,17,255,90,17,39,27,199,280,"2,212",303,"1,191",822,"1,689","2,759","1,784"
2021,8,10,"14,547",328,64,33,281,83,606,30,345,145,14,65,32,337,493,"1,826",353,"1,617","1,158","2,154","2,632","1,951"
2021,8,20,"13,243",392,121,48,305,134,512,33,444,134,24,116,42,377,543,"1,288",504,"1,542","1,645","2,236","1,573","1,230"
2021,8,30,"17,839",418,134,49,299,84,819,49,475,169,33,100,50,368,462,"2,902",588,"1,794","2,030","2,419","3,011","1,586"
2021,8,40,"25,696",651,210,92,535,178,"1,240",61,811,255,70,240,101,696,897,"3,477",768,"2,625","2,584","3,512","3,970","2,723"
2021,8,50,"21,351",855,324,187,652,292,"1,032",118,979,353,123,313,150,707,"1,033","1,701",718,"2,476","2,270","3,073","2,251","1,744"
2021,8,60,"14,482",782,374,214,744,385,805,156,767,361,137,376,163,471,872,797,541,"1,784",993,"2,038",947,775
2021,8,70,"5,338",302,237,114,381,214,400,72,308,218,92,240,81,165,309,205,157,459,250,598,302,234
2021,8,80,"1,593",101,92,47,154,84,104,17,108,92,34,100,40,44,75,38,29,105,47,138,79,65
2021,8,90,128,8,6,3,8,8,13,4,12,4,1,7,2,2,5,4,1,4,5,17,6,8
2021,8,100,8,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1
2021,9,총,"126,877","4,133","1,599",794,"3,559","1,489","6,209",556,"4,475","1,808",538,"1,589",687,"3,338","4,964","14,436","3,954","13,545","11,803","17,806","17,484","12,111"
2021,9,0,"12,797",288,45,13,193,32,671,16,244,86,17,39,24,194,277,"2,193",304,"1,171",828,"1,663","2,728","1,771"
2021,9,10,"14,554",322,65,33,282,81,600,29,350,145,13,59,32,336,490,"1,840",357,"1,608","1,158","2,159","2,631","1,964"
2021,9,20,"13,114",392,118,48,295,133,507,34,432,133,24,118,40,370,536,"1,275",494,"1,534","1,642","2,200","1,563","1,226"
2021,9,30,"17,692",425,133,47,300,84,821,46,470,163,32,102,50,366,463,"2,866",579,"1,768","2,023","2,404","2,981","1,569"
2021,9,40,"25,647",656,205,92,537,177,"1,232",62,799,255,69,234,101,687,890,"3,496",768,"2,638","2,569","3,489","3,984","2,707"
2021,9,50,"21,438",856,327,183,657,294,"1,047",120,978,354,119,310,151,702,"1,040","1,712",724,"2,465","2,279","3,074","2,264","1,782"
2021,9,60,"14,523",777,373,216,744,376,808,156,773,361,138,373,166,471,874,804,541,"1,786","1,001","2,055",948,782
2021,9,70,"5,373",306,235,112,384,219,404,73,309,219,92,246,81,164,312,209,156,467,248,600,302,235
2021,9,80,"1,600",102,92,46,157,84,107,15,107,88,33,99,40,46,76,37,28,105,50,145,77,66
2021,9,90,131,8,5,4,9,9,12,5,13,4,1,8,2,2,5,4,3,3,5,16,5,8
2021,9,100,8,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1
2021,10,총,"126,734","4,129","1,591",800,"3,582","1,485","6,188",553,"4,468","1,801",538,"1,582",689,"3,322","4,955","14,429","3,942","13,503","11,800","17,796","17,471","12,110"
2021,10,0,"12,703",282,45,14,194,30,660,16,240,85,17,38,24,192,273,"2,186",298,"1,162",819,"1,664","2,704","1,760"
2021,10,10,"14,583",320,65,34,287,79,603,27,350,144,13,59,33,328,493,"1,849",363,"1,599","1,168","2,159","2,621","1,989"
2021,10,20,"13,069",387,117,47,301,136,506,34,437,136,25,114,40,363,533,"1,258",490,"1,534","1,643","2,193","1,561","1,214"
2021,10,30,"17,519",422,129,46,299,84,810,46,468,160,30,102,51,372,464,"2,835",571,"1,731","2,010","2,380","2,956","1,553"
2021,10,40,"25,554",657,203,92,533,175,"1,229",60,791,253,70,234,99,672,885,"3,496",762,"2,634","2,545","3,472","3,986","2,706"
2021,10,50,"21,556",856,327,187,659,293,"1,043",122,978,350,118,311,153,706,"1,039","1,736",729,"2,463","2,302","3,094","2,297","1,793"
2021,10,60,"14,608",783,374,216,749,374,811,155,777,363,141,371,168,475,874,814,537,"1,798","1,005","2,075",964,784
2021,10,70,"5,395",310,233,114,388,221,404,74,308,218,91,246,79,164,310,211,161,470,256,597,303,237
2021,10,80,"1,616",104,93,46,162,84,110,14,106,88,32,99,40,48,78,40,28,109,47,148,74,66
2021,10,90,124,7,4,4,9,9,12,5,13,4,1,7,2,2,5,4,3,3,5,13,5,7
2021,10,100,7,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1
2021,11,총,"126,496","4,139","1,589",797,"3,596","1,478","6,157",555,"4,452","1,806",535,"1,582",686,"3,293","4,942","14,419","3,936","13,487","11,778","17,732","17,440","12,097"
2021,11,0,"12,596",284,43,14,195,28,648,16,237,85,17,38,24,192,269,"2,171",297,"1,151",827,"1,624","2,685","1,751"
2021,11,10,"14,568",324,69,33,292,79,592,26,347,143,13,58,33,324,494,"1,850",364,"1,595","1,166","2,160","2,617","1,989"
2021,11,20,"13,021",380,114,48,301,133,507,35,426,137,25,113,39,361,533,"1,252",483,"1,534","1,631","2,194","1,561","1,214"
2021,11,30,"17,297",422,126,48,297,83,798,45,471,158,30,100,50,365,457,"2,802",555,"1,715","1,988","2,349","2,908","1,530"
2021,11,40,"25,527",654,204,89,541,171,"1,230",61,785,254,68,234,99,664,876,"3,522",769,"2,633","2,525","3,452","3,986","2,710"
2021,11,50,"21,651",860,329,188,662,292,"1,035",121,979,353,117,311,152,702,"1,038","1,748",736,"2,468","2,317","3,108","2,327","1,808"
2021,11,60,"14,662",791,373,213,750,374,819,157,775,364,140,377,170,474,877,823,539,"1,803","1,015","2,076",969,783
2021,11,70,"5,423",309,233,114,386,225,406,75,315,221,92,245,76,163,314,209,163,473,257,604,307,236
2021,11,80,"1,621",107,92,46,163,83,111,14,104,87,32,98,41,46,78,38,28,112,47,151,75,68
2021,11,90,123,7,5,4,8,10,11,5,13,4,1,7,2,2,5,4,2,3,5,13,5,7
2021,11,100,7,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1
2021,12,총,"126,291","4,159","1,592",794,"3,597","1,472","6,144",553,"4,454","1,806",535,"1,582",684,"3,222","4,960","14,402","3,921","13,442","11,762","17,650","17,445","12,115"
2021,12,0,"12,495",280,46,13,192,28,642,17,235,82,17,39,26,191,266,"2,149",296,"1,138",827,"1,601","2,669","1,741"
2021,12,10,"14,569",324,69,33,292,78,591,26,348,142,13,58,32,317,485,"1,862",368,"1,589","1,157","2,155","2,622","2,008"
2021,12,20,"12,926",387,115,45,301,131,504,33,423,135,24,109,38,353,533,"1,242",469,"1,520","1,622","2,171","1,558","1,213"
2021,12,30,"17,068",418,126,47,290,81,795,44,468,154,30,101,50,349,460,"2,754",551,"1,684","1,976","2,306","2,877","1,507"
2021,12,40,"25,564",659,205,89,545,168,"1,228",62,767,254,67,236,101,648,880,"3,567",764,"2,632","2,504","3,443","4,011","2,734"
2021,12,50,"21,713",867,325,187,669,294,"1,029",119,989,358,118,310,150,682,"1,053","1,753",730,"2,472","2,328","3,122","2,346","1,812"
2021,12,60,"14,731",799,375,217,748,371,823,156,789,367,142,376,166,469,877,825,548,"1,812","1,034","2,080",971,786
2021,12,70,"5,458",308,235,111,386,226,408,78,316,220,91,249,78,163,323,207,165,482,260,605,307,240
2021,12,80,"1,638",109,91,48,166,84,113,14,105,90,32,97,41,47,77,39,28,111,49,153,79,65
2021,12,90,124,8,5,4,7,11,11,4,14,4,1,6,2,3,5,4,2,2,5,13,5,8
2021,12,100,5,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1
