년도,월,나이,서대문구,천연동,북아현동,충현동,신촌동,연희동,홍제제1동,홍제제3동,홍제제2동,홍은제1동,홍은제2동,남가좌제1동,남가좌제2동,북가좌제1동,북가좌제2동
2021,9,70,"10,024",553,416,622,389,"1,095",843,677,481,833,968,388,921,564,"1,274"
2021,9,80,"4,484",268,156,271,204,544,391,321,222,381,439,186,379,245,477
2021,9,90,410,21,17,30,20,67,32,33,20,35,30,19,34,17,35
2021,9,100,35,2,1,3,2,3,0,12,2,0,7,1,1,1,0
2021,10,총,"146,208","8,120","7,690","9,856","8,756","16,890","11,151","7,449","6,486","10,930","12,834","7,455","14,413","8,730","15,448"
2021,10,0,"9,703",580,710,599,354,782,726,365,403,732,596,"1,061","1,326",688,781
2021,10,10,"11,330",691,495,628,416,"1,172",902,559,504,847,"1,077",704,"1,143","1,011","1,181"
2021,10,20,"23,448","1,016","1,009","1,624","3,033","3,821","1,501","1,011",857,"1,385","2,058",694,"2,114","1,015","2,310"
2021,10,30,"21,868","1,138","1,359","1,631","1,728","2,748","1,603","1,010",908,"1,503","1,862","1,011","2,171","1,068","2,128"
2021,10,40,"22,461","1,273","1,319","1,481",952,"2,279","1,705","1,039",917,"1,633","1,846","1,575","2,449","1,585","2,408"
2021,10,50,"23,703","1,498","1,355","1,622",991,"2,460","1,892","1,324","1,158","1,914","2,193","1,067","2,206","1,445","2,578"
2021,10,60,"18,723","1,082",857,"1,345",664,"1,915","1,556","1,094","1,015","1,662","1,756",742,"1,661","1,099","2,275"
2021,10,70,"10,018",551,411,624,390,"1,093",843,679,482,832,969,392,927,555,"1,270"
2021,10,80,"4,508",269,156,268,205,550,393,325,220,386,439,189,381,248,479
2021,10,90,411,21,18,31,21,67,30,31,20,35,31,19,34,15,38
2021,10,100,35,1,1,3,2,3,0,12,2,1,7,1,1,1,0
2021,11,총,"145,990","8,129","7,684","9,844","8,749","16,820","11,118","7,427","6,493","10,935","12,829","7,413","14,415","8,696","15,438"
2021,11,0,"9,683",581,711,594,356,775,717,363,407,731,597,"1,049","1,338",683,781
2021,11,10,"11,270",683,495,629,398,"1,154",897,555,509,842,"1,071",704,"1,140","1,010","1,183"
2021,11,20,"23,338","1,015","1,002","1,613","3,026","3,799","1,488","1,019",859,"1,380","2,044",683,"2,095","1,007","2,308"
2021,11,30,"21,883","1,144","1,361","1,636","1,752","2,747","1,609",999,906,"1,511","1,863","1,003","2,169","1,062","2,121"
2021,11,40,"22,414","1,271","1,318","1,484",953,"2,272","1,687","1,035",915,"1,630","1,844","1,567","2,456","1,588","2,394"
2021,11,50,"23,710","1,505","1,359","1,616",982,"2,465","1,897","1,312","1,156","1,924","2,208","1,058","2,200","1,439","2,589"
2021,11,60,"18,745","1,092",856,"1,340",664,"1,915","1,556","1,110","1,020","1,663","1,753",745,"1,675","1,091","2,265"
2021,11,70,"9,989",544,405,627,390,"1,075",844,676,478,832,971,394,924,552,"1,277"
2021,11,80,"4,524",271,160,270,205,548,393,327,221,387,439,191,383,248,481
2021,11,90,410,21,16,32,21,68,30,31,20,34,32,18,32,16,39
2021,11,100,24,2,1,3,2,2,0,0,2,1,7,1,3,0,0
2021,12,총,"145,694","8,121","7,644","9,807","8,756","16,737","11,090","7,410","6,471","10,957","12,796","7,384","14,416","8,676","15,429"
2021,12,0,"9,632",577,701,588,355,762,721,360,404,727,599,"1,037","1,344",680,777
2021,12,10,"11,246",681,496,620,403,"1,147",897,558,497,840,"1,072",714,"1,142","1,001","1,178"
2021,12,20,"23,212","1,014",990,"1,593","3,016","3,769","1,477","1,002",863,"1,380","2,023",684,"2,091","1,002","2,308"
2021,12,30,"21,880","1,144","1,352","1,644","1,781","2,744","1,601","1,011",906,"1,503","1,862",981,"2,154","1,069","2,128"
2021,12,40,"22,345","1,255","1,307","1,481",955,"2,253","1,683","1,027",908,"1,636","1,831","1,565","2,475","1,581","2,388"
2021,12,50,"23,685","1,511","1,359","1,617",971,"2,458","1,891","1,314","1,158","1,935","2,210","1,058","2,186","1,430","2,587"
2021,12,60,"18,753","1,095",863,"1,330",661,"1,905","1,557","1,106","1,014","1,679","1,759",744,"1,683","1,091","2,266"
2021,12,70,"9,968",548,399,634,388,"1,079",834,674,476,832,964,390,918,557,"1,275"
2021,12,80,"4,542",271,161,266,202,548,399,328,223,392,444,189,389,249,481
2021,12,90,415,23,15,32,22,70,30,30,20,32,32,21,31,16,41
2021,12,100,16,2,1,2,2,2,0,0,2,1,0,1,3,0,0
