년도,월,나이,하동군,하동읍,화개면,악양면,적량면,횡천면,고전면,금남면,진교면,양보면,북천면,청암면,옥종면,금성면
2021,6,총,"44,065","9,873","3,056","3,503","1,934","1,858","2,246","3,442","5,938","1,730","1,725","1,475","4,271","3,014"
2021,6,0,"1,710",545,84,103,53,49,60,85,330,23,62,51,150,115
2021,6,10,"2,759",868,198,184,85,67,123,145,435,70,82,126,226,150
2021,6,20,"3,251",956,231,187,125,110,139,256,459,79,85,72,252,300
2021,6,30,"2,653",813,123,155,97,102,103,174,413,68,100,78,227,200
2021,6,40,"4,774","1,335",344,331,182,142,216,313,771,137,147,125,372,359
2021,6,50,"8,133","1,776",700,707,328,338,378,635,"1,042",281,275,262,825,586
2021,6,60,"9,186","1,704",635,778,446,439,517,784,"1,134",387,395,394,983,590
2021,6,70,"6,360","1,144",448,578,303,294,363,586,728,355,304,221,634,402
2021,6,80,"4,445",638,246,404,276,270,277,392,527,275,235,122,510,273
2021,6,90,777,93,45,75,39,45,69,69,97,53,40,23,90,39
2021,6,100,17,1,2,1,0,2,1,3,2,2,0,1,2,0
2021,7,총,"43,974","9,853","3,058","3,495","1,930","1,851","2,244","3,436","5,911","1,722","1,716","1,476","4,265","3,017"
2021,7,0,"1,699",542,85,98,51,48,58,85,325,21,64,52,153,117
2021,7,10,"2,749",860,198,183,87,68,121,150,425,69,82,130,225,151
2021,7,20,"3,225",952,225,186,122,106,139,247,461,81,83,73,250,300
2021,7,30,"2,630",803,125,151,98,101,103,175,407,69,98,78,223,199
2021,7,40,"4,725","1,326",345,327,179,142,213,305,762,132,141,125,372,356
2021,7,50,"8,104","1,775",698,707,326,332,376,634,"1,034",277,274,259,828,584
2021,7,60,"9,231","1,719",638,780,449,443,519,789,"1,143",391,393,393,979,595
2021,7,70,"6,340","1,134",444,582,300,293,363,588,728,353,302,217,634,402
2021,7,80,"4,464",643,253,405,278,271,281,389,524,274,239,124,509,274
2021,7,90,790,98,45,75,40,45,70,71,100,53,40,24,90,39
2021,7,100,17,1,2,1,0,2,1,3,2,2,0,1,2,0
2021,8,총,"43,896","9,848","3,064","3,498","1,935","1,847","2,228","3,421","5,910","1,719","1,715","1,465","4,246","3,000"
2021,8,0,"1,681",533,85,103,54,49,56,84,323,21,62,51,146,114
2021,8,10,"2,736",860,196,180,86,65,123,150,426,64,83,123,230,150
2021,8,20,"3,189",958,228,188,120,100,132,233,454,81,84,70,242,299
2021,8,30,"2,609",795,123,153,100,101,103,173,406,71,97,78,215,194
2021,8,40,"4,699","1,328",342,329,179,141,211,302,762,127,141,120,364,353
2021,8,50,"8,088","1,769",699,698,331,329,371,633,"1,037",278,274,260,829,580
2021,8,60,"9,267","1,720",643,785,445,446,520,791,"1,147",397,391,398,983,601
2021,8,70,"6,338","1,134",446,583,303,293,359,587,730,350,301,216,637,399
2021,8,80,"4,478",649,254,403,278,276,284,393,519,273,243,126,506,274
2021,8,90,794,101,46,75,39,44,68,72,104,55,39,23,92,36
2021,8,100,17,1,2,1,0,3,1,3,2,2,0,0,2,0
2021,9,총,"43,650","9,787","3,046","3,478","1,930","1,837","2,215","3,405","5,894","1,706","1,701","1,437","4,222","2,992"
2021,9,0,"1,657",522,82,101,53,51,52,81,322,21,61,49,148,114
2021,9,10,"2,720",858,198,177,87,66,122,147,430,62,82,112,229,150
2021,9,20,"3,076",943,211,179,114,96,131,224,437,77,77,68,228,291
2021,9,30,"2,566",776,124,152,96,98,102,173,405,63,94,74,213,196
2021,9,40,"4,624","1,302",335,322,179,138,207,299,752,127,140,116,355,352
2021,9,50,"8,087","1,780",699,700,330,329,374,633,"1,035",276,274,259,829,569
2021,9,60,"9,283","1,725",644,784,444,438,519,794,"1,154",396,391,396,990,608
2021,9,70,"6,336","1,138",452,580,306,298,355,587,731,352,302,214,625,396
2021,9,80,"4,491",647,252,407,282,276,284,392,519,273,241,127,511,280
2021,9,90,794,95,47,75,39,44,68,72,108,57,39,22,92,36
2021,9,100,16,1,2,1,0,3,1,3,1,2,0,0,2,0
2021,10,총,"43,572","9,748","3,042","3,483","1,928","1,841","2,190","3,395","5,913","1,707","1,691","1,433","4,218","2,983"
2021,10,0,"1,656",527,83,103,50,52,47,83,320,21,61,53,143,113
2021,10,10,"2,720",859,197,178,86,69,118,146,435,61,81,115,226,149
2021,10,20,"3,029",929,200,181,114,91,128,216,437,79,76,62,229,287
2021,10,30,"2,548",768,127,153,92,99,101,170,405,61,93,73,213,193
2021,10,40,"4,593","1,295",338,320,179,135,200,296,748,128,137,113,353,351
2021,10,50,"8,080","1,769",700,700,333,330,369,637,"1,037",277,270,257,830,571
2021,10,60,"9,304","1,722",646,785,448,438,521,795,"1,170",395,392,398,994,600
2021,10,70,"6,347","1,140",452,579,308,302,358,587,730,352,302,215,622,400
2021,10,80,"4,482",642,249,410,280,278,282,390,521,275,240,123,510,282
2021,10,90,796,96,48,73,38,44,65,72,109,56,39,24,96,36
2021,10,100,17,1,2,1,0,3,1,3,1,2,0,0,2,1
2021,11,총,"43,530","9,735","3,047","3,483","1,919","1,826","2,192","3,386","5,928","1,716","1,685","1,432","4,210","2,971"
2021,11,0,"1,646",524,84,98,49,49,48,80,319,26,56,53,146,114
2021,11,10,"2,692",848,194,178,86,67,118,142,431,61,82,115,223,147
2021,11,20,"3,033",927,201,184,112,89,127,214,446,80,74,65,233,281
2021,11,30,"2,548",775,122,150,91,98,105,175,406,62,88,69,212,195
2021,11,40,"4,568","1,283",341,321,175,132,197,290,744,128,140,116,351,350
2021,11,50,"8,063","1,767",698,693,336,325,371,635,"1,037",280,269,253,827,572
2021,11,60,"9,347","1,735",655,794,446,437,522,798,"1,182",397,393,398,994,596
2021,11,70,"6,312","1,133",451,573,306,297,352,591,727,347,303,215,616,401
2021,11,80,"4,507",646,252,413,278,285,285,390,524,276,241,124,512,281
2021,11,90,799,95,47,78,40,45,66,69,111,57,39,24,94,34
2021,11,100,15,2,2,1,0,2,1,2,1,2,0,0,2,0
2021,12,총,"43,449","9,724","3,039","3,493","1,914","1,820","2,186","3,384","5,911","1,710","1,681","1,425","4,206","2,956"
2021,12,0,"1,633",526,85,94,46,50,47,79,318,24,56,50,144,114
2021,12,10,"2,673",842,189,178,87,65,118,145,430,59,79,112,221,148
2021,12,20,"3,037",929,206,187,113,87,129,206,444,81,76,65,233,281
2021,12,30,"2,529",778,118,147,89,95,102,176,402,61,87,67,217,190
2021,12,40,"4,549","1,278",337,326,169,133,195,294,731,128,140,118,353,347
2021,12,50,"8,031","1,764",702,695,336,323,372,632,"1,029",275,266,251,823,563
2021,12,60,"9,375","1,731",656,799,454,433,517,802,"1,190",404,397,397,998,597
2021,12,70,"6,293","1,129",447,569,301,304,356,586,727,342,301,217,614,400
2021,12,80,"4,525",651,255,421,279,286,284,389,527,278,239,123,510,283
2021,12,90,790,93,43,76,40,42,65,73,112,57,40,25,91,33
2021,12,100,14,3,1,1,0,2,1,2,1,1,0,0,2,0
