년도,월,나이,충청남도 아산시,충청남도 아산시 염치읍,충청남도 아산시 배방읍,충청남도 아산시 송악면,충청남도 아산시 탕정면,충청남도 아산시 음봉면,충청남도 아산시 둔포면,충청남도 아산시 영인면,충청남도 아산시 인주면,충청남도 아산시 선장면,충청남도 아산시 도고면,충청남도 아산시 신창면,충청남도 아산시 온양1동,충청남도 아산시 온양2동,충청남도 아산시 온양3동,충청남도 아산시 온양4동,충청남도 아산시 온양5동,충청남도 아산시 온양6동
2021,6,총,"320,340","6,449","79,821","4,229","22,322","20,228","22,128","5,529","6,378","3,084","4,451","19,769","9,367","10,759","36,645","18,699","21,498","28,984"
2021,6,0,"32,078",342,"9,750",186,"2,886","2,510","2,480",138,296,60,105,"1,465",871,428,"3,815","1,472","2,109","3,165"
2021,6,10,"34,914",484,"9,649",361,"3,116","1,805","1,465",269,378,107,174,"2,052",728,784,"4,854","2,400","2,727","3,561"
2021,6,20,"37,321",542,"10,090",299,"2,947","2,098","2,439",417,533,177,350,"2,407","1,087","1,688","4,497","2,132","2,727","2,891"
2021,6,30,"48,303",595,"14,783",274,"3,944","3,567","4,697",403,596,179,301,"2,161","1,722","1,230","4,908","2,101","2,831","4,011"
2021,6,40,"57,360",881,"15,243",531,"4,847","3,513","3,666",569,926,250,399,"3,447","1,497","1,450","6,996","3,445","4,047","5,653"
2021,6,50,"46,974","1,124","10,350",754,"2,484","2,807","3,047",970,"1,217",518,829,"3,238","1,308","1,986","5,377","3,206","3,404","4,355"
2021,6,60,"33,884","1,194","5,870",843,"1,141","2,286","2,440","1,276","1,182",774,"1,009","2,544","1,158","1,697","3,420","2,134","2,019","2,897"
2021,6,70,"18,118",711,"2,637",567,585,981,"1,152",836,676,562,723,"1,527",652,975,"1,798","1,167","1,054","1,515"
2021,6,80,"9,968",503,"1,249",352,324,567,640,569,501,408,506,830,285,453,865,561,509,846
2021,6,90,"1,365",70,190,57,48,93,99,81,73,47,54,94,56,64,108,77,66,88
2021,6,100,55,3,10,5,0,1,3,1,0,2,1,4,3,4,7,4,5,2
2021,7,총,"321,170","6,424","80,352","4,230","22,770","20,226","22,290","5,508","6,365","3,072","4,440","19,735","9,371","10,760","36,593","18,637","21,478","28,919"
2021,7,0,"31,966",334,"9,747",183,"2,936","2,491","2,498",135,291,57,104,"1,449",882,422,"3,769","1,449","2,083","3,136"
2021,7,10,"35,062",482,"9,693",362,"3,188","1,808","1,487",267,383,109,173,"2,055",728,778,"4,864","2,386","2,738","3,561"
2021,7,20,"37,364",541,"10,146",296,"2,990","2,118","2,440",422,527,171,342,"2,395","1,075","1,688","4,482","2,131","2,716","2,884"
2021,7,30,"48,321",590,"14,866",273,"4,041","3,536","4,720",398,595,178,299,"2,133","1,718","1,228","4,875","2,073","2,809","3,989"
2021,7,40,"57,510",882,"15,349",528,"4,949","3,512","3,708",560,921,249,397,"3,430","1,507","1,448","6,992","3,414","4,044","5,620"
2021,7,50,"47,252","1,112","10,495",752,"2,534","2,809","3,087",965,"1,207",509,825,"3,268","1,302","1,986","5,395","3,219","3,423","4,364"
2021,7,60,"34,092","1,195","5,931",848,"1,161","2,308","2,454","1,276","1,188",779,"1,016","2,543","1,160","1,714","3,434","2,155","2,017","2,913"
2021,7,70,"18,211",712,"2,678",572,595,993,"1,154",836,675,565,720,"1,534",652,974,"1,804","1,171","1,059","1,517"
2021,7,80,"9,965",505,"1,244",354,327,561,640,565,505,405,507,830,288,453,862,557,518,844
2021,7,90,"1,371",68,193,57,49,89,99,83,73,48,55,94,56,65,109,79,66,88
2021,7,100,56,3,10,5,0,1,3,1,0,2,2,4,3,4,7,3,5,3
2021,8,총,"322,158","6,441","80,753","4,218","23,673","20,243","22,265","5,515","6,329","3,080","4,426","19,736","9,373","10,733","36,493","18,561","21,432","28,887"
2021,8,0,"31,908",328,"9,728",177,"3,093","2,470","2,480",135,282,59,104,"1,435",886,416,"3,718","1,439","2,040","3,118"
2021,8,10,"35,202",488,"9,722",362,"3,297","1,813","1,498",265,377,110,173,"2,053",721,771,"4,867","2,378","2,745","3,562"
2021,8,20,"37,427",544,"10,244",296,"3,063","2,115","2,440",423,516,171,342,"2,402","1,096","1,667","4,438","2,104","2,703","2,863"
2021,8,30,"48,347",587,"14,876",269,"4,236","3,507","4,705",400,592,182,292,"2,110","1,699","1,228","4,842","2,065","2,787","3,970"
2021,8,40,"57,703",886,"15,413",518,"5,150","3,539","3,711",552,909,245,394,"3,424","1,512","1,445","6,966","3,394","4,037","5,608"
2021,8,50,"47,557","1,124","10,604",751,"2,653","2,817","3,086",962,"1,202",510,824,"3,279","1,302","1,991","5,420","3,197","3,442","4,393"
2021,8,60,"34,276","1,194","5,993",859,"1,201","2,322","2,449","1,286","1,191",776,"1,021","2,563","1,157","1,721","3,450","2,169","2,017","2,907"
2021,8,70,"18,263",713,"2,705",567,600,"1,004","1,155",836,681,571,713,"1,535",654,964,"1,807","1,172","1,063","1,523"
2021,8,80,"10,041",507,"1,267",358,330,565,637,570,506,404,508,833,288,459,869,562,528,850
2021,8,90,"1,379",67,191,56,50,90,101,85,73,50,53,98,55,67,110,78,65,90
2021,8,100,55,3,10,5,0,1,3,1,0,2,2,4,3,4,6,3,5,3
2021,9,총,"322,893","6,450","80,994","4,197","24,227","20,264","22,360","5,499","6,294","3,076","4,434","19,723","9,362","10,726","36,453","18,547","21,426","28,861"
2021,9,0,"31,892",326,"9,750",176,"3,178","2,461","2,491",133,279,61,104,"1,427",879,409,"3,671","1,426","2,020","3,101"
2021,9,10,"35,266",493,"9,721",360,"3,372","1,820","1,508",264,374,107,172,"2,041",722,770,"4,877","2,362","2,747","3,556"
2021,9,20,"37,423",538,"10,200",288,"3,132","2,094","2,432",408,513,171,335,"2,440","1,110","1,668","4,442","2,096","2,714","2,842"
2021,9,30,"48,413",590,"14,944",264,"4,360","3,524","4,724",407,582,179,297,"2,082","1,673","1,207","4,803","2,048","2,777","3,952"
2021,9,40,"57,755",885,"15,443",525,"5,252","3,534","3,724",540,898,241,386,"3,394","1,521","1,453","6,964","3,377","4,022","5,596"
2021,9,50,"47,813","1,119","10,682",742,"2,721","2,839","3,103",961,"1,195",509,831,"3,287","1,301","1,996","5,438","3,221","3,452","4,416"
2021,9,60,"34,553","1,207","6,061",854,"1,234","2,333","2,480","1,290","1,193",774,"1,030","2,588","1,150","1,725","3,481","2,193","2,033","2,927"
2021,9,70,"18,255",717,"2,713",570,597,997,"1,152",841,676,571,712,"1,524",661,961,"1,792","1,182","1,062","1,527"
2021,9,80,"10,085",508,"1,283",356,330,570,640,571,513,409,509,836,289,464,865,561,532,849
2021,9,90,"1,382",64,187,57,51,91,103,82,71,52,56,100,53,69,114,78,62,92
2021,9,100,56,3,10,5,0,1,3,2,0,2,2,4,3,4,6,3,5,3
2021,10,총,"323,789","6,456","81,392","4,214","24,556","20,313","22,491","5,515","6,296","3,072","4,418","19,686","9,364","10,757","36,473","18,584","21,379","28,823"
2021,10,0,"31,816",327,"9,753",175,"3,204","2,447","2,522",136,275,62,102,"1,414",872,404,"3,628","1,429","2,003","3,063"
2021,10,10,"35,409",491,"9,755",363,"3,434","1,829","1,522",265,377,110,169,"2,038",726,783,"4,887","2,364","2,740","3,556"
2021,10,20,"37,401",544,"10,230",286,"3,144","2,098","2,412",410,515,166,328,"2,420","1,112","1,676","4,431","2,096","2,710","2,823"
2021,10,30,"48,512",585,"15,024",266,"4,401","3,526","4,776",408,584,181,299,"2,074","1,683","1,213","4,781","2,031","2,751","3,929"
2021,10,40,"57,866",883,"15,478",524,"5,363","3,537","3,741",538,898,236,382,"3,385","1,505","1,451","6,968","3,391","4,010","5,576"
2021,10,50,"48,104","1,126","10,792",750,"2,767","2,852","3,112",965,"1,193",505,825,"3,276","1,305","2,009","5,480","3,239","3,459","4,449"
2021,10,60,"34,782","1,210","6,131",852,"1,253","2,361","2,503","1,292","1,200",777,"1,031","2,604","1,150","1,724","3,512","2,207","2,037","2,938"
2021,10,70,"18,310",715,"2,729",581,607,"1,004","1,152",840,667,570,710,"1,522",661,964,"1,797","1,185","1,064","1,542"
2021,10,80,"10,144",507,"1,299",358,330,570,645,575,517,411,515,849,294,464,867,558,536,849
2021,10,90,"1,388",65,191,54,52,88,103,84,70,52,54,100,53,65,116,82,64,95
2021,10,100,57,3,10,5,1,1,3,2,0,2,3,4,3,4,6,2,5,3
2021,11,총,"324,552","6,454","81,678","4,211","24,792","20,358","22,605","5,517","6,299","3,058","4,419","19,698","9,363","10,793","36,459","18,572","21,417","28,859"
2021,11,0,"31,739",322,"9,737",172,"3,208","2,438","2,548",135,270,60,104,"1,393",865,404,"3,621","1,418","2,003","3,041"
2021,11,10,"35,453",486,"9,798",361,"3,468","1,840","1,528",260,386,107,169,"2,018",718,787,"4,892","2,347","2,728","3,560"
2021,11,20,"37,529",553,"10,277",290,"3,178","2,118","2,396",413,517,168,328,"2,429","1,123","1,690","4,424","2,120","2,704","2,801"
2021,11,30,"48,485",581,"15,048",270,"4,427","3,508","4,800",409,582,179,300,"2,056","1,676","1,208","4,737","2,013","2,760","3,931"
2021,11,40,"58,066",865,"15,560",525,"5,438","3,557","3,788",531,901,237,381,"3,390","1,513","1,453","6,969","3,380","4,006","5,572"
2021,11,50,"48,364","1,136","10,863",753,"2,813","2,865","3,121",967,"1,190",506,823,"3,303","1,307","2,020","5,503","3,240","3,470","4,484"
2021,11,60,"34,955","1,215","6,162",849,"1,263","2,364","2,510","1,296","1,204",773,"1,035","2,621","1,150","1,735","3,531","2,215","2,068","2,964"
2021,11,70,"18,365",723,"2,744",578,609,"1,004","1,159",843,662,566,709,"1,532",658,965,"1,798","1,194","1,070","1,551"
2021,11,80,"10,156",505,"1,296",358,337,576,645,579,513,409,514,847,299,463,867,562,535,851
2021,11,90,"1,394",65,188,54,50,87,107,82,74,51,53,105,50,64,113,82,68,101
2021,11,100,46,3,5,1,1,1,3,2,0,2,3,4,4,4,4,1,5,3
2021,12,총,"324,580","6,459","81,661","4,194","24,910","20,408","22,608","5,525","6,243","3,040","4,439","19,644","9,344","10,746","36,577","18,557","21,442","28,783"
2021,12,0,"31,531",316,"9,685",168,"3,202","2,428","2,535",136,255,60,104,"1,373",858,403,"3,626","1,404","1,972","3,006"
2021,12,10,"35,511",492,"9,811",362,"3,507","1,862","1,538",257,380,103,168,"2,021",715,787,"4,896","2,342","2,724","3,546"
2021,12,20,"37,503",551,"10,239",288,"3,197","2,129","2,363",410,513,167,332,"2,411","1,106","1,683","4,440","2,137","2,737","2,800"
2021,12,30,"48,272",571,"15,049",268,"4,417","3,484","4,773",404,568,173,302,"2,036","1,682","1,190","4,769","1,978","2,720","3,888"
2021,12,40,"58,246",853,"15,606",525,"5,483","3,603","3,827",536,900,236,385,"3,386","1,512","1,432","6,984","3,390","4,022","5,566"
2021,12,50,"48,416","1,146","10,858",747,"2,833","2,855","3,132",973,"1,176",507,825,"3,302","1,293","2,016","5,531","3,241","3,485","4,496"
2021,12,60,"35,069","1,228","6,173",848,"1,273","2,370","2,525","1,306","1,206",772,"1,035","2,632","1,164","1,735","3,526","2,220","2,090","2,966"
2021,12,70,"18,368",726,"2,749",579,608,"1,015","1,153",835,663,560,710,"1,523",655,964,"1,814","1,190","1,072","1,552"
2021,12,80,"10,192",505,"1,294",353,336,569,650,580,506,414,520,851,305,467,872,568,545,857
2021,12,90,"1,429",68,193,55,53,92,109,86,75,48,55,106,50,65,115,86,70,103
2021,12,100,43,3,4,1,1,1,3,2,1,0,3,3,4,4,4,1,5,3
