년도,월,나이,강서구,대저1동,대저2동,강동동,명지1동,명지2동,가락동,녹산동,가덕도동
2021,12,0,"9,476",98,210,33,"4,708","2,319",27,"2,027",54
2021,12,10,"6,368",124,218,58,"2,400","2,184",22,"1,290",72
2021,12,20,"5,708",236,288,113,"2,264","1,138",77,"1,477",115
2021,12,30,"13,184",238,358,135,"6,628","2,498",72,"3,116",139
2021,12,40,"11,611",243,360,120,"4,577","3,415",70,"2,652",174
2021,12,50,"8,223",511,446,357,"2,496","1,656",183,"2,197",377
2021,12,60,"8,454",743,624,605,"2,190","1,343",293,"2,140",516
2021,12,70,"3,605",467,344,319,706,456,197,876,240
2021,12,80,"1,855",251,207,178,341,186,128,415,149
2021,12,90,377,50,48,36,67,41,23,78,34
2021,12,100,10,2,1,2,2,0,2,0,1
