년도,월,나이,시흥시,대야동,신천동,신현동,은행동,매화동,목감동,군자동,월곶동,정왕본동,정왕1동,정왕2동,정왕3동,정왕4동,배곧동,과림동,연성동,장곡동,능곡동,배곧1동,배곧2동
2021,5,50,"42,176","4,318","3,950","1,057","4,356","1,110","2,849","1,946","1,235","1,375","1,710","2,940","1,980","2,162","4,290",171,"2,318","2,453","1,956",,
2021,5,60,"23,742","2,653","2,467",791,"2,543",794,"2,287","1,409",940,763,942,"1,180","1,017",790,"1,819",224,"1,064","1,044","1,015",,
2021,5,70,"10,780","1,114","1,175",392,983,479,941,717,448,318,413,598,473,445,567,93,608,508,508,,
2021,5,80,"6,270",705,686,248,595,318,524,402,218,186,223,370,256,284,256,51,358,280,310,,
2021,5,90,"1,146",140,94,36,123,48,103,72,40,35,49,49,70,28,56,14,69,51,69,,
2021,5,100,75,8,20,4,4,2,11,8,2,2,1,3,1,1,1,2,3,1,1,,
2021,6,총,"244,236","22,142","17,533","4,746","28,068","5,763","20,862","10,463","7,716","7,525","9,200","14,747","10,032","10,739","34,709",759,"11,680","15,555","11,997",,
2021,6,0,"24,033","1,710",751,213,"3,616",345,"2,854",723,697,555,638,"1,180",838,778,"5,290",22,819,"1,809","1,195",,
2021,6,10,"24,498","1,697","1,502",346,"2,818",550,"1,666","1,043",713,547,946,"1,694","1,014","1,309","4,042",22,"1,348","1,908","1,333",,
2021,6,20,"32,115","3,203","2,671",624,"3,267",699,"2,053","1,279",888,"1,120","1,350","2,168","1,290","1,729","4,334",59,"1,741","1,963","1,677",,
2021,6,30,"36,526","3,356","1,754",413,"4,966",508,"4,104","1,142","1,107","1,256","1,226","1,800","1,277","1,196","7,007",56,"1,233","2,399","1,726",,
2021,6,40,"42,507","3,194","2,450",619,"4,741",897,"3,452","1,700","1,420","1,361","1,701","2,747","1,796","2,000","7,011",53,"2,105","3,109","2,151",,
2021,6,50,"42,239","4,323","3,945","1,042","4,396","1,115","2,837","1,941","1,235","1,379","1,710","2,928","1,979","2,176","4,312",165,"2,315","2,457","1,984",,
2021,6,60,"23,991","2,685","2,480",807,"2,556",800,"2,313","1,435",939,773,939,"1,207","1,038",794,"1,835",220,"1,079","1,059","1,032",,
2021,6,70,"10,804","1,118","1,176",396,993,480,941,718,456,312,414,596,473,441,562,96,606,511,515,,
2021,6,80,"6,302",706,688,247,593,318,528,402,219,185,226,374,257,285,261,49,361,289,314,,
2021,6,90,"1,146",142,96,35,117,49,104,72,40,35,49,50,69,30,54,15,70,50,69,,
2021,6,100,75,8,20,4,5,2,10,8,2,2,1,3,1,1,1,2,3,1,1,,
2021,7,총,"244,561","22,175","17,524","4,737","28,137","5,764","20,879","10,463","7,724","7,555","9,197","14,748","10,066","10,716",0,757,"11,712","15,586","12,051","17,965","16,805"
2021,7,0,"24,007","1,715",749,210,"3,605",340,"2,857",717,692,557,637,"1,173",840,772,0,22,821,"1,811","1,190","2,969","2,330"
2021,7,10,"24,501","1,693","1,489",347,"2,833",550,"1,662","1,052",717,551,937,"1,697","1,007","1,299",0,22,"1,345","1,901","1,338","2,115","1,946"
2021,7,20,"32,091","3,190","2,672",619,"3,257",700,"2,050","1,276",889,"1,116","1,348","2,183","1,291","1,727",0,59,"1,749","1,979","1,682","1,774","2,530"
2021,7,30,"36,503","3,363","1,755",418,"4,977",499,"4,079","1,125","1,104","1,265","1,224","1,790","1,291","1,197",0,56,"1,238","2,387","1,745","3,607","3,383"
2021,7,40,"42,518","3,180","2,434",611,"4,769",887,"3,479","1,704","1,424","1,362","1,696","2,719","1,797","1,985",0,53,"2,089","3,113","2,158","3,669","3,389"
2021,7,50,"42,341","4,350","3,940","1,045","4,397","1,122","2,839","1,942","1,229","1,382","1,713","2,945","1,977","2,179",0,164,"2,342","2,465","1,996","2,261","2,053"
2021,7,60,"24,205","2,699","2,503",810,"2,585",813,"2,324","1,437",947,788,948,"1,219","1,057",803,0,218,"1,083","1,074","1,039","1,058",800
2021,7,70,"10,837","1,119","1,175",394,"1,001",482,941,730,457,313,416,598,473,442,0,96,606,509,515,336,234
2021,7,80,"6,323",718,689,244,588,321,530,398,223,184,229,370,263,280,0,50,366,289,319,152,110
2021,7,90,"1,159",140,97,35,121,48,107,74,40,35,48,51,69,31,0,15,70,57,68,23,30
2021,7,100,76,8,21,4,4,2,11,8,2,2,1,3,1,1,0,2,3,1,1,1,0
2021,8,총,"244,571","22,172","17,514","4,722","28,194","5,774","20,879","10,442","7,750","7,531","9,162","14,723","10,040","10,687",,749,"11,704","15,662","12,127","17,941","16,798"
2021,8,0,"23,892","1,714",752,203,"3,621",333,"2,842",707,681,555,627,"1,159",828,762,,21,821,"1,822","1,205","2,927","2,312"
2021,8,10,"24,515","1,698","1,479",348,"2,835",546,"1,671","1,058",725,542,929,"1,696","1,000","1,290",,23,"1,336","1,907","1,341","2,137","1,954"
2021,8,20,"31,971","3,152","2,666",615,"3,243",708,"2,032","1,258",887,"1,108","1,351","2,161","1,283","1,724",,55,"1,744","1,984","1,683","1,775","2,542"
2021,8,30,"36,449","3,374","1,743",422,"4,970",502,"4,070","1,118","1,112","1,268","1,216","1,778","1,288","1,194",,57,"1,240","2,405","1,757","3,567","3,368"
2021,8,40,"42,465","3,149","2,421",607,"4,806",874,"3,494","1,697","1,420","1,346","1,693","2,727","1,777","1,975",,53,"2,062","3,122","2,167","3,693","3,382"
2021,8,50,"42,402","4,374","3,941","1,031","4,383","1,136","2,830","1,943","1,247","1,378","1,710","2,949","1,981","2,184",,163,"2,359","2,474","2,013","2,260","2,046"
2021,8,60,"24,398","2,714","2,523",817,"2,621",821,"2,339","1,452",947,802,942,"1,222","1,070",803,,217,"1,091","1,091","1,045","1,066",815
2021,8,70,"10,864","1,120","1,180",394,996,486,948,726,459,309,419,600,474,442,,94,603,513,525,336,240
2021,8,80,"6,374",729,692,246,596,317,535,402,228,185,229,375,268,279,,50,375,287,319,153,109
2021,8,90,"1,163",140,96,35,119,49,107,73,42,36,44,53,70,33,,14,69,56,71,26,30
2021,8,100,78,8,21,4,4,2,11,8,2,2,2,3,1,1,,2,4,1,1,1,0
2021,9,총,"244,566","22,147","17,512","4,711","28,196","5,765","20,838","10,421","7,734","7,522","9,146","14,669","10,069","10,633",,747,"11,673","15,968","12,156","17,878","16,781"
2021,9,0,"23,749","1,703",752,202,"3,609",333,"2,820",697,672,553,629,"1,143",817,758,,22,819,"1,838","1,200","2,898","2,284"
2021,9,10,"24,524","1,689","1,473",345,"2,832",541,"1,681","1,060",719,544,927,"1,691","1,003","1,279",,22,"1,326","1,928","1,349","2,142","1,973"
2021,9,20,"31,812","3,132","2,646",612,"3,221",702,"2,009","1,263",881,"1,106","1,337","2,127","1,290","1,703",,57,"1,727","2,028","1,675","1,749","2,547"
2021,9,30,"36,333","3,368","1,751",418,"4,946",505,"4,042","1,113","1,100","1,255","1,218","1,768","1,292","1,201",,57,"1,241","2,431","1,759","3,536","3,332"
2021,9,40,"42,452","3,146","2,399",597,"4,820",869,"3,509","1,701","1,421","1,341","1,681","2,718","1,771","1,956",,54,"2,049","3,163","2,173","3,700","3,384"
2021,9,50,"42,563","4,379","3,955","1,034","4,403","1,139","2,823","1,920","1,261","1,377","1,715","2,958","1,992","2,187",,161,"2,369","2,547","2,011","2,267","2,065"
2021,9,60,"24,591","2,733","2,547",822,"2,641",824,"2,345","1,456",945,808,947,"1,232","1,082",797,,216,"1,094","1,147","1,067","1,067",821
2021,9,70,"10,874","1,114","1,175",396,"1,001",484,953,723,459,311,417,603,479,440,,93,598,532,524,337,235
2021,9,80,"6,408",731,697,246,597,314,539,409,232,187,227,373,271,277,,48,376,295,326,153,110
2021,9,90,"1,181",144,97,35,121,52,106,71,42,37,46,53,71,34,,15,70,58,71,28,30
2021,9,100,79,8,20,4,5,2,11,8,2,3,2,3,1,1,,2,4,1,1,1,0
2021,10,총,"244,537","22,091","17,490","4,706","28,256","5,749","20,826","10,408","7,763","7,476","9,135","14,618","10,052","10,616",,747,"11,639","16,088","12,176","17,899","16,802"
2021,10,0,"23,623","1,686",751,203,"3,598",330,"2,809",694,672,550,628,"1,123",804,751,,23,808,"1,833","1,199","2,890","2,271"
2021,10,10,"24,519","1,692","1,467",343,"2,838",543,"1,699","1,053",717,536,909,"1,692","1,002","1,269",,23,"1,314","1,937","1,335","2,160","1,990"
2021,10,20,"31,704","3,105","2,634",609,"3,233",690,"1,979","1,268",875,"1,091","1,338","2,112","1,294","1,709",,56,"1,722","2,032","1,668","1,746","2,543"
2021,10,30,"36,247","3,351","1,765",413,"4,919",503,"4,027","1,096","1,110","1,254","1,227","1,761","1,282","1,185",,59,"1,235","2,454","1,768","3,514","3,324"
2021,10,40,"42,477","3,157","2,381",594,"4,858",859,"3,516","1,704","1,429","1,327","1,671","2,713","1,771","1,951",,50,"2,042","3,176","2,166","3,721","3,391"
2021,10,50,"42,630","4,369","3,942","1,030","4,409","1,141","2,834","1,931","1,276","1,372","1,720","2,952","1,997","2,189",,163,"2,370","2,565","2,030","2,266","2,074"
2021,10,60,"24,786","2,747","2,565",827,"2,672",829,"2,359","1,461",949,815,944,"1,238","1,087",808,,214,"1,106","1,180","1,078","1,077",830
2021,10,70,"10,881","1,113","1,171",399,"1,001",489,949,718,461,306,425,599,475,439,,95,591,544,528,340,238
2021,10,80,"6,417",719,704,248,599,307,545,408,232,184,226,372,268,278,,46,380,304,331,156,110
2021,10,90,"1,197",147,99,36,124,56,104,72,40,37,46,53,71,36,,16,67,62,72,28,31
2021,10,100,56,5,11,4,5,2,5,3,2,4,1,3,1,1,,2,4,1,1,1,0
2021,11,총,"244,652","22,140","17,466","4,706","28,259","5,752","20,847","10,393","7,835","7,469","9,111","14,606","10,064","10,598",,738,"11,629","16,130","12,217","17,880","16,812"
2021,11,0,"23,513","1,707",739,204,"3,584",322,"2,787",681,678,541,627,"1,100",801,744,,23,798,"1,829","1,202","2,879","2,267"
2021,11,10,"24,518","1,684","1,462",340,"2,841",546,"1,712","1,051",716,535,903,"1,694","1,002","1,264",,23,"1,312","1,932","1,330","2,165","2,006"
2021,11,20,"31,595","3,094","2,619",609,"3,226",678,"1,970","1,267",884,"1,084","1,332","2,100","1,289","1,702",,56,"1,705","2,037","1,677","1,730","2,536"
2021,11,30,"36,233","3,366","1,759",408,"4,897",507,"4,020","1,086","1,134","1,255","1,220","1,764","1,288","1,182",,60,"1,250","2,443","1,785","3,501","3,308"
2021,11,40,"42,480","3,141","2,376",599,"4,864",855,"3,539","1,701","1,427","1,332","1,657","2,706","1,770","1,943",,49,"2,028","3,200","2,175","3,717","3,401"
2021,11,50,"42,782","4,386","3,935","1,032","4,435","1,153","2,835","1,938","1,304","1,371","1,719","2,966","2,001","2,207",,160,"2,374","2,581","2,032","2,277","2,076"
2021,11,60,"24,941","2,768","2,581",829,"2,692",828,"2,376","1,460",952,816,955,"1,247","1,100",804,,209,"1,120","1,196","1,083","1,085",840
2021,11,70,"10,882","1,110","1,171",399,994,490,948,727,461,310,423,602,469,436,,95,591,549,530,337,240
2021,11,80,"6,449",727,715,247,601,314,551,406,236,183,226,373,271,279,,46,378,303,328,159,106
2021,11,90,"1,210",152,97,36,122,57,104,75,42,38,48,51,71,36,,16,71,59,74,29,32
2021,11,100,49,5,12,3,3,2,5,1,1,4,1,3,2,1,,1,2,1,1,1,0
2021,12,총,"244,607","22,129","17,459","4,715","28,257","5,739","20,824","10,386","7,902","7,430","9,115","14,605","10,041","10,563",,735,"11,609","16,134","12,293","17,889","16,782"
2021,12,0,"23,406","1,710",729,209,"3,574",325,"2,761",673,671,530,633,"1,103",798,742,,23,790,"1,808","1,191","2,877","2,259"
2021,12,10,"24,469","1,665","1,440",337,"2,845",541,"1,718","1,047",724,530,895,"1,684","1,004","1,252",,21,"1,310","1,943","1,329","2,175","2,009"
2021,12,20,"31,504","3,095","2,615",608,"3,214",683,"1,966","1,256",892,"1,069","1,326","2,123","1,269","1,691",,56,"1,709","2,021","1,700","1,720","2,491"
2021,12,30,"36,181","3,354","1,766",413,"4,874",504,"3,996","1,087","1,164","1,259","1,226","1,759","1,284","1,177",,59,"1,252","2,451","1,792","3,469","3,295"
2021,12,40,"42,538","3,142","2,386",590,"4,877",844,"3,569","1,702","1,436","1,335","1,656","2,685","1,761","1,930",,48,"2,014","3,215","2,182","3,740","3,426"
2021,12,50,"42,788","4,373","3,933","1,043","4,429","1,148","2,830","1,933","1,316","1,361","1,721","2,974","2,004","2,216",,159,"2,376","2,570","2,051","2,277","2,074"
2021,12,60,"25,092","2,798","2,600",820,"2,719",832,"2,375","1,469",959,815,960,"1,253","1,105",804,,209,"1,125","1,210","1,092","1,102",845
2021,12,70,"10,880","1,102","1,166",402,997,487,943,731,459,316,424,599,471,434,,99,582,548,540,338,242
2021,12,80,"6,491",730,718,252,601,316,558,415,237,175,226,368,272,280,,45,383,307,340,161,107
2021,12,90,"1,212",154,97,38,124,57,103,72,43,36,47,54,71,36,,16,66,60,75,29,34
2021,12,100,46,6,9,3,3,2,5,1,1,4,1,3,2,1,,0,2,1,1,1,0
