년도,월,나이,경산시,하양읍,진량읍,압량읍,와촌면,자인면,용성면,남산면,압량면,남천면,중방동,중앙동,남부동,서부1동,서부2동,북부동,동부동
2021,4,총,"133,303","12,775","18,918","11,117","3,175","2,790","1,758","1,938",,"1,531","4,821","3,237","9,808","17,202","15,903","8,842","19,488"
2021,4,0,"10,229",840,"1,230","1,206",91,71,36,59,,49,269,119,983,"1,296","1,768",542,"1,670"
2021,4,10,"11,749","1,407","1,743",636,146,120,53,75,,55,306,222,"1,086","1,917","1,305",418,"2,260"
2021,4,20,"19,877","2,165","3,102","1,745",306,259,134,168,,151,796,532,"1,094","2,264","2,188","2,067","2,906"
2021,4,30,"17,697","1,398","2,211","2,301",270,236,129,130,,116,618,395,"1,340","1,861","2,490","1,684","2,518"
2021,4,40,"21,258","1,938","3,264","1,781",381,375,175,216,,156,618,417,"1,762","2,999","2,495","1,287","3,394"
2021,4,50,"22,621","2,136","3,767","1,440",672,510,329,392,,323,892,625,"1,452","2,975","2,562","1,316","3,230"
2021,4,60,"17,589","1,597","2,191","1,206",736,688,483,493,,347,845,549,"1,182","2,336","1,816",921,"2,199"
2021,4,70,"8,780",904,988,567,404,383,290,275,,241,367,260,659,"1,091",937,456,958
2021,4,80,"3,245",365,388,216,156,140,118,116,,79,104,111,233,430,315,144,330
2021,4,90,252,24,34,19,12,8,11,14,,12,6,7,17,33,26,7,22
2021,4,100,6,1,0,0,1,0,0,0,,2,0,0,0,0,1,0,1
2021,5,총,"133,807","12,917","18,873","11,063","3,165","2,804","1,749","1,928",,"1,529","4,771","3,222","9,794","17,113","16,666","8,788","19,425"
2021,5,0,"10,199",849,"1,209","1,198",87,70,37,58,,49,263,115,973,"1,278","1,840",519,"1,654"
2021,5,10,"11,788","1,419","1,731",636,143,125,53,76,,55,298,218,"1,080","1,893","1,386",410,"2,265"
2021,5,20,"19,905","2,208","3,109","1,736",301,261,134,162,,146,788,525,"1,085","2,249","2,276","2,054","2,871"
2021,5,30,"17,778","1,405","2,211","2,283",270,239,127,130,,112,606,397,"1,333","1,854","2,630","1,672","2,509"
2021,5,40,"21,285","1,964","3,244","1,770",378,372,175,213,,159,611,410,"1,766","2,983","2,615","1,276","3,349"
2021,5,50,"22,722","2,164","3,738","1,423",671,511,327,386,,323,888,627,"1,447","2,956","2,704","1,319","3,238"
2021,5,60,"17,776","1,609","2,212","1,215",743,693,480,495,,349,841,553,"1,196","2,340","1,906",924,"2,220"
2021,5,70,"8,809",903,990,564,401,387,288,278,,242,366,258,661,"1,094",956,460,961
2021,5,80,"3,283",371,393,220,158,138,118,117,,80,104,112,234,433,325,146,334
2021,5,90,256,24,36,18,12,8,10,13,,12,6,7,19,33,27,8,23
2021,5,100,6,1,0,0,1,0,0,0,,2,0,0,0,0,1,0,1
2021,6,총,"134,238","13,293","18,739","11,058","3,131","2,791","1,740","1,916",,"1,534","4,748","3,215","9,799","17,063","17,002","8,809","19,400"
2021,6,0,"10,175",908,"1,184","1,181",75,69,34,56,,48,267,114,976,"1,263","1,856",518,"1,626"
2021,6,10,"11,848","1,471","1,693",645,146,126,52,76,,54,294,212,"1,082","1,896","1,424",416,"2,261"
2021,6,20,"19,917","2,238","3,080","1,740",294,252,134,159,,151,771,521,"1,082","2,224","2,338","2,046","2,887"
2021,6,30,"17,820","1,478","2,199","2,266",263,239,124,125,,109,610,398,"1,323","1,843","2,675","1,680","2,488"
2021,6,40,"21,326","2,022","3,215","1,781",375,365,172,211,,160,610,405,"1,768","2,970","2,660","1,276","3,336"
2021,6,50,"22,784","2,224","3,719","1,429",659,509,324,383,,323,871,632,"1,448","2,950","2,756","1,319","3,238"
2021,6,60,"17,934","1,635","2,227","1,212",745,696,482,497,,349,848,555,"1,206","2,344","1,957",937,"2,244"
2021,6,70,"8,859",915,997,567,400,387,289,280,,246,366,259,663,"1,103",971,464,952
2021,6,80,"3,313",377,389,219,161,140,119,116,,80,104,112,231,437,339,145,344
2021,6,90,256,24,36,18,12,8,10,13,,12,7,7,20,33,25,8,23
2021,6,100,6,1,0,0,1,0,0,0,,2,0,0,0,0,1,0,1
2021,7,총,"134,544","13,662","18,646","11,040","3,108","2,797","1,746","1,919",,"1,521","4,744","3,192","9,814","17,008","17,146","8,819","19,382"
2021,7,0,"10,152",944,"1,161","1,174",72,71,34,57,,45,267,111,977,"1,245","1,862",517,"1,615"
2021,7,10,"11,863","1,522","1,669",640,136,129,53,76,,53,292,210,"1,085","1,887","1,437",416,"2,258"
2021,7,20,"19,919","2,281","3,069","1,737",288,249,131,158,,147,765,521,"1,079","2,212","2,358","2,049","2,875"
2021,7,30,"17,846","1,551","2,191","2,253",256,238,123,129,,107,611,396,"1,311","1,835","2,677","1,683","2,485"
2021,7,40,"21,369","2,091","3,170","1,782",378,369,172,212,,157,611,398,"1,768","2,955","2,709","1,279","3,318"
2021,7,50,"22,817","2,273","3,711","1,428",650,505,324,381,,321,872,624,"1,453","2,942","2,773","1,314","3,246"
2021,7,60,"18,076","1,678","2,243","1,214",755,701,483,492,,352,844,564,"1,220","2,352","1,988",937,"2,253"
2021,7,70,"8,899",916,"1,003",573,401,384,296,285,,246,369,253,665,"1,107",972,468,961
2021,7,80,"3,334",380,391,220,160,143,120,117,,79,106,108,237,438,343,146,346
2021,7,90,263,25,38,19,11,8,10,12,,12,7,7,19,35,26,10,24
2021,7,100,6,1,0,0,1,0,0,0,,2,0,0,0,0,1,0,1
2021,8,총,"134,763","13,819","18,628","10,995","3,082","2,796","1,741","1,925",,"1,519","4,715","3,181","9,841","17,025","17,224","8,837","19,435"
2021,8,0,"10,137",963,"1,157","1,161",71,73,30,58,,46,267,110,961,"1,237","1,888",511,"1,604"
2021,8,10,"11,886","1,536","1,662",633,130,129,52,77,,52,292,205,"1,100","1,892","1,449",415,"2,262"
2021,8,20,"19,907","2,302","3,060","1,717",285,250,129,154,,147,748,519,"1,085","2,226","2,352","2,049","2,884"
2021,8,30,"17,853","1,575","2,182","2,266",251,233,122,127,,109,610,389,"1,292","1,840","2,671","1,700","2,486"
2021,8,40,"21,372","2,126","3,160","1,761",369,361,171,212,,154,600,397,"1,781","2,949","2,730","1,275","3,326"
2021,8,50,"22,867","2,288","3,717","1,427",646,502,329,377,,319,871,625,"1,464","2,940","2,777","1,320","3,265"
2021,8,60,"18,163","1,695","2,244","1,216",749,710,480,502,,353,842,565,"1,228","2,361","2,010",939,"2,269"
2021,8,70,"8,942",925,"1,012",576,409,385,296,290,,245,371,256,669,"1,107",972,468,961
2021,8,80,"3,362",384,397,219,160,145,121,116,,81,107,106,242,439,344,149,352
2021,8,90,268,24,37,19,11,8,11,12,,11,7,9,19,34,30,11,25
2021,8,100,6,1,0,0,1,0,0,0,,2,0,0,0,0,1,0,1
2021,9,총,"134,945","13,943","18,621","11,021","3,068","2,794","1,734","1,928",,"1,519","4,695","3,161","9,818","17,001","17,274","8,906","19,462"
2021,9,0,"10,100",972,"1,136","1,161",71,70,31,59,,46,262,104,947,"1,241","1,904",507,"1,589"
2021,9,10,"11,920","1,556","1,668",632,127,131,51,79,,50,287,202,"1,106","1,889","1,454",425,"2,263"
2021,9,20,"19,952","2,337","3,082","1,730",275,244,126,153,,145,739,512,"1,083","2,206","2,340","2,097","2,883"
2021,9,30,"17,860","1,605","2,166","2,247",256,235,121,130,,113,613,397,"1,285","1,824","2,672","1,699","2,497"
