년도,월,나이,충청북도,청주시,상당구,서원구,흥덕구,청원구,충주시,제천시,보은군,옥천군,영동군,증평군,진천군,괴산군,음성군,단양군
2021,6,30,"89,980","56,086","11,488","10,714","19,558","14,326","10,579","5,985",929,"1,833","1,453","2,015","5,159",998,"4,059",884
2021,6,40,"114,864","67,119","15,445","15,247","21,221","15,206","14,756","8,723","1,436","2,827","2,334","2,539","6,225","1,561","5,920","1,424"
2021,6,50,"130,737","68,336","16,646","17,089","21,267","13,334","18,069","11,518","2,524","4,044","3,777","2,827","6,216","3,206","7,699","2,521"
2021,6,60,"117,383","52,606","12,993","13,736","14,895","10,982","16,698","11,903","3,473","5,032","4,665","2,603","5,370","4,248","7,548","3,237"
2021,6,70,"65,565","26,159","6,841","6,949","6,638","5,731","9,528","6,772","2,467","3,387","3,568","1,461","2,970","2,841","4,292","2,120"
2021,6,80,"44,181","16,036","4,273","4,036","3,985","3,742","6,718","4,118","2,083","2,517","2,592","1,003","2,336","2,223","3,145","1,410"
2021,6,90,"7,328","2,751",774,718,668,591,"1,019",643,395,455,410,134,391,359,557,214
2021,6,100,245,91,28,18,15,30,26,41,13,12,10,2,10,13,15,12
2021,7,총,"787,243","420,455","97,415","97,182","131,627","94,231","103,533","65,825","15,892","24,962","23,193","17,439","40,319","18,093","43,429","14,103"
2021,7,0,"58,479","35,499","7,955","6,421","11,694","9,429","6,980","4,085",675,"1,214","1,077","1,451","3,659",619,"2,681",539
2021,7,10,"70,768","40,964","9,496","9,474","12,698","9,296","8,908","5,532",961,"1,792","1,556","1,592","4,048",937,"3,587",891
2021,7,20,"87,260","54,453","11,411","12,827","18,737","11,478","10,200","6,484",941,"1,801","1,755","1,823","3,908","1,113","3,897",885
2021,7,30,"89,839","56,101","11,476","10,677","19,625","14,323","10,529","5,957",931,"1,834","1,442","1,989","5,152",979,"4,056",869
2021,7,40,"114,744","67,064","15,401","15,205","21,246","15,212","14,746","8,703","1,425","2,833","2,319","2,540","6,254","1,544","5,905","1,411"
2021,7,50,"130,707","68,357","16,666","17,064","21,320","13,307","18,064","11,514","2,514","4,044","3,777","2,818","6,198","3,196","7,706","2,519"
2021,7,60,"117,963","52,909","13,079","13,770","14,973","11,087","16,784","11,958","3,494","5,051","4,674","2,614","5,396","4,265","7,582","3,236"
2021,7,70,"65,572","26,188","6,837","6,960","6,665","5,726","9,517","6,759","2,463","3,394","3,578","1,463","2,969","2,844","4,280","2,117"
2021,7,80,"44,350","16,083","4,298","4,053","3,981","3,751","6,765","4,149","2,084","2,528","2,595","1,012","2,336","2,226","3,159","1,413"
2021,7,90,"7,313","2,743",768,712,672,591,"1,015",642,390,459,410,135,389,356,562,212
2021,7,100,248,94,28,19,16,31,25,42,14,12,10,2,10,14,14,11
2021,8,총,"787,084","420,587","97,411","97,239","131,690","94,247","103,519","65,715","15,878","24,954","23,133","17,422","40,346","18,041","43,423","14,066"
2021,8,0,"58,247","35,403","7,918","6,396","11,675","9,414","6,943","4,059",671,"1,203","1,070","1,432","3,652",610,"2,671",533
2021,8,10,"70,660","40,925","9,511","9,431","12,700","9,283","8,903","5,503",964,"1,779","1,553","1,603","4,046",929,"3,573",882
2021,8,20,"87,053","54,433","11,372","12,873","18,729","11,459","10,154","6,409",928,"1,815","1,729","1,805","3,912","1,092","3,903",873
2021,8,30,"89,633","55,997","11,451","10,668","19,598","14,280","10,545","5,938",934,"1,819","1,430","1,986","5,123",968,"4,032",861
2021,8,40,"114,500","66,968","15,371","15,155","21,209","15,233","14,676","8,691","1,424","2,824","2,308","2,526","6,249","1,533","5,899","1,402"
2021,8,50,"130,907","68,531","16,719","17,088","21,387","13,337","18,082","11,489","2,501","4,049","3,760","2,824","6,226","3,194","7,732","2,519"
2021,8,60,"118,443","53,117","13,125","13,835","15,037","11,120","16,886","12,015","3,505","5,063","4,697","2,624","5,417","4,280","7,603","3,236"
2021,8,70,"65,529","26,214","6,833","6,968","6,688","5,725","9,492","6,750","2,459","3,390","3,562","1,471","2,974","2,833","4,265","2,119"
2021,8,80,"44,515","16,145","4,316","4,085","3,975","3,769","6,798","4,172","2,092","2,543","2,597","1,012","2,349","2,223","3,168","1,416"
2021,8,90,"7,346","2,759",767,721,675,596,"1,015",645,386,457,416,137,389,365,563,214
2021,8,100,251,95,28,19,17,31,25,44,14,12,11,2,9,14,14,11
2021,9,총,"786,784","420,840","97,403","97,237","131,767","94,433","103,480","65,606","15,843","24,932","23,064","17,415","40,358","17,917","43,304","14,025"
2021,9,0,"57,867","35,192","7,896","6,344","11,589","9,363","6,904","4,008",662,"1,192","1,056","1,428","3,638",601,"2,657",529
2021,9,10,"70,641","40,964","9,481","9,424","12,724","9,335","8,922","5,506",962,"1,772","1,543","1,607","4,020",919,"3,548",878
2021,9,20,"86,767","54,471","11,314","12,911","18,761","11,485","10,103","6,357",917,"1,810","1,706","1,793","3,871","1,029","3,846",864
2021,9,30,"89,422","55,970","11,460","10,657","19,590","14,263","10,526","5,899",926,"1,808","1,411","1,970","5,132",951,"3,976",853
2021,9,40,"114,348","66,920","15,346","15,129","21,172","15,273","14,632","8,663","1,406","2,821","2,298","2,526","6,271","1,527","5,885","1,399"
2021,9,50,"131,103","68,699","16,764","17,113","21,430","13,392","18,086","11,482","2,503","4,053","3,772","2,830","6,244","3,189","7,740","2,505"
2021,9,60,"118,882","53,313","13,176","13,864","15,106","11,167","16,966","12,063","3,517","5,070","4,697","2,645","5,455","4,273","7,638","3,245"
2021,9,70,"65,372","26,211","6,822","6,955","6,700","5,734","9,469","6,716","2,444","3,388","3,550","1,459","2,962","2,815","4,252","2,106"
2021,9,80,"44,751","16,233","4,349","4,107","3,994","3,783","6,825","4,222","2,102","2,540","2,601","1,017","2,369","2,236","3,186","1,420"
2021,9,90,"7,378","2,773",768,714,684,607,"1,018",646,389,467,419,138,387,364,562,215
2021,9,100,253,94,27,19,17,31,29,44,15,11,11,2,9,13,14,11
2021,10,총,"786,855","420,866","97,460","97,084","131,850","94,472","103,543","65,632","15,836","24,920","23,059","17,414","40,423","17,891","43,263","14,008"
2021,10,0,"57,658","35,073","7,871","6,306","11,565","9,331","6,874","4,009",654,"1,184","1,053","1,427","3,629",588,"2,641",526
2021,10,10,"70,555","40,931","9,479","9,393","12,731","9,328","8,923","5,495",961,"1,767","1,538","1,608","4,021",909,"3,526",876
2021,10,20,"86,501","54,262","11,279","12,875","18,661","11,447","10,077","6,348",914,"1,801","1,692","1,792","3,886","1,025","3,844",860
2021,10,30,"89,319","55,983","11,477","10,657","19,620","14,229","10,501","5,878",921,"1,800","1,411","1,956","5,131",945,"3,945",848
2021,10,40,"114,241","66,891","15,342","15,063","21,200","15,286","14,621","8,627","1,392","2,806","2,300","2,514","6,280","1,516","5,897","1,397"
2021,10,50,"131,141","68,752","16,759","17,094","21,462","13,437","18,073","11,494","2,501","4,064","3,771","2,833","6,267","3,182","7,723","2,481"
2021,10,60,"119,435","53,527","13,263","13,890","15,157","11,217","17,089","12,125","3,541","5,086","4,693","2,658","5,475","4,302","7,663","3,276"
2021,10,70,"65,423","26,265","6,832","6,956","6,726","5,751","9,464","6,719","2,430","3,388","3,567","1,465","2,960","2,801","4,268","2,096"
2021,10,80,"44,896","16,300","4,368","4,106","4,024","3,802","6,853","4,245","2,118","2,544","2,595","1,015","2,381","2,243","3,178","1,424"
2021,10,90,"7,431","2,787",762,723,688,614,"1,037",648,389,468,427,144,384,368,565,214
2021,10,100,255,95,28,21,16,30,31,44,15,12,12,2,9,12,13,10
2021,11,총,"786,758","420,900","97,617","96,922","131,815","94,546","103,525","65,552","15,830","24,897","23,013","17,404","40,441","17,930","43,290","13,976"
2021,11,0,"57,422","34,971","7,861","6,273","11,530","9,307","6,849","3,994",652,"1,179","1,036","1,410","3,605",588,"2,619",519
2021,11,10,"70,432","40,865","9,496","9,333","12,705","9,331","8,903","5,476",962,"1,760","1,536","1,604","4,030",908,"3,520",868
2021,11,20,"86,376","54,182","11,291","12,842","18,624","11,425","10,044","6,330",905,"1,787","1,690","1,787","3,869","1,049","3,873",860
2021,11,30,"89,019","55,856","11,484","10,616","19,565","14,191","10,444","5,828",928,"1,796","1,401","1,950","5,127",943,"3,917",829
2021,11,40,"114,283","66,913","15,367","15,010","21,223","15,313","14,666","8,605","1,394","2,792","2,289","2,513","6,304","1,512","5,903","1,392"
2021,11,50,"131,164","68,848","16,793","17,111","21,449","13,495","18,031","11,489","2,480","4,071","3,772","2,834","6,254","3,183","7,724","2,478"
2021,11,60,"119,915","53,718","13,295","13,929","15,211","11,283","17,177","12,167","3,565","5,108","4,703","2,674","5,510","4,320","7,694","3,279"
2021,11,70,"65,454","26,310","6,832","6,955","6,772","5,751","9,459","6,709","2,414","3,392","3,565","1,468","2,957","2,803","4,278","2,099"
2021,11,80,"44,987","16,355","4,409","4,128","4,021","3,797","6,870","4,274","2,126","2,534","2,588","1,015","2,389","2,236","3,175","1,425"
2021,11,90,"7,465","2,791",761,706,697,627,"1,054",643,390,466,420,147,387,376,574,217
2021,11,100,241,91,28,19,18,26,28,37,14,12,13,2,9,12,13,10
2021,12,총,"786,755","420,601","97,560","96,941","131,649","94,451","103,426","65,421","15,804","24,851","22,963","17,433","40,461","18,510","43,314","13,971"
2021,12,0,"57,246","34,861","7,830","6,274","11,495","9,262","6,830","3,985",643,"1,162","1,019","1,412","3,591",621,"2,605",517
2021,12,10,"70,374","40,851","9,490","9,307","12,704","9,350","8,880","5,466",954,"1,760","1,527","1,594","4,014",948,"3,519",861
2021,12,20,"86,061","53,922","11,237","12,847","18,492","11,346","9,996","6,265",894,"1,774","1,675","1,782","3,869","1,141","3,875",868
2021,12,30,"88,730","55,648","11,451","10,590","19,486","14,121","10,399","5,796",927,"1,782","1,391","1,953","5,095",986,"3,923",830
2021,12,40,"114,405","67,035","15,364","15,033","21,260","15,378","14,628","8,588","1,389","2,787","2,285","2,518","6,325","1,595","5,878","1,377"
2021,12,50,"131,334","68,813","16,786","17,120","21,439","13,468","18,057","11,459","2,486","4,071","3,762","2,852","6,277","3,331","7,733","2,493"
2021,12,60,"120,279","53,814","13,321","13,965","15,218","11,310","17,204","12,205","3,569","5,106","4,722","2,686","5,528","4,438","7,725","3,282"
2021,12,70,"65,405","26,320","6,844","6,937","6,799","5,740","9,469","6,687","2,392","3,382","3,553","1,467","2,964","2,813","4,272","2,086"
2021,12,80,"45,181","16,442","4,451","4,142","4,026","3,823","6,871","4,295","2,140","2,550","2,601","1,018","2,398","2,246","3,190","1,430"
2021,12,90,"7,511","2,810",762,708,713,627,"1,066",642,396,465,415,148,391,379,581,218
2021,12,100,229,85,24,18,17,26,26,33,14,12,13,3,9,12,13,9
