년도,월,나이,제천시,봉양읍,금성면,청풍면,수산면,덕산면,한수면,백운면,송학면,교동,의림지동,중앙동,남현동,영서동,용두동,신백동,청전동,화산동
2021,8,20,"14,515",476,108,68,74,71,35,160,346,"2,280","1,267",667,566,"1,026","2,651","1,335","1,851","1,534"
2021,8,30,"12,584",388,94,64,78,83,35,138,230,"1,905","1,017",453,403,"1,084","2,139","1,000","1,391","2,082"
2021,8,40,"17,876",682,131,77,129,165,67,229,377,"3,186","1,591",715,519,"1,435","2,662","1,702","1,852","2,357"
2021,8,50,"23,514","1,265",357,257,384,356,139,595,859,"3,465","1,784",993,896,"1,734","3,083","2,150","2,835","2,362"
2021,8,60,"24,045","1,761",559,368,612,597,197,"1,038","1,291","2,414","1,416","1,238","1,123","1,697","2,560","1,681","3,345","2,148"
2021,8,70,"12,343",927,270,214,377,388,91,523,701,"1,070",620,747,623,964,"1,089",910,"1,683","1,146"
2021,8,80,"6,563",557,219,144,235,218,71,365,426,517,332,325,263,491,640,444,713,603
2021,8,90,825,75,34,12,22,37,14,47,66,49,53,40,20,57,69,61,100,69
2021,8,100,60,1,6,0,0,0,1,0,5,5,3,4,1,16,2,6,6,4
2021,9,총,"131,879","6,691","1,902","1,267","2,007","2,163",707,"3,332","4,609","18,611","9,915","5,771","4,914","10,151","17,950","11,123","15,491","15,275"
2021,9,0,"8,269",241,40,23,36,65,19,80,98,"1,511",763,238,190,773,"1,277",676,641,"1,598"
2021,9,10,"11,383",334,88,42,63,189,36,136,198,"2,249","1,090",381,286,880,"1,789","1,148","1,080","1,394"
2021,9,20,"14,434",468,108,68,71,68,33,159,342,"2,275","1,256",655,575,"1,018","2,630","1,347","1,845","1,516"
2021,9,30,"12,519",386,93,63,74,80,35,138,232,"1,878","1,002",455,406,"1,084","2,135",993,"1,394","2,071"
2021,9,40,"17,784",662,133,76,128,165,65,227,382,"3,175","1,578",714,515,"1,427","2,654","1,687","1,844","2,352"
2021,9,50,"23,516","1,266",355,252,385,351,143,604,855,"3,474","1,788",976,905,"1,738","3,097","2,147","2,818","2,362"
2021,9,60,"24,146","1,770",559,370,616,603,195,"1,047","1,294","2,407","1,431","1,241","1,129","1,706","2,558","1,701","3,364","2,155"
2021,9,70,"12,306",927,269,212,375,386,94,526,702,"1,069",612,736,622,958,"1,095",909,"1,676","1,138"
2021,9,80,"6,632",559,216,148,237,220,72,368,435,518,337,331,265,494,641,451,726,614
2021,9,90,831,77,35,13,22,36,14,47,66,50,55,40,20,57,72,58,98,71
2021,9,100,59,1,6,0,0,0,1,0,5,5,3,4,1,16,2,6,5,4
2021,10,총,"131,902","6,697","1,903","1,270","2,004","2,152",707,"3,331","4,625","18,576","9,946","5,764","4,939","10,159","17,922","11,156","15,496","15,255"
2021,10,0,"8,245",233,40,22,36,65,18,79,100,"1,497",773,238,192,768,"1,279",670,636,"1,599"
2021,10,10,"11,372",334,90,44,61,187,37,135,198,"2,247","1,084",374,297,884,"1,770","1,153","1,079","1,398"
2021,10,20,"14,415",459,104,66,69,67,32,164,340,"2,266","1,257",650,575,"1,027","2,624","1,359","1,836","1,520"
2021,10,30,"12,458",384,98,62,73,80,35,135,240,"1,871",986,451,406,"1,083","2,122",995,"1,388","2,049"
2021,10,40,"17,743",661,134,74,130,161,66,225,375,"3,152","1,592",714,524,"1,416","2,647","1,684","1,845","2,343"
2021,10,50,"23,512","1,268",350,247,380,351,142,603,855,"3,468","1,791",980,904,"1,749","3,111","2,152","2,810","2,351"
2021,10,60,"24,274","1,793",559,382,618,602,196,"1,048","1,307","2,429","1,445","1,244","1,127","1,702","2,562","1,713","3,383","2,164"
2021,10,70,"12,320",923,271,208,380,385,93,527,700,"1,076",622,735,627,957,"1,091",904,"1,685","1,136"
2021,10,80,"6,668",563,217,152,232,216,73,370,438,513,338,335,265,498,642,462,734,620
2021,10,90,836,78,34,13,25,38,14,45,67,52,55,39,21,59,72,58,95,71
2021,10,100,59,1,6,0,0,0,1,0,5,5,3,4,1,16,2,6,5,4
2021,11,총,"131,810","6,704","1,907","1,275","2,012","2,161",706,"3,334","4,635","18,541","9,936","5,771","4,929","10,164","17,902","11,153","15,454","15,226"
2021,11,0,"8,214",234,41,20,37,70,19,81,104,"1,487",768,242,186,773,"1,275",666,627,"1,584"
2021,11,10,"11,360",330,86,46,61,185,39,137,197,"2,236","1,085",376,297,889,"1,765","1,152","1,071","1,408"
2021,11,20,"14,380",461,108,68,69,68,32,165,336,"2,252","1,263",653,571,"1,027","2,608","1,354","1,826","1,519"
2021,11,30,"12,383",384,96,61,71,84,34,134,241,"1,865",965,452,397,"1,075","2,123",996,"1,382","2,023"
2021,11,40,"17,707",658,128,76,130,160,70,224,376,"3,121","1,599",710,528,"1,429","2,632","1,680","1,844","2,342"
2021,11,50,"23,508","1,265",353,251,380,351,141,603,859,"3,497","1,785",981,897,"1,750","3,103","2,150","2,799","2,343"
2021,11,60,"24,365","1,799",567,382,626,603,192,"1,046","1,308","2,442","1,448","1,245","1,136","1,703","2,583","1,723","3,388","2,174"
2021,11,70,"12,297",918,270,204,379,385,94,521,703,"1,075",626,731,632,954,"1,092",901,"1,677","1,135"
2021,11,80,"6,716",572,218,154,233,219,71,379,438,510,339,342,262,501,647,469,738,624
2021,11,90,836,82,34,13,26,36,13,44,68,51,57,38,22,57,72,56,97,70
2021,11,100,44,1,6,0,0,0,1,0,5,5,1,1,1,6,2,6,5,4
2021,12,총,"131,591","6,712","1,895","1,268","2,016","2,141",700,"3,325","4,627","18,544","9,927","5,739","4,917","10,146","17,816","11,143","15,441","15,234"
2021,12,0,"8,188",236,39,21,37,70,19,81,104,"1,505",760,240,182,763,"1,269",662,627,"1,573"
2021,12,10,"11,339",326,85,48,61,180,38,137,196,"2,243","1,092",375,302,892,"1,735","1,153","1,063","1,413"
2021,12,20,"14,271",467,103,64,70,63,31,158,329,"2,216","1,263",644,563,"1,035","2,565","1,353","1,822","1,525"
2021,12,30,"12,312",379,94,59,70,78,33,137,241,"1,864",939,452,397,"1,066","2,126",992,"1,382","2,003"
2021,12,40,"17,667",656,129,78,129,163,69,221,368,"3,123","1,599",701,526,"1,420","2,615","1,665","1,841","2,364"
2021,12,50,"23,490","1,266",355,248,385,350,139,601,859,"3,494","1,796",969,891,"1,753","3,094","2,153","2,792","2,345"
2021,12,60,"24,399","1,814",564,385,622,600,191,"1,041","1,313","2,450","1,447","1,242","1,143","1,699","2,591","1,730","3,391","2,176"
2021,12,70,"12,298",917,272,204,379,382,95,525,707,"1,076",626,731,628,949,"1,100",902,"1,667","1,138"
2021,12,80,"6,751",566,220,148,236,218,72,377,440,515,347,347,261,506,649,472,753,624
2021,12,90,838,84,30,13,27,37,12,47,69,53,57,37,23,57,70,55,98,69
2021,12,100,38,1,4,0,0,0,1,0,1,5,1,1,1,6,2,6,5,4
