년도,월,나이,충청남도,충청남도 천안시,충청남도 천안시 동남구,충청남도 천안시 서북구,충청남도 공주시,충청남도 보령시,충청남도 아산시,충청남도 서산시,충청남도 논산시,충청남도 계룡시,충청남도 당진시,충청남도 금산군,충청남도 부여군,충청남도 서천군,충청남도 청양군,충청남도 홍성군,충청남도 예산군,충청남도 태안군
2020,7,60,"135,978","30,319","14,959","15,360","8,968","8,525","15,469","10,700","9,745","2,191","10,094","4,730","6,411","5,139","2,923","7,333","7,307","6,124"
2020,7,70,"93,528","16,438","8,389","8,049","6,239","6,216","9,987","7,377","7,254","1,106","6,988","3,764","5,272","4,473","2,508","5,553","5,712","4,641"
2020,7,80,"64,479","9,709","5,140","4,569","4,616","4,047","6,216","5,251","5,264",730,"5,105","2,795","4,079","3,358","2,122","4,132","4,172","2,883"
2020,7,90,"10,586","1,640",886,754,721,699,978,944,857,128,823,406,732,612,314,626,629,477
2020,7,100,697,124,63,61,47,47,80,53,66,10,54,22,49,34,16,42,33,20
2020,8,총,"1,038,712","322,488","127,698","194,790","52,612","49,597","150,998","84,196","58,684","21,502","78,018","25,609","33,163","26,361","15,240","50,269","39,067","30,908"
2020,8,0,"86,037","30,983","10,164","20,819","2,877","3,132","16,338","7,612","3,603","1,969","7,790","1,300","1,404","1,195",642,"3,782","1,808","1,602"
2020,8,10,"98,026","33,181","12,771","20,410","4,071","4,052","16,620","8,130","4,800","3,046","7,441","2,079","2,251","1,706",953,"4,737","2,794","2,165"
2020,8,20,"108,560","45,691","16,641","29,050","5,050","3,966","16,017","7,855","5,064","2,144","6,676","1,696","2,282","1,623","1,123","4,323","2,969","2,081"
2020,8,30,"125,649","49,955","16,070","33,885","4,538","4,405","22,661","10,013","5,171","2,370","10,003","1,833","2,054","1,545",889,"5,122","2,777","2,313"
2020,8,40,"153,594","54,241","20,993","33,248","6,385","6,372","25,442","12,987","7,327","4,331","11,629","2,826","3,341","2,692","1,321","6,977","4,342","3,381"
2020,8,50,"160,575","49,956","21,501","28,455","9,037","8,075","21,058","13,163","9,475","3,438","11,347","4,123","5,270","3,954","2,418","7,607","6,477","5,177"
2020,8,60,"136,657","30,505","15,055","15,450","9,011","8,547","15,552","10,784","9,785","2,214","10,111","4,754","6,438","5,160","2,940","7,356","7,355","6,145"
2020,8,70,"93,740","16,476","8,406","8,070","6,243","6,250","10,006","7,388","7,278","1,122","7,034","3,757","5,258","4,493","2,502","5,558","5,718","4,657"
2020,8,80,"64,488","9,716","5,137","4,579","4,623","4,049","6,233","5,263","5,252",724,"5,104","2,806","4,077","3,342","2,123","4,129","4,165","2,882"
2020,8,90,"10,687","1,658",897,761,730,701,990,949,861,134,829,413,740,618,314,637,629,484
2020,8,100,699,126,63,63,47,48,81,52,68,10,54,22,48,33,15,41,33,21
2020,9,총,"1,038,530","322,646","127,604","195,042","52,536","49,534","151,144","84,162","58,633","21,489","77,982","25,562","33,128","26,284","15,210","50,220","39,062","30,938"
2020,9,0,"85,595","30,853","10,103","20,750","2,848","3,106","16,303","7,564","3,574","1,957","7,745","1,289","1,394","1,177",635,"3,766","1,788","1,596"
2020,9,10,"97,855","33,110","12,730","20,380","4,043","4,029","16,625","8,130","4,792","3,050","7,440","2,075","2,239","1,696",954,"4,716","2,786","2,170"
2020,9,20,"108,533","45,711","16,633","29,078","5,051","3,954","16,011","7,858","5,099","2,127","6,656","1,692","2,281","1,627","1,101","4,303","2,978","2,084"
2020,9,30,"125,198","49,885","15,990","33,895","4,496","4,393","22,619","9,952","5,133","2,354","9,926","1,822","2,048","1,529",888,"5,104","2,758","2,291"
2020,9,40,"153,382","54,161","20,902","33,259","6,372","6,338","25,507","12,965","7,301","4,348","11,630","2,810","3,313","2,669","1,318","6,939","4,333","3,378"
2020,9,50,"160,642","50,107","21,522","28,585","9,013","8,069","21,111","13,189","9,418","3,424","11,374","4,110","5,262","3,931","2,416","7,601","6,447","5,170"
2020,9,60,"137,469","30,754","15,182","15,572","9,071","8,574","15,641","10,841","9,835","2,246","10,157","4,787","6,465","5,171","2,940","7,400","7,401","6,186"
2020,9,70,"93,744","16,488","8,424","8,064","6,233","6,261","10,003","7,405","7,277","1,116","7,047","3,745","5,255","4,476","2,499","5,561","5,722","4,656"
2020,9,80,"64,581","9,767","5,149","4,618","4,620","4,053","6,243","5,247","5,255",724,"5,110","2,794","4,075","3,346","2,126","4,146","4,180","2,895"
2020,9,90,"10,827","1,682",904,778,741,709,"1,001",959,879,132,843,415,748,630,319,642,636,491
2020,9,100,704,128,65,63,48,48,80,52,70,11,54,23,48,32,14,42,33,21
2020,10,총,"1,038,380","322,773","127,570","195,203","52,430","49,486","151,268","84,198","58,537","21,461","77,992","25,519","33,074","26,246","15,207","50,218","39,010","30,961"
2020,10,0,"85,040","30,643","10,037","20,606","2,820","3,085","16,203","7,528","3,563","1,936","7,690","1,284","1,386","1,161",631,"3,749","1,761","1,600"
2020,10,10,"97,703","33,046","12,661","20,385","4,021","4,014","16,656","8,134","4,782","3,018","7,453","2,059","2,215","1,686",970,"4,715","2,772","2,162"
2020,10,20,"108,614","45,743","16,641","29,102","5,041","3,938","16,052","7,847","5,049","2,152","6,667","1,690","2,293","1,627","1,108","4,321","2,990","2,096"
2020,10,30,"124,736","49,760","15,961","33,799","4,469","4,369","22,545","9,933","5,117","2,330","9,871","1,805","2,032","1,524",886,"5,079","2,731","2,285"
2020,10,40,"153,216","54,209","20,870","33,339","6,331","6,309","25,526","12,944","7,278","4,337","11,630","2,800","3,291","2,650","1,296","6,914","4,331","3,370"
2020,10,50,"160,763","50,202","21,543","28,659","9,005","8,085","21,164","13,232","9,391","3,428","11,425","4,085","5,237","3,909","2,407","7,609","6,418","5,166"
2020,10,60,"138,201","31,022","15,301","15,721","9,107","8,600","15,768","10,886","9,870","2,269","10,152","4,815","6,503","5,197","2,961","7,423","7,422","6,206"
2020,10,70,"93,748","16,499","8,408","8,091","6,214","6,262","10,001","7,409","7,265","1,118","7,075","3,743","5,243","4,473","2,491","5,576","5,719","4,660"
2020,10,80,"64,740","9,832","5,172","4,660","4,627","4,059","6,260","5,267","5,263",728,"5,123","2,800","4,078","3,349","2,126","4,136","4,188","2,904"
2020,10,90,"10,907","1,688",911,777,747,715,"1,012",965,889,134,850,417,747,637,317,654,644,491
2020,10,100,712,129,65,64,48,50,81,53,70,11,56,21,49,33,14,42,34,21
2020,11,총,"1,038,296","322,721","127,417","195,304","52,342","49,435","151,618","84,166","58,462","21,498","78,005","25,496","33,014","26,260","15,192","50,225","38,944","30,918"
2020,11,0,"84,543","30,461","9,939","20,522","2,800","3,066","16,108","7,507","3,544","1,917","7,637","1,270","1,383","1,154",625,"3,733","1,755","1,583"
2020,11,10,"97,603","33,031","12,645","20,386","3,979","4,015","16,710","8,098","4,782","3,006","7,453","2,058","2,202","1,690",966,"4,704","2,757","2,152"
2020,11,20,"108,710","45,746","16,615","29,131","5,055","3,919","16,151","7,864","5,030","2,164","6,668","1,691","2,288","1,623","1,100","4,337","2,994","2,080"
2020,11,30,"124,312","49,583","15,861","33,722","4,434","4,361","22,524","9,885","5,097","2,319","9,844","1,795","2,023","1,530",883,"5,046","2,720","2,268"
2020,11,40,"153,221","54,212","20,864","33,348","6,301","6,296","25,628","12,953","7,244","4,336","11,643","2,805","3,282","2,639","1,292","6,917","4,312","3,361"
2020,11,50,"160,671","50,211","21,510","28,701","8,992","8,058","21,222","13,207","9,347","3,446","11,425","4,082","5,209","3,904","2,394","7,615","6,397","5,162"
2020,11,60,"138,936","31,252","15,399","15,853","9,139","8,651","15,870","10,945","9,932","2,297","10,196","4,811","6,520","5,227","2,989","7,447","7,429","6,231"
2020,11,70,"93,887","16,535","8,421","8,114","6,215","6,255","10,028","7,422","7,272","1,127","7,102","3,751","5,233","4,476","2,487","5,598","5,716","4,670"
2020,11,80,"64,741","9,855","5,182","4,673","4,626","4,035","6,276","5,268","5,264",736,"5,126","2,783","4,083","3,343","2,123","4,134","4,188","2,901"
2020,11,90,"10,960","1,705",915,790,752,728,"1,020",967,880,140,855,429,743,640,319,652,641,489
2020,11,100,712,130,66,64,49,51,81,50,70,10,56,21,48,34,14,42,35,21
2020,12,총,"1,038,395","322,587","127,290","195,297","52,248","49,422","152,014","84,192","58,359","21,479","78,043","25,485","32,980","26,252","15,257","50,306","38,928","30,843"
2020,12,0,"84,200","30,372","9,913","20,459","2,773","3,052","16,027","7,512","3,523","1,911","7,611","1,260","1,371","1,148",621,"3,704","1,740","1,575"
2020,12,10,"97,358","32,965","12,627","20,338","3,939","3,989","16,737","8,097","4,747","2,983","7,441","2,050","2,204","1,680",963,"4,689","2,750","2,124"
2020,12,20,"108,992","45,827","16,635","29,192","5,045","3,930","16,260","7,869","5,010","2,172","6,699","1,711","2,289","1,630","1,118","4,376","2,989","2,067"
2020,12,30,"124,000","49,419","15,788","33,631","4,426","4,340","22,525","9,858","5,059","2,311","9,827","1,788","2,018","1,526",889,"5,033","2,729","2,252"
2020,12,40,"153,082","54,111","20,781","33,330","6,277","6,295","25,712","12,922","7,242","4,315","11,647","2,774","3,276","2,639","1,302","6,926","4,294","3,350"
2020,12,50,"160,507","50,108","21,449","28,659","8,945","8,043","21,310","13,223","9,320","3,444","11,408","4,070","5,179","3,894","2,413","7,607","6,379","5,164"
2020,12,60,"139,797","31,497","15,478","16,019","9,223","8,679","15,982","11,012","9,955","2,320","10,274","4,848","6,534","5,247","3,014","7,519","7,455","6,238"
2020,12,70,"93,832","16,537","8,437","8,100","6,214","6,260","10,047","7,405","7,261","1,136","7,085","3,757","5,221","4,475","2,471","5,584","5,711","4,668"
2020,12,80,"64,910","9,914","5,203","4,711","4,593","4,052","6,298","5,274","5,291",741,"5,136","2,779","4,099","3,340","2,128","4,170","4,200","2,895"
2020,12,90,"11,000","1,708",914,794,764,730,"1,032",970,879,136,859,426,742,639,324,656,646,489
2020,12,100,717,129,65,64,49,52,84,50,72,10,56,22,47,34,14,42,35,21
2021,1,총,"1,037,742","322,380","127,137","195,243","52,169","49,307","152,316","84,144","58,310","21,477","77,978","25,441","32,917","26,194","15,208","50,191","38,934","30,776"
2021,1,0,"83,602","30,158","9,808","20,350","2,753","3,016","15,929","7,480","3,526","1,910","7,535","1,232","1,359","1,136",616,"3,667","1,727","1,558"
2021,1,10,"97,247","32,939","12,621","20,318","3,942","3,972","16,762","8,069","4,717","2,972","7,438","2,051","2,194","1,670",951,"4,666","2,792","2,112"
2021,1,20,"108,618","45,697","16,588","29,109","4,995","3,916","16,279","7,835","4,992","2,173","6,695","1,712","2,270","1,622","1,099","4,335","2,971","2,027"
2021,1,30,"123,391","49,201","15,658","33,543","4,385","4,294","22,455","9,814","5,048","2,321","9,738","1,753","2,005","1,512",890,"5,006","2,722","2,247"
2021,1,40,"153,055","54,053","20,741","33,312","6,288","6,281","25,896","12,905","7,213","4,282","11,664","2,780","3,248","2,627","1,284","6,898","4,294","3,342"
2021,1,50,"160,047","50,060","21,348","28,712","8,891","7,965","21,289","13,227","9,295","3,447","11,401","4,050","5,138","3,874","2,393","7,566","6,312","5,139"
2021,1,60,"140,961","31,901","15,717","16,184","9,262","8,782","16,189","11,075","9,983","2,335","10,347","4,859","6,591","5,259","3,040","7,571","7,511","6,256"
2021,1,70,"93,900","16,579","8,440","8,139","6,222","6,236","10,070","7,426","7,260","1,139","7,081","3,757","5,205","4,456","2,468","5,609","5,716","4,676"
2021,1,80,"65,120","9,938","5,229","4,709","4,613","4,059","6,331","5,282","5,321",750,"5,153","2,796","4,115","3,366","2,127","4,166","4,199","2,904"
2021,1,90,"11,083","1,727",926,801,769,733,"1,031",981,883,138,869,429,745,638,326,664,656,494
2021,1,100,718,127,61,66,49,53,85,50,72,10,57,22,47,34,14,43,34,21
2021,2,총,"1,037,516","322,200","126,948","195,252","52,142","49,174","152,788","84,152","58,184","21,633","77,977","25,412","32,825","26,150","15,178","50,114","38,864","30,723"
2021,2,0,"83,213","30,034","9,750","20,284","2,736","2,978","15,848","7,472","3,495","1,924","7,492","1,234","1,349","1,138",612,"3,649","1,722","1,530"
2021,2,10,"97,048","32,891","12,550","20,341","3,906","3,948","16,809","8,047","4,702","2,984","7,431","2,037","2,173","1,664",946,"4,645","2,754","2,111"
2021,2,20,"108,075","45,465","16,482","28,983","4,971","3,882","16,351","7,772","4,939","2,179","6,685","1,696","2,238","1,603","1,080","4,269","2,938","2,007"
2021,2,30,"122,725","48,961","15,581","33,380","4,350","4,218","22,428","9,766","4,998","2,342","9,664","1,727","1,982","1,486",889,"4,997","2,709","2,208"
2021,2,40,"153,278","54,113","20,726","33,387","6,264","6,291","26,022","12,944","7,198","4,317","11,689","2,780","3,248","2,621","1,285","6,892","4,266","3,348"
2021,2,50,"160,050","50,120","21,343","28,777","8,897","7,950","21,407","13,225","9,256","3,469","11,404","4,025","5,096","3,871","2,375","7,543","6,296","5,116"
2021,2,60,"141,987","32,173","15,847","16,326","9,334","8,811","16,361","11,137","10,048","2,365","10,441","4,902","6,624","5,259","3,046","7,629","7,557","6,300"
2021,2,70,"93,740","16,581","8,436","8,145","6,220","6,230","10,054","7,442","7,217","1,145","7,065","3,733","5,182","4,454","2,464","5,597","5,699","4,657"
2021,2,80,"65,489","9,995","5,236","4,759","4,640","4,064","6,376","5,307","5,360",761,"5,173","2,824","4,138","3,379","2,139","4,181","4,230","2,922"
2021,2,90,"11,184","1,737",933,804,775,749,"1,046",990,898,138,875,433,746,641,328,668,658,502
2021,2,100,727,130,64,66,49,53,86,50,73,9,58,21,49,34,14,44,35,22
2021,3,총,"1,034,982","321,786","126,710","195,076","51,867","48,905","152,789","84,102","57,738","21,666","77,907","25,261","32,549","25,976","15,081","50,107","38,579","30,669"
2021,3,0,"82,857","29,896","9,692","20,204","2,722","2,958","15,781","7,435","3,481","1,931","7,493","1,221","1,338","1,125",607,"3,641","1,719","1,509"
2021,3,10,"96,909","32,802","12,476","20,326","3,912","3,914","16,855","8,044","4,673","2,989","7,420","2,051","2,155","1,660",945,"4,656","2,724","2,109"
2021,3,20,"107,885","45,467","16,466","29,001","4,969","3,866","16,358","7,739","4,916","2,176","6,689","1,667","2,234","1,583","1,062","4,252","2,917","1,990"
2021,3,30,"122,235","48,787","15,520","33,267","4,320","4,191","22,411","9,752","4,940","2,354","9,619","1,698","1,951","1,472",886,"4,982","2,675","2,197"
2021,3,40,"152,565","53,909","20,584","33,325","6,206","6,219","25,998","12,925","7,098","4,309","11,666","2,764","3,203","2,584","1,262","6,880","4,218","3,324"
2021,3,50,"159,101","49,962","21,279","28,683","8,799","7,866","21,379","13,179","9,120","3,482","11,378","3,955","5,015","3,807","2,346","7,524","6,212","5,077"
2021,3,60,"142,993","32,600","16,064","16,536","9,353","8,855","16,505","11,253","10,060","2,364","10,516","4,938","6,614","5,284","3,054","7,692","7,560","6,345"
