년도,월,나이,성주군,성주읍,선남면,용암면,수륜면,가천면,금수면,대가면,벽진면,초전면,월항면
2021,9,총,"20,627","6,648","2,770","1,639","1,570","1,012",568,"1,194","1,471","2,193","1,562"
2021,9,0,925,475,93,51,37,34,7,33,50,87,58
2021,9,10,990,556,91,38,59,20,13,41,42,82,48
2021,9,20,"1,265",589,138,76,50,43,20,71,72,113,93
2021,9,30,"1,450",644,181,83,79,44,20,59,87,145,108
2021,9,40,"1,843",932,176,116,95,53,36,77,76,172,110
2021,9,50,"3,627","1,105",574,304,267,189,103,182,250,375,278
2021,9,60,"4,616","1,085",716,433,391,269,135,295,397,529,366
2021,9,70,"3,122",721,453,262,269,168,112,234,262,365,276
2021,9,80,"2,375",461,287,232,275,164,103,173,199,280,201
2021,9,90,405,80,56,44,48,26,19,29,35,45,23
2021,9,100,9,0,5,0,0,2,0,0,1,0,1
2021,10,총,"20,607","6,661","2,767","1,636","1,568","1,011",565,"1,192","1,468","2,184","1,555"
2021,10,0,926,476,93,48,38,32,7,34,51,88,59
2021,10,10,985,551,91,40,59,19,12,41,42,82,48
2021,10,20,"1,258",591,135,72,51,43,22,70,70,112,92
2021,10,30,"1,446",651,181,80,78,45,18,58,88,143,104
2021,10,40,"1,840",930,174,114,97,51,37,79,76,173,109
2021,10,50,"3,609","1,107",573,305,262,189,103,176,244,372,278
2021,10,60,"4,624","1,085",720,436,391,270,134,297,399,525,367
2021,10,70,"3,125",726,451,262,268,167,113,236,265,364,273
2021,10,80,"2,380",465,285,233,278,165,102,173,199,279,201
2021,10,90,406,79,60,46,46,28,17,28,33,46,23
2021,10,100,8,0,4,0,0,2,0,0,1,0,1
2021,11,총,"20,600","6,652","2,781","1,637","1,562","1,010",566,"1,194","1,464","2,172","1,562"
2021,11,0,913,467,93,49,37,31,7,33,54,85,57
2021,11,10,988,554,91,40,57,20,12,42,43,81,48
2021,11,20,"1,259",594,138,72,52,45,22,71,68,105,92
2021,11,30,"1,440",640,180,83,77,43,19,58,88,147,105
2021,11,40,"1,836",923,181,112,98,51,37,79,76,168,111
2021,11,50,"3,599","1,106",571,302,259,187,104,179,238,373,280
2021,11,60,"4,626","1,095",720,434,387,271,135,295,399,523,367
2021,11,70,"3,140",724,454,264,273,166,113,236,268,364,278
2021,11,80,"2,387",468,289,236,279,165,101,172,197,280,200
2021,11,90,404,81,60,45,43,29,16,29,32,46,23
2021,11,100,8,0,4,0,0,2,0,0,1,0,1
2021,12,총,"20,626","6,662","2,773","1,640","1,575","1,003",569,"1,197","1,470","2,178","1,559"
2021,12,0,901,462,96,48,36,29,7,31,54,82,56
2021,12,10,988,556,88,40,59,19,12,43,43,79,49
2021,12,20,"1,280",599,141,74,57,44,22,71,72,108,92
2021,12,30,"1,441",645,178,82,77,42,19,60,89,145,104
2021,12,40,"1,839",924,181,111,100,50,37,79,77,169,111
2021,12,50,"3,599","1,112",564,296,256,186,108,183,237,376,281
2021,12,60,"4,622","1,086",722,436,392,267,133,294,401,525,366
2021,12,70,"3,147",722,449,271,276,168,114,234,270,365,278
2021,12,80,"2,394",474,289,237,277,166,102,172,196,283,198
2021,12,90,406,82,60,45,45,30,15,30,30,46,23
2021,12,100,9,0,5,0,0,2,0,0,1,0,1
