년도,월,나이,광양시,광양읍,봉강면,옥룡면,옥곡면,진상면,진월면,다압면,골약동,중마동,광영동,금호동,태인동
2021,9,80,"3,250","1,121",157,253,207,245,232,137,124,405,189,81,99
2021,9,90,687,238,37,51,42,57,65,21,35,72,36,15,18
2021,9,100,19,4,0,2,0,2,3,4,1,2,1,0,0
2021,10,총,"71,731","23,615","1,027","1,550","2,419","1,373","1,395",878,767,"27,118","5,563","5,250",776
2021,10,0,"6,232","2,089",18,35,123,31,39,20,30,"3,003",416,399,29
2021,10,10,"7,547","2,405",50,69,133,39,37,42,36,"3,531",547,604,54
2021,10,20,"8,088","2,657",67,101,251,67,73,38,55,"3,427",628,665,59
2021,10,30,"8,304","2,772",62,74,217,71,59,43,64,"3,845",538,525,34
2021,10,40,"11,102","3,669",82,129,267,83,86,53,60,"5,071",821,719,62
2021,10,50,"13,346","4,002",179,263,530,214,184,141,87,"5,087","1,226","1,280",153
2021,10,60,"8,604","3,011",200,293,380,280,316,200,140,"1,978",847,807,152
2021,10,70,"4,530","1,636",174,278,266,281,300,176,136,696,313,156,118
2021,10,80,"3,261","1,129",156,253,209,248,232,139,123,406,190,79,97
2021,10,90,696,241,39,53,43,57,66,22,34,71,36,16,18
2021,10,100,21,4,0,2,0,2,3,4,2,3,1,0,0
2021,11,총,"71,869","23,600","1,026","1,541","2,413","1,367","1,379",872,"1,435","26,761","5,528","5,176",771
2021,11,0,"6,225","2,053",18,33,125,31,37,19,196,"2,889",407,390,27
2021,11,10,"7,561","2,415",50,66,132,42,38,41,77,"3,512",541,594,53
2021,11,20,"8,072","2,648",67,99,248,64,72,37,132,"3,386",612,649,58
2021,11,30,"8,333","2,750",60,76,215,71,56,42,298,"3,696",530,504,35
2021,11,40,"11,120","3,684",79,122,268,81,82,53,137,"5,026",820,708,60
2021,11,50,"13,408","4,019",183,266,529,214,180,138,139,"5,090","1,227","1,273",150
2021,11,60,"8,628","3,012",201,293,380,271,315,200,157,"1,985",852,809,153
2021,11,70,"4,542","1,643",174,276,268,285,301,175,138,698,312,155,117
2021,11,80,"3,259","1,127",155,255,206,247,230,141,125,404,189,80,100
2021,11,90,701,246,39,53,42,59,65,22,34,72,37,14,18
2021,11,100,20,3,0,2,0,2,3,4,2,3,1,0,0
2021,12,총,"71,905","23,562","1,032","1,535","2,414","1,354","1,382",874,"1,734","26,620","5,520","5,112",766
2021,12,0,"6,219","2,039",18,33,127,29,38,19,269,"2,833",401,386,27
2021,12,10,"7,523","2,400",52,67,131,38,39,43,98,"3,483",544,576,52
2021,12,20,"8,051","2,652",65,98,251,64,74,34,161,"3,347",608,639,58
2021,12,30,"8,344","2,726",59,71,212,71,57,44,377,"3,672",522,498,35
2021,12,40,"11,109","3,662",83,120,274,77,84,54,184,"5,007",817,691,56
2021,12,50,"13,466","4,029",185,266,523,213,178,138,176,"5,108","1,233","1,269",148
2021,12,60,"8,673","3,034",202,294,382,269,312,202,169,"1,994",854,806,155
2021,12,70,"4,536","1,641",174,274,268,282,306,173,137,700,313,152,116
2021,12,80,"3,257","1,127",154,255,203,250,227,141,128,401,189,81,101
2021,12,90,709,249,40,55,43,59,65,23,33,72,38,14,18
2021,12,100,18,3,0,2,0,2,2,3,2,3,1,0,0
