년도,월,나이,부산광역시 남구,부산광역시 남구 대연제1동,부산광역시 남구 대연제3동,부산광역시 남구 대연제4동,부산광역시 남구 대연제5동,부산광역시 남구 대연제6동,부산광역시 남구 용호제1동,부산광역시 남구 용호제2동,부산광역시 남구 용호제3동,부산광역시 남구 용호제4동,부산광역시 남구 용당동,부산광역시 남구 감만제1동,부산광역시 남구 감만제2동,부산광역시 남구 우암동,부산광역시 남구 문현제1동,부산광역시 남구 문현제2동,부산광역시 남구 문현제3동,부산광역시 남구 문현제4동
2021,10,30,"14,693","1,064","2,000",831,990,980,"1,868",865,595,524,431,719,331,632,643,732,"1,049",439
2021,10,40,"20,406","1,089","2,754","1,001","1,269","1,351","3,499","1,375",834,660,615,"1,020",533,956,"1,043",634,"1,200",573
2021,10,50,"20,657","1,106","2,211",877,"1,224","1,072","3,827","1,307",999,628,769,"1,126",584,"1,046","1,206",681,"1,265",729
2021,10,60,"19,113","1,021","1,590",922,"1,119",848,"3,101","1,290","1,140",713,675,"1,260",575,"1,233","1,107",684,"1,072",763
2021,10,70,"11,210",736,853,588,701,501,"1,619",763,727,412,327,703,411,783,610,404,623,449
2021,10,80,"3,853",308,291,214,271,161,578,189,204,122,119,229,151,241,200,165,217,193
2021,10,90,253,16,21,12,16,13,55,8,12,16,5,12,6,14,10,12,12,13
2021,10,100,14,2,1,0,1,0,0,1,0,3,1,3,0,1,0,0,0,1
2021,11,총,"128,411","8,022","16,058","6,054","8,159","7,426","21,310","8,264","5,924","4,109","4,176","6,654","3,322","6,345","6,654","4,239","7,612","4,083"
2021,11,0,"8,527",232,"1,342",525,544,842,"1,603",677,232,261,250,312,129,310,376,184,558,150
2021,11,10,"11,625",470,"1,641",465,712,813,"2,575",914,433,313,398,483,262,450,592,202,638,264
2021,11,20,"18,142","1,984","3,331",617,"1,310",842,"2,594",881,738,461,597,810,352,690,882,540,986,527
2021,11,30,"14,647","1,066","2,007",824,989,970,"1,855",857,595,518,433,721,324,627,640,739,"1,041",441
2021,11,40,"20,336","1,070","2,749","1,000","1,269","1,363","3,476","1,366",838,666,612,"1,016",536,953,"1,031",633,"1,200",558
2021,11,50,"20,676","1,111","2,233",881,"1,231","1,071","3,829","1,306","1,002",629,764,"1,112",582,"1,044","1,205",678,"1,270",728
2021,11,60,"19,128","1,024","1,588",922,"1,116",848,"3,122","1,297","1,139",708,673,"1,268",572,"1,232","1,105",686,"1,067",761
2021,11,70,"11,191",741,847,591,695,501,"1,618",767,728,412,326,694,404,782,611,400,625,449
2021,11,80,"3,879",308,299,216,276,163,585,189,205,123,118,226,155,242,203,166,212,193
2021,11,90,254,16,20,13,16,13,53,9,14,15,5,12,6,15,9,11,15,12
2021,11,100,6,0,1,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0
2021,12,총,"127,955","7,975","16,000","6,067","8,156","7,396","21,254","8,240","5,915","4,107","4,152","6,623","3,318","6,321","6,610","4,213","7,566","4,042"
2021,12,0,"8,466",225,"1,330",528,544,836,"1,596",678,231,262,245,310,132,307,373,176,547,146
2021,12,10,"11,605",470,"1,648",471,701,818,"2,566",911,432,312,394,486,260,451,588,200,634,263
2021,12,20,"17,963","1,951","3,304",614,"1,322",830,"2,572",875,734,459,592,797,348,686,861,536,966,516
2021,12,30,"14,503","1,057","1,997",811,975,963,"1,840",834,588,510,427,717,326,628,635,731,"1,032",432
2021,12,40,"20,282","1,070","2,731","1,018","1,266","1,361","3,469","1,369",840,667,605,"1,011",531,945,"1,023",625,"1,196",555
2021,12,50,"20,677","1,117","2,238",884,"1,238","1,076","3,820","1,319",999,635,764,"1,110",582,"1,026","1,200",680,"1,269",720
2021,12,60,"19,089","1,020","1,584",916,"1,117",836,"3,126","1,288","1,136",707,679,"1,256",571,"1,231","1,107",689,"1,069",757
2021,12,70,"11,187",737,844,597,697,495,"1,617",764,733,415,322,692,404,792,607,397,625,449
2021,12,80,"3,917",311,303,215,278,168,593,193,208,122,119,229,158,240,207,167,214,192
2021,12,90,261,17,20,13,17,13,55,9,14,15,5,15,6,15,9,12,14,12
2021,12,100,5,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0
