년도,월,나이,포천시,소흘읍,군내면,내촌면,가산면,신북면,창수면,영중면,일동면,이동면,영북면,관인면,화현면,포천동,선단동
2021,11,20,"18,053","6,068",941,432,745,"1,438",172,400,934,859,957,236,297,"2,525","2,049"
2021,11,30,"14,610","4,455","1,091",343,623,"1,195",118,289,862,899,948,122,334,"1,945","1,386"
2021,11,40,"19,779","7,091","1,110",497,813,"1,576",186,475,"1,176",628,832,226,273,"2,681","2,215"
2021,11,50,"29,242","9,308","1,585","1,108","1,825","2,445",363,950,"1,555",847,"1,239",513,431,"3,696","3,377"
2021,11,60,"26,849","6,621","1,623","1,115","1,784","2,535",608,"1,180","1,970","1,114","1,575",702,572,"2,984","2,466"
2021,11,70,"12,315","2,618",718,486,707,"1,048",332,657,"1,063",667,940,464,276,"1,363",976
2021,11,80,"6,922","1,403",410,283,464,571,213,373,617,353,591,259,180,693,512
2021,11,90,"1,008",203,69,40,73,98,21,50,117,37,91,29,25,90,65
2021,11,100,37,10,1,0,2,5,0,2,4,1,1,1,1,4,5
2021,12,총,"148,939","45,510","8,664","4,565","7,586","12,469","2,115","4,773","9,464","6,260","8,222","2,738","2,736","18,952","14,885"
2021,12,0,"8,110","2,824",562,93,198,609,41,157,450,509,598,49,186,"1,155",679
2021,12,10,"11,721","4,854",562,181,368,903,57,229,663,339,443,129,142,"1,750","1,101"
2021,12,20,"18,190","6,088",937,419,743,"1,455",177,394,976,874,960,235,298,"2,571","2,063"
2021,12,30,"14,638","4,462","1,085",335,615,"1,202",117,293,871,894,950,131,340,"1,947","1,396"
2021,12,40,"19,751","7,053","1,111",497,812,"1,582",184,474,"1,170",628,835,223,270,"2,692","2,220"
2021,12,50,"29,284","9,344","1,585","1,109","1,813","2,454",364,955,"1,560",847,"1,240",512,435,"3,690","3,376"
2021,12,60,"26,957","6,645","1,624","1,119","1,797","2,552",608,"1,180","1,973","1,115","1,572",704,583,"2,995","2,490"
2021,12,70,"12,309","2,625",716,487,703,"1,042",332,666,"1,063",662,939,466,278,"1,356",974
2021,12,80,"6,920","1,391",414,287,462,568,214,373,614,354,596,258,178,700,511
2021,12,90,"1,021",213,67,38,73,97,21,51,119,36,88,30,25,92,71
2021,12,100,38,11,1,0,2,5,0,1,5,2,1,1,1,4,4
