년도,월,나이,경상남도 함안군,경상남도 함안군 가야읍,경상남도 함안군 칠원읍,경상남도 함안군 함안면,경상남도 함안군 군북면,경상남도 함안군 법수면,경상남도 함안군 대산면,경상남도 함안군 칠서면,경상남도 함안군 칠북면,경상남도 함안군 산인면,경상남도 함안군 여항면
2021,4,80,"2,942",628,417,198,482,242,308,251,161,187,68
2021,4,90,470,94,71,29,73,32,59,45,20,32,15
2021,4,100,9,5,4,0,0,0,0,0,0,0,0
2021,5,총,"31,130","9,120","9,465","1,186","2,946","1,394","1,720","2,559",946,"1,360",434
2021,5,0,"1,913",591,910,32,144,34,28,127,10,31,6
2021,5,10,"2,761",896,"1,269",47,140,33,62,221,31,53,9
2021,5,20,"2,190",806,688,62,162,65,87,181,44,74,21
2021,5,30,"2,583",889,995,69,217,48,63,171,34,79,18
2021,5,40,"4,191","1,337","1,847",84,212,86,106,337,55,108,19
2021,5,50,"4,961","1,600","1,386",173,404,225,242,452,136,271,72
2021,5,60,"5,458","1,441","1,245",275,618,348,388,436,248,334,125
2021,5,70,"3,664",841,633,217,494,282,377,339,207,192,82
2021,5,80,"2,934",625,416,199,482,241,308,250,160,187,66
2021,5,90,469,91,73,28,73,32,59,45,21,31,16
2021,5,100,6,3,3,0,0,0,0,0,0,0,0
2021,6,총,"31,069","9,095","9,459","1,181","2,941","1,396","1,716","2,553",947,"1,347",434
2021,6,0,"1,884",583,895,31,145,34,25,123,11,31,6
2021,6,10,"2,763",900,"1,272",46,137,34,61,219,32,52,10
2021,6,20,"2,186",804,694,63,162,64,88,180,43,68,20
2021,6,30,"2,560",879,984,65,216,48,64,172,34,79,19
2021,6,40,"4,176","1,330","1,847",84,211,81,108,335,54,107,19
2021,6,50,"4,942","1,593","1,384",168,403,228,238,454,136,268,70
2021,6,60,"5,494","1,445","1,257",283,617,354,389,438,251,334,126
2021,6,70,"3,655",844,634,216,491,280,376,335,206,191,82
2021,6,80,"2,931",621,418,198,483,241,308,251,159,186,66
2021,6,90,473,94,71,27,76,32,59,46,21,31,16
2021,6,100,5,2,3,0,0,0,0,0,0,0,0
2021,7,총,"31,027","9,085","9,437","1,182","2,948","1,393","1,709","2,551",940,"1,344",438
2021,7,0,"1,864",572,887,33,147,33,24,121,11,30,6
2021,7,10,"2,778",900,"1,276",46,139,34,62,222,32,58,9
2021,7,20,"2,155",806,679,61,156,64,85,176,39,68,21
2021,7,30,"2,547",874,977,66,220,47,62,171,35,76,19
2021,7,40,"4,152","1,325","1,840",83,212,81,106,327,54,105,19
2021,7,50,"4,932","1,593","1,382",169,403,224,235,458,135,263,70
2021,7,60,"5,528","1,458","1,266",283,626,355,390,437,248,336,129
2021,7,70,"3,648",841,637,212,487,280,374,342,206,187,82
2021,7,80,"2,938",616,419,200,483,242,312,250,160,189,67
2021,7,90,478,98,71,29,75,33,59,46,19,32,16
2021,7,100,7,2,3,0,0,0,0,1,1,0,0
2021,8,총,"30,955","9,070","9,419","1,180","2,939","1,384","1,697","2,549",939,"1,343",435
2021,8,0,"1,837",569,871,32,146,32,23,116,11,31,6
2021,8,10,"2,771",895,"1,273",46,138,35,60,223,32,60,9
2021,8,20,"2,132",805,677,58,154,59,82,172,40,64,21
2021,8,30,"2,516",858,963,67,217,48,62,174,35,73,19
2021,8,40,"4,140","1,318","1,846",82,208,80,106,324,54,103,19
2021,8,50,"4,930","1,588","1,389",170,408,220,228,463,134,264,66
2021,8,60,"5,537","1,475","1,264",283,625,351,393,437,247,335,127
2021,8,70,"3,651",843,642,211,484,283,368,340,205,192,83
2021,8,80,"2,947",618,419,200,483,242,316,253,161,188,67
2021,8,90,486,98,72,31,76,34,59,46,19,33,18
2021,8,100,8,3,3,0,0,0,0,1,1,0,0
2021,9,총,"30,876","9,058","9,400","1,176","2,939","1,371","1,689","2,533",932,"1,346",432
2021,9,0,"1,814",560,863,30,145,30,23,115,11,31,6
2021,9,10,"2,751",894,"1,274",47,132,31,60,213,32,60,8
2021,9,20,"2,121",810,668,58,152,57,78,171,37,68,22
2021,9,30,"2,494",846,956,68,221,46,60,172,35,71,19
2021,9,40,"4,121","1,318","1,838",80,211,81,106,314,53,102,18
2021,9,50,"4,935","1,588","1,399",169,407,216,228,464,136,263,65
2021,9,60,"5,548","1,474","1,261",285,629,355,394,443,242,337,128
2021,9,70,"3,643",844,651,206,480,280,365,338,206,191,82
2021,9,80,"2,947",620,414,201,486,241,315,254,161,188,67
2021,9,90,494,101,73,32,76,34,60,48,18,35,17
2021,9,100,8,3,3,0,0,0,0,1,1,0,0
2021,10,총,"30,834","9,042","9,395","1,182","2,938","1,366","1,685","2,519",930,"1,345",432
2021,10,0,"1,796",558,855,31,144,28,21,113,11,29,6
2021,10,10,"2,738",889,"1,271",48,133,30,60,210,32,57,8
2021,10,20,"2,126",806,677,56,156,59,77,169,39,66,21
2021,10,30,"2,476",839,952,68,219,45,59,170,32,71,21
2021,10,40,"4,101","1,316","1,820",85,209,80,107,310,55,101,18
2021,10,50,"4,936","1,580","1,406",172,406,209,230,465,136,267,65
2021,10,60,"5,558","1,485","1,267",285,630,360,390,439,237,337,128
2021,10,70,"3,652",847,660,207,474,278,369,339,204,194,80
2021,10,80,"2,944",617,411,198,489,240,314,256,166,186,67
2021,10,90,498,101,73,32,78,37,58,47,17,37,18
2021,10,100,9,4,3,0,0,0,0,1,1,0,0
2021,11,총,"30,781","9,031","9,389","1,181","2,917","1,369","1,683","2,513",925,"1,335",438
2021,11,0,"1,779",547,848,30,144,28,21,114,11,29,7
2021,11,10,"2,727",889,"1,275",49,132,31,60,203,31,49,8
2021,11,20,"2,086",796,669,52,149,55,74,171,38,61,21
2021,11,30,"2,462",832,947,68,216,48,59,168,32,70,22
2021,11,40,"4,095","1,319","1,817",83,205,80,103,311,56,102,19
2021,11,50,"4,950","1,594","1,415",173,399,206,232,462,137,265,67
2021,11,60,"5,566","1,481","1,267",287,628,364,388,445,236,343,127
2021,11,70,"3,648",849,661,207,475,281,366,336,200,193,80
2021,11,80,"2,955",619,413,200,489,240,318,256,165,186,69
2021,11,90,504,101,74,32,80,36,62,46,18,37,18
2021,11,100,9,4,3,0,0,0,0,1,1,0,0
2021,12,총,"30,731","9,017","9,384","1,180","2,902","1,366","1,675","2,508",921,"1,338",440
2021,12,0,"1,768",539,850,30,140,28,21,113,10,29,8
2021,12,10,"2,701",878,"1,273",49,130,30,55,199,31,48,8
2021,12,20,"2,066",790,666,48,145,54,74,171,36,62,20
2021,12,30,"2,443",830,930,69,211,51,58,166,33,74,21
2021,12,40,"4,100","1,320","1,822",84,204,81,100,310,56,103,20
2021,12,50,"4,942","1,593","1,418",178,394,205,231,459,135,261,68
2021,12,60,"5,570","1,481","1,271",281,630,362,388,449,235,348,125
2021,12,70,"3,650",852,661,207,478,279,365,338,200,190,80
2021,12,80,"2,976",627,415,201,492,241,319,256,167,186,72
2021,12,90,508,104,75,33,78,35,64,46,18,37,18
2021,12,100,7,3,3,0,0,0,0,1,0,0,0
