년도,월,나이,충청북도 보은군,충청북도 보은군 보은읍,충청북도 보은군 속리산면,충청북도 보은군 장안면,충청북도 보은군 마로면,충청북도 보은군 탄부면,충청북도 보은군 삼승면,충청북도 보은군 수한면,충청북도 보은군 회남면,충청북도 보은군 회인면,충청북도 보은군 내북면,충청북도 보은군 산외면
2021,9,100,15,6,1,1,2,0,1,1,0,1,2,0
2021,10,총,"31,863","14,756","1,867","1,471","2,146","1,617","2,275","1,885",737,"1,727","1,641","1,741"
2021,10,0,"1,346",953,32,84,46,17,56,40,20,41,31,26
2021,10,10,"2,028","1,311",76,72,89,48,119,87,27,65,61,73
2021,10,20,"2,243","1,329",114,106,77,78,149,110,21,81,83,95
2021,10,30,"2,016","1,221",75,140,80,65,154,71,14,55,73,68
2021,10,40,"3,130","1,878",138,155,140,95,180,151,55,102,102,134
2021,10,50,"5,634","2,648",385,231,363,251,373,300,122,314,312,335
2021,10,60,"7,286","2,718",519,300,583,434,551,547,242,479,434,479
2021,10,70,"4,475","1,532",328,203,418,325,381,303,134,306,278,267
2021,10,80,"3,190","1,008",168,158,306,266,283,231,88,242,220,220
2021,10,90,500,151,31,21,42,38,28,44,14,41,46,44
2021,10,100,15,7,1,1,2,0,1,1,0,1,1,0
2021,11,총,"31,862","14,757","1,861","1,473","2,145","1,617","2,283","1,883",734,"1,726","1,639","1,744"
2021,11,0,"1,343",951,30,81,47,18,55,42,20,42,31,26
2021,11,10,"2,023","1,306",77,73,91,48,119,84,27,66,62,70
2021,11,20,"2,237","1,326",114,105,77,73,154,110,21,80,81,96
2021,11,30,"2,025","1,227",72,139,77,63,160,71,15,56,74,71
2021,11,40,"3,143","1,883",135,157,144,101,179,151,56,103,102,132
2021,11,50,"5,589","2,629",384,233,353,247,369,298,121,312,308,335
2021,11,60,"7,339","2,740",518,304,590,439,557,548,240,479,439,485
2021,11,70,"4,446","1,524",328,200,415,325,379,298,131,307,274,265
2021,11,80,"3,201","1,013",172,159,307,267,281,234,89,240,220,219
2021,11,90,502,151,31,21,42,36,29,46,14,40,47,45
2021,11,100,14,7,0,1,2,0,1,1,0,1,1,0
2021,12,총,"31,878","14,757","1,865","1,455","2,148","1,625","2,305","1,887",734,"1,726","1,640","1,736"
2021,12,0,"1,334",943,28,84,43,22,56,42,19,42,30,25
2021,12,10,"2,017","1,305",79,69,90,48,119,85,25,66,61,70
2021,12,20,"2,247","1,327",122,97,78,74,160,107,22,83,84,93
2021,12,30,"2,016","1,221",71,141,75,64,161,72,15,57,71,68
2021,12,40,"3,135","1,877",137,153,142,102,187,151,53,104,99,130
2021,12,50,"5,605","2,625",383,230,364,246,370,303,126,311,310,337
2021,12,60,"7,353","2,758",520,304,594,437,559,543,239,475,439,485
2021,12,70,"4,423","1,517",323,197,410,327,374,302,131,304,275,263
2021,12,80,"3,220","1,023",170,156,309,268,289,232,89,242,223,219
2021,12,90,514,154,32,23,41,37,29,49,15,41,47,46
2021,12,100,14,7,0,1,2,0,1,1,0,1,1,0
