년도,월,나이,세종특별자치시,조치원읍,연기면,연동면,부강면,금남면,장군면,연서면,전의면,전동면,소정면,한솔동,새롬동,도담동,아름동,종촌동,고운동,소담동,보람동,대평동,다정동,해밀동,반곡동
2021,6,총,"181,667","20,787","1,181","1,501","2,786","4,190","2,919","3,363","2,605","1,583","1,125","9,685","16,599","21,188","11,934","15,091","17,562","17,293","9,893","5,703","14,679",,
2021,6,0,"22,955","1,521",49,45,152,165,107,178,89,41,48,"1,189","2,264","2,802","1,641","2,203","2,876","2,869","1,530",780,"2,406",,
2021,6,10,"21,923","2,023",48,64,166,218,162,187,161,54,93,"1,641","2,266","2,745","2,058","2,162","2,374","1,871","1,270",544,"1,816",,
2021,6,20,"18,638","2,808",150,103,243,375,379,290,213,122,109,830,"2,062","2,530",960,"1,334","1,303","1,778",955,684,"1,410",,
2021,6,30,"31,311","2,466",116,120,273,351,307,271,186,89,61,"1,344","3,376","4,015","1,851","2,775","3,410","4,040","1,906","1,145","3,209",,
2021,6,40,"34,723","3,179",112,128,311,396,305,338,265,116,133,"2,330","3,383","4,514","3,072","3,199","3,777","3,260","1,990",995,"2,920",,
2021,6,50,"22,240","3,088",194,234,461,700,556,515,438,274,183,"1,289","1,794","2,279","1,297","1,621","1,845","1,923","1,160",868,"1,521",,
2021,6,60,"16,222","2,816",247,316,534,853,534,670,495,393,196,622,949,"1,301",669,"1,130","1,343","1,019",715,462,958,,
2021,6,70,"7,782","1,713",135,220,352,581,288,495,372,245,150,272,307,585,251,420,435,325,230,123,283,,
2021,6,80,"4,829",981,100,218,257,451,242,356,314,205,133,137,149,326,111,219,160,161,110,78,121,,
2021,6,90,"1,015",185,29,50,37,97,38,61,66,44,19,29,49,91,23,27,39,45,27,24,35,,
2021,6,100,29,7,1,3,0,3,1,2,6,0,0,2,0,0,1,1,0,2,0,0,0,,
2021,7,총,"182,368","20,795","1,184","1,498","2,781","4,196","2,941","3,373","2,593","1,572","1,115","9,657","17,090","21,190","11,924","15,126","17,574","17,416","9,922","5,700","14,721",,
2021,7,0,"22,981","1,514",48,48,150,170,116,177,89,40,44,"1,173","2,356","2,801","1,627","2,189","2,878","2,867","1,519",781,"2,394",,
2021,7,10,"22,035","2,033",49,60,166,205,165,190,158,52,92,"1,627","2,346","2,739","2,055","2,172","2,381","1,888","1,282",542,"1,833",,
2021,7,20,"18,676","2,790",151,102,236,376,368,292,215,121,109,848,"2,078","2,528",957,"1,341","1,288","1,837",963,679,"1,397",,
2021,7,30,"31,325","2,460",115,120,271,359,309,269,182,87,62,"1,338","3,458","3,981","1,842","2,774","3,392","4,038","1,916","1,145","3,207",,
2021,7,40,"34,950","3,191",107,127,310,388,311,344,264,115,127,"2,309","3,519","4,543","3,076","3,203","3,801","3,274","2,003",997,"2,941",,
2021,7,50,"22,358","3,101",198,237,459,709,557,506,437,270,184,"1,291","1,850","2,288","1,293","1,639","1,855","1,926","1,152",864,"1,542",,
2021,7,60,"16,358","2,823",249,317,544,857,536,677,494,394,198,628,966,"1,309",689,"1,136","1,344","1,046",716,468,967,,
2021,7,70,"7,800","1,707",134,218,348,581,295,499,366,244,149,274,313,594,248,422,438,331,231,123,285,,
2021,7,80,"4,852",988,103,219,258,451,244,356,318,205,133,139,153,320,113,222,158,163,111,78,120,,
2021,7,90,"1,005",181,29,47,39,97,39,61,64,44,17,29,51,87,23,27,39,44,29,23,35,,
2021,7,100,28,7,1,3,0,3,1,2,6,0,0,1,0,0,1,1,0,2,0,0,0,,
2021,8,총,"182,879","20,790","1,180","1,496","2,790","4,225","2,945","3,369","2,589","1,565","1,107","9,626","17,526","21,195","11,934","15,179","17,613","17,409","9,904","5,704","14,733",,
2021,8,0,"22,975","1,501",50,48,157,170,122,177,88,38,43,"1,158","2,427","2,800","1,619","2,190","2,870","2,848","1,501",779,"2,389",,
2021,8,10,"22,139","2,029",47,61,165,201,164,189,155,51,94,"1,626","2,423","2,731","2,056","2,174","2,396","1,907","1,279",539,"1,852",,
2021,8,20,"18,639","2,793",153,102,236,380,367,289,216,120,108,853,"2,105","2,522",952,"1,353","1,271","1,808",966,674,"1,371",,
2021,8,30,"31,320","2,444",113,120,276,366,300,273,179,85,61,"1,329","3,517","3,978","1,844","2,788","3,370","4,029","1,911","1,137","3,200",,
2021,8,40,"35,064","3,185",105,128,306,393,307,340,268,114,123,"2,298","3,648","4,537","3,070","3,182","3,821","3,280","1,995","1,006","2,958",,
2021,8,50,"22,521","3,116",198,237,461,716,555,498,433,273,183,"1,293","1,892","2,314","1,304","1,673","1,882","1,932","1,157",862,"1,542",,
2021,8,60,"16,481","2,827",249,320,538,867,537,684,495,394,200,621,992,"1,312",699,"1,144","1,361","1,063",723,476,979,,
2021,8,70,"7,824","1,709",131,214,356,574,303,499,364,243,148,278,311,591,252,429,443,330,233,127,289,,
2021,8,80,"4,885",999,105,215,255,459,249,355,323,204,129,141,156,324,115,219,161,166,112,81,117,,
2021,8,90,"1,002",180,28,48,40,96,40,62,62,43,18,28,55,86,22,26,38,44,27,23,36,,
2021,8,100,29,7,1,3,0,3,1,3,6,0,0,1,0,0,1,1,0,2,0,0,0,,
2021,9,총,"183,516","20,789","1,193","1,484","2,792","4,215","2,948","3,366","2,576","1,559","1,097","9,616","18,217","16,867","11,936","15,178","17,549","17,429","9,867","5,719","14,761","4,358",
2021,9,0,"23,007","1,493",49,51,159,170,119,170,88,38,43,"1,159","2,530","1,959","1,610","2,168","2,857","2,855","1,493",786,"2,389",821,
2021,9,10,"22,231","2,030",46,57,164,198,170,191,154,50,92,"1,623","2,521","2,232","2,063","2,165","2,395","1,914","1,276",536,"1,859",495,
2021,9,20,"18,630","2,786",156,102,239,382,370,289,204,119,107,839,"2,168","2,193",944,"1,354","1,264","1,799",952,674,"1,352",337,
2021,9,30,"31,341","2,434",117,116,281,365,303,270,177,82,61,"1,319","3,650","2,954","1,839","2,776","3,322","4,034","1,896","1,131","3,198","1,016",
2021,9,40,"35,247","3,183",109,126,300,392,304,341,266,114,121,"2,290","3,816","3,621","3,070","3,193","3,821","3,287","1,997","1,015","2,973",908,
2021,9,50,"22,693","3,126",201,235,465,707,548,491,436,270,180,"1,306","1,971","1,933","1,317","1,690","1,887","1,929","1,156",869,"1,562",414,
2021,9,60,"16,574","2,833",249,319,536,864,537,689,498,396,201,636,"1,021","1,112",698,"1,150","1,356","1,069",726,477,986,221,
2021,9,70,"7,845","1,716",132,212,352,578,310,502,361,238,146,273,324,502,252,432,447,330,232,123,289,94,
2021,9,80,"4,898",998,107,217,254,460,245,356,323,210,128,141,158,279,118,220,163,162,111,84,117,47,
2021,9,90,"1,021",183,26,46,42,96,41,64,63,42,18,29,58,82,24,29,37,48,28,24,36,5,
2021,9,100,29,7,1,3,0,3,1,3,6,0,0,1,0,0,1,1,0,2,0,0,0,0,
2021,10,총,"184,397","20,795","1,200","1,484","2,777","4,235","2,946","3,359","2,577","1,563","1,084","9,594","19,090","17,026","11,892","15,140","17,524","10,474","9,837","5,714","14,772","4,367","6,947"
2021,10,0,"23,033","1,477",50,52,157,176,116,168,87,37,44,"1,146","2,690","1,970","1,581","2,138","2,827","1,757","1,478",775,"2,399",818,"1,090"
2021,10,10,"22,427","2,028",45,55,165,191,170,189,153,49,91,"1,622","2,644","2,250","2,074","2,175","2,413","1,261","1,277",547,"1,860",509,659
2021,10,20,"18,613","2,782",159,101,236,384,363,292,207,120,103,858,"2,228","2,215",939,"1,337","1,240",855,939,663,"1,346",329,917
2021,10,30,"31,414","2,442",122,120,277,371,307,264,179,86,62,"1,316","3,801","2,954","1,831","2,770","3,294","2,303","1,877","1,130","3,178","1,006","1,724"
2021,10,40,"35,464","3,161",107,126,298,391,295,341,268,113,120,"2,275","4,021","3,650","3,047","3,191","3,839","2,097","2,009","1,015","2,986",921,"1,193"
2021,10,50,"22,909","3,142",205,232,458,717,551,496,432,268,175,"1,306","2,062","1,981","1,330","1,707","1,900","1,172","1,154",875,"1,565",417,764
2021,10,60,"16,705","2,845",247,320,537,868,543,688,498,398,205,628,"1,071","1,134",702,"1,141","1,361",693,732,480,"1,000",223,391
2021,10,70,"7,849","1,722",132,211,354,579,309,495,359,236,140,273,337,506,245,429,452,224,234,121,290,93,108
2021,10,80,"4,932","1,006",106,218,253,460,249,361,324,214,126,140,172,287,118,221,161,84,110,87,112,46,77
2021,10,90,"1,021",183,26,46,42,95,42,63,62,42,18,29,64,79,24,30,37,27,27,21,36,5,23
2021,10,100,30,7,1,3,0,3,1,2,8,0,0,1,0,0,1,1,0,1,0,0,0,0,1
2021,11,총,"185,024","20,811","1,212","1,486","2,768","4,225","2,953","3,353","2,574","1,558","1,079","9,553","19,522","17,275","11,885","15,064","17,541","10,457","9,784","5,700","14,766","4,375","7,083"
2021,11,0,"23,017","1,475",50,50,155,170,120,164,86,38,43,"1,142","2,743","1,995","1,562","2,111","2,823","1,748","1,455",765,"2,396",813,"1,113"
2021,11,10,"22,515","2,025",45,54,166,188,167,190,152,47,91,"1,605","2,719","2,290","2,075","2,166","2,430","1,253","1,277",546,"1,852",511,666
2021,11,20,"18,638","2,781",164,102,237,379,370,290,201,122,100,852,"2,260","2,224",937,"1,323","1,241",848,931,655,"1,333",327,961
2021,11,30,"31,420","2,441",130,118,272,377,311,266,176,86,63,"1,307","3,869","2,986","1,812","2,729","3,274","2,294","1,859","1,130","3,151","1,002","1,767"
2021,11,40,"35,655","3,150",107,127,296,394,303,337,269,111,117,"2,267","4,121","3,696","3,061","3,195","3,844","2,112","2,002","1,010","3,000",927,"1,209"
2021,11,50,"23,111","3,163",201,231,456,710,542,505,435,269,179,"1,310","2,120","2,028","1,342","1,722","1,908","1,173","1,157",880,"1,584",428,768
2021,11,60,"16,811","2,857",249,323,538,873,546,681,500,397,204,627,"1,095","1,162",704,"1,144","1,373",698,731,483,"1,010",223,393
2021,11,70,"7,852","1,721",133,212,352,572,307,493,359,235,140,275,346,520,247,423,450,222,236,122,289,93,105
2021,11,80,"4,952","1,003",106,219,254,467,245,363,325,209,124,139,186,295,119,222,160,81,108,89,115,47,76
2021,11,90,"1,023",187,26,47,42,92,41,62,63,44,18,28,63,79,25,29,38,27,28,20,36,4,24
2021,11,100,30,8,1,3,0,3,1,2,8,0,0,1,0,0,1,0,0,1,0,0,0,0,1
2021,12,총,"186,217","20,742","1,213","1,476","2,759","4,205","2,944","3,338","2,571","1,555","1,066","9,464","19,637","17,280","11,771","14,971","17,440","10,358","9,720","5,673","14,733","4,377","8,924"
2021,12,0,"23,079","1,445",49,48,152,163,119,158,86,38,43,"1,116","2,744","1,977","1,531","2,069","2,777","1,715","1,435",757,"2,382",814,"1,461"
2021,12,10,"22,713","2,015",45,54,159,186,168,190,152,47,91,"1,610","2,765","2,313","2,065","2,173","2,437","1,265","1,271",555,"1,872",511,769
2021,12,20,"18,782","2,774",169,103,245,385,364,284,204,124,98,839,"2,241","2,233",929,"1,306","1,227",834,924,646,"1,314",328,"1,211"
2021,12,30,"31,588","2,403",129,114,269,367,307,262,177,87,64,"1,281","3,847","2,930","1,771","2,673","3,198","2,247","1,816","1,106","3,119",986,"2,435"
2021,12,40,"35,933","3,153",104,126,290,389,301,345,266,109,111,"2,254","4,184","3,700","3,042","3,195","3,859","2,087","2,004","1,017","3,003",945,"1,449"
2021,12,50,"23,295","3,167",200,229,452,711,545,500,433,271,178,"1,303","2,163","2,055","1,340","1,713","1,896","1,178","1,171",884,"1,589",426,891
2021,12,60,"16,926","2,851",250,325,545,872,547,686,504,391,205,622,"1,090","1,175",707,"1,154","1,383",702,733,478,"1,015",223,468
2021,12,70,"7,905","1,735",130,210,349,574,312,490,362,235,137,279,352,518,247,425,463,218,232,120,294,94,129
2021,12,80,"4,951","1,004",109,219,256,463,238,358,323,207,120,133,192,302,113,231,158,85,108,91,111,45,85
2021,12,90,"1,025",187,27,48,42,93,42,64,61,46,19,26,59,77,25,32,42,26,26,19,34,5,25
2021,12,100,20,8,1,0,0,2,1,1,3,0,0,1,0,0,1,0,0,1,0,0,0,0,1
