년도,월,나이,성북구,성북동,삼선동,동선동,돈암제1동,돈암제2동,안암동,보문동,정릉제1동,정릉제2동,정릉제3동,정릉제4동,길음제1동,길음제2동,종암동,월곡제1동,월곡제2동,장위제1동,장위제2동,장위제3동,석관동
2021,2,100,392,17,34,18,13,10,15,16,15,18,10,25,26,20,46,24,12,15,27,15,16
2021,3,총,"434,826","16,711","23,153","15,507","14,983","24,322","14,944","15,556","18,413","23,261","15,186","25,295","35,766","16,642","39,187","26,668","19,720","24,100","13,716","16,398","35,298"
2021,3,0,"28,774",756,"1,097",574,796,"1,970",440,974,"1,386","1,478",582,"1,629","3,892","1,412","2,645","2,052","1,059","1,721",591,"1,758","1,962"
2021,3,10,"37,077","1,178","1,876",965,"1,302","2,830",866,931,"1,768","1,852",970,"2,143","4,872","1,438","3,657","2,577","1,504","1,925",870,"1,361","2,192"
2021,3,20,"66,403","2,769","4,220","4,453","2,013","2,969","5,071","2,644","2,284","3,236","3,063","3,258","3,407","2,071","5,726","3,092","3,490","3,380","1,964","2,098","5,195"
2021,3,30,"59,486","2,485","3,247","2,497","1,976","2,957","2,000","2,590","2,611","3,117","1,846","3,193","4,562","2,389","5,120","3,569","2,728","3,313","1,727","2,653","4,906"
2021,3,40,"69,264","2,529","3,585","1,985","2,118","4,459","1,638","2,377","3,177","3,547","1,887","4,165","7,812","2,912","6,354","4,521","2,839","3,658","1,922","2,664","5,115"
2021,3,50,"69,159","2,728","3,653","1,942","2,703","4,074","2,003","2,516","2,842","3,757","2,362","4,158","4,997","2,742","6,308","4,235","3,014","4,221","2,398","2,574","5,932"
2021,3,60,"55,316","2,088","2,752","1,500","2,163","2,746","1,454","1,928","2,255","3,358","2,219","3,611","3,242","2,083","4,815","3,564","2,703","3,340","2,192","1,929","5,374"
2021,3,70,"33,014","1,327","1,792","1,042","1,278","1,464",968,"1,079","1,393","1,989","1,460","2,139","2,048","1,114","2,865","2,126","1,586","1,724","1,415",974,"3,231"
2021,3,80,"14,283",705,815,468,560,721,444,455,615,813,691,866,815,425,"1,466",832,697,730,563,344,"1,258"
2021,3,90,"1,949",128,102,69,70,129,54,58,79,111,104,127,116,54,223,100,97,87,72,38,131
2021,3,100,101,18,14,12,4,3,6,4,3,3,2,6,3,2,8,0,3,1,2,5,2
2021,4,총,"434,383","16,700","23,115","15,510","14,950","24,245","14,963","15,501","18,409","23,249","15,139","25,210","35,736","16,599","39,128","26,691","19,671","24,294","13,732","16,275","35,266"
2021,4,0,"28,613",758,"1,091",572,806,"1,962",439,971,"1,382","1,465",589,"1,604","3,847","1,397","2,611","2,031","1,045","1,750",585,"1,755","1,953"
2021,4,10,"36,901","1,169","1,854",967,"1,289","2,805",848,924,"1,761","1,840",964,"2,137","4,882","1,437","3,645","2,573","1,489","1,923",868,"1,349","2,177"
2021,4,20,"66,420","2,783","4,212","4,453","1,993","2,947","5,126","2,630","2,289","3,244","3,030","3,259","3,410","2,064","5,722","3,111","3,485","3,408","1,974","2,084","5,196"
2021,4,30,"59,426","2,466","3,238","2,490","1,987","2,953","2,009","2,574","2,611","3,126","1,858","3,175","4,521","2,386","5,119","3,573","2,701","3,363","1,739","2,635","4,902"
2021,4,40,"69,092","2,530","3,554","1,992","2,104","4,426","1,622","2,374","3,168","3,536","1,866","4,150","7,823","2,889","6,328","4,521","2,837","3,696","1,926","2,645","5,105"
2021,4,50,"69,103","2,729","3,681","1,947","2,686","4,079","1,999","2,503","2,837","3,758","2,351","4,143","5,013","2,742","6,313","4,222","3,003","4,248","2,395","2,549","5,905"
2021,4,60,"55,505","2,096","2,762","1,501","2,182","2,742","1,454","1,930","2,275","3,372","2,231","3,608","3,257","2,098","4,827","3,588","2,713","3,354","2,192","1,923","5,400"
2021,4,70,"32,900","1,317","1,789","1,042","1,271","1,470",966,"1,071","1,388","1,977","1,450","2,129","2,049","1,098","2,867","2,129","1,594","1,725","1,404",950,"3,214"
2021,4,80,"14,371",705,819,468,561,729,441,462,616,816,696,873,815,432,"1,462",841,707,736,572,344,"1,276"
2021,4,90,"1,950",129,101,67,67,129,53,58,79,112,102,126,115,54,226,102,94,89,75,36,136
2021,4,100,102,18,14,11,4,3,6,4,3,3,2,6,4,2,8,0,3,2,2,5,2
2021,5,총,"433,988","16,679","23,060","15,498","14,902","24,209","14,938","15,485","18,365","23,199","15,127","25,151","35,726","16,611","39,107","26,656","19,644","24,354","13,751","16,253","35,273"
2021,5,0,"28,508",756,"1,079",566,797,"1,958",431,966,"1,391","1,463",586,"1,581","3,830","1,401","2,606","2,014","1,057","1,755",583,"1,741","1,947"
2021,5,10,"36,728","1,162","1,845",966,"1,268","2,788",846,928,"1,752","1,815",966,"2,114","4,890","1,432","3,626","2,564","1,464","1,924",855,"1,352","2,171"
2021,5,20,"66,276","2,781","4,190","4,421","1,999","2,935","5,111","2,612","2,274","3,236","3,036","3,279","3,408","2,052","5,715","3,103","3,469","3,406","1,979","2,084","5,186"
2021,5,30,"59,345","2,457","3,242","2,496","1,968","2,943","2,016","2,580","2,613","3,132","1,852","3,138","4,476","2,398","5,093","3,554","2,710","3,381","1,762","2,621","4,913"
2021,5,40,"68,896","2,518","3,531","2,002","2,098","4,409","1,625","2,376","3,137","3,512","1,856","4,135","7,810","2,883","6,334","4,510","2,830","3,699","1,902","2,654","5,075"
2021,5,50,"69,093","2,741","3,671","1,950","2,677","4,096","1,993","2,494","2,851","3,757","2,339","4,145","5,030","2,748","6,311","4,223","2,992","4,252","2,392","2,541","5,890"
2021,5,60,"55,769","2,095","2,759","1,507","2,186","2,757","1,456","1,941","2,272","3,374","2,246","3,623","3,288","2,106","4,858","3,618","2,726","3,367","2,220","1,930","5,440"
2021,5,70,"32,826","1,310","1,790","1,042","1,269","1,466",953,"1,066","1,370","1,969","1,443","2,118","2,054","1,094","2,849","2,120","1,592","1,738","1,409",948,"3,226"
2021,5,80,"14,472",710,837,466,567,725,446,460,622,827,697,882,821,438,"1,479",847,704,742,573,344,"1,285"
2021,5,90,"1,970",132,102,70,69,129,55,58,79,110,104,131,115,57,228,103,96,88,74,33,137
2021,5,100,105,17,14,12,4,3,6,4,4,4,2,5,4,2,8,0,4,2,2,5,3
2021,6,총,"433,658","16,698","23,006","15,506","14,858","24,220","14,925","15,479","18,375","23,222","15,101","25,095","35,672","16,629","39,049","26,647","19,568","24,382","13,771","16,188","35,267"
2021,6,0,"28,368",760,"1,059",557,780,"1,949",435,966,"1,399","1,469",579,"1,556","3,802","1,403","2,589","2,004","1,047","1,766",575,"1,729","1,944"
2021,6,10,"36,669","1,168","1,826",953,"1,264","2,792",835,928,"1,753","1,827",947,"2,113","4,887","1,435","3,628","2,574","1,452","1,912",862,"1,353","2,160"
2021,6,20,"66,183","2,761","4,196","4,447","1,995","2,941","5,103","2,609","2,271","3,240","3,030","3,278","3,412","2,058","5,682","3,082","3,456","3,394","1,982","2,070","5,176"
2021,6,30,"59,249","2,466","3,236","2,502","1,955","2,952","2,021","2,591","2,620","3,121","1,847","3,108","4,423","2,407","5,077","3,547","2,706","3,398","1,768","2,600","4,904"
2021,6,40,"68,737","2,534","3,512","1,990","2,080","4,385","1,612","2,368","3,120","3,521","1,854","4,137","7,794","2,877","6,308","4,521","2,803","3,711","1,899","2,642","5,069"
2021,6,50,"69,033","2,750","3,657","1,952","2,684","4,100","1,980","2,500","2,851","3,754","2,333","4,136","5,052","2,747","6,300","4,217","2,983","4,234","2,396","2,539","5,868"
2021,6,60,"56,027","2,088","2,778","1,519","2,194","2,776","1,479","1,931","2,280","3,383","2,266","3,625","3,294","2,118","4,887","3,626","2,728","3,391","2,237","1,942","5,485"
2021,6,70,"32,776","1,307","1,787","1,039","1,259","1,471",948,"1,068","1,364","1,966","1,443","2,124","2,052","1,089","2,853","2,119","1,592","1,739","1,404",932,"3,220"
2021,6,80,"14,528",712,839,465,574,720,451,454,634,826,696,879,835,437,"1,489",855,699,747,572,343,"1,301"
2021,6,90,"1,983",135,102,69,69,131,56,60,80,111,104,134,117,55,228,102,98,88,74,33,137
2021,6,100,105,17,14,13,4,3,5,4,3,4,2,5,4,3,8,0,4,2,2,5,3
2021,7,총,"433,361","16,696","22,996","15,494","14,827","24,168","14,877","15,461","18,343","23,167","15,090","25,093","35,655","16,624","39,054","26,593","19,600","24,391","13,788","16,153","35,291"
2021,7,0,"28,228",754,"1,052",549,791,"1,931",434,966,"1,403","1,458",576,"1,546","3,782","1,407","2,574","1,969","1,039","1,752",579,"1,720","1,946"
2021,7,10,"36,578","1,165","1,820",949,"1,258","2,795",819,929,"1,739","1,828",926,"2,102","4,885","1,441","3,630","2,581","1,448","1,902",860,"1,351","2,150"
2021,7,20,"66,130","2,765","4,187","4,461","1,979","2,911","5,119","2,608","2,268","3,225","3,065","3,265","3,412","2,035","5,655","3,066","3,476","3,401","1,992","2,062","5,178"
2021,7,30,"59,120","2,460","3,244","2,516","1,949","2,949","2,016","2,575","2,605","3,081","1,827","3,123","4,383","2,413","5,093","3,527","2,716","3,383","1,771","2,581","4,908"
2021,7,40,"68,524","2,540","3,477","1,975","2,082","4,357","1,590","2,366","3,126","3,524","1,830","4,104","7,791","2,870","6,292","4,518","2,777","3,720","1,898","2,630","5,057"
2021,7,50,"69,040","2,753","3,685","1,942","2,666","4,114","1,961","2,493","2,849","3,734","2,346","4,152","5,063","2,746","6,307","4,214","2,992","4,223","2,392","2,537","5,871"
2021,7,60,"56,267","2,096","2,782","1,511","2,206","2,779","1,491","1,939","2,276","3,402","2,266","3,654","3,314","2,123","4,913","3,637","2,750","3,421","2,245","1,964","5,498"
2021,7,70,"32,722","1,298","1,784","1,035","1,250","1,471",940,"1,067","1,361","1,966","1,435","2,125","2,056","1,088","2,852","2,116","1,595","1,746","1,395",926,"3,216"
2021,7,80,"14,648",710,849,474,576,725,446,456,633,832,711,883,844,441,"1,498",861,706,756,582,343,"1,322"
2021,7,90,"1,996",136,102,69,66,133,56,58,81,113,105,134,121,57,232,104,97,85,71,34,142
2021,7,100,108,19,14,13,4,3,5,4,2,4,3,5,4,3,8,0,4,2,3,5,3
2021,8,총,"432,815","16,668","22,996","15,494","14,800","24,111","14,955","15,421","18,263","23,110","15,091","24,983","35,598","16,641","39,064","26,519","19,561","24,367","13,796","16,119","35,258"
2021,8,0,"28,048",753,"1,042",545,790,"1,920",429,963,"1,386","1,446",570,"1,531","3,737","1,411","2,552","1,956","1,038","1,756",577,"1,716","1,930"
2021,8,10,"36,466","1,155","1,817",946,"1,253","2,797",822,923,"1,718","1,815",927,"2,079","4,887","1,436","3,628","2,565","1,442","1,902",865,"1,354","2,135"
2021,8,20,"66,073","2,769","4,189","4,506","1,974","2,907","5,184","2,598","2,250","3,212","3,080","3,256","3,396","2,032","5,653","3,031","3,482","3,377","1,984","2,045","5,148"
2021,8,30,"58,980","2,470","3,238","2,508","1,935","2,936","2,024","2,575","2,592","3,060","1,820","3,093","4,352","2,403","5,096","3,529","2,700","3,371","1,788","2,574","4,916"
2021,8,40,"68,197","2,516","3,462","1,944","2,086","4,331","1,585","2,349","3,122","3,501","1,828","4,075","7,735","2,867","6,282","4,508","2,750","3,720","1,880","2,616","5,040"
2021,8,50,"69,039","2,753","3,700","1,942","2,657","4,110","1,960","2,487","2,844","3,743","2,337","4,150","5,093","2,766","6,319","4,190","2,986","4,213","2,392","2,530","5,867"
2021,8,60,"56,540","2,098","2,798","1,517","2,212","2,786","1,505","1,939","2,277","3,419","2,289","3,640","3,355","2,142","4,938","3,656","2,758","3,437","2,258","1,972","5,544"
2021,8,70,"32,655","1,289","1,783","1,032","1,249","1,463",936,"1,066","1,354","1,953","1,425","2,127","2,063","1,083","2,856","2,100","1,596","1,747","1,392",926,"3,215"
2021,8,80,"14,721",711,849,473,574,727,449,458,639,842,707,892,854,444,"1,505",880,708,755,587,347,"1,320"
2021,8,90,"1,988",135,103,68,66,131,56,59,79,115,105,135,122,55,227,104,97,87,70,34,140
2021,8,100,108,19,15,13,4,3,5,4,2,4,3,5,4,2,8,0,4,2,3,5,3
2021,9,총,"432,628","16,642","23,013","15,521","14,769","24,047","14,986","15,409","18,285","23,076","15,134","25,007","35,595","16,618","39,005","26,492","19,581","24,392","13,782","16,059","35,215"
2021,9,0,"27,872",740,"1,038",543,784,"1,919",427,950,"1,387","1,432",562,"1,529","3,708","1,411","2,529","1,947","1,018","1,744",575,"1,710","1,919"
2021,9,10,"36,397","1,155","1,822",945,"1,244","2,774",808,914,"1,730","1,798",935,"2,063","4,905","1,430","3,622","2,561","1,436","1,904",862,"1,346","2,143"
2021,9,20,"66,125","2,752","4,204","4,526","1,964","2,886","5,231","2,609","2,261","3,216","3,108","3,285","3,392","2,027","5,623","3,028","3,502","3,378","1,980","2,034","5,119"
2021,9,30,"58,861","2,481","3,240","2,517","1,928","2,934","2,031","2,562","2,564","3,063","1,829","3,075","4,324","2,403","5,078","3,513","2,705","3,388","1,783","2,538","4,905"
2021,9,40,"67,997","2,510","3,447","1,955","2,082","4,287","1,586","2,336","3,129","3,482","1,821","4,049","7,738","2,858","6,242","4,482","2,754","3,719","1,877","2,618","5,025"
2021,9,50,"69,157","2,752","3,702","1,933","2,651","4,133","1,962","2,500","2,849","3,747","2,339","4,177","5,117","2,760","6,317","4,213","3,003","4,214","2,388","2,521","5,879"
2021,9,60,"56,666","2,092","2,802","1,520","2,221","2,791","1,506","1,950","2,279","3,427","2,295","3,653","3,365","2,151","4,981","3,659","2,754","3,448","2,264","1,973","5,535"
2021,9,70,"32,634","1,289","1,781","1,026","1,246","1,457",927,"1,061","1,357","1,951","1,425","2,132","2,060","1,069","2,859","2,107","1,600","1,753","1,385",930,"3,219"
2021,9,80,"14,808",716,857,473,577,732,449,466,646,842,713,900,858,449,"1,513",881,709,756,595,348,"1,328"
2021,9,90,"2,001",136,105,70,67,131,54,57,81,114,104,139,123,58,233,101,96,86,70,36,140
2021,9,100,110,19,15,13,5,3,5,4,2,4,3,5,5,2,8,0,4,2,3,5,3
2021,10,총,"432,081","16,613","22,960","15,557","14,759","24,022","14,995","15,406","18,245","23,022","15,088","24,964","35,562","16,648","38,945","26,473","19,551","24,354","13,783","15,974","35,160"
2021,10,0,"27,677",741,"1,028",535,785,"1,911",424,943,"1,399","1,414",562,"1,496","3,669","1,419","2,510","1,942","1,001","1,736",578,"1,681","1,903"
2021,10,10,"36,249","1,139","1,807",929,"1,229","2,763",799,915,"1,716","1,776",926,"2,067","4,934","1,425","3,614","2,560","1,431","1,891",860,"1,350","2,118"
2021,10,20,"65,978","2,746","4,203","4,573","1,970","2,871","5,226","2,608","2,255","3,217","3,104","3,266","3,373","2,021","5,606","2,991","3,498","3,369","1,962","2,006","5,113"
2021,10,30,"58,729","2,488","3,220","2,515","1,931","2,931","2,048","2,560","2,541","3,067","1,829","3,065","4,279","2,411","5,044","3,516","2,709","3,377","1,803","2,502","4,893"
2021,10,40,"67,840","2,510","3,442","1,956","2,071","4,278","1,583","2,312","3,129","3,440","1,800","4,050","7,746","2,861","6,210","4,460","2,743","3,725","1,886","2,627","5,011"
2021,10,50,"69,248","2,746","3,700","1,946","2,649","4,138","1,962","2,518","2,845","3,762","2,332","4,179","5,139","2,753","6,344","4,239","3,004","4,213","2,384","2,523","5,872"
2021,10,60,"56,748","2,100","2,797","1,524","2,228","2,803","1,509","1,958","2,281","3,438","2,288","3,652","3,369","2,174","4,982","3,666","2,755","3,460","2,262","1,964","5,538"
2021,10,70,"32,589","1,283","1,778","1,027","1,245","1,448",932,"1,058","1,346","1,941","1,427","2,138","2,060","1,072","2,855","2,109","1,595","1,742","1,378",927,"3,228"
2021,10,80,"14,929",716,869,478,579,742,451,471,652,849,711,910,864,448,"1,535",888,717,754,598,352,"1,345"
2021,10,90,"2,017",137,105,69,67,134,57,59,79,114,106,139,124,62,238,102,97,85,70,37,136
2021,10,100,77,7,11,5,5,3,4,4,2,4,3,2,5,2,7,0,1,2,2,5,3
2021,11,총,"431,313","16,587","22,949","15,508","14,719","23,950","14,965","15,392","18,187","23,010","15,062","24,916","35,542","16,637","38,889","26,416","19,500","24,342","13,720","15,888","35,134"
2021,11,0,"27,524",733,"1,021",522,777,"1,900",422,940,"1,386","1,407",563,"1,470","3,637","1,428","2,507","1,922","1,000","1,740",566,"1,679","1,904"
2021,11,10,"36,126","1,140","1,798",916,"1,221","2,742",798,918,"1,709","1,781",904,"2,084","4,950","1,422","3,589","2,556","1,415","1,887",850,"1,328","2,118"
2021,11,20,"65,737","2,730","4,218","4,561","1,963","2,854","5,211","2,603","2,237","3,190","3,091","3,232","3,378","2,015","5,586","2,985","3,486","3,353","1,951","1,992","5,101"
2021,11,30,"58,591","2,489","3,225","2,497","1,918","2,937","2,061","2,556","2,524","3,058","1,842","3,043","4,238","2,413","5,039","3,497","2,704","3,381","1,805","2,477","4,887"
2021,11,40,"67,666","2,507","3,427","1,949","2,065","4,255","1,572","2,305","3,123","3,436","1,786","4,048","7,750","2,843","6,203","4,450","2,736","3,714","1,870","2,622","5,005"
2021,11,50,"69,261","2,748","3,694","1,952","2,650","4,141","1,949","2,517","2,829","3,782","2,327","4,189","5,158","2,758","6,345","4,239","3,010","4,214","2,383","2,501","5,875"
2021,11,60,"56,754","2,096","2,795","1,529","2,222","2,807","1,512","1,965","2,286","3,445","2,297","3,654","3,382","2,166","4,975","3,666","2,748","3,459","2,258","1,972","5,520"
2021,11,70,"32,536","1,278","1,777","1,024","1,246","1,440",928,"1,046","1,356","1,936","1,423","2,134","2,057","1,072","2,850","2,113","1,585","1,750","1,357",924,"3,240"
2021,11,80,"15,014",723,881,480,583,733,451,479,656,856,720,921,863,457,"1,545",886,719,756,608,351,"1,346"
2021,11,90,"2,029",137,102,73,69,138,57,59,79,115,106,139,125,62,243,102,95,86,70,37,135
2021,11,100,75,6,11,5,5,3,4,4,2,4,3,2,4,1,7,0,2,2,2,5,3
2021,12,총,"430,528","16,522","22,871","15,480","14,687","23,825","14,936","15,416","18,178","23,048","15,046","24,873","35,462","16,653","38,809","26,335","19,442","24,315","13,740","15,855","35,035"
2021,12,0,"27,326",727,"1,004",521,770,"1,877",423,938,"1,381","1,397",549,"1,459","3,605","1,444","2,485","1,906",990,"1,733",557,"1,670","1,890"
2021,12,10,"35,986","1,114","1,785",914,"1,222","2,722",783,915,"1,705","1,787",893,"2,067","4,967","1,430","3,567","2,547","1,419","1,877",854,"1,323","2,095"
2021,12,20,"65,580","2,727","4,182","4,553","1,957","2,833","5,213","2,618","2,231","3,196","3,102","3,218","3,347","2,005","5,589","2,954","3,470","3,344","1,941","1,997","5,103"
2021,12,30,"58,415","2,489","3,238","2,492","1,899","2,917","2,043","2,567","2,499","3,054","1,841","3,040","4,214","2,397","5,029","3,486","2,701","3,375","1,816","2,459","4,859"
2021,12,40,"67,446","2,482","3,411","1,941","2,067","4,236","1,576","2,282","3,127","3,444","1,787","4,035","7,714","2,861","6,183","4,440","2,725","3,706","1,861","2,614","4,954"
2021,12,50,"69,280","2,743","3,688","1,948","2,644","4,137","1,947","2,541","2,845","3,785","2,318","4,194","5,175","2,762","6,344","4,230","3,002","4,221","2,385","2,506","5,865"
2021,12,60,"56,803","2,100","2,805","1,519","2,225","2,808","1,510","1,969","2,288","3,458","2,295","3,666","3,379","2,155","4,972","3,667","2,745","3,471","2,266","1,981","5,524"
2021,12,70,"32,464","1,273","1,753","1,031","1,238","1,427",926,"1,046","1,353","1,947","1,432","2,117","2,056","1,073","2,848","2,113","1,580","1,735","1,369",912,"3,235"
2021,12,80,"15,136",725,893,482,589,731,455,480,666,862,718,937,874,460,"1,546",891,717,766,617,355,"1,372"
2021,12,90,"2,027",135,102,74,71,134,57,57,81,117,109,137,127,65,240,101,91,84,72,37,136
2021,12,100,65,7,10,5,5,3,3,3,2,1,2,3,4,1,6,0,2,3,2,1,2
