년도,월,나이,전라남도 광양시,전라남도 광양시 광양읍,전라남도 광양시 봉강면,전라남도 광양시 옥룡면,전라남도 광양시 옥곡면,전라남도 광양시 진상면,전라남도 광양시 진월면,전라남도 광양시 다압면,전라남도 광양시 골약동,전라남도 광양시 중마동,전라남도 광양시 광영동,전라남도 광양시 금호동,전라남도 광양시 태인동
2021,1,80,"1,481",499,68,109,115,121,113,76,72,181,63,27,37
2021,1,90,126,51,12,10,8,10,8,4,5,9,4,3,2
2021,1,100,5,1,1,1,0,0,0,0,0,2,0,0,0
2021,2,총,"78,778","25,033","1,137","1,522","1,699","1,422","1,395",896,879,"30,561","6,566","6,674",994
2021,2,0,"6,674","2,228",43,36,65,25,34,15,13,"3,240",489,457,29
2021,2,10,"8,203","2,661",76,70,88,80,43,46,34,"3,759",599,676,71
2021,2,20,"11,633","3,400",131,160,201,130,123,72,76,"4,781",997,"1,434",128
2021,2,30,"9,820","3,034",82,82,135,96,98,60,75,"4,576",723,767,92
2021,2,40,"12,187","4,220",125,139,191,129,161,103,109,"5,275","1,022",580,133
2021,2,50,"15,917","4,525",251,386,364,317,294,187,206,"6,025","1,542","1,598",222
2021,2,60,"9,052","3,095",213,320,326,291,294,219,163,"2,148",866,931,186
2021,2,70,"3,666","1,313",133,207,204,222,227,114,126,566,260,199,95
2021,2,80,"1,488",503,70,110,117,121,114,75,71,178,64,29,36
2021,2,90,133,53,12,11,8,11,7,5,6,11,4,3,2
2021,2,100,5,1,1,1,0,0,0,0,0,2,0,0,0
2021,3,총,"78,670","24,921","1,133","1,512","2,276","1,414","1,380",894,874,"30,340","6,366","6,562",998
2021,3,0,"6,652","2,210",42,35,113,24,33,15,13,"3,230",466,443,28
2021,3,10,"8,177","2,660",75,68,126,79,42,46,33,"3,732",581,660,75
2021,3,20,"11,620","3,377",130,158,319,127,120,72,77,"4,742",950,"1,420",128
2021,3,30,"9,789","2,997",81,79,239,94,94,58,72,"4,527",692,766,90
2021,3,40,"12,113","4,191",123,141,266,129,158,102,109,"5,212",987,562,133
