년도,월,나이,밀양시,삼랑진읍,삼랑진임천출장소,하남읍,부북면,상동면,산외면,산내면,단장면,상남면,초동면,무안면,청도면,내일동,내이동,삼문동,가곡동,교동
2021,11,100,21,2,0,4,3,0,2,1,1,1,1,2,0,0,2,1,0,1
2021,12,총,"52,676","2,623",631,"3,514","2,443","1,580","1,370","1,867","2,151","4,139","1,704","2,507",918,"1,349","8,244","10,462","4,175","2,999"
2021,12,0,"2,545",56,7,107,43,25,21,34,28,200,38,42,19,31,674,884,177,159
2021,12,10,"3,578",106,24,187,102,38,46,85,67,250,51,107,24,64,671,"1,186",294,276
2021,12,20,"3,577",116,53,184,104,55,60,73,59,234,69,119,30,69,823,917,349,263
2021,12,30,"3,969",130,26,183,123,56,59,58,115,272,61,97,25,97,"1,019","1,058",310,280
2021,12,40,"5,955",195,29,297,192,70,96,126,124,413,104,162,44,138,"1,214","1,806",524,421
2021,12,50,"8,971",439,91,592,397,258,244,314,418,702,264,376,146,241,"1,421","1,768",715,585
2021,12,60,"11,151",701,163,852,643,490,376,523,645,906,474,650,235,308,"1,341","1,482",796,566
2021,12,70,"7,142",494,126,602,426,296,249,352,375,617,352,463,193,236,664,819,590,288
2021,12,80,"5,019",329,92,440,354,251,186,255,273,470,261,436,173,150,347,480,377,145
2021,12,90,752,56,20,66,57,41,31,46,46,74,29,54,29,15,68,62,43,15
2021,12,100,17,1,0,4,2,0,2,1,1,1,1,1,0,0,2,0,0,1
