년도,월,나이,대전광역시 유성구,대전광역시 유성구 진잠동,대전광역시 유성구 온천1동,대전광역시 유성구 온천2동,대전광역시 유성구 노은1동,대전광역시 유성구 노은2동,대전광역시 유성구 노은3동,대전광역시 유성구 신성동,대전광역시 유성구 전민동,대전광역시 유성구 구즉동,대전광역시 유성구 관평동,대전광역시 유성구 원신흥동,대전광역시 유성구 학하동,대전광역시 유성구 상대동
2021,10,80,"6,704",951,836,781,439,587,558,412,478,681,302,679,,
2021,10,90,"1,112",132,145,131,69,92,102,59,109,96,53,124,,
2021,10,100,31,3,7,0,3,1,4,0,2,6,0,5,,
2021,11,총,"351,049","25,243","26,911","40,258","21,942","24,542","37,533","26,209","27,165","27,561","28,870","27,985","17,133","19,697"
2021,11,0,"33,210","1,912",900,"3,393","2,120","2,236","4,756","2,863","2,515","2,344","3,026","3,083","1,809","2,253"
2021,11,10,"37,744","2,446","1,006","3,128","3,018","3,386","4,595","2,879","3,147","3,008","4,448","2,648","1,267","2,768"
2021,11,20,"52,454","3,305","6,601","8,726","2,778","3,075","3,734","4,118","4,315","4,194","3,742","3,229","2,669","1,968"
2021,11,30,"54,927","2,793","5,562","6,274","3,120","3,023","5,869","5,276","4,488","3,968","3,937","5,224","2,823","2,570"
2021,11,40,"59,829","4,178","3,300","5,577","4,220","4,584","7,430","4,228","4,201","4,634","5,823","5,217","2,598","3,839"
2021,11,50,"54,663","4,736","4,042","5,772","3,347","4,084","5,401","3,558","4,468","4,744","4,632","4,008","2,762","3,109"
2021,11,60,"36,458","3,428","3,172","4,733","1,928","2,351","3,657","2,118","2,679","2,687","2,261","3,005","2,259","2,180"
2021,11,70,"13,838","1,523","1,510","1,736",898,"1,116","1,419",695,766,"1,193",645,"1,057",621,659
2021,11,80,"6,774",808,706,785,440,591,566,412,474,687,306,438,274,287
2021,11,90,"1,123",112,108,134,69,95,101,62,110,99,50,72,48,63
2021,11,100,29,2,4,0,4,1,5,0,2,3,0,4,3,1
2021,12,총,"351,277","25,118","26,734","40,014","21,827","24,367","37,318","26,086","27,016","27,291","28,750","27,697","17,045","22,014"
2021,12,0,"33,129","1,869",872,"3,358","2,069","2,195","4,692","2,844","2,481","2,277","2,995","3,012","1,785","2,680"
2021,12,10,"37,818","2,430",985,"3,098","3,018","3,368","4,581","2,839","3,140","2,972","4,454","2,622","1,275","3,036"
2021,12,20,"52,312","3,283","6,551","8,659","2,788","3,055","3,685","4,090","4,291","4,158","3,724","3,213","2,629","2,186"
2021,12,30,"54,802","2,755","5,514","6,245","3,086","2,978","5,806","5,283","4,446","3,914","3,879","5,115","2,783","2,998"
2021,12,40,"59,950","4,157","3,292","5,535","4,195","4,548","7,425","4,183","4,190","4,583","5,790","5,173","2,604","4,275"
2021,12,50,"54,745","4,729","4,018","5,736","3,340","4,067","5,379","3,527","4,432","4,719","4,641","3,991","2,756","3,410"
2021,12,60,"36,673","3,441","3,178","4,718","1,931","2,352","3,655","2,134","2,690","2,687","2,259","3,008","2,266","2,354"
2021,12,70,"13,867","1,533","1,510","1,748",884,"1,118","1,415",703,757,"1,184",648,"1,054",616,697
2021,12,80,"6,816",804,704,777,441,593,574,415,476,697,309,433,280,313
2021,12,90,"1,141",115,108,140,71,92,103,68,111,97,51,72,48,65
2021,12,100,24,2,2,0,4,1,3,0,2,3,0,4,3,0
