년도,월,나이,경기도 안성시,경기도 안성시 공도읍,경기도 안성시 보개면,경기도 안성시 금광면,경기도 안성시 서운면,경기도 안성시 미양면,경기도 안성시 대덕면,경기도 안성시 양성면,경기도 안성시 원곡면,경기도 안성시 일죽면,경기도 안성시 죽산면,경기도 안성시 삼죽면,경기도 안성시 고삼면,경기도 안성시 안성1동,경기도 안성시 안성2동,경기도 안성시 안성3동
2021,12,총,"91,639","29,754","2,499","3,659","1,555","2,652","6,732","2,502","2,864","3,568","3,223","1,734",925,"6,144","12,684","11,144"
2021,12,0,"6,354","2,689",75,158,34,94,565,61,160,124,106,42,24,348,"1,020",854
2021,12,10,"8,518","3,653",107,302,65,121,519,132,175,184,197,109,35,499,"1,262","1,158"
2021,12,20,"10,302","3,234",203,320,102,203,900,190,312,285,305,211,77,696,"1,821","1,443"
2021,12,30,"10,270","3,926",155,284,97,186,976,160,363,228,187,88,56,602,"1,702","1,260"
2021,12,40,"14,033","5,899",214,459,128,280,"1,030",222,358,321,312,127,71,798,"2,060","1,754"
2021,12,50,"15,025","4,444",450,620,281,477,988,437,558,597,596,305,174,"1,070","2,032","1,996"
2021,12,60,"13,702","3,131",571,752,378,582,955,584,496,895,709,385,238,"1,062","1,548","1,416"
2021,12,70,"7,455","1,658",365,399,232,364,460,335,249,486,439,245,121,609,747,746
2021,12,80,"5,060",966,293,303,207,291,283,297,163,368,327,193,100,382,433,454
2021,12,90,892,150,64,61,30,52,55,79,30,76,43,28,26,77,59,62
2021,12,100,28,4,2,1,1,2,1,5,0,4,2,1,3,1,0,1
