년도,월,나이,문경시,문경읍,문경읍갈평출장소,가은읍,가은읍북부출장소,영순면,산양면,호계면,산북면,동로면,마성면,농암면,점촌1동,점촌2동,점촌3동,점촌4동,점촌5동
2020,11,20,"6,135",393,71,154,28,147,181,328,143,102,209,115,539,605,852,215,"2,053"
2020,11,30,"5,722",374,48,161,44,103,161,108,121,94,218,132,591,629,813,241,"1,884"
2020,11,40,"8,774",604,106,260,77,175,255,186,230,168,300,186,704,876,"1,339",324,"2,984"
2020,11,50,"12,006","1,036",225,537,174,347,483,384,488,361,603,507,"1,000","1,145","1,562",539,"2,615"
2020,11,60,"13,318","1,262",260,716,197,559,708,535,624,492,756,645,"1,127","1,408","1,537",667,"1,825"
2020,11,70,"9,289","1,003",175,584,152,385,549,361,532,325,711,475,726,938,931,539,903
2020,11,80,"5,440",511,111,443,81,348,411,266,399,213,473,320,343,427,458,300,336
2020,11,90,810,81,17,77,16,54,73,42,58,29,60,64,33,47,58,44,57
2020,11,100,58,11,0,4,1,1,2,1,5,0,7,7,3,8,5,2,1
2020,12,총,"71,406","5,839","1,129","3,221",833,"2,451","3,044","2,399","2,777","1,951","3,565","2,609","5,813","7,122","9,087","3,162","16,404"
2020,12,0,"4,072",218,44,106,11,56,88,44,59,83,86,72,354,427,680,132,"1,612"
2020,12,10,"5,580",338,60,157,39,265,129,149,106,79,125,93,406,573,854,149,"2,058"
2020,12,20,"6,207",394,74,162,34,151,181,323,144,97,213,115,540,621,845,221,"2,092"
2020,12,30,"5,726",367,48,159,45,102,162,105,131,99,218,131,585,635,821,237,"1,881"
2020,12,40,"8,787",604,109,264,77,179,256,183,231,168,306,182,695,874,"1,348",325,"2,986"
2020,12,50,"12,037","1,033",228,545,178,345,484,390,488,363,613,506,991,"1,154","1,544",539,"2,636"
2020,12,60,"13,378","1,275",258,717,199,563,710,537,627,497,755,651,"1,135","1,409","1,533",674,"1,838"
2020,12,70,"9,268","1,002",178,588,151,388,544,353,524,319,705,469,722,944,934,542,905
2020,12,80,"5,480",516,112,440,83,348,412,273,404,218,477,322,350,427,464,298,336
2020,12,90,814,81,18,79,15,53,76,41,58,28,61,61,32,50,59,43,59
2020,12,100,57,11,0,4,1,1,2,1,5,0,6,7,3,8,5,2,1
2021,1,총,"70,919","5,792","1,117","3,195",832,"2,419","3,032","2,360","2,772","1,935","3,552","2,595","5,810","7,070","8,996","3,138","16,304"
2021,1,0,"4,013",203,43,109,11,58,87,43,59,84,88,73,364,430,655,127,"1,579"
2021,1,10,"5,493",334,63,147,39,247,125,146,105,76,124,89,403,564,839,150,"2,042"
2021,1,20,"6,127",384,72,155,35,142,179,310,148,93,212,113,537,615,836,212,"2,084"
