년도,월,나이,아산시,염치읍,배방읍,송악면,탕정면,음봉면,둔포면,영인면,인주면,선장면,도고면,신창면,온양1동,온양2동,온양3동,온양4동,온양5동,온양6동
2021,7,100,47,3,5,5,0,1,2,1,0,1,2,4,3,3,7,3,5,2
2021,8,총,"154,680","3,049","39,332","2,060","10,855","9,259","9,712","2,603","2,806","1,494","2,160","9,406","4,466","5,163","18,254","9,092","10,435","14,534"
2021,8,0,"15,523",159,"4,757",85,"1,504","1,242","1,182",71,134,26,56,690,445,215,"1,801",660,944,"1,552"
2021,8,10,"17,101",231,"4,727",172,"1,587",868,740,114,171,52,88,"1,023",332,364,"2,435","1,129","1,301","1,767"
2021,8,20,"16,543",211,"4,863",134,"1,291",771,959,160,190,78,144,989,520,709,"2,085",905,"1,173","1,361"
2021,8,30,"22,522",228,"7,167",125,"2,017","1,597","1,887",156,204,65,120,975,758,488,"2,429",993,"1,319","1,994"
2021,8,40,"26,414",374,"7,310",229,"2,220","1,444","1,359",219,328,90,152,"1,571",638,659,"3,398","1,660","1,998","2,765"
2021,8,50,"21,787",503,"5,026",334,"1,066","1,245","1,323",411,474,205,363,"1,461",598,965,"2,587","1,523","1,660","2,043"
2021,8,60,"17,065",591,"3,011",412,586,"1,118","1,133",588,550,402,486,"1,224",581,889,"1,836","1,124","1,041","1,493"
2021,8,70,"10,095",375,"1,480",289,335,517,616,451,369,288,390,859,356,529,"1,044",668,619,910
2021,8,80,"6,512",321,834,232,207,383,431,367,329,249,319,537,188,293,553,364,325,580
2021,8,90,"1,072",53,152,43,42,73,80,65,57,38,40,73,47,49,80,63,50,67
2021,8,100,46,3,5,5,0,1,2,1,0,1,2,4,3,3,6,3,5,2
2021,9,총,"155,002","3,051","39,438","2,051","11,143","9,274","9,737","2,588","2,785","1,489","2,168","9,391","4,462","5,154","18,219","9,089","10,438","14,525"
2021,9,0,"15,528",155,"4,763",85,"1,549","1,240","1,186",70,132,26,57,684,443,212,"1,777",659,935,"1,555"
2021,9,10,"17,122",234,"4,714",170,"1,628",868,749,112,170,50,87,"1,018",330,369,"2,433","1,122","1,302","1,766"
2021,9,20,"16,561",208,"4,851",131,"1,333",766,956,153,186,79,142,"1,004",520,710,"2,094",903,"1,182","1,343"
2021,9,30,"22,544",234,"7,208",122,"2,075","1,604","1,889",161,199,65,125,954,749,476,"2,398",977,"1,315","1,993"
2021,9,40,"26,442",367,"7,326",233,"2,275","1,441","1,357",212,326,85,148,"1,562",646,661,"3,403","1,648","1,989","2,763"
2021,9,50,"21,883",504,"5,053",329,"1,093","1,260","1,327",410,469,208,368,"1,460",599,966,"2,588","1,541","1,667","2,041"
2021,9,60,"17,192",593,"3,044",410,604,"1,127","1,144",584,550,397,489,"1,238",576,890,"1,857","1,130","1,053","1,506"
2021,9,70,"10,082",379,"1,481",288,335,509,612,457,365,288,389,856,361,524,"1,031",681,618,908
2021,9,80,"6,525",322,844,233,209,384,432,365,333,251,319,536,190,293,548,364,324,578
2021,9,90,"1,077",52,149,45,42,74,83,63,55,39,42,75,45,50,84,61,48,70
2021,9,100,46,3,5,5,0,1,2,1,0,1,2,4,3,3,6,3,5,2
2021,10,총,"155,434","3,052","39,651","2,058","11,285","9,297","9,794","2,595","2,786","1,491","2,158","9,378","4,470","5,157","18,226","9,117","10,408","14,511"
2021,10,0,"15,477",156,"4,760",84,"1,554","1,234","1,202",70,130,26,57,675,440,209,"1,757",658,923,"1,542"
2021,10,10,"17,189",229,"4,728",169,"1,662",875,750,113,171,52,86,"1,017",333,375,"2,442","1,125","1,299","1,763"
2021,10,20,"16,555",211,"4,877",128,"1,327",765,952,154,187,77,137,"1,001",527,709,"2,081",904,"1,184","1,334"
2021,10,30,"22,597",233,"7,249",124,"2,104","1,598","1,913",161,202,69,127,945,750,477,"2,383",965,"1,302","1,995"
2021,10,40,"26,494",368,"7,337",232,"2,320","1,442","1,366",213,327,83,147,"1,561",639,662,"3,409","1,665","1,975","2,748"
2021,10,50,"22,003",506,"5,109",335,"1,110","1,269","1,324",408,466,205,360,"1,455",603,968,"2,612","1,550","1,673","2,050"
2021,10,60,"17,315",591,"3,087",408,617,"1,145","1,159",587,551,398,490,"1,246",576,893,"1,871","1,141","1,052","1,503"
2021,10,70,"10,121",380,"1,495",298,340,512,609,457,361,287,388,856,361,524,"1,030",678,622,923
2021,10,80,"6,555",322,851,233,207,384,435,366,337,254,322,543,194,291,551,364,323,578
2021,10,90,"1,083",53,153,42,44,72,82,65,54,39,42,75,44,46,84,65,50,73
2021,10,100,45,3,5,5,0,1,2,1,0,1,2,4,3,3,6,2,5,2
2021,11,총,"155,760","3,054","39,788","2,054","11,373","9,314","9,850","2,599","2,793","1,486","2,157","9,393","4,462","5,169","18,227","9,110","10,413","14,518"
2021,11,0,"15,442",156,"4,750",82,"1,549","1,232","1,223",68,129,26,58,672,436,210,"1,752",648,919,"1,532"
2021,11,10,"17,193",228,"4,732",170,"1,683",874,756,109,178,48,84,"1,004",325,375,"2,453","1,115","1,292","1,767"
2021,11,20,"16,643",216,"4,913",129,"1,335",772,948,160,185,80,138,"1,010",536,718,"2,077",924,"1,179","1,323"
2021,11,30,"22,611",227,"7,284",126,"2,113","1,595","1,931",159,206,69,127,935,747,473,"2,368",957,"1,305","1,989"
2021,11,40,"26,571",359,"7,368",232,"2,358","1,448","1,378",217,328,83,146,"1,565",640,662,"3,409","1,658","1,978","2,742"
2021,11,50,"22,091",511,"5,137",335,"1,123","1,270","1,324",404,466,206,360,"1,473",604,969,"2,620","1,548","1,671","2,070"
2021,11,60,"17,386",597,"3,099",409,616,"1,149","1,160",590,552,397,493,"1,247",572,900,"1,881","1,146","1,063","1,515"
2021,11,70,"10,156",387,"1,507",296,346,514,609,459,358,287,385,864,360,526,"1,030",684,625,919
2021,11,80,"6,538",318,842,232,208,388,432,368,333,251,322,541,196,287,552,363,324,581
2021,11,90,"1,092",52,153,42,42,71,87,64,58,38,42,78,42,46,81,66,52,78
2021,11,100,37,3,3,1,0,1,2,1,0,1,2,4,4,3,4,1,5,2
2021,12,총,"155,699","3,055","39,778","2,047","11,406","9,325","9,842","2,610","2,759","1,480","2,163","9,363","4,457","5,133","18,250","9,110","10,427","14,494"
2021,12,0,"15,331",154,"4,734",83,"1,540","1,219","1,213",70,116,26,58,667,437,207,"1,746",645,901,"1,515"
2021,12,10,"17,237",230,"4,744",172,"1,703",885,763,108,176,48,85,"1,004",326,373,"2,457","1,108","1,292","1,763"
2021,12,20,"16,593",219,"4,879",124,"1,340",770,933,157,186,80,136,"1,000",524,709,"2,078",937,"1,200","1,321"
2021,12,30,"22,489",220,"7,271",125,"2,105","1,591","1,919",161,198,64,127,928,753,460,"2,378",943,"1,278","1,968"
2021,12,40,"26,657",354,"7,397",234,"2,382","1,460","1,385",219,327,83,148,"1,558",641,656,"3,412","1,664","1,991","2,746"
2021,12,50,"22,103",517,"5,130",331,"1,123","1,268","1,333",407,454,207,360,"1,472",596,967,"2,629","1,550","1,682","2,077"
2021,12,60,"17,440",599,"3,114",408,617,"1,152","1,166",595,556,397,495,"1,252",578,899,"1,875","1,145","1,070","1,522"
2021,12,70,"10,141",387,"1,509",298,342,520,604,455,359,284,383,862,354,526,"1,041",681,621,915
2021,12,80,"6,560",318,842,228,210,384,436,372,327,255,324,541,201,287,549,366,334,586
2021,12,90,"1,113",54,156,43,44,75,88,65,59,36,45,76,43,46,81,70,53,79
2021,12,100,35,3,2,1,0,1,2,1,1,0,2,3,4,3,4,1,5,2
