년도,월,나이,김천시,아포읍,농소면,남면,개령면,감문면,어모면,봉산면,대항면,감천면,조마면,구성면,지례면,부항면,대덕면,증산면,자산동,평화남산동,양금동,대신동,대곡동,지좌동,율곡동
2021,6,총,"140,293","7,023","3,029","3,123","2,433","3,313","3,988","3,118","3,414","1,967","2,217","2,825","1,545","1,267","2,322","1,041","6,640","7,588","3,948","25,454","20,306","11,070","22,662"
2021,6,0,"10,155",333,118,71,51,70,157,88,82,62,51,59,41,25,50,8,191,213,132,"2,009","1,348",877,"4,119"
2021,6,10,"12,383",404,130,136,102,106,170,139,185,75,86,80,55,38,327,33,354,416,230,"3,238","2,355","1,068","2,656"
2021,6,20,"14,455",516,257,223,171,167,291,240,282,149,131,168,77,60,110,45,635,806,314,"3,768","2,302","1,432","2,311"
2021,6,30,"14,686",528,217,199,142,166,207,175,197,115,124,123,69,54,110,22,535,681,245,"2,822","1,961","1,305","4,689"
2021,6,40,"19,216",826,297,300,198,243,398,272,309,190,188,187,101,102,147,85,801,845,399,"4,080","2,921","1,808","4,519"
2021,6,50,"23,557","1,407",557,590,457,584,719,583,700,370,421,526,255,212,359,211,"1,058","1,312",668,"4,305","3,693","1,933","2,637"
2021,6,60,"22,916","1,504",671,719,629,859,937,801,829,440,554,714,381,330,499,304,"1,549","1,623",876,"2,888","3,147","1,517","1,145"
2021,6,70,"13,305",860,433,469,379,562,635,497,451,290,340,502,294,223,369,155,986,"1,044",667,"1,416","1,600",747,386
2021,6,80,"8,330",546,307,348,258,476,402,279,321,240,282,388,237,192,307,159,476,574,369,822,857,326,164
2021,6,90,"1,258",97,41,66,45,80,71,44,55,36,38,78,33,29,41,19,55,71,47,100,121,56,35
2021,6,100,32,2,1,2,1,0,1,0,3,0,2,0,2,2,3,0,0,3,1,6,1,1,1
2021,7,총,"140,219","7,045","3,040","3,114","2,416","3,311","3,989","3,110","3,414","1,958","2,221","2,810","1,543","1,247","2,319","1,038","6,624","7,578","3,942","25,424","20,287","11,045","22,744"
2021,7,0,"10,150",340,122,71,50,71,154,87,84,59,50,61,42,24,51,8,191,214,129,"2,015","1,339",867,"4,121"
2021,7,10,"12,333",403,127,138,99,101,167,138,185,75,85,81,53,37,327,33,347,419,231,"3,218","2,326","1,077","2,666"
2021,7,20,"14,410",517,259,223,167,166,295,239,280,146,133,160,77,56,109,44,632,791,310,"3,752","2,313","1,418","2,323"
2021,7,30,"14,613",526,216,198,141,164,205,175,194,112,121,123,70,49,107,22,534,683,248,"2,805","1,949","1,296","4,675"
2021,7,40,"19,213",827,302,295,194,240,398,268,310,188,189,189,96,100,143,86,794,852,393,"4,066","2,917","1,806","4,560"
2021,7,50,"23,476","1,404",555,581,451,582,721,578,696,368,413,514,255,210,356,209,"1,054","1,301",668,"4,297","3,682","1,928","2,653"
2021,7,60,"23,045","1,509",672,724,633,866,940,806,827,448,567,712,385,328,506,303,"1,555","1,620",882,"2,914","3,176","1,519","1,153"
2021,7,70,"13,343",868,439,467,377,560,635,499,457,287,341,510,290,221,368,156,977,"1,053",663,"1,425","1,602",752,396
2021,7,80,"8,346",552,306,350,259,480,402,276,320,240,281,384,239,191,308,159,485,571,369,825,859,328,162
2021,7,90,"1,258",97,41,65,44,81,71,44,58,35,39,75,34,29,42,18,55,71,48,101,123,53,34
2021,7,100,32,2,1,2,1,0,1,0,3,0,2,1,2,2,2,0,0,3,1,6,1,1,1
2021,8,총,"140,130","7,180","3,039","3,102","2,407","3,295","3,989","3,089","3,414","1,954","2,212","2,794","1,534","1,244","2,305","1,040","6,598","7,570","3,894","25,356","20,269","11,005","22,840"
2021,8,0,"10,078",354,118,69,51,70,151,86,83,60,50,61,39,24,48,8,186,211,123,"1,986","1,327",855,"4,118"
2021,8,10,"12,326",415,129,135,97,101,165,134,184,75,84,79,53,37,320,34,345,420,222,"3,198","2,327","1,074","2,698"
2021,8,20,"14,340",543,255,214,169,162,296,236,279,143,130,154,77,55,110,43,631,787,303,"3,723","2,285","1,415","2,330"
2021,8,30,"14,582",546,213,198,138,163,204,176,197,111,120,122,69,49,102,20,530,670,240,"2,806","1,946","1,292","4,670"
2021,8,40,"19,207",835,308,287,195,235,395,265,309,189,190,189,93,97,142,88,795,865,384,"4,043","2,918","1,789","4,596"
2021,8,50,"23,463","1,440",552,585,443,579,720,573,693,365,402,509,256,207,355,209,"1,049","1,289",665,"4,314","3,676","1,919","2,663"
2021,8,60,"23,118","1,528",675,725,631,866,943,803,833,446,573,710,385,335,507,304,"1,551","1,625",875,"2,921","3,191","1,529","1,162"
2021,8,70,"13,388",871,443,470,380,560,637,494,459,288,341,514,291,218,368,156,973,"1,051",666,"1,437","1,615",752,404
2021,8,80,"8,341",550,305,355,257,475,404,279,317,241,280,381,237,192,309,160,482,577,367,823,859,327,164
2021,8,90,"1,255",96,40,62,45,84,73,43,57,36,40,74,32,28,42,18,56,72,48,99,124,52,34
2021,8,100,32,2,1,2,1,0,1,0,3,0,2,1,2,2,2,0,0,3,1,6,1,1,1
2021,9,총,"140,061","7,294","3,046","3,100","2,412","3,284","3,988","3,081","3,405","1,943","2,204","2,780","1,524","1,241","2,294","1,037","6,574","7,556","3,881","25,287","20,271","11,023","22,836"
2021,9,0,"10,051",360,118,71,53,70,151,87,84,58,51,57,36,24,47,8,183,212,119,"1,984","1,324",855,"4,099"
2021,9,10,"12,291",422,130,133,95,100,166,133,180,75,83,78,53,36,314,33,345,415,223,"3,160","2,326","1,074","2,717"
2021,9,20,"14,235",568,258,213,174,161,285,228,269,142,133,149,77,57,109,43,616,786,297,"3,673","2,267","1,413","2,317"
2021,9,30,"14,548",554,212,198,137,154,205,177,198,105,120,117,65,49,101,21,528,664,244,"2,801","1,944","1,301","4,653"
2021,9,40,"19,212",841,309,279,195,239,395,266,309,186,184,191,90,97,143,89,790,861,384,"4,045","2,920","1,794","4,605"
2021,9,50,"23,485","1,485",552,587,450,573,721,570,693,367,394,508,258,204,353,209,"1,043","1,279",656,"4,320","3,682","1,912","2,669"
2021,9,60,"23,183","1,543",677,727,624,867,944,808,831,442,576,710,385,335,506,300,"1,549","1,625",877,"2,940","3,201","1,542","1,174"
2021,9,70,"13,402",873,441,470,381,554,641,491,463,290,344,510,291,218,365,157,979,"1,052",661,"1,433","1,628",754,406
2021,9,80,"8,371",549,307,357,257,481,406,276,317,241,279,382,236,191,312,159,484,590,371,828,857,328,163
2021,9,90,"1,250",97,41,63,45,85,73,45,58,37,38,77,31,27,42,18,57,69,48,97,121,49,32
2021,9,100,33,2,1,2,1,0,1,0,3,0,2,1,2,3,2,0,0,3,1,6,1,1,1
2021,10,총,"140,149","7,425","3,044","3,102","2,403","3,268","3,985","3,079","3,409","1,940","2,191","2,768","1,527","1,243","2,286","1,038","6,554","7,533","3,879","25,313","20,240","11,052","22,870"
2021,10,0,"10,023",368,115,74,51,68,149,86,85,57,50,55,37,24,46,8,183,209,121,"1,985","1,309",855,"4,088"
2021,10,10,"12,288",440,128,132,95,98,164,132,177,75,83,79,54,35,311,33,340,407,225,"3,149","2,316","1,076","2,739"
2021,10,20,"14,196",575,262,210,169,159,285,225,274,139,125,147,79,53,108,43,620,788,283,"3,669","2,258","1,424","2,301"
2021,10,30,"14,575",575,214,201,137,150,200,181,198,104,118,112,63,49,103,20,531,662,252,"2,813","1,935","1,304","4,653"
2021,10,40,"19,175",862,305,275,193,236,398,268,306,183,182,187,92,95,139,89,781,859,385,"4,035","2,907","1,795","4,603"
2021,10,50,"23,508","1,515",553,582,452,569,716,566,684,367,393,511,258,205,347,212,"1,036","1,276",651,"4,330","3,682","1,908","2,695"
2021,10,60,"23,287","1,566",675,732,619,866,951,805,838,448,577,705,384,340,516,300,"1,539","1,626",882,"2,970","3,215","1,549","1,184"
2021,10,70,"13,415",873,441,467,382,558,645,495,461,286,344,512,285,218,362,160,981,"1,055",659,"1,428","1,634",759,410
2021,10,80,"8,388",553,306,364,257,479,402,276,324,242,279,382,240,192,309,154,485,579,374,833,860,332,166
2021,10,90,"1,260",96,44,63,47,85,74,45,59,39,38,76,33,29,43,19,58,69,46,95,123,49,30
2021,10,100,34,2,1,2,1,0,1,0,3,0,2,2,2,3,2,0,0,3,1,6,1,1,1
2021,11,총,"140,120","7,509","3,060","3,095","2,404","3,251","4,002","3,070","3,409","1,934","2,195","2,756","1,518","1,242","2,274","1,037","6,558","7,525","3,845","25,359","20,181","10,999","22,897"
2021,11,0,"9,993",374,116,70,51,66,147,86,89,56,49,53,35,21,45,8,183,206,113,"1,974","1,316",845,"4,090"
2021,11,10,"12,240",448,134,131,91,97,163,128,174,74,83,76,54,36,309,31,341,405,220,"3,144","2,281","1,067","2,753"
2021,11,20,"14,174",580,264,203,169,158,286,226,269,134,126,144,77,52,108,44,617,787,279,"3,731","2,200","1,420","2,300"
2021,11,30,"14,511",583,210,199,140,150,200,180,198,106,115,108,62,52,103,22,530,652,246,"2,807","1,949","1,291","4,608"
2021,11,40,"19,188",879,315,272,188,234,403,265,302,182,180,183,92,94,138,90,788,856,373,"4,030","2,892","1,785","4,647"
2021,11,50,"23,528","1,531",558,587,453,568,726,560,674,372,397,516,254,205,346,209,"1,036","1,287",646,"4,320","3,692","1,899","2,692"
2021,11,60,"23,352","1,576",670,735,622,860,956,808,851,449,577,702,386,341,516,301,"1,532","1,627",885,"2,988","3,223","1,548","1,199"
2021,11,70,"13,429",885,440,467,385,557,648,496,464,283,346,517,285,215,354,160,985,"1,046",661,"1,423","1,638",763,411
2021,11,80,"8,412",556,307,367,257,475,400,276,324,237,281,381,238,194,311,154,489,586,375,843,864,334,163
2021,11,90,"1,254",95,45,61,47,86,72,45,61,41,39,74,32,29,42,18,56,70,45,92,124,47,33
2021,11,100,39,2,1,3,1,0,1,0,3,0,2,2,3,3,2,0,1,3,2,7,2,0,1
2021,12,총,"140,239","7,800","3,076","3,078","2,407","3,258","4,013","3,065","3,407","1,936","2,178","2,755","1,531","1,236","2,263","1,033","6,551","7,466","3,816","25,354","20,150","10,972","22,894"
2021,12,0,"9,980",391,118,70,51,66,146,88,88,59,46,50,35,22,44,8,180,202,114,"1,971","1,302",843,"4,086"
2021,12,10,"12,209",464,132,130,91,93,167,130,169,75,82,75,55,36,307,29,345,395,215,"3,131","2,264","1,072","2,752"
2021,12,20,"14,146",632,270,193,172,162,286,223,269,134,121,140,77,51,106,43,612,775,277,"3,722","2,193","1,395","2,293"
2021,12,30,"14,498",632,206,197,139,152,210,180,196,103,113,107,64,51,103,20,533,640,240,"2,802","1,939","1,291","4,580"
2021,12,40,"19,216",927,318,272,188,234,396,263,295,185,176,182,92,91,137,89,782,850,370,"4,038","2,883","1,789","4,659"
2021,12,50,"23,564","1,605",571,582,451,567,722,557,672,367,395,512,259,205,343,207,"1,035","1,272",639,"4,317","3,700","1,879","2,707"
2021,12,60,"23,391","1,592",667,730,614,863,965,802,858,449,579,710,390,341,516,303,"1,528","1,621",884,"2,996","3,226","1,551","1,206"
2021,12,70,"13,488",905,439,470,390,558,647,503,466,290,343,523,283,213,356,163,987,"1,050",661,"1,426","1,642",766,407
2021,12,80,"8,449",555,307,371,263,474,401,274,329,234,278,380,239,196,308,153,492,592,369,853,874,338,169
2021,12,90,"1,265",96,47,61,47,88,72,45,62,40,43,74,35,28,42,18,56,67,46,91,125,48,34
2021,12,100,33,1,1,2,1,1,1,0,3,0,2,2,2,2,1,0,1,2,1,7,2,0,1
