년도,월,나이,충청북도 청주시,충청북도 청주시 상당구,충청북도 청주시 상당구 낭성면,충청북도 청주시 상당구 미원면,충청북도 청주시 상당구 가덕면,충청북도 청주시 상당구 남일면,충청북도 청주시 상당구 문의면,충청북도 청주시 상당구 중앙동,충청북도 청주시 상당구 성안동,충청북도 청주시 상당구 탑대성동,충청북도 청주시 상당구 영운동,충청북도 청주시 상당구 금천동,충청북도 청주시 상당구 용담.명암.산성동,충청북도 청주시 상당구 용암1동,충청북도 청주시 상당구 용암2동,충청북도 청주시 서원구,충청북도 청주시 서원구 남이면,충청북도 청주시 서원구 현도면,충청북도 청주시 서원구 사직1동,충청북도 청주시 서원구 사직2동,충청북도 청주시 서원구 사창동,충청북도 청주시 서원구 모충동,충청북도 청주시 서원구 산남동,충청북도 청주시 서원구 분평동,충청북도 청주시 서원구 수곡1동,충청북도 청주시 서원구 수곡2동,충청북도 청주시 서원구 성화.개신.죽림동,충청북도 청주시 흥덕구,충청북도 청주시 흥덕구 오송읍,충청북도 청주시 흥덕구 강내면,충청북도 청주시 흥덕구 옥산면,충청북도 청주시 흥덕구 운천.신봉동,충청북도 청주시 흥덕구 복대1동,충청북도 청주시 흥덕구 복대2동,충청북도 청주시 흥덕구 가경동,충청북도 청주시 흥덕구 봉명1동,충청북도 청주시 흥덕구 봉명2.송정동,충청북도 청주시 흥덕구 강서제1동,충청북도 청주시 흥덕구 강서제2동,충청북도 청주시 청원구,충청북도 청주시 청원구 내수읍,충청북도 청주시 청원구 오창읍,충청북도 청주시 청원구 북이면,충청북도 청주시 청원구 우암동,충청북도 청주시 청원구 내덕1동,충청북도 청주시 청원구 내덕2동,충청북도 청주시 청원구 율량.사천동,충청북도 청주시 청원구 오근장동
2020,5,40,"136,581","29,365",186,427,384,838,438,786,903,"1,293","1,657","5,448","2,610","8,714","5,681","31,945","1,325",364,"1,097","2,112","1,938","1,958","5,335","5,943","1,892","1,770","8,211","43,314","3,750","1,574","2,483","2,596","10,148","2,141","8,920","1,397","4,059","4,433","1,813","31,957","3,195","12,122",448,"1,625","1,199","1,777","8,114","3,477"
2020,5,50,"137,507","31,895",467,993,903,"1,368",796,"1,021","1,211","1,710","1,962","5,182","2,162","8,272","5,848","35,149","2,240",636,"1,623","2,487","2,268","2,874","4,516","5,622","2,684","2,866","7,333","42,846","2,962","2,109","2,741","3,701","7,186","3,066","9,533","1,608","4,119","4,490","1,331","27,617","3,559","7,080",940,"2,126","1,613","2,032","7,969","2,298"
2020,5,60,"92,570","22,317",577,"1,225",900,"1,240",836,919,"1,297","1,505","1,686","3,311","1,186","4,669","2,966","24,348","1,687",769,"1,387","1,966","1,975","2,460","2,126","2,615","2,279","2,308","4,776","26,306","2,173","1,497","1,881","2,432","3,328","2,348","5,257","1,245","2,419","2,915",811,"19,599","2,497","4,370","1,054","1,902","1,582","1,671","5,005","1,518"
2020,5,70,"46,565","12,031",353,822,573,636,612,651,802,980,"1,003","1,815",651,"1,916","1,217","12,356",805,554,810,906,"1,184","1,284",977,"1,327","1,370","1,205","1,934","11,874","1,270",810,950,"1,082","1,363","1,209","1,914",590,998,"1,298",390,"10,304","1,474","2,026",719,"1,233",974,"1,073","2,025",780
2020,5,80,"23,071","6,075",234,546,357,443,458,333,418,444,416,702,289,886,549,"5,983",498,389,422,439,437,569,504,715,581,588,841,"5,741",657,458,553,526,616,445,841,237,453,685,270,"5,272",824,"1,041",483,651,445,480,946,402
2020,5,90,"3,266",946,41,102,46,59,76,36,68,73,53,103,37,156,96,824,65,56,52,61,49,75,70,93,75,91,137,775,98,51,69,78,85,52,116,24,70,108,24,721,124,158,68,58,54,52,141,66
2020,5,100,190,56,2,8,1,6,4,4,7,4,1,4,2,7,6,51,3,4,9,6,4,6,3,2,6,2,6,39,6,6,5,5,4,2,4,0,3,2,2,44,10,4,8,4,5,3,8,2
2020,6,총,"842,821","184,165","2,305","5,103","3,984","6,945","4,127","5,834","7,053","9,162","11,098","30,133","13,685","51,691","33,045","198,950","10,275","3,427","8,041","14,734","15,110","15,044","27,204","31,607","13,992","13,842","45,674","265,681","22,880","10,903","17,937","17,613","51,803","16,331","51,442","9,856","24,772","28,512","13,632","194,025","19,836","68,894","4,701","12,519","8,874","11,743","48,801","18,657"
2020,6,0,"75,842","15,646",46,116,103,451,114,231,241,453,719,"2,612","1,592","5,308","3,660","14,810",663,100,342,"1,472",742,761,"2,518","2,752",612,738,"4,110","24,616","2,337",722,"2,292",996,"6,209",676,"4,369",546,"1,845","2,122","2,502","20,770","1,606","10,260",103,555,375,727,"4,529","2,615"
2020,6,10,"86,890","19,439",69,224,130,436,206,443,414,707,968,"3,794","1,959","6,314","3,775","21,092",690,134,575,"1,429","1,041","1,056","4,160","4,312","1,028","1,141","5,526","26,870","2,222","1,059","1,264","1,574","6,664","1,169","6,572",607,"2,441","2,409",889,"19,489","1,945","7,308",194,778,603,921,"5,427","2,313"
