년도,월,나이,마포구,아현동,공덕동,도화동,용강동,대흥동,염리동,신수동,서강동,서교동,합정동,망원제1동,망원제2동,연남동,성산제1동,성산제2동,상암동
2020,10,10,"28,544","1,650","2,385","1,622","2,005",910,"1,152","1,917","1,751","1,232",961,"1,325","1,590",830,"1,498","3,514","4,202"
2020,10,20,"62,029","3,152","6,543","3,017","2,274","3,346","1,800","3,540","4,666","6,158","3,586","3,499","2,935","3,223","3,181","6,800","4,309"
2020,10,30,"64,802","5,153","6,548","3,674","3,757","2,360","1,882","3,803","4,200","5,337","3,778","3,936","2,959","3,135","3,416","6,798","4,066"
2020,10,40,"61,205","4,201","5,649","3,210","4,409","2,105","2,139","3,911","4,030","3,725","2,667","3,268","3,295","2,366","3,360","6,620","6,250"
2020,10,50,"54,332","3,853","6,519","3,521","2,932","2,046","1,779","3,564","3,663","3,122","2,379","2,973","2,812","2,030","2,867","5,792","4,480"
2020,10,60,"39,313","2,718","4,442","2,662","2,150","1,474","1,146","2,471","2,411","2,286","1,919","2,401","2,170","1,713","2,182","4,204","2,964"
2020,10,70,"24,400","1,213","2,649","1,574","1,282",911,816,"1,558","1,411","1,556","1,226","1,626","1,470","1,114","1,344","2,901","1,749"
2020,10,80,"11,017",657,"1,283",844,632,447,386,660,665,745,532,635,550,513,545,"1,147",776
2020,10,90,"1,678",113,169,147,85,85,49,112,97,136,86,87,72,88,58,186,108
2020,10,100,338,52,39,27,11,25,12,20,16,27,19,7,18,19,14,15,17
2020,11,총,"372,320","25,628","38,256","21,794","21,776","14,400","12,081","23,250","24,753","25,237","18,237","20,817","19,073","15,637","19,421","40,447","31,513"
2020,11,0,"25,086","2,796","2,276","1,501","2,256",680,920,"1,703","1,886",846,"1,148","1,062","1,215",638,991,"2,555","2,613"
2020,11,10,"28,419","1,640","2,344","1,625","2,021",888,"1,162","1,918","1,741","1,223",953,"1,326","1,572",824,"1,481","3,495","4,206"
2020,11,20,"61,920","3,172","6,464","3,016","2,236","3,370","1,784","3,518","4,662","6,219","3,571","3,511","2,930","3,208","3,170","6,791","4,298"
2020,11,30,"64,657","5,165","6,567","3,655","3,745","2,368","1,868","3,792","4,166","5,355","3,757","3,917","2,970","3,124","3,404","6,754","4,050"
2020,11,40,"61,088","4,220","5,598","3,219","4,412","2,097","2,163","3,910","4,009","3,735","2,652","3,283","3,290","2,361","3,337","6,580","6,222"
2020,11,50,"54,265","3,856","6,466","3,502","2,934","2,044","1,770","3,572","3,654","3,109","2,372","2,972","2,812","2,028","2,885","5,787","4,502"
2020,11,60,"39,448","2,731","4,437","2,681","2,163","1,488","1,150","2,477","2,448","2,280","1,926","2,397","2,178","1,719","2,184","4,215","2,974"
2020,11,70,"24,336","1,224","2,625","1,571","1,282",910,807,"1,562","1,405","1,556","1,216","1,615","1,464","1,109","1,347","2,903","1,740"
2020,11,80,"11,085",653,"1,274",850,631,447,396,666,669,748,538,641,553,520,549,"1,166",784
2020,11,90,"1,674",118,166,146,85,83,49,113,97,139,85,86,70,86,59,185,107
2020,11,100,342,53,39,28,11,25,12,19,16,27,19,7,19,20,14,16,17
2020,12,총,"371,890","25,749","38,101","21,753","21,832","14,410","12,104","23,199","24,674","25,327","18,229","20,802","19,014","15,605","19,342","40,355","31,394"
2020,12,0,"24,899","2,802","2,271","1,489","2,268",676,932,"1,690","1,870",845,"1,123","1,045","1,188",627,982,"2,524","2,567"
2020,12,10,"28,372","1,661","2,328","1,628","2,021",891,"1,156","1,922","1,741","1,213",950,"1,329","1,577",810,"1,467","3,484","4,194"
2020,12,20,"61,904","3,194","6,471","3,006","2,233","3,362","1,793","3,485","4,644","6,271","3,598","3,493","2,909","3,239","3,132","6,776","4,298"
2020,12,30,"64,486","5,156","6,534","3,631","3,770","2,373","1,865","3,773","4,115","5,384","3,738","3,922","2,974","3,104","3,402","6,726","4,019"
2020,12,40,"60,995","4,238","5,559","3,229","4,425","2,094","2,185","3,919","4,004","3,728","2,655","3,269","3,267","2,337","3,329","6,575","6,182"
2020,12,50,"54,255","3,875","6,429","3,481","2,943","2,042","1,762","3,579","3,679","3,117","2,367","2,975","2,818","2,033","2,881","5,770","4,504"
2020,12,60,"39,559","2,754","4,433","2,692","2,165","1,504","1,160","2,468","2,432","2,294","1,934","2,426","2,162","1,725","2,184","4,235","2,991"
2020,12,70,"24,309","1,234","2,606","1,571","1,276",913,800,"1,557","1,403","1,557","1,216","1,613","1,473","1,110","1,347","2,896","1,737"
2020,12,80,"11,096",665,"1,262",852,632,448,390,671,674,753,542,642,557,515,546,"1,169",778
2020,12,90,"1,669",117,169,145,88,82,49,116,95,138,86,80,71,85,58,183,107
2020,12,100,346,53,39,29,11,25,12,19,17,27,20,8,18,20,14,17,17
2021,1,총,"371,492","25,821","38,005","21,700","21,856","14,433","12,105","23,121","24,636","25,291","18,207","20,801","18,973","15,579","19,334","40,353","31,277"
