년도,월,나이,경기도 하남시,경기도 하남시 천현동,경기도 하남시 신장1동,경기도 하남시 신장2동,경기도 하남시 덕풍1동,경기도 하남시 덕풍2동,경기도 하남시 덕풍3동,경기도 하남시 풍산동,경기도 하남시 감북동,경기도 하남시 위례동,경기도 하남시 춘궁동,경기도 하남시 초이동,경기도 하남시 미사1동,경기도 하남시 미사2동,경기도 하남시 감일동
2021,12,10,"14,102",192,185,"1,891",460,511,"1,225","1,566",61,"1,426",84,83,"2,272","2,668","1,478"
2021,12,20,"19,097",345,450,"2,511",912,"1,084","1,472","1,574",140,"1,488",197,189,"5,188","1,958","1,589"
2021,12,30,"26,535",418,433,"3,355",992,"1,300","1,597","2,719",150,"2,613",170,167,"5,661","3,811","3,149"
2021,12,40,"27,597",354,407,"3,711","1,001","1,152","2,141","2,986",156,"2,664",185,157,"4,781","5,125","2,777"
2021,12,50,"22,702",611,591,"3,738","1,419","1,687","2,114","1,942",242,"2,013",276,284,"2,932","2,983","1,870"
2021,12,60,"20,159",734,562,"3,848","1,477","1,849","1,924","1,380",238,"1,252",355,299,"2,185","2,674","1,382"
2021,12,70,"8,749",298,296,"1,807",623,807,912,491,120,380,190,144,924,"1,188",569
2021,12,80,"4,096",164,130,776,274,407,403,257,75,173,120,94,403,528,292
2021,12,90,870,55,27,135,47,79,90,76,11,40,27,10,94,111,68
2021,12,100,33,0,0,6,3,1,1,6,0,1,2,1,2,5,5
