년도,월,나이,완도군,완도읍,금일읍,노화읍,노화읍넙도출장소,군외면,신지면,고금면,약산면,청산면,청산면모도출장소,소안면,금당면,보길면,생일면
2021,5,90,117,24,8,6,0,6,13,16,9,11,0,12,4,6,2
2021,5,100,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021,6,총,"24,895","9,143","1,896","2,176",434,"1,599","1,751","2,075","1,187","1,009",118,"1,220",497,"1,353",437
2021,6,0,"1,556",753,104,147,23,52,58,81,72,29,3,67,20,126,21
2021,6,10,"1,843",879,98,214,27,60,96,137,43,50,5,68,32,117,17
2021,6,20,"2,214","1,070",134,163,27,99,139,163,83,78,10,81,33,91,43
2021,6,30,"2,075",865,167,207,50,102,119,131,63,82,2,94,36,126,31
2021,6,40,"3,568","1,386",274,338,83,202,236,253,137,104,19,190,67,210,69
2021,6,50,"4,479","1,637",342,357,70,312,339,373,233,204,23,191,96,225,77
2021,6,60,"4,342","1,409",378,331,75,349,342,344,242,222,23,224,92,231,80
2021,6,70,"3,266",836,270,273,67,299,261,376,214,148,23,185,79,164,71
2021,6,80,"1,432",283,121,140,12,118,147,201,92,80,10,107,38,57,26
2021,6,90,118,25,8,6,0,6,14,16,8,11,0,12,4,6,2
2021,6,100,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2021,7,총,"24,836","9,132","1,880","2,169",432,"1,601","1,734","2,070","1,186","1,011",118,"1,226",493,"1,349",435
2021,7,0,"1,548",752,101,142,23,52,58,83,70,29,3,68,20,125,22
2021,7,10,"1,834",875,97,219,27,58,95,135,43,49,5,69,31,115,16
2021,7,20,"2,219","1,080",129,160,28,100,136,166,83,78,10,81,34,92,42
2021,7,30,"2,035",841,167,203,49,103,115,128,63,80,2,94,36,123,31
2021,7,40,"3,554","1,381",273,339,83,201,230,247,137,108,18,192,66,210,69
2021,7,50,"4,473","1,642",338,354,68,311,341,373,234,202,24,191,94,225,76
2021,7,60,"4,346","1,410",374,335,76,354,338,344,243,223,23,225,90,231,80
2021,7,70,"3,265",839,269,273,65,300,259,371,214,150,23,187,79,165,71
2021,7,80,"1,441",285,124,138,13,116,148,207,91,80,10,107,39,57,26
2021,7,90,119,27,8,6,0,6,14,16,8,11,0,11,4,6,2
2021,7,100,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0
