년도,월,나이,전라북도 순창군,전라북도 순창군 순창읍,전라북도 순창군 인계면,전라북도 순창군 동계면,전라북도 순창군 풍산면,전라북도 순창군 금과면,전라북도 순창군 팔덕면,전라북도 순창군 쌍치면,전라북도 순창군 복흥면,전라북도 순창군 적성면,전라북도 순창군 유등면,전라북도 순창군 구림면
2020,12,총,"13,520","4,993",755,987,858,865,702,981,"1,053",639,538,"1,149"
2020,12,0,777,456,34,37,29,22,31,32,61,11,30,34
2020,12,10,"1,150",684,48,45,49,40,39,69,71,21,26,58
2020,12,20,"1,142",551,62,57,55,55,45,69,80,61,34,73
2020,12,30,966,445,42,59,71,67,49,52,48,42,34,57
2020,12,40,"1,882",857,78,142,117,93,72,108,113,80,77,145
2020,12,50,"2,454",815,165,176,151,165,148,184,222,121,91,216
2020,12,60,"2,454",617,154,228,165,239,140,235,217,125,104,230
2020,12,70,"1,708",382,110,150,143,112,103,147,166,105,88,202
2020,12,80,892,167,57,87,71,64,72,74,63,64,54,119
2020,12,90,95,19,5,6,7,8,3,11,12,9,0,15
2020,12,100,0,0,0,0,0,0,0,0,0,0,0,0
2021,1,총,"13,457","4,980",744,984,858,862,705,967,"1,050",637,529,"1,141"
2021,1,0,763,453,29,35,29,23,32,28,60,10,30,34
2021,1,10,"1,142",676,47,49,46,39,39,70,72,21,25,58
2021,1,20,"1,143",557,61,54,60,56,46,64,79,62,34,70
2021,1,30,957,447,43,57,69,67,49,49,51,38,31,56
2021,1,40,"1,864",846,75,142,114,91,73,111,108,82,77,145
2021,1,50,"2,435",813,162,176,152,164,146,176,223,119,88,216
2021,1,60,"2,462",622,155,228,167,235,141,237,220,126,104,227
2021,1,70,"1,709",378,111,152,143,115,104,146,162,105,89,204
2021,1,80,883,169,56,85,71,64,71,74,62,64,50,117
2021,1,90,99,19,5,6,7,8,4,12,13,10,1,14
2021,1,100,0,0,0,0,0,0,0,0,0,0,0,0
2021,2,총,"13,437","4,964",744,988,850,858,706,970,"1,051",632,530,"1,144"
2021,2,0,755,446,28,34,29,23,29,31,60,11,30,34
2021,2,10,"1,145",673,48,53,46,38,41,69,72,21,24,60
2021,2,20,"1,139",562,60,53,58,55,44,64,80,60,34,69
2021,2,30,943,436,43,56,66,66,53,48,50,38,30,57
2021,2,40,"1,854",842,76,144,112,89,75,110,108,77,78,143
2021,2,50,"2,427",801,157,178,150,165,145,179,225,119,89,219
2021,2,60,"2,478",637,161,228,168,230,139,237,219,128,102,229
2021,2,70,"1,711",378,112,149,143,119,106,145,159,103,91,206
2021,2,80,885,170,54,87,72,65,70,74,65,65,51,112
2021,2,90,100,19,5,6,6,8,4,13,13,10,1,15
2021,2,100,0,0,0,0,0,0,0,0,0,0,0,0
2021,3,총,"13,401","4,962",733,985,854,855,701,968,"1,049",631,523,"1,140"
2021,3,0,748,447,27,32,31,21,29,29,59,11,28,34
2021,3,10,"1,127",664,48,52,44,38,41,65,70,20,25,60
2021,3,20,"1,136",566,58,53,57,56,41,66,79,62,32,66
2021,3,30,937,437,40,57,67,63,50,48,51,37,31,56
2021,3,40,"1,843",836,73,143,112,90,78,109,110,76,76,140
2021,3,50,"2,417",806,155,175,152,165,141,177,217,120,90,219
2021,3,60,"2,504",645,162,233,167,230,139,241,225,129,99,234
2021,3,70,"1,698",372,112,148,144,118,107,145,157,101,90,204
2021,3,80,893,171,54,87,74,66,71,74,68,65,51,112
2021,3,90,97,18,4,5,6,8,4,14,13,9,1,15
2021,3,100,1,0,0,0,0,0,0,0,0,1,0,0
2021,4,총,"13,366","4,947",736,983,850,848,701,970,"1,038",635,519,"1,139"
2021,4,0,732,441,26,31,28,21,29,26,55,11,28,36
2021,4,10,"1,123",658,48,52,42,38,42,67,71,21,25,59
2021,4,20,"1,134",568,60,52,59,53,39,66,78,61,31,67
2021,4,30,921,433,40,57,63,63,50,46,48,36,30,55
2021,4,40,"1,829",829,73,141,113,89,78,108,106,77,75,140
2021,4,50,"2,408",809,154,176,152,160,141,177,215,120,89,215
2021,4,60,"2,526",645,164,232,168,232,141,248,228,133,99,236
2021,4,70,"1,699",375,112,147,144,119,106,144,157,101,88,206
2021,4,80,897,171,55,90,74,66,71,74,67,65,53,111
2021,4,90,96,18,4,5,7,7,4,14,13,9,1,14
2021,4,100,1,0,0,0,0,0,0,0,0,1,0,0
2021,5,총,"13,356","4,942",733,983,850,853,703,969,"1,040",628,517,"1,138"
2021,5,0,727,440,25,31,27,23,28,26,53,11,28,35
2021,5,10,"1,114",654,46,51,44,39,42,66,72,21,23,56
2021,5,20,"1,141",576,60,53,57,54,39,65,79,57,31,70
2021,5,30,912,428,40,56,62,62,49,46,49,35,32,53
2021,5,40,"1,815",821,73,141,115,91,76,105,105,75,72,141
2021,5,50,"2,399",810,150,176,151,156,141,179,214,118,89,215
2021,5,60,"2,541",646,163,232,169,238,145,249,230,134,100,235
2021,5,70,"1,702",373,117,149,144,119,108,144,154,102,87,205
2021,5,80,906,176,55,89,74,64,71,75,71,64,54,113
2021,5,90,98,18,4,5,7,7,4,14,13,10,1,15
2021,5,100,1,0,0,0,0,0,0,0,0,1,0,0
2021,6,총,"13,326","4,930",738,979,851,849,706,967,"1,038",620,513,"1,135"
2021,6,0,720,434,25,31,28,23,27,26,52,10,29,35
2021,6,10,"1,111",655,46,50,43,38,41,65,72,21,23,57
2021,6,20,"1,135",575,62,53,57,52,40,64,78,56,31,67
2021,6,30,902,423,39,57,61,63,50,46,47,32,30,54
2021,6,40,"1,819",820,74,141,119,91,79,104,103,73,73,142
2021,6,50,"2,397",814,151,174,152,152,140,182,215,119,86,212
2021,6,60,"2,536",643,165,230,163,238,148,250,232,130,100,237
2021,6,70,"1,697",370,117,150,145,119,106,143,153,102,87,205
2021,6,80,910,176,55,89,76,66,71,73,73,66,53,112
2021,6,90,98,20,4,4,7,7,4,14,13,10,1,14
2021,6,100,1,0,0,0,0,0,0,0,0,1,0,0
2021,7,총,"13,304","4,919",738,978,845,848,711,966,"1,032",615,516,"1,136"
2021,7,0,715,433,24,30,29,23,28,25,52,10,29,32
2021,7,10,"1,120",660,48,48,43,37,44,66,72,21,23,58
2021,7,20,"1,118",564,61,52,55,53,41,63,76,54,31,68
2021,7,30,898,422,38,58,60,62,50,45,47,31,29,56
2021,7,40,"1,810",814,73,142,118,91,80,104,101,73,74,140
2021,7,50,"2,390",815,153,173,147,149,138,181,211,120,87,216
2021,7,60,"2,548",644,167,230,165,240,148,250,235,129,102,238
2021,7,70,"1,691",371,117,150,143,119,106,145,151,101,86,202
2021,7,80,911,175,53,90,78,67,72,72,74,66,52,112
2021,7,90,102,21,4,5,7,7,4,15,13,9,3,14
2021,7,100,1,0,0,0,0,0,0,0,0,1,0,0
2021,8,총,"13,266","4,907",735,974,838,848,711,965,"1,034",612,511,"1,131"
2021,8,0,704,427,19,32,27,23,30,25,52,11,27,31
2021,8,10,"1,110",655,47,47,41,38,46,62,72,19,23,60
2021,8,20,"1,105",563,62,52,56,50,38,63,72,51,31,67
2021,8,30,898,421,40,58,60,63,48,44,50,33,28,53
2021,8,40,"1,794",808,71,136,118,90,84,103,100,70,74,140
2021,8,50,"2,396",822,156,173,144,150,135,182,214,121,84,215
2021,8,60,"2,557",644,165,234,165,240,148,255,235,129,103,239
2021,8,70,"1,683",372,116,146,143,119,105,143,150,102,87,200
2021,8,80,913,174,55,91,77,68,73,72,75,65,51,112
2021,8,90,104,21,4,5,7,7,4,16,14,9,3,14
2021,8,100,2,0,0,0,0,0,0,0,0,2,0,0
2021,9,총,"13,232","4,921",731,970,831,847,711,957,"1,033",606,510,"1,115"
2021,9,0,700,428,18,31,28,22,30,25,52,10,27,29
2021,9,10,"1,109",663,47,47,39,38,45,62,70,19,22,57
2021,9,20,"1,085",565,62,52,55,48,40,61,69,44,28,61
2021,9,30,893,420,39,57,57,65,45,42,52,36,28,52
2021,9,40,"1,780",807,70,133,119,89,81,101,100,69,73,138
2021,9,50,"2,394",822,155,174,143,153,138,180,211,120,87,211
2021,9,60,"2,562",648,164,234,164,236,149,253,240,131,102,241
2021,9,70,"1,686",374,116,146,141,122,106,143,150,101,88,199
2021,9,80,912,172,56,90,78,66,73,73,75,64,52,113
2021,9,90,108,22,4,6,7,7,4,17,14,10,3,14
2021,9,100,3,0,0,0,0,1,0,0,0,2,0,0
2021,10,총,"13,213","4,920",724,969,838,848,707,958,"1,034",606,503,"1,106"
2021,10,0,698,429,19,31,29,22,30,25,53,10,25,25
2021,10,10,"1,105",662,44,46,43,37,43,62,70,20,22,56
2021,10,20,"1,078",564,60,52,55,49,38,63,67,42,26,62
2021,10,30,889,424,39,55,56,64,45,42,52,38,27,47
2021,10,40,"1,763",795,69,132,119,89,80,102,101,67,72,137
