년도,월,나이,서울특별시 중구,서울특별시 중구 소공동,서울특별시 중구 회현동,서울특별시 중구 명동,서울특별시 중구 필동,서울특별시 중구 장충동,서울특별시 중구 광희동,서울특별시 중구 을지로동,서울특별시 중구 신당동,서울특별시 중구 다산동,서울특별시 중구 약수동,서울특별시 중구 청구동,서울특별시 중구 신당제5동,서울특별시 중구 동화동,서울특별시 중구 황학동,서울특별시 중구 중림동
2021,10,10,"6,556",125,212,127,190,256,179,39,284,784,939,837,544,827,484,729
2021,10,20,"18,289",251,495,374,735,"1,209","1,049",226,"1,358","2,277","2,016","1,877","1,632","1,337","2,091","1,362"
2021,10,30,"19,963",497,530,407,678,679,885,322,"1,361","2,186","2,348","2,128","1,693","1,310","2,805","2,134"
2021,10,40,"17,474",501,656,412,455,568,628,196,"1,049","1,936","2,391","1,853","1,554","1,499","1,774","2,002"
2021,10,50,"20,105",304,914,486,593,600,808,282,"1,314","2,270","2,777","2,307","1,836","1,920","1,787","1,907"
2021,10,60,"17,978",240,"1,030",514,611,538,837,389,"1,099","2,005","2,715","2,047","1,354","1,510","1,555","1,534"
2021,10,70,"10,273",100,529,304,357,356,504,171,638,"1,234","1,575","1,146",819,752,874,914
2021,10,80,"4,905",42,227,134,193,201,188,76,259,562,841,624,357,443,338,420
2021,10,90,813,8,51,30,53,30,26,17,50,82,149,86,43,65,62,61
2021,10,100,55,1,2,3,9,1,2,0,3,9,3,2,2,9,1,8
2021,11,총,"122,673","2,251","4,817","2,867","4,022","4,632","5,235","1,753","7,653","13,838","16,730","13,607","10,382","10,294","12,569","12,023"
2021,11,0,"6,331",172,181,80,169,177,125,35,255,510,994,717,546,656,736,978
2021,11,10,"6,508",125,214,128,192,255,180,37,277,784,936,834,529,812,479,726
2021,11,20,"18,301",251,499,376,726,"1,219","1,055",225,"1,354","2,270","2,004","1,863","1,651","1,335","2,121","1,352"
2021,11,30,"19,935",496,529,400,679,676,895,321,"1,356","2,198","2,343","2,124","1,696","1,297","2,818","2,107"
2021,11,40,"17,460",509,652,411,453,570,623,192,"1,041","1,920","2,394","1,851","1,536","1,489","1,798","2,021"
2021,11,50,"20,067",306,906,482,591,607,799,284,"1,308","2,264","2,770","2,297","1,836","1,919","1,784","1,914"
2021,11,60,"18,047",239,"1,032",517,606,538,846,393,"1,111","2,009","2,723","2,059","1,369","1,516","1,555","1,534"
2021,11,70,"10,236",103,520,303,352,359,497,171,635,"1,231","1,576","1,140",817,749,880,903
2021,11,80,"4,936",41,231,137,195,201,187,79,263,564,843,635,357,448,336,419
2021,11,90,804,8,52,30,50,29,26,16,50,85,144,85,43,64,61,61
2021,11,100,48,1,1,3,9,1,2,0,3,3,3,2,2,9,1,8
2021,12,총,"122,499","2,250","4,784","2,884","4,023","4,590","5,255","1,738","7,673","13,798","16,676","13,588","10,363","10,266","12,576","12,035"
2021,12,0,"6,299",172,176,83,170,170,132,32,255,504,992,712,539,650,721,991
2021,12,10,"6,474",122,213,126,193,247,179,36,270,774,935,836,523,811,477,732
2021,12,20,"18,309",251,492,384,727,"1,223","1,060",232,"1,373","2,268","1,992","1,852","1,650","1,332","2,134","1,339"
2021,12,30,"19,886",501,520,403,675,654,896,312,"1,351","2,195","2,323","2,129","1,691","1,299","2,822","2,115"
2021,12,40,"17,379",504,648,406,459,561,623,184,"1,037","1,899","2,379","1,831","1,527","1,487","1,807","2,027"
2021,12,50,"20,043",305,891,489,590,602,800,281,"1,318","2,265","2,763","2,306","1,846","1,914","1,777","1,896"
2021,12,60,"18,083",243,"1,031",519,609,542,848,391,"1,108","2,015","2,720","2,069","1,372","1,512","1,560","1,544"
2021,12,70,"10,221",102,525,306,350,362,502,175,641,"1,223","1,572","1,134",810,746,874,899
2021,12,80,"4,967",41,234,139,199,199,188,78,267,567,851,632,358,450,342,422
2021,12,90,812,8,52,28,51,30,26,17,50,86,146,85,45,65,60,63
2021,12,100,26,1,2,1,0,0,1,0,3,2,3,2,2,0,2,7
