년도,월,나이,나주시,남평읍,세지면,왕곡면,반남면,공산면,동강면,다시면,문평면,노안면,금천면,산포면,다도면,봉황면,송월동,영강동,금남동,성북동,영산동,이창동,빛가람동
2021,7,100,31,1,2,2,0,4,0,3,2,2,2,0,2,4,2,0,1,1,0,2,1
2021,8,총,"116,670","12,097","2,596","2,843","1,427","2,287","2,454","3,548","1,936","4,569","4,244","3,333","1,854","4,169","7,710","2,647","4,834","8,666","3,235","3,375","38,846"
2021,8,0,"10,036","1,089",41,54,19,73,49,61,32,87,108,72,29,98,591,133,212,676,106,109,"6,397"
2021,8,10,"9,655",798,144,123,49,126,73,155,53,161,212,134,57,182,813,191,351,891,236,197,"4,709"
2021,8,20,"12,302","1,151",185,242,91,138,165,233,111,323,367,274,99,290,"1,248",308,486,"1,259",253,386,"4,693"
2021,8,30,"14,510","1,599",121,152,68,113,111,181,92,258,297,229,91,213,925,262,369,867,212,278,"8,072"
2021,8,40,"16,712","1,680",214,242,120,218,192,302,149,356,432,345,137,345,"1,183",362,570,"1,336",311,405,"7,813"
2021,8,50,"17,290","1,962",456,504,249,349,367,588,325,867,731,647,371,720,"1,318",470,822,"1,444",572,599,"3,929"
2021,8,60,"16,779","1,994",580,634,313,517,580,840,448,"1,100",886,742,451,937,844,433,872,"1,092",655,671,"2,190"
2021,8,70,"11,423","1,135",478,471,280,421,505,652,370,757,748,508,346,809,480,288,728,699,526,457,765
2021,8,80,"6,888",602,324,368,203,296,360,467,309,555,397,337,235,502,275,169,364,346,309,232,238
2021,8,90,"1,042",86,51,51,35,32,52,66,44,103,63,45,36,69,31,31,59,55,55,39,39
2021,8,100,33,1,2,2,0,4,0,3,3,2,3,0,2,4,2,0,1,1,0,2,1
2021,9,총,"116,668","12,065","2,577","2,839","1,422","2,287","2,441","3,534","1,931","4,546","4,224","3,323","1,853","4,156","7,727","2,639","4,827","8,691","3,216","3,355","39,015"
2021,9,0,"10,016","1,088",41,53,20,73,48,60,30,82,104,70,27,93,588,132,209,669,106,106,"6,417"
2021,9,10,"9,639",790,134,123,49,126,72,151,52,157,208,134,58,180,821,188,351,894,227,193,"4,731"
2021,9,20,"12,235","1,121",179,239,90,137,163,229,105,316,360,267,99,286,"1,242",313,483,"1,283",255,381,"4,687"
2021,9,30,"14,515","1,607",122,152,67,112,111,179,93,250,294,227,90,214,922,262,365,856,210,277,"8,105"
2021,9,40,"16,699","1,655",211,242,117,218,189,301,145,364,428,347,138,336,"1,195",349,566,"1,328",310,401,"7,859"
2021,9,50,"17,334","1,973",456,501,247,352,366,588,327,862,728,645,366,725,"1,316",467,824,"1,457",563,595,"3,976"
2021,9,60,"16,828","2,006",580,639,314,516,579,845,454,"1,099",891,737,454,938,849,435,876,"1,096",657,669,"2,194"
2021,9,70,"11,409","1,130",476,467,281,418,502,649,366,754,746,511,344,804,483,295,727,706,523,459,768
2021,9,80,"6,906",604,325,369,202,299,358,466,312,555,398,339,239,502,274,169,366,344,314,233,238
2021,9,90,"1,055",90,51,52,35,32,53,63,44,105,64,46,36,74,35,29,59,57,51,40,39
2021,9,100,32,1,2,2,0,4,0,3,3,2,3,0,2,4,2,0,1,1,0,1,1
2021,10,총,"116,711","12,049","2,565","2,846","1,420","2,283","2,427","3,524","1,927","4,540","4,206","3,321","1,840","4,150","7,778","2,643","4,838","8,702","3,197","3,357","39,098"
2021,10,0,"9,964","1,075",40,55,20,74,46,58,29,84,104,69,26,92,584,130,207,658,104,105,"6,404"
2021,10,10,"9,659",798,131,121,49,125,71,151,52,155,204,134,55,176,827,185,351,904,219,194,"4,757"
2021,10,20,"12,212","1,113",177,239,87,139,160,226,99,308,355,268,95,286,"1,245",315,481,"1,286",251,380,"4,702"
2021,10,30,"14,490","1,593",125,156,65,112,112,183,94,251,297,223,87,216,943,261,366,848,212,281,"8,065"
2021,10,40,"16,722","1,663",205,243,117,217,187,300,143,362,424,341,137,337,"1,201",347,559,"1,326",304,394,"7,915"
2021,10,50,"17,342","1,970",454,498,248,347,363,579,325,867,719,645,364,721,"1,315",474,829,"1,465",557,597,"4,005"
2021,10,60,"16,910","2,013",580,646,315,515,583,850,454,"1,093",895,744,453,939,863,433,887,"1,102",659,678,"2,208"
2021,10,70,"11,403","1,133",473,464,278,416,497,646,372,757,740,512,343,802,488,299,728,706,525,459,765
2021,10,80,"6,910",602,328,372,205,301,356,460,310,552,399,338,241,504,275,171,369,347,312,230,238
2021,10,90,"1,064",87,50,50,36,33,52,67,45,109,66,47,37,73,35,28,60,59,54,38,38
2021,10,100,35,2,2,2,0,4,0,4,4,2,3,0,2,4,2,0,1,1,0,1,1
2021,11,총,"116,701","12,022","2,562","2,844","1,425","2,260","2,408","3,537","1,923","4,522","4,184","3,318","1,851","4,142","7,807","2,663","4,854","8,687","3,186","3,344","39,162"
2021,11,0,"9,882","1,063",39,56,20,69,43,59,29,82,100,69,24,83,590,129,212,642,103,102,"6,368"
2021,11,10,"9,656",787,131,119,48,119,70,146,51,152,203,136,56,175,822,191,342,901,218,194,"4,795"
2021,11,20,"12,209","1,119",175,237,87,136,154,232,99,310,344,265,94,289,"1,249",314,492,"1,292",249,373,"4,699"
2021,11,30,"14,443","1,561",125,156,65,111,110,183,94,247,290,221,91,209,957,262,373,841,209,280,"8,058"
2021,11,40,"16,739","1,662",207,242,116,216,189,301,144,353,429,343,136,339,"1,188",352,556,"1,320",301,392,"7,953"
2021,11,50,"17,367","1,975",450,498,245,344,362,580,317,861,719,648,367,718,"1,329",476,832,"1,466",557,601,"4,022"
2021,11,60,"16,951","2,019",581,643,322,513,576,861,458,"1,093",893,735,457,943,863,441,890,"1,106",656,670,"2,231"
2021,11,70,"11,406","1,137",473,463,280,410,496,645,374,760,739,517,343,798,492,299,719,706,524,464,767
2021,11,80,"6,954",609,329,376,206,304,355,462,309,552,406,336,244,510,281,170,375,353,314,230,233
2021,11,90,"1,060",88,50,52,36,34,53,65,44,110,58,48,37,74,34,29,62,59,55,37,35
2021,11,100,34,2,2,2,0,4,0,3,4,2,3,0,2,4,2,0,1,1,0,1,1
2021,12,총,"116,726","12,040","2,563","2,838","1,410","2,246","2,406","3,551","1,901","4,515","4,174","3,317","1,861","4,138","7,811","2,652","4,859","8,709","3,155","3,334","39,246"
2021,12,0,"9,845","1,063",37,56,19,69,44,58,29,82,100,70,24,81,586,128,212,647,102,101,"6,337"
2021,12,10,"9,643",791,134,117,45,115,71,147,50,149,201,133,57,174,818,188,344,902,204,191,"4,812"
2021,12,20,"12,211","1,121",178,230,87,139,152,237,101,313,348,267,99,284,"1,238",313,496,"1,300",240,371,"4,697"
2021,12,30,"14,425","1,551",122,160,63,108,111,183,88,244,286,218,91,206,960,258,376,850,208,279,"8,063"
2021,12,40,"16,746","1,670",207,241,116,210,189,302,142,355,422,339,138,341,"1,193",358,550,"1,313",298,396,"7,966"
2021,12,50,"17,408","1,983",444,497,243,344,361,589,312,854,713,651,365,722,"1,339",477,835,"1,466",554,599,"4,060"
2021,12,60,"17,014","2,026",586,646,325,512,576,865,458,"1,097",895,735,463,953,860,438,886,"1,102",660,666,"2,265"
2021,12,70,"11,344","1,126",470,460,273,408,492,638,368,756,742,518,338,789,496,298,714,712,518,464,764
2021,12,80,"6,980",618,331,378,202,305,356,461,306,551,405,337,243,508,286,166,385,357,315,229,241
2021,12,90,"1,080",91,53,52,37,33,54,68,43,111,59,49,41,76,33,28,60,59,56,37,40
2021,12,100,30,0,1,1,0,3,0,3,4,3,3,0,2,4,2,0,1,1,0,1,1
