년도,월,나이,경기도 광주시,경기도 광주시 오포읍,경기도 광주시 초월읍,경기도 광주시 곤지암읍,경기도 광주시 도척면,경기도 광주시 퇴촌면,경기도 광주시 남종면,경기도 광주시 남한산성면,경기도 광주시 경안동,경기도 광주시 송정동,경기도 광주시 광남동,경기도 광주시 쌍령동,경기도 광주시 탄벌동,경기도 광주시 광남1동,경기도 광주시 광남2동
2020,12,60,"24,118","6,250","3,025","1,852",976,"1,415",208,285,"1,559","1,476",0,"1,035","2,491","2,318","1,228"
2020,12,70,"10,613","2,795","1,280",799,425,783,106,147,704,637,0,401,992,968,576
2020,12,80,"3,177",812,407,302,158,231,60,70,197,159,0,114,274,239,154
2020,12,90,281,83,30,24,19,24,7,5,15,17,0,4,24,19,10
2020,12,100,27,6,1,7,2,2,0,0,6,0,0,0,3,0,0
2021,1,총,"195,548","56,856","24,020","12,287","5,175","7,718",783,"1,393","12,904","11,151",,"9,170","19,915","17,307","16,869"
2021,1,0,"17,955","5,823","1,959",710,246,536,23,73,"1,051",830,,"1,010","1,589","1,393","2,712"
2021,1,10,"17,183","4,472","2,372",962,337,659,35,106,"1,169",988,,802,"1,846","1,383","2,052"
2021,1,20,"23,946","7,080","2,959","1,576",581,647,60,96,"1,817","1,478",,"1,219","2,644","2,271","1,518"
2021,1,30,"30,013","10,394","3,273","1,559",575,752,51,123,"1,857","1,587",,"1,459","2,857","2,593","2,933"
2021,1,40,"35,375","10,653","4,387","1,921",817,"1,335",83,202,"2,156","1,961",,"1,652","3,501","3,073","3,634"
2021,1,50,"32,482","8,374","4,271","2,548","1,028","1,316",147,286,"2,353","1,987",,"1,460","3,652","3,023","2,037"
2021,1,60,"24,389","6,327","3,068","1,873",984,"1,426",210,285,"1,578","1,492",,"1,044","2,521","2,340","1,241"
2021,1,70,"10,685","2,824","1,291",798,428,787,107,146,702,652,,404,998,970,578
2021,1,80,"3,214",821,408,308,158,235,60,71,201,160,,116,279,242,155
2021,1,90,279,82,31,25,19,23,7,5,14,16,,4,25,19,9
2021,1,100,27,6,1,7,2,2,0,0,6,0,,0,3,0,0
2021,2,총,"195,680","56,938","24,020","12,330","5,187","7,751",777,"1,382","12,910","11,139",,"9,159","19,909","17,205","16,973"
2021,2,0,"17,853","5,802","1,948",706,238,541,21,73,"1,040",817,,"1,015","1,572","1,386","2,694"
2021,2,10,"17,151","4,494","2,348",971,341,652,33,103,"1,155",981,,787,"1,845","1,377","2,064"
