년도,월,나이,서울특별시 성동구,서울특별시 성동구 왕십리제2동,서울특별시 성동구 왕십리도선동,서울특별시 성동구 마장동,서울특별시 성동구 사근동,서울특별시 성동구 행당제1동,서울특별시 성동구 행당제2동,서울특별시 성동구 응봉동,서울특별시 성동구 금호1가동,서울특별시 성동구 금호2.3가동,서울특별시 성동구 금호4가동,서울특별시 성동구 옥수동,서울특별시 성동구 성수1가제1동,서울특별시 성동구 성수1가제2동,서울특별시 성동구 성수2가제1동,서울특별시 성동구 성수2가제3동,서울특별시 성동구 송정동,서울특별시 성동구 용답동
2021,7,10,"19,311","1,158","1,586","1,592",754,999,"2,056","1,607","1,073","1,414",939,"1,659","1,097",847,854,521,556,599
2021,7,20,"44,243","2,448","4,277","4,238","4,697","2,230","2,930","1,754","1,773","2,820","1,443","2,823","2,602","2,064","2,242","1,974","1,696","2,232"
2021,7,30,"47,543","2,876","4,596","3,215","1,579","2,259","3,562","2,173","2,616","4,099","2,659","4,940","2,861","2,323","2,562","1,935","1,597","1,691"
2021,7,40,"43,836","2,514","3,996","2,954","1,121","2,129","3,912","2,872","2,529","3,650","2,554","4,455","2,392","1,976","2,189","1,454","1,519","1,620"
2021,7,50,"46,498","2,699","4,389","3,662","1,296","2,243","3,919","2,484","2,355","3,639","2,092","3,837","3,072","1,991","3,019","1,769","1,941","2,091"
2021,7,60,"37,297","2,088","3,079","3,077",975,"1,688","2,850","1,740","2,143","2,988","1,833","3,336","2,255","1,674","2,682","1,555","1,674","1,660"
2021,7,70,"20,204","1,138","1,582","1,706",738,969,"1,744","1,142","1,120","1,675","1,049","1,717",959,879,"1,235",827,747,977
2021,7,80,"8,813",444,762,754,328,399,744,558,523,760,454,762,393,353,490,367,305,417
2021,7,90,"1,129",60,99,101,37,58,91,66,60,97,56,128,46,38,58,47,46,41
2021,7,100,80,2,1,10,11,5,3,8,2,7,4,6,4,1,5,8,1,2
2021,8,총,"288,214","16,600","26,632","22,501","11,952","13,942","23,494","15,511","15,408","22,828","14,418","26,127","16,686","12,818","16,056","10,969","10,552","11,720"
2021,8,0,"19,613","1,197","2,280","1,163",410,961,"1,727","1,140","1,257","1,726","1,332","2,491","1,003",704,788,570,494,370
2021,8,10,"19,235","1,148","1,581","1,587",740,998,"2,050","1,598","1,076","1,422",933,"1,656","1,098",845,845,515,554,589
2021,8,20,"44,172","2,435","4,290","4,253","4,738","2,241","2,914","1,744","1,753","2,782","1,443","2,805","2,591","2,060","2,225","1,959","1,683","2,256"
2021,8,30,"47,374","2,885","4,570","3,218","1,564","2,244","3,536","2,183","2,595","4,082","2,638","4,905","2,870","2,309","2,559","1,915","1,599","1,702"
2021,8,40,"43,707","2,493","4,000","2,944","1,118","2,131","3,895","2,858","2,540","3,648","2,554","4,459","2,382","1,952","2,169","1,447","1,509","1,608"
2021,8,50,"46,409","2,686","4,368","3,655","1,292","2,249","3,929","2,467","2,338","3,625","2,094","3,845","3,073","1,990","2,993","1,773","1,936","2,096"
2021,8,60,"37,442","2,115","3,083","3,095",981,"1,685","2,862","1,748","2,150","3,004","1,854","3,342","2,265","1,684","2,694","1,540","1,680","1,660"
2021,8,70,"20,190","1,134","1,598","1,717",736,968,"1,743","1,138","1,115","1,669","1,055","1,709",956,878,"1,234",827,747,966
2021,8,80,"8,852",445,759,757,326,401,744,558,525,763,453,780,396,356,487,368,305,429
2021,8,90,"1,138",60,102,101,36,59,91,69,57,100,58,128,48,39,57,47,44,42
2021,8,100,82,2,1,11,11,5,3,8,2,7,4,7,4,1,5,8,1,2
2021,9,총,"287,820","16,565","26,600","22,455","12,014","13,945","23,470","15,510","15,363","22,768","14,380","26,155","16,622","12,764","15,985","10,922","10,557","11,745"
2021,9,0,"19,515","1,198","2,261","1,155",401,952,"1,721","1,135","1,253","1,713","1,329","2,493",997,698,790,562,491,366
2021,9,10,"19,166","1,122","1,592","1,576",751,996,"2,041","1,605","1,071","1,402",922,"1,653","1,084",850,840,520,549,592
2021,9,20,"44,063","2,436","4,270","4,248","4,772","2,236","2,894","1,739","1,728","2,758","1,452","2,805","2,558","2,034","2,217","1,944","1,694","2,278"
2021,9,30,"47,234","2,880","4,542","3,213","1,576","2,256","3,533","2,172","2,579","4,070","2,603","4,880","2,878","2,311","2,523","1,912","1,597","1,709"
2021,9,40,"43,631","2,493","4,008","2,930","1,122","2,134","3,893","2,855","2,538","3,644","2,554","4,472","2,357","1,939","2,163","1,429","1,504","1,596"
2021,9,50,"46,340","2,688","4,362","3,632","1,296","2,235","3,921","2,476","2,335","3,633","2,088","3,860","3,068","1,988","2,971","1,759","1,936","2,092"
2021,9,60,"37,589","2,112","3,105","3,105",985,"1,705","2,873","1,755","2,158","3,007","1,854","3,369","2,284","1,677","2,693","1,548","1,691","1,668"
2021,9,70,"20,171","1,126","1,592","1,724",734,966,"1,751","1,141","1,108","1,669","1,063","1,706",945,872,"1,231",825,748,970
2021,9,80,"8,884",451,762,757,330,400,749,555,533,766,453,786,397,355,493,367,302,428
2021,9,90,"1,146",57,105,105,36,60,91,69,58,99,58,124,50,39,59,48,44,44
2021,9,100,81,2,1,10,11,5,3,8,2,7,4,7,4,1,5,8,1,2
2021,10,총,"287,174","16,475","26,546","22,459","12,030","13,931","23,413","15,460","15,313","22,721","14,364","26,116","16,574","12,728","15,925","10,874","10,515","11,730"
2021,10,0,"19,409","1,188","2,241","1,156",402,955,"1,730","1,132","1,236","1,704","1,321","2,479",992,691,778,559,482,363
2021,10,10,"19,042","1,101","1,593","1,568",724,987,"2,020","1,600","1,074","1,391",923,"1,645","1,075",851,839,514,551,586
2021,10,20,"43,902","2,420","4,221","4,255","4,794","2,221","2,872","1,728","1,721","2,744","1,446","2,789","2,540","2,029","2,217","1,931","1,684","2,290"
2021,10,30,"47,088","2,860","4,554","3,222","1,594","2,250","3,530","2,166","2,573","4,039","2,584","4,861","2,871","2,296","2,502","1,889","1,593","1,704"
2021,10,40,"43,487","2,496","3,983","2,932","1,119","2,123","3,852","2,854","2,525","3,647","2,556","4,470","2,343","1,933","2,148","1,416","1,492","1,598"
2021,10,50,"46,315","2,674","4,358","3,629","1,302","2,245","3,941","2,474","2,328","3,632","2,088","3,858","3,072","1,992","2,954","1,764","1,922","2,082"
2021,10,60,"37,664","2,106","3,132","3,109",987,"1,715","2,873","1,748","2,160","3,024","1,863","3,384","2,286","1,668","2,708","1,556","1,694","1,651"
2021,10,70,"20,145","1,119","1,587","1,714",730,970,"1,752","1,140","1,100","1,665","1,066","1,714",945,871,"1,223",825,750,974
2021,10,80,"8,914",450,768,761,335,398,748,556,536,767,456,785,396,356,494,369,303,436
2021,10,90,"1,146",59,108,108,36,62,92,61,58,101,57,123,50,40,56,48,43,44
2021,10,100,62,2,1,5,7,5,3,1,2,7,4,8,4,1,6,3,1,2
2021,11,총,"286,599","16,462","26,456","22,421","11,992","13,924","23,344","15,441","15,261","22,752","14,338","26,041","16,573","12,696","15,858","10,827","10,510","11,703"
2021,11,0,"19,307","1,184","2,220","1,146",399,946,"1,723","1,137","1,228","1,704","1,320","2,476",993,681,762,560,477,351
2021,11,10,"18,960","1,102","1,588","1,557",702,988,"2,002","1,601","1,070","1,381",917,"1,652","1,082",839,829,503,557,590
2021,11,20,"43,701","2,410","4,167","4,238","4,814","2,233","2,845","1,725","1,707","2,744","1,438","2,749","2,534","2,029","2,193","1,919","1,679","2,277"
2021,11,30,"46,926","2,859","4,532","3,218","1,579","2,250","3,522","2,163","2,565","4,036","2,563","4,829","2,864","2,289","2,499","1,879","1,578","1,701"
2021,11,40,"43,412","2,502","3,991","2,913","1,117","2,107","3,829","2,835","2,519","3,665","2,544","4,465","2,348","1,935","2,144","1,409","1,502","1,587"
2021,11,50,"46,281","2,658","4,356","3,642","1,305","2,253","3,938","2,476","2,315","3,636","2,101","3,849","3,060","1,993","2,937","1,752","1,916","2,094"
2021,11,60,"37,744","2,113","3,124","3,108",981,"1,722","2,893","1,751","2,166","3,044","1,864","3,393","2,298","1,674","2,712","1,557","1,694","1,650"
2021,11,70,"20,106","1,115","1,585","1,715",725,958,"1,742","1,134","1,096","1,668","1,069","1,712",941,865,"1,224",827,755,975
2021,11,80,"8,963",458,786,771,335,400,752,557,534,763,464,789,397,350,497,370,307,433
2021,11,90,"1,146",59,106,109,33,63,95,62,59,104,54,119,52,41,55,48,44,43
2021,11,100,53,2,1,4,2,4,3,0,2,7,4,8,4,0,6,3,1,2
2021,12,총,"285,990","16,475","26,430","22,362","11,915","13,904","23,280","15,408","15,240","22,735","14,325","26,033","16,514","12,643","15,806","10,757","10,516","11,647"
2021,12,0,"19,222","1,176","2,209","1,142",395,943,"1,715","1,125","1,215","1,698","1,314","2,493",999,681,742,550,475,350
2021,12,10,"18,903","1,107","1,595","1,544",676,991,"1,999","1,592","1,083","1,373",917,"1,654","1,071",833,823,506,553,586
2021,12,20,"43,463","2,398","4,142","4,219","4,769","2,221","2,832","1,725","1,691","2,753","1,431","2,731","2,513","1,999","2,187","1,904","1,681","2,267"
2021,12,30,"46,815","2,860","4,508","3,229","1,581","2,251","3,514","2,151","2,529","4,027","2,566","4,810","2,858","2,296","2,495","1,849","1,590","1,701"
2021,12,40,"43,346","2,507","4,007","2,900","1,115","2,099","3,789","2,826","2,534","3,669","2,539","4,481","2,325","1,929","2,141","1,411","1,495","1,579"
2021,12,50,"46,154","2,660","4,354","3,617","1,304","2,251","3,953","2,472","2,332","3,622","2,089","3,832","3,062","1,979","2,927","1,733","1,906","2,061"
2021,12,60,"37,768","2,123","3,133","3,107",982,"1,713","2,888","1,757","2,149","3,047","1,881","3,395","2,298","1,674","2,705","1,567","1,697","1,652"
2021,12,70,"20,111","1,119","1,579","1,727",719,967,"1,736","1,134","1,106","1,671","1,068","1,718",932,863,"1,225",815,761,971
2021,12,80,"9,002",462,795,761,339,403,752,562,539,764,462,794,397,350,500,373,311,438
2021,12,90,"1,158",62,107,111,34,61,99,64,60,106,54,118,54,39,56,47,46,40
2021,12,100,48,1,1,5,1,4,3,0,2,5,4,7,5,0,5,2,1,2
