년도,월,나이,전라북도 정읍시,전라북도 정읍시 신태인읍,전라북도 정읍시 북면,전라북도 정읍시 입암면,전라북도 정읍시 소성면,전라북도 정읍시 고부면,전라북도 정읍시 영원면,전라북도 정읍시 덕천면,전라북도 정읍시 이평면,전라북도 정읍시 정우면,전라북도 정읍시 태인면,전라북도 정읍시 감곡면,전라북도 정읍시 옹동면,전라북도 정읍시 칠보면,전라북도 정읍시 산내면,전라북도 정읍시 산외면,전라북도 정읍시 수성동,전라북도 정읍시 장명동,전라북도 정읍시 내장상동,전라북도 정읍시 시기동,전라북도 정읍시 초산동,전라북도 정읍시 연지동,전라북도 정읍시 농소동,전라북도 정읍시 상교동
2020,10,0,"3,307",126,83,31,37,37,30,29,23,45,44,25,21,42,17,30,759,72,822,82,536,238,106,72
2020,10,10,"5,177",227,156,82,45,49,39,57,61,53,80,40,35,94,28,44,"1,081",155,"1,389",142,759,263,175,123
2020,10,20,"5,866",216,218,129,76,110,67,81,78,100,145,77,50,95,46,66,"1,228",179,"1,281",198,651,328,235,212
2020,10,30,"4,757",218,160,86,70,131,56,55,60,80,99,110,69,76,33,64,"1,034",117,929,134,523,338,151,164
2020,10,40,"7,869",374,260,144,120,184,101,106,127,149,224,144,96,150,58,125,"1,613",250,"1,610",203,808,519,256,248
2020,10,50,"9,968",500,461,338,215,255,160,204,203,271,341,266,157,243,139,232,"1,559",295,"1,716",272,837,491,428,385
2020,10,60,"8,301",484,412,303,200,310,194,181,211,267,332,321,172,224,160,234,932,225,"1,172",279,564,423,353,348
2020,10,70,"5,772",382,267,202,186,218,168,138,178,201,264,272,148,177,93,178,521,142,723,216,341,304,201,252
2020,10,80,"2,665",170,127,119,105,114,71,63,102,108,159,127,80,102,45,95,164,62,260,104,128,108,102,150
2020,10,90,257,24,8,9,7,10,5,8,12,13,27,12,15,5,4,9,14,4,22,13,8,10,9,9
2020,10,100,21,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,6,1,5,2,1,1,1,1
2020,11,총,"53,872","2,727","2,152","1,440","1,062","1,413",891,921,"1,047","1,287","1,710","1,385",850,"1,207",618,"1,069","8,898","1,502","9,890","1,644","5,146","3,011","2,021","1,981"
2020,11,0,"3,280",123,79,29,36,36,30,32,21,45,43,23,23,39,17,27,748,73,819,81,533,244,105,74
2020,11,10,"5,155",230,158,82,41,50,37,57,61,52,84,40,35,92,27,43,"1,077",156,"1,377",144,756,260,172,124
2020,11,20,"5,875",218,212,129,76,111,70,80,76,101,145,77,50,95,46,65,"1,232",178,"1,269",196,660,330,240,219
2020,11,30,"4,718",223,164,81,71,129,54,55,61,81,99,110,70,74,33,63,"1,023",116,919,131,512,335,152,162
2020,11,40,"7,839",371,255,148,119,180,103,108,124,149,222,144,95,150,54,123,"1,611",249,"1,606",205,808,513,255,247
2020,11,50,"9,930",496,464,332,216,251,159,202,196,273,337,257,161,243,137,231,"1,558",299,"1,719",270,831,482,427,389
2020,11,60,"8,350",481,420,311,202,315,193,180,215,269,330,326,171,230,160,233,943,224,"1,171",282,568,418,355,353
2020,11,70,"5,772",391,266,197,187,217,168,138,180,196,265,273,150,176,94,180,516,141,718,217,342,306,204,250
2020,11,80,"2,676",171,125,123,106,112,72,60,101,109,157,124,80,103,46,95,170,62,265,103,128,112,99,153
2020,11,90,256,23,9,8,8,10,5,9,12,12,27,11,15,5,4,9,14,3,22,13,7,10,11,9
2020,11,100,21,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,6,1,5,2,1,1,1,1
2020,12,총,"53,791","2,719","2,157","1,424","1,060","1,409",891,915,"1,041","1,299","1,703","1,388",847,"1,204",616,"1,065","8,896","1,490","9,894","1,628","5,144","2,986","2,005","2,010"
