년도,월,나이,광주광역시 남구,광주광역시 남구 양림동,광주광역시 남구 방림1동,광주광역시 남구 방림2동,광주광역시 남구 봉선1동,광주광역시 남구 봉선2동,광주광역시 남구 사직동,광주광역시 남구 월산동,광주광역시 남구 월산4동,광주광역시 남구 월산5동,광주광역시 남구 백운1동,광주광역시 남구 백운2동,광주광역시 남구 주월1동,광주광역시 남구 주월2동,광주광역시 남구 효덕동,광주광역시 남구 송암동,광주광역시 남구 대촌동,광주광역시 남구 진월동
2021,11,60,"13,290",427,402,620,860,"1,315",418,618,729,601,830,422,"1,362",674,935,921,611,"1,545"
2021,11,70,"7,821",366,282,474,462,632,301,474,446,302,472,294,726,418,529,361,357,925
2021,11,80,"2,903",143,97,177,221,259,122,166,147,100,206,110,221,135,151,112,167,369
2021,11,90,242,16,8,14,23,27,7,13,15,7,19,5,7,13,15,11,10,32
2021,11,100,7,2,2,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
2021,12,총,"103,542","3,211","3,169","4,207","6,310","13,461","2,689","4,531","4,366","3,197","5,752","3,137","10,608","3,985","7,734","10,368","3,121","13,696"
2021,12,0,"8,699",202,259,236,410,"1,424",133,298,160,121,462,237,864,221,795,"1,634",209,"1,034"
2021,12,10,"11,345",373,321,362,631,"2,464",155,285,302,168,543,197,"1,161",277,890,"1,097",201,"1,918"
2021,12,20,"14,094",393,431,605,994,"1,639",343,570,617,473,765,456,"1,573",563,"1,013","1,245",284,"2,130"
2021,12,30,"12,515",309,373,446,764,"1,170",335,646,572,412,672,461,"1,302",489,"1,087","1,833",317,"1,327"
2021,12,40,"16,861",484,531,592,973,"2,536",420,735,634,462,888,481,"1,721",553,"1,342","1,883",456,"2,170"
2021,12,50,"15,697",496,464,684,968,"1,981",458,713,744,546,901,476,"1,660",636,974,"1,252",509,"2,235"
2021,12,60,"13,319",427,403,617,867,"1,326",418,628,731,601,821,418,"1,360",668,937,934,609,"1,554"
2021,12,70,"7,827",364,282,475,455,639,297,473,444,306,475,293,731,426,528,367,354,918
2021,12,80,"2,935",146,95,176,222,253,124,170,149,102,206,113,227,137,152,114,171,378
2021,12,90,244,15,10,14,26,29,6,13,13,6,19,5,8,14,16,9,10,31
2021,12,100,6,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1
