년도,월,나이,속초시,영랑동,동명동,금호동,교동,노학동,조양동,청호동,대포동
2021,9,40,"6,087",203,232,328,654,"1,717","2,540",281,132
2021,9,50,"7,570",410,337,591,888,"2,047","2,582",417,298
2021,9,60,"7,071",533,350,670,942,"1,733","1,970",477,396
2021,9,70,"3,850",285,222,395,504,893,989,302,260
2021,9,80,"2,165",162,125,239,276,553,495,192,123
2021,9,90,490,31,25,68,59,129,96,48,34
2021,9,100,13,2,0,0,3,2,3,2,1
2021,10,총,"41,604","2,132","1,803","3,010","4,852","10,924","14,964","2,422","1,497"
2021,10,0,"2,796",84,109,101,239,675,"1,412",134,42
2021,10,10,"3,452",95,122,202,369,"1,069","1,426",131,38
2021,10,20,"3,893",154,130,232,480,"1,055","1,537",196,109
2021,10,30,"4,184",172,159,186,435,"1,032","1,892",240,68
2021,10,40,"6,072",201,227,329,643,"1,707","2,548",286,131
2021,10,50,"7,587",410,336,584,896,"2,062","2,592",410,297
2021,10,60,"7,101",534,348,672,953,"1,746","1,973",483,392
2021,10,70,"3,829",283,223,393,501,889,980,299,261
2021,10,80,"2,185",166,124,241,278,559,500,193,124
2021,10,90,491,31,25,70,56,128,99,48,34
2021,10,100,14,2,0,0,2,2,5,2,1
2021,11,총,"41,672","2,130","1,799","3,066","4,858","10,922","14,961","2,427","1,509"
2021,11,0,"2,790",84,109,103,234,679,"1,404",134,43
2021,11,10,"3,457",95,126,205,369,"1,071","1,421",131,39
2021,11,20,"3,869",153,127,243,477,"1,035","1,529",195,110
2021,11,30,"4,195",171,156,196,440,"1,034","1,893",238,67
2021,11,40,"6,082",201,229,339,640,"1,705","2,550",285,133
2021,11,50,"7,606",410,336,587,896,"2,074","2,587",414,302
2021,11,60,"7,149",534,344,687,964,"1,751","1,988",489,392
2021,11,70,"3,824",279,222,394,500,884,985,298,262
2021,11,80,"2,187",170,124,241,278,557,501,192,124
2021,11,90,501,31,26,71,58,131,99,49,36
2021,11,100,12,2,0,0,2,1,4,2,1
2021,12,총,"41,711","2,124","1,787","3,079","4,877","10,945","14,958","2,435","1,506"
2021,12,0,"2,771",85,106,101,242,669,"1,391",132,45
2021,12,10,"3,462",92,125,210,371,"1,072","1,425",129,38
2021,12,20,"3,891",155,125,243,478,"1,045","1,531",206,108
2021,12,30,"4,193",171,154,203,445,"1,037","1,874",241,68
2021,12,40,"6,076",199,232,338,648,"1,702","2,544",283,130
2021,12,50,"7,618",410,335,596,891,"2,077","2,596",413,300
2021,12,60,"7,149",528,339,688,966,"1,755","1,994",489,390
2021,12,70,"3,838",282,222,387,494,891,996,300,266
2021,12,80,"2,199",167,124,243,280,562,504,193,126
2021,12,90,503,33,25,70,60,134,99,47,35
2021,12,100,11,2,0,0,2,1,4,2,0
