년도,월,나이,서울특별시 용산구,서울특별시 용산구 후암동,서울특별시 용산구 용산2가동,서울특별시 용산구 남영동,서울특별시 용산구 청파동,서울특별시 용산구 원효로제1동,서울특별시 용산구 원효로제2동,서울특별시 용산구 효창동,서울특별시 용산구 용문동,서울특별시 용산구 한강로동,서울특별시 용산구 이촌제1동,서울특별시 용산구 이촌제2동,서울특별시 용산구 이태원제1동,서울특별시 용산구 이태원제2동,서울특별시 용산구 한남동,서울특별시 용산구 서빙고동,서울특별시 용산구 보광동
2020,11,10,"7,991",710,282,144,635,449,506,400,437,526,"1,471",261,145,236,586,756,447
2020,11,20,"15,920","1,300",809,461,"1,696","1,030",882,731,882,"1,404","1,470",479,535,693,"1,406",894,"1,248"
2020,11,30,"19,017","1,481",906,555,"1,686","1,797","1,054",919,996,"1,899","1,636",741,627,823,"1,975",735,"1,187"
2020,11,40,"17,537","1,343",713,703,"1,395","1,365","1,128",742,910,"1,389","2,214",622,440,668,"1,676","1,174","1,055"
2020,11,50,"18,332","1,397",674,"1,146","1,543","1,083","1,163",757,980,"1,719","2,201",650,535,577,"1,576","1,113","1,218"
2020,11,60,"13,705","1,050",648,954,"1,105",793,816,491,699,"1,273","1,430",596,476,501,"1,295",698,880
2020,11,70,"7,440",588,417,402,632,376,468,263,409,660,743,336,244,352,697,326,527
2020,11,80,"3,209",193,154,143,265,151,187,123,151,271,461,117,144,157,284,221,187
2020,11,90,507,36,22,29,25,22,20,24,14,53,92,11,23,24,48,31,33
2020,11,100,107,6,6,16,10,5,4,2,5,14,8,2,6,3,10,3,7
2020,12,총,"110,722","8,591","4,798","4,641","9,325","7,748","6,677","4,834","5,879","9,858","13,152","4,101","3,290","4,276","10,185","6,328","7,039"
2020,12,0,"6,970",497,190,92,322,670,467,396,387,583,"1,443",290,116,225,630,408,254
2020,12,10,"7,932",703,275,146,632,448,504,396,435,526,"1,456",261,143,235,587,739,446
2020,12,20,"15,925","1,308",811,458,"1,695","1,039",869,734,888,"1,409","1,467",476,545,691,"1,397",890,"1,248"
2020,12,30,"19,032","1,475",894,555,"1,687","1,805","1,052",903,991,"1,918","1,633",746,631,826,"1,987",739,"1,190"
2020,12,40,"17,529","1,343",716,707,"1,395","1,357","1,128",742,917,"1,404","2,202",620,430,675,"1,676","1,165","1,052"
