년도,월,나이,대전광역시 동구,대전광역시 동구 중앙동,대전광역시 동구 효동,대전광역시 동구 신인동,대전광역시 동구 판암1동,대전광역시 동구 판암2동,대전광역시 동구 용운동,대전광역시 동구 대동,대전광역시 동구 자양동,대전광역시 동구 가양1동,대전광역시 동구 가양2동,대전광역시 동구 용전동,대전광역시 동구 성남동,대전광역시 동구 홍도동,대전광역시 동구 삼성동,대전광역시 동구 대청동,대전광역시 동구 산내동
2021,3,100,39,2,2,2,2,1,4,3,4,4,3,1,3,0,1,0,7
2021,4,총,"223,358","4,733","24,872","12,146","12,337","8,674","21,724","14,939","10,572","13,793","18,254","20,509","12,179","10,922","14,357","2,450","20,897"
2021,4,0,"14,869",106,"2,499",879,752,259,"1,669","1,379",374,790,924,"1,068",878,579,774,63,"1,876"
2021,4,10,"19,927",140,"3,336",888,961,380,"1,844","1,373",856,"1,103","1,772","1,476",938,794,"1,252",139,"2,675"
2021,4,20,"30,180",371,"2,574","1,345","1,473",781,"3,341","1,768","2,687","1,944","2,883","3,939","1,335","1,941","1,535",197,"2,066"
2021,4,30,"25,790",374,"2,863","1,578","1,457",729,"2,953","1,987","1,045","1,421","1,865","2,985","1,489","1,275","1,388",155,"2,226"
2021,4,40,"33,994",501,"4,851","1,769","1,700","1,008","3,286","2,333","1,230","2,025","2,682","3,140","1,757","1,541","2,151",251,"3,769"
2021,4,50,"36,404",938,"3,540","1,938","2,150","1,513","3,543","2,359","1,548","2,303","3,292","3,302","2,078","1,836","2,533",450,"3,081"
2021,4,60,"33,423","1,151","2,916","1,957","1,975","1,919","2,974","1,989","1,503","2,261","2,711","2,664","1,946","1,657","2,456",575,"2,769"
2021,4,70,"19,072",776,"1,573","1,210","1,194","1,286","1,428","1,146",897,"1,314","1,439","1,356","1,179",857,"1,512",325,"1,580"
2021,4,80,"8,540",335,622,513,598,708,601,523,385,568,606,514,495,394,677,256,745
2021,4,90,"1,120",39,96,67,75,90,81,79,43,60,77,64,81,48,78,39,103
2021,4,100,39,2,2,2,2,1,4,3,4,4,3,1,3,0,1,0,7
2021,5,총,"223,353","4,717","24,816","12,150","12,403","8,637","21,751","14,997","10,629","13,807","18,252","20,470","12,167","10,970","14,308","2,449","20,830"
