년도,월,나이,경상북도 경주시,경상북도 경주시 감포읍,경상북도 경주시 안강읍,경상북도 경주시 건천읍,경상북도 경주시 외동읍,경상북도 경주시 양북면,경상북도 경주시 양남면,경상북도 경주시 내남면,경상북도 경주시 산내면,경상북도 경주시 서면,경상북도 경주시 현곡면,경상북도 경주시 강동면,경상북도 경주시 천북면,경상북도 경주시 중부동,경상북도 경주시 황오동,경상북도 경주시 성건동,경상북도 경주시 황남동,경상북도 경주시 선도동,경상북도 경주시 월성동,경상북도 경주시 용강동,경상북도 경주시 황성동,경상북도 경주시 동천동,경상북도 경주시 불국동,경상북도 경주시 보덕동,경상북도 경주시 문무대왕면
2020,12,90,341,14,34,21,30,8,14,15,8,6,8,24,12,5,15,15,14,14,14,16,12,19,16,7,
2020,12,100,22,1,2,1,4,1,0,1,0,1,0,0,0,2,3,1,3,0,0,0,0,1,0,1,
2021,1,총,"126,853","2,737","12,375","4,833","10,939","2,261","3,344","2,362","1,620","1,598","10,790","3,212","2,986","2,613","3,166","6,937","2,345","7,454","2,902","11,298","14,076","11,330","4,789",886,
2021,1,0,"8,241",77,610,185,620,118,145,49,30,25,"1,268",88,143,104,70,249,44,608,177,"1,402","1,233",642,328,26,
2021,1,10,"10,903",109,"1,048",286,607,117,168,106,47,86,"1,231",172,166,174,179,438,95,901,189,"1,280","1,963","1,194",304,43,
2021,1,20,"15,109",231,"1,346",456,"1,201",281,400,160,85,109,"1,232",292,310,305,349,"1,145",207,"1,067",289,"1,429","2,035","1,655",439,86,
2021,1,30,"13,513",193,961,390,"1,409",284,303,165,67,84,"1,506",223,325,282,318,755,168,763,254,"1,559","1,537","1,286",605,76,
2021,1,40,"19,060",387,"1,754",626,"1,662",252,426,233,112,181,"1,870",419,407,353,410,982,292,"1,239",402,"2,033","2,417","1,788",701,114,
2021,1,50,"24,210",560,"2,616",913,"2,271",383,739,494,306,326,"1,795",719,579,441,610,"1,176",471,"1,415",540,"1,896","2,678","2,196",913,173,
2021,1,60,"20,396",623,"2,176","1,018","1,916",435,667,599,519,366,"1,171",704,568,483,653,"1,164",538,877,545,"1,159","1,526","1,642",841,206,
2021,1,70,"10,934",372,"1,313",646,908,264,351,374,311,285,523,411,349,342,406,770,345,410,355,400,515,694,471,119,
2021,1,80,"4,123",170,515,291,311,117,130,166,134,129,187,160,127,121,151,243,169,162,136,125,160,213,170,36,
2021,1,90,342,14,34,21,30,9,15,15,9,6,7,24,12,6,17,14,13,12,15,15,12,19,17,6,
2021,1,100,22,1,2,1,4,1,0,1,0,1,0,0,0,2,3,1,3,0,0,0,0,1,0,1,
2021,2,총,"126,929","2,761","12,323","4,848","11,129","2,252","3,337","2,364","1,628","1,602","10,778","3,196","2,981","2,611","3,166","6,905","2,337","7,411","2,887","11,425","14,016","11,297","4,790",885,
2021,2,0,"8,203",78,600,185,645,110,145,52,29,27,"1,262",87,142,101,72,243,47,589,176,"1,416","1,218",624,329,26,
2021,2,10,"10,906",118,"1,035",298,629,122,168,103,48,88,"1,234",169,158,176,180,433,97,889,183,"1,290","1,949","1,188",307,44,
2021,2,20,"14,984",235,"1,319",451,"1,210",280,393,162,85,107,"1,235",291,310,305,346,"1,117",206,"1,048",282,"1,419","2,014","1,653",430,86,
2021,2,30,"13,478",194,958,390,"1,441",278,301,157,67,85,"1,487",219,320,283,313,748,165,763,250,"1,595","1,525","1,266",597,76,
2021,2,40,"19,093",387,"1,741",621,"1,698",249,418,234,113,177,"1,866",414,409,351,416,983,287,"1,230",406,"2,074","2,412","1,794",700,113,
2021,2,50,"24,214",557,"2,614",907,"2,305",386,741,488,310,329,"1,799",706,584,440,606,"1,169",462,"1,421",535,"1,906","2,668","2,189",920,172,
2021,2,60,"20,532",628,"2,178","1,032","1,943",436,670,602,522,365,"1,175",707,569,483,648,"1,174",542,881,548,"1,181","1,539","1,655",846,208,
2021,2,70,"10,986",376,"1,319",649,916,265,354,381,312,285,526,415,348,340,414,776,346,413,354,404,510,695,471,117,
2021,2,80,"4,162",174,522,292,308,116,132,168,133,131,187,164,128,124,151,246,168,165,138,126,168,213,172,36,
2021,2,90,348,13,35,22,30,9,15,16,9,7,6,24,13,6,17,15,14,12,15,14,13,19,18,6,
2021,2,100,23,1,2,1,4,1,0,1,0,1,1,0,0,2,3,1,3,0,0,0,0,1,0,1,
2021,3,총,"126,619","2,731","12,226","4,799","11,308","2,243","3,330","2,362","1,610","1,583","10,755","3,153","2,980","2,570","3,139","6,889","2,318","7,404","2,870","11,513","13,969","11,220","4,785",862,
2021,3,0,"8,183",77,590,183,660,113,138,54,30,24,"1,251",86,139,100,75,242,50,589,178,"1,419","1,217",616,329,23,
