년도,월,나이,대덕구,오정동,대화동,회덕동,비래동,송촌동,중리동,신탄진동,석봉동,덕암동,목상동,법1동,법2동
2021,9,90,580,61,39,54,53,59,51,45,38,44,19,45,72
2021,9,100,26,5,2,2,1,2,1,8,1,3,0,1,0
2021,10,총,"85,806","6,842","3,312","6,090","8,208","13,870","9,412","5,353","8,023","6,525","2,991","6,956","8,224"
2021,10,0,"5,207",292,127,317,436,963,441,247,938,363,210,435,438
2021,10,10,"7,647",434,215,459,772,"1,830",724,407,741,560,296,500,709
2021,10,20,"10,793","1,061",338,638,"1,002","1,850","1,342",636,882,915,411,797,921
2021,10,30,"8,857",656,364,535,707,"1,276",956,464,"1,364",676,378,763,718
2021,10,40,"12,735",802,447,790,"1,230","2,643","1,365",681,"1,258",955,500,875,"1,189"
2021,10,50,"16,415","1,249",606,"1,107","1,629","2,801","1,804","1,027","1,323","1,204",555,"1,386","1,724"
2021,10,60,"13,223","1,298",638,"1,182","1,387","1,406","1,582",984,897,956,367,"1,135","1,391"
2021,10,70,"6,682",687,365,614,671,644,771,546,356,553,164,644,667
2021,10,80,"3,628",295,170,393,320,395,374,309,226,296,89,370,391
2021,10,90,594,63,40,53,53,60,52,45,37,44,21,50,76
2021,10,100,25,5,2,2,1,2,1,7,1,3,0,1,0
2021,11,총,"85,671","6,851","3,296","6,080","8,198","13,820","9,417","5,377","8,021","6,518","2,994","6,942","8,157"
2021,11,0,"5,174",292,123,314,435,960,440,244,940,355,210,433,428
2021,11,10,"7,601",436,211,456,762,"1,823",721,406,734,557,300,493,702
2021,11,20,"10,779","1,071",334,635,"1,007","1,841","1,333",635,880,924,410,800,909
2021,11,30,"8,848",652,362,530,705,"1,271",963,464,"1,376",679,373,761,712
2021,11,40,"12,698",799,442,795,"1,223","2,621","1,371",690,"1,252",957,503,871,"1,174"
2021,11,50,"16,385","1,245",608,"1,097","1,624","2,801","1,808","1,039","1,319","1,188",558,"1,383","1,715"
2021,11,60,"13,243","1,307",635,"1,191","1,396","1,405","1,578",987,903,964,364,"1,127","1,386"
2021,11,70,"6,675",690,362,609,670,645,774,543,357,549,164,647,665
2021,11,80,"3,654",293,175,399,323,390,376,317,225,298,91,375,392
2021,11,90,590,62,42,52,52,61,52,46,34,44,21,50,74
2021,11,100,24,4,2,2,1,2,1,6,1,3,0,2,0
2021,12,총,"86,057","6,808","3,282","6,047","8,147","13,762","9,405","6,189","7,956","6,430","2,958","6,914","8,159"
2021,12,0,"5,202",284,123,306,424,961,435,344,929,341,197,434,424
2021,12,10,"7,545",434,205,452,737,"1,800",721,443,716,553,295,492,697
2021,12,20,"10,796","1,052",333,635,996,"1,825","1,334",746,865,907,409,781,913
2021,12,30,"9,001",639,365,526,707,"1,270",946,659,"1,375",671,366,761,716
2021,12,40,"12,757",805,439,783,"1,211","2,606","1,370",809,"1,246",947,496,869,"1,176"
2021,12,50,"16,408","1,237",604,"1,094","1,625","2,790","1,807","1,164","1,308","1,166",551,"1,372","1,690"
2021,12,60,"13,354","1,308",634,"1,188","1,391","1,407","1,588","1,077",903,954,369,"1,128","1,407"
2021,12,70,"6,692",692,360,612,673,642,771,570,349,550,161,651,661
2021,12,80,"3,688",292,178,398,325,396,380,326,229,293,92,374,405
2021,12,90,590,61,39,51,57,63,52,44,36,45,22,50,70
2021,12,100,24,4,2,2,1,2,1,7,0,3,0,2,0
