년도,월,나이,금산군,금산읍,금성면,제원면,부리면,군북면,남일면,남이면,진산면,복수면,추부면
2021,12,10,"2,125","1,241",82,60,34,68,150,80,108,83,219
2021,12,20,"2,152","1,183",122,103,58,71,91,66,84,101,273
2021,12,30,"1,769",965,106,81,69,67,60,35,62,81,243
2021,12,40,"3,262","1,803",158,139,113,123,132,88,161,171,374
2021,12,50,"4,913","1,919",348,285,251,257,248,236,370,318,681
2021,12,60,"5,342","1,691",410,394,342,320,332,290,393,420,750
2021,12,70,"3,143","1,016",257,224,219,187,215,160,263,248,354
2021,12,80,"1,451",415,135,116,115,97,112,96,118,100,147
2021,12,90,134,25,17,11,14,8,11,6,10,14,18
2021,12,100,2,1,1,0,0,0,0,0,0,0,0
